c1,c2,c3,c4,e,p,s,t
14,41,0,0,11,18.51,300,1539950597109
0,0,0,0,11,18.52,100,1539950793865
0,0,0,0,11,18.51,1600,1539950793865
0,0,0,0,11,18.51,100,1539950793865
14,37,41,0,8,18.5,75,1539950799352
14,37,41,0,8,18.17,25,1539950799352
14,41,0,0,8,18.17,200,1539950804822
37,0,0,0,11,18,75,1539950851752
37,0,0,0,8,18.17,75,1539950857253
14,41,0,0,11,18,100,1539950862098
14,37,41,0,11,18,25,1539950863662
14,41,0,0,8,17.89,112,1539950874821
14,37,41,0,11,17.92,36,1539950874822
14,37,41,0,11,17.88,36,1539950874822
14,37,41,0,11,17.84,16,1539950874822
14,37,41,0,11,17.84,20,1539950875077
14,37,41,0,11,17.79,36,1539950875077
14,41,0,0,11,17.78,144,1539950875077
37,0,0,0,11,17.78,56,1539950875245
37,0,0,0,11,17.75,36,1539950875245
37,0,0,0,8,17.24,78,1539950928720
37,0,0,0,4,17.2,30,1539950941923
14,37,41,0,12,16.5,22,1539950943766
14,41,0,0,12,17.2,100,1539950947082
14,37,41,0,12,17.5,30,1539950950705
0,0,0,0,4,16.5001,300,1539951001152
37,0,0,0,4,16.5,65,1539951001156
14,37,41,0,11,17.27,22,1539951374879
14,37,41,0,11,17.27,78,1539951403346
14,37,41,0,11,17.27,22,1539951403346
14,37,41,0,12,17.5,70,1539951410447
14,41,0,0,12,18,100,1539951410448
14,41,0,0,12,18,100,1539951410448
14,41,0,0,12,18,400,1539951410448
14,41,0,0,12,18,100,1539951423161
14,37,41,0,12,18,30,1539951423161
14,41,0,0,12,17.81,400,1539951485316
37,0,0,0,11,17.5,8,1539952229210
14,41,0,0,12,17.99,200,1539952262937
14,41,0,0,12,17.99,100,1539952265579
14,41,0,0,12,18.15,200,1539952320946
14,41,0,0,12,18.05,200,1539952374441
37,0,0,0,11,18.03,30,1539952911413
14,41,0,0,12,18.17,200,1539953479886
14,41,0,0,12,18.19,200,1539953487415
14,41,0,0,12,18.2,100,1539953513932
14,41,0,0,8,18.49,600,1539953530751
14,41,0,0,12,18.08,100,1539953596027
37,0,0,0,4,18.05,3,1539953943257
37,0,0,0,4,18.45,1,1539953947058
37,0,0,0,4,18.4499,2,1539953947161
37,0,0,0,4,18.4499,5,1539953951471
14,41,0,0,12,18.07,300,1539954762056
14,41,0,0,12,18.05,122,1539954772481
14,37,41,0,12,18.05,78,1539954772482
51,0,0,0,0,18.15,,1539955800714
25,41,0,0,12,18.15,37093,1539955800714
25,16,0,0,12,18.15,37093,1539955800714
37,0,0,0,18,18.12,43,1539955801206
37,0,0,0,4,18.12,75,1539955801333
20,41,0,0,4,18.15,100,1539955802991
51,0,0,0,0,18.2,,1539955803604
0,0,0,0,4,18.2,100,1539955803604
14,41,0,0,12,18.2,300,1539955803662
0,0,0,0,4,18.15,300,1539955803701
0,0,0,0,18,18.15,100,1539955803706
37,0,0,0,4,18.15,51,1539955804592
37,0,0,0,4,18.1516,77,1539955804642
14,37,41,0,12,18.15,34,1539955804828
14,41,0,0,12,18.15,100,1539955804828
51,0,0,0,0,18.13,,1539955804829
14,41,0,0,18,18.15,100,1539955804829
14,41,0,0,19,18.15,100,1539955804829
0,0,0,0,12,18.15,100,1539955804829
14,41,0,0,11,18.15,100,1539955804829
25,16,0,0,11,18.15,100,1539955804829
0,0,0,0,10,18.15,100,1539955804829
14,41,0,0,12,18.13,100,1539955804829
51,0,0,0,0,18.12,,1539955804830
14,41,0,0,19,18.14,100,1539955804830
14,41,0,0,19,18.13,100,1539955804830
0,0,0,0,19,18.13,100,1539955804830
14,41,0,0,12,18.12,100,1539955804830
14,37,41,0,12,18.12,66,1539955804830
37,0,0,0,12,18.12,34,1539955804830
14,41,0,0,12,18.13,100,1539955804830
37,0,0,0,19,18.13,15,1539955804830
14,41,0,0,7,18.12,100,1539955804831
14,37,41,0,12,18.13,15,1539955804845
14,37,41,0,12,18.11,85,1539955804845
14,37,41,0,19,18.13,85,1539955804845
14,37,41,0,19,18.12,15,1539955804845
0,0,0,0,4,18.14,190,1539955804944
51,0,0,0,0,18.1,,1539955805132
14,41,0,0,12,18.1,200,1539955805132
14,41,0,0,7,18.105,100,1539955805132
14,37,41,0,18,18.11,10,1539955805132
14,41,0,0,10,18.105,100,1539955805133
14,37,41,0,12,18.1,85,1539955805134
14,37,41,0,12,18.09,85,1539955805134
0,0,0,0,4,18.1,100,1539955805134
51,0,0,0,0,18.07,,1539955805140
0,0,0,0,15,18.07,100,1539955805140
37,0,0,0,4,18.07,50,1539955805146
37,0,0,0,4,18.07,50,1539955805173
37,0,0,0,4,18.07,50,1539955805188
14,41,0,0,12,18.07,271,1539955805261
14,37,41,0,12,18.07,50,1539955805261
14,37,41,0,8,18.07,79,1539955805261
14,37,41,0,8,18.07,21,1539955805262
14,37,41,0,11,18.06,2,1539955805262
51,0,0,0,0,18.05,,1539955805267
0,0,0,0,15,18.05,100,1539955805267
37,0,0,0,11,18.05,8,1539955805390
14,37,41,0,8,18.05,1,1539955805390
14,37,41,0,12,18.05,81,1539955805390
14,41,0,0,12,18.05,411,1539955805390
14,37,41,0,12,18.05,89,1539955805390
14,37,41,0,12,18.05,11,1539955805390
51,0,0,0,0,18,,1539955805395
0,0,0,0,2,18,100,1539955805395
37,0,0,0,4,18,61,1539955805400
0,0,0,0,4,18,170,1539955805400
0,0,0,0,12,18.07,185,1539955805594
0,0,0,0,12,18.07,100,1539955805594
14,41,0,0,7,18.07,100,1539955805594
0,0,0,0,10,18.07,100,1539955805595
14,41,0,0,10,18.07,100,1539955805595
0,0,0,0,11,18.12,200,1539955805598
0,0,0,0,15,18.06,100,1539955805876
0,0,0,0,15,18.06,100,1539955808016
0,0,0,0,7,18.12,100,1539955809776
14,41,0,0,12,18.12,100,1539955809776
0,0,0,0,10,18.12,100,1539955809776
14,41,0,0,18,18.12,100,1539955809776
14,41,0,0,11,18.12,100,1539955809776
14,41,0,0,10,18.12,100,1539955809776
0,0,0,0,10,18.12,100,1539955809776
0,0,0,0,1,18.14,300,1539955809776
37,0,0,0,18,18.15,1,1539955809787
37,0,0,0,4,18.15,1,1539955809791
0,0,0,0,4,18,1400,1539955811224
0,0,0,0,15,18.075,100,1539955811226
37,0,0,0,15,18.04,99,1539955811231
0,0,0,0,7,18,100,1539955812403
37,0,0,0,15,18.04,1,1539955812446
37,0,0,0,15,18,99,1539955812446
0,0,0,0,4,18.0001,200,1539955815495
14,41,0,0,18,18.05,200,1539955816798
