c1,c2,c3,c4,e,p,s,t
14,41,0,0,11,95,100,1539866767809
0,0,0,0,4,96,900,1539866842653
14,41,0,0,11,95.5,100,1539867042901
7,37,0,0,4,95.14,1,1539867644521
14,37,41,0,12,95,30,1539868124869
51,0,0,0,0,95.15,,1539869400364
25,0,0,0,10,95.15,3600,1539869400364
37,0,0,0,4,95.54,20,1539869400774
10,37,41,0,4,95.15,1,1539869404793
37,0,0,0,4,95,19,1539869405337
37,0,0,0,4,94.9728,18,1539869408760
51,0,0,0,0,95.21,,1539869418010
0,0,0,0,11,95.21,100,1539869418010
25,16,0,0,11,95.21,100,1539869418010
0,0,0,0,7,95.21,100,1539869418011
0,0,0,0,8,95.21,100,1539869418011
51,0,0,0,0,95.02,,1539869440991
14,41,0,0,10,95.02,100,1539869440991
0,0,0,0,11,95.02,100,1539869440991
14,37,41,0,10,95,11,1539869440992
51,0,0,0,0,94.86,,1539869457009
51,0,0,0,0,94.82,,1539869457009
51,0,0,0,0,94.8,,1539869457009
51,0,0,0,0,94.75,,1539869457009
51,0,0,0,0,94.33,,1539869457009
51,0,0,0,0,94.31,,1539869457009
14,37,41,0,10,94.99,4,1539869457009
14,41,0,0,10,94.86,100,1539869457009
14,37,41,0,10,94.85,4,1539869457009
14,41,0,0,10,94.82,100,1539869457009
14,41,0,0,10,94.8,100,1539869457009
14,41,0,0,12,94.87,100,1539869457009
14,41,0,0,10,94.75,100,1539869457009
14,37,41,0,12,94.8,1,1539869457009
25,16,0,0,12,94.87,100,1539869457009
14,37,41,0,10,94.53,20,1539869457009
14,41,0,0,10,94.33,100,1539869457009
14,41,0,0,10,94.31,1100,1539869457009
0,0,0,0,4,94.33,200,1539869457016
0,0,0,0,4,94.33,200,1539869457016
14,41,0,0,12,94.31,100,1539869457100
14,37,41,0,12,94.31,1,1539869457100
0,0,0,0,12,94.31,100,1539869457100
0,0,0,0,10,94.35,100,1539869457102
14,41,0,0,10,94.31,100,1539869457103
0,0,0,0,10,94.31,100,1539869457107
51,0,0,0,0,94.18,,1539869457122
51,0,0,0,0,94.16,,1539869457122
0,0,0,0,12,94.18,100,1539869457122
0,0,0,0,12,94.16,100,1539869457122
0,0,0,0,17,94.16,100,1539869457122
51,0,0,0,0,94.06,,1539869457124
51,0,0,0,0,93.74,,1539869457124
0,0,0,0,11,94.06,100,1539869457124
37,0,0,0,11,94.02,4,1539869457124
37,0,0,0,11,94.02,46,1539869457124
0,0,0,0,11,93.74,100,1539869457124
37,0,0,0,11,93.72,90,1539869457124
14,37,41,0,10,94,55,1539869457124
51,0,0,0,0,93.72,,1539869457125
14,37,41,0,10,93.85,10,1539869457125
14,37,41,0,10,93.81,10,1539869457125
14,41,0,0,10,93.74,100,1539869457125
14,41,0,0,10,93.72,125,1539869457125
51,0,0,0,0,93.62,,1539869457127
14,41,0,0,10,93.72,100,1539869457127
14,41,0,0,11,93.62,199,1539869457127
14,37,41,0,11,93.62,76,1539869457127
14,37,41,0,10,93.72,75,1539869457127
14,41,0,0,12,93.74,100,1539869457127
0,0,0,0,11,93.71,100,1539869457127
14,41,0,0,12,93.72,174,1539869457127
37,0,0,0,12,93.72,26,1539869457127
0,0,0,0,11,93.62,175,1539869457128
0,0,0,0,4,93.72,100,1539869457129
0,0,0,0,4,93.711,350,1539869457130
0,0,0,0,4,93.845,100,1539869457444
0,0,0,0,4,94.31,300,1539869458178
0,0,0,0,4,93.7975,100,1539869458435
0,0,0,0,4,93.8175,371,1539869458612
0,0,0,0,4,93.9275,100,1539869459142
0,0,0,0,4,93.9325,100,1539869459143
37,0,0,0,4,93.0001,1,1539869462827
37,0,0,0,4,93,1,1539869462833
37,0,0,0,4,93,49,1539869462845
37,0,0,0,10,93.9,1,1539869467258
37,0,0,0,11,93.93,79,1539869474533
0,0,0,0,11,93.905,100,1539869474934
0,0,0,0,4,94.14,100,1539869474936
0,0,0,0,4,94.255,100,1539869474936
0,0,0,0,4,94,100,1539869474937
0,0,0,0,4,94.04,100,1539869474937
37,0,0,0,4,94.3,1,1539869474938
0,0,0,0,4,94.21,100,1539869474938
37,0,0,0,4,94.3,99,1539869474938
37,0,0,0,10,94.1,9,1539869478389
37,0,0,0,10,94.16,43,1539869478389
14,41,0,0,10,94.16,100,1539869478390
14,41,0,0,10,94.31,100,1539869478390
14,41,0,0,12,94.17,100,1539869478391
14,41,0,0,12,94.31,100,1539869478391
14,41,0,0,10,94.31,100,1539869478391
14,41,0,0,12,94.31,100,1539869478392
0,0,0,0,8,93.97,100,1539869478392
0,0,0,0,12,94.31,100,1539869478392
