c1,c2,c3,c4,e,p,s,t
37,0,0,0,11,40.31,9,1539774312406
0,0,0,0,4,39.75,200,1539777608304
37,0,0,0,11,39.75,50,1539777617404
37,0,0,0,11,39.55,50,1539782880191
0,0,0,0,11,39.7,150,1539782880191
37,0,0,0,11,39.7,50,1539782954372
51,0,0,0,0,39.99,,1539783000544
25,41,0,0,12,39.99,14287,1539783000544
25,16,0,0,12,39.99,14287,1539783000544
51,0,0,0,0,38.8,,1539783001630
14,41,0,0,12,38.8,100,1539783001630
14,37,41,0,12,38.8,90,1539783001631
0,0,0,0,4,39.5,100,1539783002821
0,0,0,0,4,39.5,100,1539783002821
0,0,0,0,4,39.47,100,1539783002821
37,0,0,0,4,39.0946,50,1539783029858
37,0,0,0,4,39.2521,37,1539783030374
14,37,41,0,12,39.38,1,1539783031298
14,37,41,0,12,38.9,1,1539783031791
14,37,41,0,12,39.38,2,1539783032080
0,0,0,0,4,39.4822,150,1539783044045
14,37,41,0,12,39.38,97,1539783044047
14,37,41,0,12,39.39,3,1539783044047
14,37,41,0,12,39.38,90,1539783044047
14,37,41,0,12,39.39,10,1539783044047
0,0,0,0,4,39.47,126,1539783044263
37,0,0,0,4,39.061,60,1539783051114
37,0,0,0,12,39.03,50,1539783097002
0,0,0,0,4,39.44,100,1539783102972
37,0,0,0,12,39.39,50,1539783102972
0,0,0,0,12,39.39,100,1539783102972
0,0,0,0,12,39.49,100,1539783102972
37,0,0,0,12,39.49,50,1539783102972
37,0,0,0,12,39.49,50,1539783102972
0,0,0,0,12,39.49,100,1539783102972
14,41,0,0,2,39.42,100,1539783102972
0,0,0,0,2,39.49,100,1539783102972
14,41,0,0,12,39.49,100,1539783102972
0,0,0,0,12,39.5,982,1539783102972
37,0,0,0,12,39.5,18,1539783102972
0,0,0,0,12,39.54,100,1539783102972
37,0,0,0,3,39.45,50,1539783102972
37,0,0,0,11,39.49,5,1539783102972
25,16,0,0,11,39.49,5,1539783102972
14,41,0,0,12,39.54,100,1539783102973
0,0,0,0,19,39.54,100,1539783102973
0,0,0,0,19,39.54,100,1539783102973
0,0,0,0,12,39.49,100,1539783102973
0,0,0,0,4,39.49,100,1539783102974
0,0,0,0,4,39.49,100,1539783102974
51,0,0,0,0,40,,1539783105549
14,41,0,0,12,39.92,100,1539783105549
14,41,0,0,12,39.97,200,1539783105549
14,37,41,0,12,40,1,1539783105549
14,41,0,0,12,40,199,1539783105549
0,0,0,0,12,40,301,1539783105549
14,41,0,0,2,39.97,100,1539783105549
37,0,0,0,19,39.97,26,1539783105550
37,0,0,0,19,40,26,1539783105550
0,0,0,0,11,39.96,191,1539783105550
0,0,0,0,11,40,191,1539783105550
37,0,0,0,12,40.19,23,1539783105560
51,0,0,0,0,40.45,,1539783105861
14,41,0,0,11,40.45,100,1539783105861
51,0,0,0,0,40.49,,1539783106060
14,41,0,0,11,40.49,200,1539783106060
37,0,0,0,12,40.19,77,1539783106061
51,0,0,0,0,40.68,,1539783122324
0,0,0,0,4,40.68,100,1539783122324
0,0,0,0,12,40.68,200,1539783122383
0,0,0,0,12,40.68,100,1539783122383
37,0,0,0,4,39.7701,3,1539783129782
14,41,0,0,2,40.225,100,1539783143413
14,41,0,0,12,40.225,100,1539783143413
14,41,0,0,8,39.99,100,1539783143413
14,41,0,0,7,39.99,100,1539783143413
14,41,0,0,18,40.225,100,1539783143413
14,41,0,0,19,39.99,100,1539783143413
14,41,0,0,11,39.99,100,1539783143413
14,41,0,0,10,39.99,100,1539783143413
14,41,0,0,12,40,100,1539783143414
0,0,0,0,4,39.88,100,1539783143415
0,0,0,0,12,39.87,100,1539783143417
0,0,0,0,12,39.9,100,1539783160347
0,0,0,0,12,39.9,200,1539783160348
0,0,0,0,12,39.9,100,1539783160348
0,0,0,0,12,39.9,100,1539783160348
14,41,0,0,8,39.9,100,1539783160348
37,0,0,0,12,39.87,63,1539783160351
0,0,0,0,4,39.9,100,1539783160353
14,41,0,0,12,39.82,140,1539783160914
14,37,41,0,12,39.77,60,1539783160914
14,37,41,0,12,39.77,40,1539783160914
14,41,0,0,2,39.77,100,1539783160914
14,37,41,0,12,39.77,60,1539783160914
37,0,0,0,12,39.77,40,1539783160914
0,0,0,0,2,39.77,100,1539783160914
37,0,0,0,12,39.77,60,1539783160914
14,41,0,0,8,39.77,100,1539783160914
14,37,41,0,18,39.82,5,1539783160914
14,37,41,0,18,39.77,9,1539783160914
14,37,41,0,18,39.77,86,1539783160914
14,41,0,0,19,39.77,100,1539783160914
14,37,41,0,19,39.77,26,1539783160914
14,41,0,0,19,39.77,100,1539783160914
14,41,0,0,18,39.77,100,1539783160914
14,41,0,0,19,39.77,174,1539783160914
0,0,0,0,18,39.77,100,1539783160914
0,0,0,0,19,39.77,100,1539783160914
14,41,0,0,19,39.77,100,1539783160914
14,41,0,0,8,39.77,100,1539783160914
14,41,0,0,11,39.77,100,1539783160914
0,0,0,0,8,39.77,100,1539783160914
14,41,0,0,10,39.77,100,1539783160914
14,41,0,0,11,39.77,100,1539783160914
0,0,0,0,3,39.77,100,1539783160914
0,0,0,0,11,39.77,100,1539783160914
0,0,0,0,10,39.77,100,1539783160914
0,0,0,0,4,39.77,100,1539783160915
0,0,0,0,4,39.77,100,1539783160915
0,0,0,0,4,39.9275,100,1539783160917
0,0,0,0,4,40.01,100,1539783160924
14,41,0,0,12,39.83,100,1539783161614
14,37,41,0,12,39.8,5,1539783161614
14,37,41,0,12,39.77,40,1539783161614
14,41,0,0,12,39.77,100,1539783161614
14,41,0,0,12,39.77,100,1539783161614
