c1,c2,c3,c4,e,p,s,t
14,41,0,0,11,129,500,1539082811526
14,37,41,0,8,128.25,50,1539082811532
14,37,41,0,11,128.25,50,1539082811533
0,0,0,0,11,127.5,196,1539082820437
14,41,0,0,11,128,500,1539082824449
14,41,0,0,11,128,500,1539082985880
14,41,0,0,11,128,500,1539082989614
14,41,0,0,11,128,196,1539082990640
14,41,0,0,11,128,200,1539083052976
0,0,0,0,11,128,300,1539083067490
14,41,0,0,11,128,500,1539083083574
0,0,0,0,11,128,100,1539083086900
0,0,0,0,11,128,534,1539083091449
37,0,0,0,8,128,50,1539083099842
14,37,41,0,8,129.76,25,1539083394036
14,37,41,0,8,129.76,25,1539083647568
0,0,0,0,11,128,794,1539083816668
0,0,0,0,11,128,256,1539083816668
37,0,0,0,8,128,4,1539083826005
37,0,0,0,11,128,30,1539083875657
37,0,0,0,11,128,30,1539084077315
37,0,0,0,8,128,25,1539084242871
37,0,0,0,11,127.98,40,1539084403719
37,0,0,0,11,128,11,1539084403719
37,0,0,0,11,128,50,1539086207533
37,0,0,0,8,128.25,29,1539086210172
37,0,0,0,8,128,20,1539086210172
37,0,0,0,4,129.9,31,1539086401073
37,0,0,0,4,129.99,40,1539086404737
14,37,41,0,12,128.25,49,1539086788960
14,37,41,0,12,128.25,25,1539086796906
37,0,0,0,11,128.5,75,1539086975561
37,0,0,0,4,128.79,15,1539086993250
0,0,0,0,4,128.7672,300,1539087060669
37,0,0,0,4,128.7,5,1539087080267
37,0,0,0,11,129.5,76,1539087210391
37,0,0,0,11,129.5,24,1539087224138
37,0,0,0,11,129.5,51,1539087224138
14,41,0,0,11,129.5,149,1539087233683
0,0,0,0,4,129.1,200,1539087353702
0,0,0,0,4,129.77,300,1539087374234
14,37,41,0,12,129.69,25,1539087381361
0,0,0,0,4,129.77,100,1539087483074
37,0,0,0,11,129.65,10,1539087598196
37,0,0,0,8,129.65,50,1539087633038
14,37,41,0,12,129.65,50,1539087633039
14,37,41,0,12,129.7,51,1539087633039
14,41,0,0,11,129.77,100,1539087633040
14,37,41,0,11,129.78,25,1539087649340
37,0,0,0,11,129.78,10,1539087658203
14,37,41,0,11,129.78,15,1539087662658
14,37,41,0,11,129.78,25,1539087662658
14,41,0,0,11,129.8,100,1539087662658
14,41,0,0,11,129.9,100,1539087666204
14,41,0,0,11,129.9,200,1539087667511
14,41,0,0,11,129.9,360,1539087670953
37,0,0,0,11,129.88,50,1539087690789
37,0,0,0,11,129.9,50,1539087690789
14,37,41,0,11,129.9,90,1539087701284
14,37,41,0,11,129.99,10,1539087701284
14,37,41,0,11,129.99,50,1539087702026
14,41,0,0,11,130,450,1539087702026
14,41,0,0,11,130,100,1539087702650
0,0,0,0,11,130,1950,1539087702727
37,0,0,0,4,133,20,1539087936870
37,0,0,0,4,133.8,80,1539087939255
14,37,41,0,12,131.98,50,1539087945549
37,0,0,0,11,132.88,30,1539087962234
0,0,0,0,4,133,100,1539088206265
37,0,0,0,12,131.06,50,1539088565969
37,0,0,0,8,131.06,50,1539088565970
37,0,0,0,11,131.06,50,1539088565970
37,0,0,0,12,131.08,10,1539088565971
37,0,0,0,12,131.08,40,1539088565972
37,0,0,0,8,131.08,50,1539088565972
37,0,0,0,12,131.08,10,1539088565972
37,0,0,0,12,131.08,40,1539088565972
37,0,0,0,4,132,10,1539088568371
37,0,0,0,11,131.16,50,1539088888510
37,0,0,0,11,131.11,50,1539088888510
37,0,0,0,11,131.11,50,1539088888511
14,41,0,0,12,131.1,100,1539088894317
14,41,0,0,11,131.1,394,1539088894318
14,37,41,0,12,131.02,10,1539088901081
14,37,41,0,12,130.89,50,1539088901081
14,37,41,0,12,130.5,40,1539088915898
37,0,0,0,12,129.6,80,1539088984935
37,0,0,0,11,129.21,20,1539088984938
14,41,0,0,11,129.77,100,1539089240962
14,41,0,0,11,129.7,100,1539089240965
14,37,41,0,11,129.7,20,1539089242106
0,0,0,0,4,130,119,1539090069736
37,0,0,0,4,131.1,5,1539090264077
0,0,0,0,4,131.15,500,1539090419267
37,0,0,0,4,131.5,5,1539090614069
14,37,41,0,12,131.15,39,1539090651814
37,0,0,0,4,131.1,1,1539090651817
