c1,c2,c3,c4,e,p,s,t
37,0,0,0,4,16.43,1,1539781148965
25,41,0,0,12,14.96,15669,1539783000328
25,16,0,0,12,14.96,15669,1539783000328
0,0,0,0,4,15.4527,100,1539783003740
0,0,0,0,4,15.4527,400,1539783003741
0,0,0,0,12,15.45,100,1539783003743
37,0,0,0,12,15.45,5,1539783003744
37,0,0,0,4,15.5,50,1539783003931
0,0,0,0,4,15.2858,100,1539783035395
14,37,41,0,12,15.45,20,1539783040283
0,0,0,0,4,15.2459,485,1539783048202
37,0,0,0,19,15.36,36,1539783063453
0,0,0,0,4,15.3,100,1539783063702
0,0,0,0,4,15.29,100,1539783063702
0,0,0,0,4,15.3,100,1539783068446
37,0,0,0,19,15.32,32,1539783084779
0,0,0,0,19,15.32,100,1539783084779
0,0,0,0,4,15.32,100,1539783084782
0,0,0,0,4,15.34,100,1539783097282
0,0,0,0,4,15.33,100,1539783097302
0,0,0,0,4,15.33,300,1539783097314
0,0,0,0,4,15.33,100,1539783097357
0,0,0,0,4,15.33,100,1539783097357
37,0,0,0,4,15.4899,11,1539783101372
51,0,0,0,0,15.47,,1539783120039
0,0,0,0,4,15.47,100,1539783120039
14,37,41,0,18,15.36,48,1539783130043
51,0,0,0,0,15.49,,1539783152292
0,0,0,0,4,15.49,100,1539783152292
14,37,41,0,18,15.36,52,1539783156089
14,37,41,0,19,15.34,23,1539783156089
14,37,41,0,18,15.34,48,1539783156089
10,32,37,41,4,15.3222,53,1539783171029
0,0,0,0,2,15.33,100,1539783171069
0,0,0,0,18,15.33,100,1539783171069
0,0,0,0,12,15.33,100,1539783171071
0,0,0,0,12,15.33,100,1539783171071
37,0,0,0,12,15.33,20,1539783171071
0,0,0,0,12,15.33,100,1539783171071
14,41,0,0,12,15.33,100,1539783171072
14,41,0,0,12,15.33,100,1539783171072
0,0,0,0,19,15.33,100,1539783171072
0,0,0,0,8,15.33,100,1539783171072
14,41,0,0,19,15.33,100,1539783171072
14,41,0,0,19,15.33,100,1539783171072
0,0,0,0,11,15.33,100,1539783171072
25,16,0,0,11,15.33,100,1539783171072
14,41,0,0,11,15.33,100,1539783171072
14,41,0,0,11,15.33,100,1539783171072
10,2,32,41,4,15.3453,108,1539783171098
10,32,37,41,4,15.3453,36,1539783171102
14,41,0,0,11,15.28,100,1539783172032
0,0,0,0,12,15.23,100,1539783176429
0,0,0,0,12,15.23,100,1539783176429
0,0,0,0,4,15.23,100,1539783176980
0,0,0,0,12,15.24,100,1539783177557
37,0,0,0,12,15.21,44,1539783183101
14,37,41,0,19,15.21,32,1539783183101
0,0,0,0,18,15.18,100,1539783183493
14,41,0,0,12,15.18,100,1539783183494
14,41,0,0,2,15.18,100,1539783183494
14,41,0,0,18,15.18,100,1539783183494
14,41,0,0,19,15.18,100,1539783183494
14,41,0,0,8,15.18,100,1539783183494
14,37,41,0,19,15.17,12,1539783183506
0,0,0,0,4,15.15,100,1539783183722
0,0,0,0,4,15.16,100,1539783183722
0,0,0,0,12,15.18,165,1539783183723
0,0,0,0,4,15.24,100,1539783184004
37,0,0,0,4,15.24,35,1539783184004
0,0,0,0,4,15.14,100,1539783184367
37,0,0,0,4,15.24,30,1539783185397
37,0,0,0,4,15.24,70,1539783185398
37,0,0,0,12,15.23,70,1539783188151
0,0,0,0,2,15.2,200,1539783188835
0,0,0,0,18,15.2,200,1539783188835
0,0,0,0,15,15.2,200,1539783188836
0,0,0,0,4,15.25,100,1539783189153
0,0,0,0,12,15.2,200,1539783189153
37,0,0,0,11,15.24,1,1539783189154
37,0,0,0,11,15.25,99,1539783189154
0,0,0,0,4,15.2,200,1539783201134
0,0,0,0,4,15.25,100,1539783201137
0,0,0,0,4,15.2,200,1539783201137
37,0,0,0,12,15.24,30,1539783213167
0,0,0,0,12,15.25,100,1539783213167
37,0,0,0,12,15.25,70,1539783213167
0,0,0,0,3,15.25,100,1539783213167
14,37,41,0,3,15.25,89,1539783213167
0,0,0,0,4,15.25,200,1539783213168
0,0,0,0,4,15.25,100,1539783213168
0,0,0,0,4,15.21,100,1539783213173
14,37,41,0,19,15.16,33,1539783213354
37,0,0,0,12,15.25,30,1539783214751
37,0,0,0,12,15.25,70,1539783214751
0,0,0,0,4,15.228,828,1539783237101
0,0,0,0,4,15.228,172,1539783237101
0,0,0,0,12,15.195,100,1539783238126
14,41,0,0,12,15.23,100,1539783238127
14,37,41,0,12,15.25,30,1539783238127
14,41,0,0,12,15.25,100,1539783238127
14,41,0,0,12,15.25,100,1539783238127
14,37,41,0,12,15.25,70,1539783238127
14,41,0,0,19,15.24,100,1539783238127
0,0,0,0,12,15.25,100,1539783238127
14,37,41,0,12,15.25,30,1539783238127
14,37,41,0,12,15.25,70,1539783238127
14,41,0,0,8,15.25,100,1539783238127
37,0,0,0,12,15.25,30,1539783238127
14,41,0,0,8,15.25,200,1539783238127
0,0,0,0,8,15.25,100,1539783238127
14,41,0,0,12,15.26,100,1539783238127
0,0,0,0,8,15.25,100,1539783238127
14,41,0,0,8,15.25,100,1539783238127
14,41,0,0,8,15.25,200,1539783238127
14,41,0,0,12,15.29,100,1539783238127
14,41,0,0,19,15.29,100,1539783238127
14,41,0,0,12,15.3,100,1539783238128
14,41,0,0,12,15.3,100,1539783238128
14,41,0,0,11,15.3,100,1539783238128
37,0,0,0,4,15.2501,50,1539783244091
37,0,0,0,4,15.32,30,1539783249540
0,0,0,0,4,15.28,100,1539783249542
0,0,0,0,4,15.27,100,1539783249543
0,0,0,0,4,15.26,100,1539783249543
37,0,0,0,12,15.27,70,1539783249543
0,0,0,0,4,15.25,100,1539783249545
0,0,0,0,12,15.25,100,1539783249554
0,0,0,0,12,15.25,100,1539783249554
0,0,0,0,12,15.25,100,1539783249554
0,0,0,0,8,15.25,100,1539783249555
14,41,0,0,12,15.22,100,1539783249555
14,41,0,0,12,15.22,100,1539783249555
14,41,0,0,19,15.23,100,1539783249555
14,41,0,0,19,15.22,100,1539783249555
14,41,0,0,8,15.24,100,1539783249555
14,41,0,0,8,15.25,100,1539783249555
14,41,0,0,11,15.22,100,1539783249555
14,41,0,0,10,15.22,100,1539783249555
0,0,0,0,8,15.22,100,1539783249555
14,41,0,0,8,15.24,100,1539783249556
0,0,0,0,12,15.24,100,1539783249556
37,0,0,0,4,15.28,30,1539783249676
37,0,0,0,12,15.27,70,1539783250069
0,0,0,0,4,15.22,100,1539783255641
0,0,0,0,8,15.22,100,1539783255646
0,0,0,0,4,15.22,100,1539783255761
0,0,0,0,11,15.2,100,1539783262475
0,0,0,0,4,15.16,100,1539783268612
0,0,0,0,4,15.15,400,1539783268637
0,0,0,0,12,15.16,100,1539783280250
0,0,0,0,12,15.16,100,1539783280250
0,0,0,0,19,15.16,100,1539783280250
14,41,0,0,19,15.15,200,1539783280250
0,0,0,0,4,15.1277,200,1539783280363
0,0,0,0,18,15.12,200,1539783282506
0,0,0,0,12,15.07,100,1539783284002
14,41,0,0,2,15.07,100,1539783284002
14,41,0,0,12,15.07,100,1539783284002
14,41,0,0,18,15.07,100,1539783284002
14,41,0,0,19,15.07,100,1539783284002
14,41,0,0,8,15.07,100,1539783284002
14,41,0,0,10,15.07,100,1539783284003
14,41,0,0,11,15.07,100,1539783284003
0,0,0,0,4,15.03,100,1539783284324
0,0,0,0,4,15.09,100,1539783286112
0,0,0,0,4,15.03,100,1539783294463
0,0,0,0,4,15.03,100,1539783294662
0,0,0,0,12,15.03,200,1539783294662
0,0,0,0,11,15.03,100,1539783294663
14,41,0,0,11,15.03,100,1539783294663
0,0,0,0,4,15.03,100,1539783294666
0,0,0,0,4,15.06,100,1539783297165
0,0,0,0,4,15.08,100,1539783309121
0,0,0,0,4,15.05,200,1539783309121
0,0,0,0,4,15.08,100,1539783310036
0,0,0,0,4,15.05,200,1539783310037
0,0,0,0,4,15.08,200,1539783310037
37,0,0,0,4,15.08,30,1539783310039
37,0,0,0,4,15.08,70,1539783310040
