c1,c2,c3,c4,e,p,s,t
25,41,0,0,12,42.73,6362,1539783000667
25,16,0,0,12,42.73,6362,1539783000667
37,0,0,0,4,41,25,1539783004471
14,37,41,0,19,42.72,29,1539783004586
14,37,41,0,8,41.31,38,1539783004694
51,0,0,0,0,41.875,,1539783005284
0,0,0,0,4,41.875,100,1539783005284
51,0,0,0,0,41.22,,1539783005470
14,41,0,0,18,41.22,100,1539783005470
37,0,0,0,2,41.22,25,1539783005470
51,0,0,0,0,41,,1539783005475
0,0,0,0,4,41,285,1539783005475
37,0,0,0,4,41.45,42,1539783005477
37,0,0,0,4,41,42,1539783005479
0,0,0,0,4,41.875,100,1539783007774
10,32,37,41,4,41,1,1539783010628
14,41,0,0,12,41.44,100,1539783015115
14,41,0,0,12,41.44,100,1539783015115
0,0,0,0,11,41.44,100,1539783015116
25,16,0,0,11,41.44,100,1539783015116
0,0,0,0,4,41.49,100,1539783015120
0,0,0,0,8,41.49,100,1539783015120
37,0,0,0,12,41.4,50,1539783018905
37,0,0,0,4,41.1348,35,1539783020056
10,32,37,41,4,41.45,1,1539783021138
0,0,0,0,4,41.665,260,1539783023561
37,0,0,0,15,41.84,1,1539783031690
14,41,0,0,12,41.49,100,1539783048138
14,41,0,0,12,41.85,100,1539783048138
14,41,0,0,12,41.87,100,1539783048138
14,41,0,0,12,41.87,100,1539783048138
14,41,0,0,19,41.87,100,1539783048138
14,41,0,0,8,41.87,100,1539783048138
0,0,0,0,11,41.87,100,1539783048138
14,41,0,0,11,41.87,300,1539783048138
0,0,0,0,11,41.87,100,1539783048138
0,0,0,0,15,41.87,100,1539783048139
0,0,0,0,15,41.87,100,1539783048139
0,0,0,0,11,41.87,100,1539783048139
14,41,0,0,12,41.9,100,1539783048139
0,0,0,0,12,41.92,100,1539783048140
14,41,0,0,11,41.92,100,1539783048140
0,0,0,0,12,42,100,1539783048142
37,0,0,0,12,42,25,1539783048142
0,0,0,0,12,42,100,1539783048143
37,0,0,0,12,42.01,1,1539783048150
0,0,0,0,12,42,100,1539783048150
37,0,0,0,12,42,99,1539783048150
0,0,0,0,12,42,100,1539783048160
0,0,0,0,12,42,100,1539783048160
0,0,0,0,8,42.12,100,1539783048193
0,0,0,0,12,42.26,100,1539783048302
14,41,0,0,12,42.29,100,1539783048670
0,0,0,0,4,42,100,1539783048673
51,0,0,0,0,42.8,,1539783052023
51,0,0,0,0,42.88,,1539783052023
51,0,0,0,0,42.9,,1539783052023
0,0,0,0,4,42.8,100,1539783052023
0,0,0,0,4,42.88,100,1539783052023
0,0,0,0,4,42.9,100,1539783052023
0,0,0,0,4,42.86,100,1539783052024
0,0,0,0,4,42.89,100,1539783052025
0,0,0,0,4,42.89,100,1539783052025
0,0,0,0,4,42.6825,6000,1539783052026
51,0,0,0,0,42.91,,1539783052028
0,0,0,0,4,42.91,100,1539783052028
0,0,0,0,4,42.855,100,1539783052028
0,0,0,0,4,42.895,100,1539783052029
0,0,0,0,11,42.21,100,1539783052031
0,0,0,0,4,42.91,1500,1539783052031
0,0,0,0,4,42.16,100,1539783052033
0,0,0,0,4,42.91,1800,1539783052033
0,0,0,0,12,42.15,100,1539783052038
0,0,0,0,12,42.13,200,1539783052038
0,0,0,0,11,42.19,200,1539783052038
0,0,0,0,4,42.91,100,1539783052040
0,0,0,0,4,42.91,100,1539783052042
0,0,0,0,4,42.91,500,1539783052043
0,0,0,0,12,42.23,300,1539783052046
0,0,0,0,12,42.19,100,1539783052046
0,0,0,0,12,42.18,100,1539783052046
0,0,0,0,12,42.18,100,1539783052046
0,0,0,0,12,42.14,100,1539783052046
0,0,0,0,12,42.14,100,1539783052046
0,0,0,0,12,42.13,100,1539783052046
0,0,0,0,12,42.05,100,1539783052056
0,0,0,0,12,42.03,100,1539783052056
0,0,0,0,12,42,100,1539783052056
0,0,0,0,12,42,100,1539783052056
0,0,0,0,2,42.03,100,1539783052056
14,41,0,0,12,42,100,1539783052056
0,0,0,0,18,42.05,100,1539783052056
0,0,0,0,19,42.07,100,1539783052056
0,0,0,0,7,42.09,100,1539783052056
0,0,0,0,11,42.11,100,1539783052056
0,0,0,0,8,42.02,100,1539783052056
0,0,0,0,11,42.1,100,1539783052056
0,0,0,0,11,42,100,1539783052057
0,0,0,0,4,42.02,100,1539783052058
0,0,0,0,4,42.87,100,1539783052064
0,0,0,0,4,42.36,100,1539783052065
0,0,0,0,4,42.24,100,1539783052065
0,0,0,0,4,42.36,100,1539783052067
0,0,0,0,4,42.705,100,1539783052068
0,0,0,0,4,42.72,400,1539783052069
0,0,0,0,4,42.91,500,1539783052070
0,0,0,0,4,42.72,1100,1539783052070
0,0,0,0,19,42.31,100,1539783052070
0,0,0,0,4,42.72,1500,1539783052072
0,0,0,0,4,42.72,100,1539783052073
0,0,0,0,4,42.705,100,1539783052074
0,0,0,0,4,42.36,100,1539783052074
0,0,0,0,4,42.705,100,1539783052076
0,0,0,0,12,42.09,300,1539783052077
0,0,0,0,12,42,100,1539783052077
0,0,0,0,12,42,200,1539783052077
0,0,0,0,12,42,100,1539783052086
0,0,0,0,12,42,300,1539783052086
0,0,0,0,15,42.36,100,1539783052146
0,0,0,0,4,42.36,100,1539783052146
0,0,0,0,15,42.36,100,1539783052146
0,0,0,0,4,42.835,100,1539783052165
0,0,0,0,4,42.71,100,1539783052177
14,41,0,0,12,42.05,100,1539783052670
14,41,0,0,12,42,100,1539783052670
14,41,0,0,12,42,200,1539783052670
14,41,0,0,12,42,700,1539783052670
0,0,0,0,15,42.595,100,1539783053082
0,0,0,0,4,42.595,100,1539783053084
0,0,0,0,4,42.86,100,1539783056073
0,0,0,0,4,42.86,100,1539783056073
0,0,0,0,4,42.87,100,1539783056166
0,0,0,0,4,42.91,100,1539783056190
0,0,0,0,4,42.825,100,1539783056192
0,0,0,0,12,42.48,100,1539783056200
0,0,0,0,19,42.5,100,1539783056200
0,0,0,0,11,42.44,100,1539783056200
0,0,0,0,11,42.43,100,1539783056200
0,0,0,0,4,42.91,100,1539783056223
0,0,0,0,4,42.835,100,1539783056367
0,0,0,0,4,42.845,100,1539783056378
0,0,0,0,4,42.89,100,1539783056434
0,0,0,0,15,42.595,100,1539783056670
0,0,0,0,4,42.91,100,1539783056671
37,0,0,0,19,42.97,14,1539783056686
37,0,0,0,19,43.08,14,1539783059891
37,0,0,0,19,43.09,16,1539783062958
0,0,0,0,4,42.695,7400,1539783215619
37,0,0,0,11,42.59,14,1539783215624
14,37,41,0,11,42.5,5,1539783215624
37,0,0,0,11,42.5,48,1539783215624
0,0,0,0,12,42.36,100,1539783215628
0,0,0,0,12,42.25,100,1539783215628
0,0,0,0,19,42.25,100,1539783215636
0,0,0,0,12,42.2,400,1539783215644
0,0,0,0,19,42.45,300,1539783215644
0,0,0,0,19,42.25,300,1539783215644
14,41,0,0,19,42.25,400,1539783215675
14,41,0,0,19,42.2,100,1539783215675
0,0,0,0,4,42.225,100,1539783215677
0,0,0,0,8,42.01,100,1539783215684
37,0,0,0,8,42.01,40,1539783215684
14,37,41,0,8,42.54,98,1539783215741
0,0,0,0,7,42.07,100,1539783216191
0,0,0,0,7,42.02,200,1539783216191
0,0,0,0,4,42.13,400,1539783216195
0,0,0,0,8,42.02,100,1539783216198
0,0,0,0,4,42.25,800,1539783216214
0,0,0,0,8,42.02,100,1539783216221
0,0,0,0,8,42.01,200,1539783216221
0,0,0,0,2,42.02,200,1539783216224
0,0,0,0,18,42.02,100,1539783216224
0,0,0,0,4,42.315,100,1539783216343
37,0,0,0,4,42.08,10,1539783216560
14,41,0,0,12,42.02,121,1539783216677
14,41,0,0,19,42.02,200,1539783216677
14,41,0,0,8,42.02,160,1539783216677
37,0,0,0,11,42.02,19,1539783216677
0,0,0,0,15,42.31,100,1539783243402
0,0,0,0,15,42.05,100,1539783274466
0,0,0,0,19,42.25,100,1539783274476
0,0,0,0,4,42.595,100,1539783286489
0,0,0,0,4,42.59,100,1539783286494
0,0,0,0,4,42.575,100,1539783286504
0,0,0,0,4,42.595,100,1539783286504
0,0,0,0,4,42.575,100,1539783286506
0,0,0,0,4,42.59,100,1539783286567
0,0,0,0,4,42.575,100,1539783286567
0,0,0,0,4,42.58,100,1539783286571
0,0,0,0,4,42.61,100,1539783286571
0,0,0,0,19,42.25,100,1539783286575
0,0,0,0,4,42.575,100,1539783286579
0,0,0,0,4,42.575,100,1539783286655
0,0,0,0,19,42.25,100,1539783286662
0,0,0,0,15,42.33,100,1539783286709
0,0,0,0,4,42.47,100,1539783287252
0,0,0,0,4,42.61,100,1539783296480
0,0,0,0,4,42.605,100,1539783300413
37,0,0,0,4,42.33,30,1539783312412
37,0,0,0,4,42.33,70,1539783323322
37,0,0,0,3,42.08,50,1539783323331
37,0,0,0,3,42.08,50,1539783323331
0,0,0,0,4,42.605,100,1539783325247
0,0,0,0,4,42.61,100,1539783325475
37,0,0,0,4,42.33,30,1539783326067
0,0,0,0,4,42.61,770,1539783326069
37,0,0,0,3,42.08,50,1539783326076
37,0,0,0,3,42.08,50,1539783326076
0,0,0,0,4,42.61,1500,1539783326316
0,0,0,0,2,42.18,100,1539783326324
0,0,0,0,2,42.12,100,1539783326324
0,0,0,0,3,42.05,100,1539783326325
0,0,0,0,4,42.575,100,1539783326453
0,0,0,0,4,42.605,100,1539783326480
0,0,0,0,2,42.12,100,1539783326487
0,0,0,0,4,42.61,100,1539783326506
0,0,0,0,4,42.575,100,1539783326587
14,41,0,0,12,42.12,100,1539783326677
14,41,0,0,8,42.05,400,1539783326678
0,0,0,0,4,42.25,100,1539783326679
0,0,0,0,2,42.05,100,1539783326685
37,0,0,0,2,42.05,15,1539783326685
0,0,0,0,4,42.575,100,1539783326874
0,0,0,0,4,42.47,200,1539783326939
0,0,0,0,4,42.61,1800,1539783326944
0,0,0,0,15,42.12,100,1539783326946
0,0,0,0,4,42.61,1800,1539783326951
0,0,0,0,12,42.13,100,1539783326954
0,0,0,0,12,42.09,100,1539783326954
