c1,c2,c3,c4,e,p,s,t
25,16,0,0,12,75.35,9705,1539955800861
0,0,0,0,4,77.08,100,1539955809199
37,0,0,0,19,78.47,3,1539955812984
14,37,41,0,12,77.85,68,1539955813168
14,37,41,0,12,77.85,11,1539955832186
37,0,0,0,19,78.61,1,1539955832604
37,0,0,0,4,78.62,8,1539955898202
14,37,41,0,12,77.86,57,1539955919725
37,0,0,0,19,77.97,1,1539955920102
37,0,0,0,2,75.8,5,1539955931625
37,0,0,0,12,76.22,6,1539955931625
37,0,0,0,19,75.73,6,1539955931625
37,0,0,0,18,75.8,5,1539955931625
37,0,0,0,8,75.73,5,1539955931625
37,0,0,0,11,75.73,6,1539955931625
25,16,0,0,11,75.73,6,1539955931625
37,0,0,0,12,76.22,9,1539955931628
37,0,0,0,18,75.8,9,1539955931628
37,0,0,0,12,76.22,5,1539955931629
37,0,0,0,12,76.22,1,1539955931629
37,0,0,0,12,76.22,5,1539955931629
14,37,41,0,12,76.22,7,1539955931629
14,37,41,0,12,75.48,2,1539955931629
14,37,41,0,12,75.48,4,1539955931629
14,37,41,0,12,75.48,4,1539955931629
14,37,41,0,12,75.48,2,1539955931629
14,37,41,0,12,75.48,6,1539955931629
14,37,41,0,12,75.48,9,1539955946954
14,37,41,0,12,75.48,5,1539955946954
37,0,0,0,12,75.48,68,1539955946954
0,0,0,0,12,75.48,100,1539955946954
14,37,41,0,12,75.43,50,1539955946954
0,0,0,0,12,75.48,100,1539955946954
14,37,41,0,12,75.43,50,1539955946955
14,37,41,0,12,75.43,50,1539955946955
0,0,0,0,11,75.48,100,1539955946955
14,41,0,0,11,75.48,100,1539955946955
14,37,41,0,12,75.43,40,1539955946955
0,0,0,0,4,75.485,100,1539955946957
0,0,0,0,4,75.48,100,1539955946958
0,0,0,0,12,76,100,1539955946959
14,37,41,0,12,75.43,9,1539955946961
37,0,0,0,12,75.43,1,1539955946961
0,0,0,0,8,75.35,1150,1539955946962
0,0,0,0,8,75.35,200,1539955946962
14,41,0,0,8,75.35,109,1539955946962
0,0,0,0,4,76.46,100,1539955946963
0,0,0,0,4,75.63,100,1539955946989
14,41,0,0,12,75.5,100,1539955947006
0,0,0,0,4,75.51,100,1539955947187
37,0,0,0,4,76.8656,3,1539955981467
0,0,0,0,4,75.935,100,1539956046895
0,0,0,0,4,76.25,100,1539956048899
0,0,0,0,4,76.25,100,1539956053898
0,0,0,0,4,76.25,100,1539956056798
14,37,41,0,12,76,10,1539956058410
37,0,0,0,12,75.96,5,1539956065842
37,0,0,0,12,76,95,1539956065842
14,41,0,0,12,75.96,100,1539956065842
14,41,0,0,12,75.5,100,1539956069105
0,0,0,0,12,75.5,100,1539956069105
14,41,0,0,12,75.5,100,1539956069105
0,0,0,0,12,75.5,100,1539956069106
0,0,0,0,12,75.5,700,1539956069106
14,41,0,0,12,75.5,100,1539956069106
14,41,0,0,12,75.5,100,1539956069106
