c1,c2,c3,c4,e,p,s,t
25,0,0,0,10,5.39,161,1538573400460
0,0,0,0,18,5.34,100,1538573549409
0,0,0,0,2,5.34,100,1538573549410
51,0,0,0,0,5.235,,1538573618767
0,0,0,0,4,5.235,100,1538573618767
0,0,0,0,11,5.34,300,1538573619203
25,16,0,0,11,5.34,300,1538573619204
0,0,0,0,18,5.32,100,1538573619204
0,0,0,0,18,5.34,100,1538573619204
0,0,0,0,10,5.34,100,1538573619204
0,0,0,0,10,5.34,100,1538573619204
0,0,0,0,8,5.35,100,1538573625230
0,0,0,0,8,5.35,300,1538573625230
37,0,0,0,11,5.39,59,1538573639243
0,0,0,0,18,5.39,100,1538573639243
0,0,0,0,2,5.39,100,1538573639243
51,0,0,0,0,5.43,,1538573694254
0,0,0,0,18,5.43,100,1538573694254
0,0,0,0,4,5.43,100,1538573926794
14,37,41,0,18,5.32,30,1538574059437
14,41,0,0,18,5.38,100,1538574256221
14,41,0,0,18,5.38,100,1538574555638
14,41,0,0,18,5.38,100,1538574610649
14,41,0,0,18,5.38,100,1538574610649
14,37,41,0,7,5.38,70,1538574610655
0,0,0,0,10,5.37,226,1538574784623
37,0,0,0,10,5.37,16,1538574784623
0,0,0,0,18,5.37,100,1538574784623
14,37,41,0,18,5.39,60,1538574784647
14,37,41,0,8,5.38,10,1538574784647
0,0,0,0,4,5.35,500,1538574784935
14,41,0,0,10,5.36,100,1538574785847
14,41,0,0,18,5.36,100,1538574785847
14,41,0,0,2,5.35,100,1538574785847
37,0,0,0,4,5.39,10,1538574857137
0,0,0,0,4,5.43,100,1538574886058
14,41,0,0,2,5.43,100,1538575261519
37,0,0,0,4,5.3815,1,1538575292474
14,41,0,0,18,5.43,100,1538575637004
0,0,0,0,10,5.4,100,1538575852294
14,41,0,0,8,5.4,100,1538575852295
0,0,0,0,8,5.4,100,1538575852296
37,0,0,0,4,5.4,20,1538575853083
14,41,0,0,12,5.38,100,1538575854897
25,16,0,0,12,5.38,100,1538575854897
14,41,0,0,12,5.38,100,1538575854898
0,0,0,0,4,5.385,100,1538575855073
14,41,0,0,2,5.41,100,1538576838749
14,41,0,0,18,5.41,100,1538577394438
37,0,0,0,4,5.41,20,1538577990814
0,0,0,0,4,5.39,100,1538578304645
14,37,41,0,18,5.41,90,1538578822205
14,37,41,0,2,5.41,10,1538578822206
14,37,41,0,10,5.39,81,1538578830326
37,0,0,0,4,5.41,19,1538578892427
0,0,0,0,18,5.39,100,1538579040323
0,0,0,0,18,5.39,100,1538579040323
0,0,0,0,4,5.4008,100,1538579040325
0,0,0,0,4,5.4008,100,1538579040327
0,0,0,0,11,5.39,100,1538579040328
0,0,0,0,4,5.4008,100,1538579040331
37,0,0,0,12,5.39,10,1538579390662
37,0,0,0,2,5.38,90,1538579390710
0,0,0,0,10,5.38,276,1538579391047
14,41,0,0,11,5.38,100,1538579391047
37,0,0,0,10,5.38,41,1538579391048
37,0,0,0,10,5.38,36,1538579391048
37,0,0,0,10,5.38,23,1538579391048
37,0,0,0,19,5.38,4,1538579391048
14,37,41,0,19,5.38,96,1538579391048
0,0,0,0,4,5.38,724,1538579391050
37,0,0,0,4,5.38,10,1538579391051
14,41,0,0,10,5.36,100,1538579391593
14,37,41,0,19,5.34,70,1538579393701
14,37,41,0,18,5.34,30,1538579393701
14,41,0,0,2,5.34,100,1538579400339
14,41,0,0,18,5.33,100,1538579401269
14,41,0,0,18,5.33,100,1538579404271
14,37,41,0,10,5.33,82,1538579406185
14,41,0,0,18,5.36,100,1538579569227
