c1,c2,c3,c4,e,p,s,t
25,41,0,0,12,81.01,5065,1539955800804
25,16,0,0,12,81.01,5065,1539955800804
14,37,41,0,10,81.7,5,1539955832223
37,0,0,0,4,80.34,5,1539955832228
37,0,0,0,12,80.73,31,1539955865691
37,0,0,0,12,80.54,46,1539955865691
37,0,0,0,12,80.44,23,1539955865691
14,37,41,0,12,80.44,77,1539955865691
14,37,41,0,12,80.44,23,1539955865691
37,0,0,0,4,80.23,5,1539955865698
10,32,37,41,4,80.5323,12,1539955865910
51,0,0,0,0,80.65,,1539955883364
0,0,0,0,12,80.65,100,1539955883364
14,41,0,0,12,80.65,100,1539955883364
0,0,0,0,12,80.65,100,1539955883365
0,0,0,0,4,80.7275,100,1539955883365
0,0,0,0,12,80.65,100,1539955883366
0,0,0,0,12,80.65,100,1539955883366
0,0,0,0,4,80.7275,100,1539955883367
0,0,0,0,4,80.745,100,1539955883367
37,0,0,0,12,80.66,33,1539955884533
14,41,0,0,12,80.84,100,1539955889068
14,41,0,0,12,80.84,100,1539955889068
14,41,0,0,12,80.89,100,1539955889069
14,41,0,0,12,80.92,100,1539955889069
14,37,41,0,12,80.84,62,1539955889069
14,41,0,0,11,80.75,100,1539955889069
25,16,0,0,11,80.75,100,1539955889069
37,0,0,0,12,80.84,38,1539955889069
37,0,0,0,12,80.84,62,1539955889069
37,0,0,0,12,80.84,38,1539955889069
37,0,0,0,12,80.84,67,1539955889069
14,41,0,0,11,80.92,100,1539955889069
14,41,0,0,18,80.93,100,1539955889069
0,0,0,0,7,80.89,100,1539955889069
37,0,0,0,12,80.89,46,1539955889858
37,0,0,0,12,80.81,54,1539955889858
14,37,41,0,12,80.81,46,1539955889858
14,37,41,0,11,80.81,16,1539955889858
14,41,0,0,12,80.86,100,1539955889858
0,0,0,0,4,80.945,100,1539955889858
37,0,0,0,11,80.81,84,1539955889858
0,0,0,0,4,80.83,100,1539955889858
0,0,0,0,4,80.84,100,1539955889859
14,41,0,0,12,80.81,100,1539955889859
0,0,0,0,4,80.83,100,1539955889859
0,0,0,0,4,80.84,100,1539955889860
0,0,0,0,4,80.81,100,1539955889860
14,41,0,0,12,80.81,100,1539955889860
