c1,c2,c3,c4,e,p,s,t
0,0,0,0,8,56.89,200,1537873438562
0,0,0,0,8,56.89,100,1537873560374
37,0,0,0,8,55.25,51,1537874426871
14,41,0,0,11,52.8,100,1537874800407
14,41,0,0,11,52.8,100,1537874977798
0,0,0,0,4,52.8,200,1537876804799
14,37,41,0,8,55.39,29,1537882079415
14,41,0,0,11,55.4,100,1537882095013
14,41,0,0,11,55.4,700,1537882095013
14,41,0,0,11,55.4,100,1537882095052
14,41,0,0,11,55.4,500,1537882095052
14,41,0,0,11,55.4,100,1537882095053
14,41,0,0,11,55.4,1418,1537882095053
0,0,0,0,11,55.4,100,1537882095054
0,0,0,0,11,55.4,100,1537882095054
0,0,0,0,11,55.4,100,1537882095054
0,0,0,0,11,55.4,300,1537882095054
0,0,0,0,11,55.4,100,1537882095054
0,0,0,0,11,55.4,100,1537882095054
0,0,0,0,11,55.4,100,1537882095054
0,0,0,0,11,55.4,100,1537882095054
0,0,0,0,11,55.4,100,1537882095054
37,0,0,0,11,55.4,34,1537882095054
37,0,0,0,11,55.4,66,1537882095055
37,0,0,0,11,55.4,34,1537882095055
0,0,0,0,11,55.4,100,1537882095055
37,0,0,0,11,55.4,34,1537882095056
37,0,0,0,11,55.4,66,1537882095056
37,0,0,0,11,55.4,34,1537882095056
37,0,0,0,11,55.4,34,1537882095057
37,0,0,0,11,55.4,66,1537882095057
37,0,0,0,11,55.4,34,1537882095057
37,0,0,0,11,55.4,66,1537882095057
37,0,0,0,11,55.4,34,1537882095058
37,0,0,0,11,55.4,25,1537882095059
14,37,41,0,11,55.4,41,1537882100214
14,37,41,0,11,55.4,34,1537882100214
14,37,41,0,11,55.4,25,1537882100214
14,41,0,0,11,55.4,100,1537882100214
14,41,0,0,11,55.4,100,1537882100215
14,41,0,0,11,55.4,192,1537882100215
14,41,0,0,11,55.4,100,1537882117855
14,41,0,0,11,55.4,400,1537882117855
0,0,0,0,11,55.4,100,1537882128854
0,0,0,0,11,55.4,100,1537882128854
0,0,0,0,11,55.4,100,1537882140096
0,0,0,0,11,55.4,100,1537882140096
0,0,0,0,11,55.4,100,1537882184004
0,0,0,0,11,55.4,100,1537882184229
0,0,0,0,11,55.4,100,1537882184404
0,0,0,0,11,55.4,100,1537882188069
14,41,0,0,11,55.4,100,1537882189849
0,0,0,0,11,55.4,100,1537882191132
0,0,0,0,11,55.4,100,1537882191300
0,0,0,0,11,55.4,100,1537882191460
0,0,0,0,11,55.4,100,1537882191592
14,41,0,0,11,55.4,100,1537882192664
0,0,0,0,12,54.59,100,1537882195158
0,0,0,0,11,55.4,100,1537882195158
0,0,0,0,11,55.4,367,1537882195158
0,0,0,0,11,55.4,100,1537882195159
0,0,0,0,11,55.4,100,1537882195159
37,0,0,0,11,55.4,5,1537882195159
14,37,41,0,11,55.4,54,1537882195163
37,0,0,0,11,55.4,41,1537882199364
37,0,0,0,11,55.4,5,1537882199364
37,0,0,0,11,55.4,54,1537882199364
0,0,0,0,12,55.44,100,1537882199793
0,0,0,0,12,55.44,100,1537882199793
0,0,0,0,12,54.87,100,1537882199793
0,0,0,0,12,54.77,1000,1537882199793
0,0,0,0,12,54.79,100,1537882199793
0,0,0,0,12,54.79,100,1537882199794
0,0,0,0,12,54.79,100,1537882199794
0,0,0,0,11,55.41,100,1537882199794
0,0,0,0,11,55.4,100,1537882199794
0,0,0,0,12,54.81,100,1537882199794
0,0,0,0,12,54.81,120,1537882199857
37,0,0,0,12,54.81,80,1537882199857
0,0,0,0,11,55.4,100,1537882199857
51,0,0,0,0,54.87,,1537882200520
51,0,0,0,0,55,,1537882200520
51,0,0,0,0,55.4,,1537882200520
25,41,0,0,12,54.87,16415,1537882200520
25,16,0,0,12,54.87,16415,1537882200520
14,41,0,0,12,55,100,1537882200520
14,41,0,0,11,55.4,100,1537882200520
25,16,0,0,11,55.4,100,1537882200520
0,0,0,0,11,55.4,100,1537882200520
14,41,0,0,11,55.4,100,1537882200520
14,41,0,0,12,55,100,1537882200520
14,37,41,0,12,55,24,1537882200520
14,41,0,0,11,55.4,100,1537882200520
37,0,0,0,12,55.49,11,1537882200658
14,37,41,0,12,55.4,24,1537882200720
14,37,41,0,11,55.01,24,1537882200721
37,0,0,0,12,55.4,76,1537882200725
0,0,0,0,12,55.4,100,1537882200725
0,0,0,0,12,55.4,124,1537882200725
0,0,0,0,12,55.4,100,1537882200727
0,0,0,0,12,55.4,100,1537882200730
0,0,0,0,12,55.4,100,1537882200730
0,0,0,0,12,55.4,100,1537882200730
0,0,0,0,12,55.4,100,1537882200730
0,0,0,0,12,55.4,100,1537882201034
0,0,0,0,7,55.4,100,1537882201035
0,0,0,0,12,55.4,100,1537882201036
37,0,0,0,12,55.4,89,1537882201036
0,0,0,0,12,55.4,100,1537882201036
0,0,0,0,12,55.22,100,1537882201042
14,41,0,0,12,55.3,100,1537882201045
37,0,0,0,4,55.074,85,1537882201051
14,37,41,0,12,55.3,15,1537882201053
37,0,0,0,4,55.15,15,1537882201065
51,0,0,0,0,55.41,,1537882201066
0,0,0,0,12,55.41,100,1537882201066
0,0,0,0,12,55.4,100,1537882201066
