c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,9.91,5,1539648242947
0,0,0,0,11,9.8,486,1539680118166
14,41,0,0,11,9.8,514,1539682995878
0,0,0,0,11,9.87,300,1539687303229
0,0,0,0,11,9.87,900,1539687303229
0,0,0,0,11,9.88,800,1539687307452
0,0,0,0,11,9.95,1200,1539687313145
0,0,0,0,11,9.96,100,1539687820514
37,0,0,0,8,9.96,99,1539687824337
37,0,0,0,11,9.96,12,1539687826111
0,0,0,0,11,10,588,1539687826111
14,41,0,0,11,10,401,1539687831397
0,0,0,0,11,10,211,1539687945431
14,41,0,0,12,10,1000,1539687945432
0,0,0,0,11,10,100,1539687945453
0,0,0,0,11,10,2500,1539687945453
0,0,0,0,11,10,100,1539687945716
0,0,0,0,11,10,100,1539689823704
14,41,0,0,11,10,100,1539690402874
14,41,0,0,11,10,3900,1539690402875
14,41,0,0,11,10,100,1539690402875
14,41,0,0,11,10,900,1539690402875
14,41,0,0,12,10,1000,1539691073028
14,41,0,0,12,10,1000,1539691073028
14,41,0,0,12,10,3000,1539691073028
14,41,0,0,12,10,1000,1539691081397
14,41,0,0,12,10,1000,1539691081397
14,41,0,0,12,10,3000,1539691081397
14,41,0,0,12,9.97,600,1539691093336
14,41,0,0,12,9.97,600,1539691118328
14,41,0,0,11,10,100,1539691888318
14,41,0,0,11,10,3800,1539691888318
14,41,0,0,11,10,100,1539691888319
14,41,0,0,11,10,1000,1539691888319
14,41,0,0,11,9.86,100,1539692816495
14,41,0,0,8,9.86,100,1539692816495
0,0,0,0,4,9.8,260,1539692872546
0,0,0,0,11,9.86,100,1539693198279
0,0,0,0,8,9.86,100,1539693198279
0,0,0,0,19,9.86,100,1539693198279
0,0,0,0,11,9.86,100,1539693238161
0,0,0,0,19,9.86,100,1539693238161
14,41,0,0,11,9.87,100,1539693238165
14,41,0,0,19,9.87,100,1539693238165
14,41,0,0,8,9.87,100,1539693238165
0,0,0,0,4,9.9,2000,1539694293221
14,41,0,0,11,9.87,1500,1539694352253
14,41,0,0,11,9.86,250,1539694352254
14,41,0,0,8,9.86,564,1539694352255
14,41,0,0,12,9.85,1000,1539694715313
14,41,0,0,12,9.85,1569,1539694715314
14,37,41,0,12,9.85,52,1539694716397
37,0,0,0,12,9.85,1,1539694740413
37,0,0,0,12,9.85,1,1539694741926
37,0,0,0,12,9.85,5,1539694742405
37,0,0,0,12,9.85,1,1539694742618
37,0,0,0,12,9.85,5,1539694743496
37,0,0,0,12,9.85,1,1539694744051
37,0,0,0,12,9.85,30,1539694750010
37,0,0,0,12,9.85,10,1539694751204
37,0,0,0,12,9.85,1,1539694756587
37,0,0,0,12,9.85,1,1539694756688
14,41,0,0,12,9.85,150,1539694865744
14,41,0,0,12,9.85,742,1539694923319
14,41,0,0,12,9.85,1817,1539694923319
37,0,0,0,12,9.85,1,1539694946027
37,0,0,0,12,9.85,15,1539694946163
37,0,0,0,12,9.85,10,1539694947298
37,0,0,0,4,9.8001,61,1539694947656
0,0,0,0,12,9.85,100,1539694954679
37,0,0,0,12,9.85,5,1539694998401
37,0,0,0,12,9.85,17,1539694999001
37,0,0,0,12,9.85,20,1539695066001
37,0,0,0,12,9.85,15,1539695173981
37,0,0,0,12,9.85,15,1539695198681
37,0,0,0,12,9.85,1,1539695344581
0,0,0,0,4,9.81,5000,1539695359515
37,0,0,0,4,9.81,13,1539695388100
14,41,0,0,12,9.85,801,1539695413278
14,41,0,0,12,9.85,2199,1539695413278
37,0,0,0,12,9.85,50,1539695454181
37,0,0,0,12,9.85,1,1539695459269
0,0,0,0,12,9.85,949,1539695472027
0,0,0,0,12,9.85,2651,1539695472027
37,0,0,0,12,9.85,3,1539695518879
37,0,0,0,12,9.85,1,1539695526196
14,41,0,0,12,9.85,500,1539695572450
14,41,0,0,12,9.85,400,1539695573866
14,37,41,0,12,9.85,96,1539695573867
14,37,41,0,12,9.85,4,1539695573867
14,37,41,0,12,9.85,60,1539695640040
0,0,0,0,12,9.85,500,1539695676696
0,0,0,0,12,9.85,436,1539695678000
37,0,0,0,12,9.85,64,1539695678000
37,0,0,0,12,9.85,50,1539695713979
0,0,0,0,4,9.83,2000,1539695759435
14,41,0,0,8,9.84,100,1539695804186
37,0,0,0,12,9.84,1,1539695935198
37,0,0,0,4,9.83,41,1539696004388
14,41,0,0,12,9.84,400,1539696022967
14,41,0,0,12,9.84,699,1539696232853
14,41,0,0,12,9.86,601,1539696232853
14,41,0,0,12,9.86,700,1539696253824
14,37,41,0,12,9.86,58,1539696323844
14,41,0,0,12,9.89,442,1539696323844
14,41,0,0,12,9.89,300,1539696323845
14,41,0,0,12,9.86,600,1539696326110
14,41,0,0,12,9.86,200,1539696326112
14,41,0,0,12,9.86,100,1539696341263
0,0,0,0,12,9.88,200,1539696341264
14,41,0,0,12,9.88,100,1539696341265
0,0,0,0,12,9.89,458,1539696345019
0,0,0,0,12,9.9,200,1539696345019
0,0,0,0,12,9.91,1300,1539696405018
37,0,0,0,12,9.91,59,1539696440020
0,0,0,0,12,9.94,441,1539696440020
37,0,0,0,12,9.91,7,1539696447081
14,41,0,0,12,9.91,100,1539696480022
0,0,0,0,12,9.91,100,1539696480026
14,41,0,0,12,9.91,393,1539696480112
14,41,0,0,12,9.91,232,1539696485090
14,37,41,0,12,9.91,68,1539696490095
14,37,41,0,12,9.91,17,1539696490096
14,41,0,0,12,9.91,183,1539696500104
14,41,0,0,8,9.91,100,1539696500109
14,41,0,0,12,9.88,500,1539696548870
14,41,0,0,12,9.88,500,1539696549646
14,41,0,0,11,9.89,400,1539696583256
14,41,0,0,11,9.88,600,1539696583256
14,41,0,0,11,9.88,100,1539696583256
14,41,0,0,12,9.88,1600,1539696583256
14,41,0,0,11,9.89,300,1539696583257
51,0,0,0,0,9.95,1,1539696678300
25,0,0,0,10,9.95,92822,1539696678300
51,0,0,0,0,9.94,,1539696678301
0,0,0,0,18,9.95,100,1539696678301
0,0,0,0,12,9.94,759,1539696678301
0,0,0,0,12,9.95,241,1539696678301
25,16,0,0,12,9.94,759,1539696678301
51,0,0,0,0,9.93,,1539696678304
0,0,0,0,4,9.93,300,1539696678304
0,0,0,0,11,9.95,100,1539696678308
25,16,0,0,11,9.95,100,1539696678308
0,0,0,0,12,9.95,100,1539696678308
0,0,0,0,12,9.95,900,1539696678308
0,0,0,0,12,9.95,113,1539696678308
14,41,0,0,12,9.95,887,1539696678309
14,41,0,0,12,9.95,44985,1539696678309
51,0,0,0,0,9.96,,1539696678310
14,41,0,0,12,9.95,1000,1539696678310
14,41,0,0,12,9.95,16210,1539696678310
0,0,0,0,10,9.95,100,1539696678310
14,41,0,0,11,9.96,100,1539696678310
14,41,0,0,10,9.96,100,1539696678310
14,41,0,0,10,9.94,100,1539696678310
0,0,0,0,10,9.94,100,1539696678310
0,0,0,0,10,9.94,100,1539696678310
0,0,0,0,11,9.96,100,1539696678310
14,41,0,0,8,9.96,100,1539696678310
14,41,0,0,19,9.96,100,1539696678310
14,41,0,0,12,9.96,800,1539696678311
37,0,0,0,12,9.96,7,1539696678311
37,0,0,0,4,9.94,7,1539696678311
0,0,0,0,11,9.96,200,1539696678317
0,0,0,0,8,9.95,100,1539696678321
0,0,0,0,8,9.95,100,1539696678321
14,41,0,0,8,9.95,100,1539696678321
0,0,0,0,12,9.95,200,1539696678321
0,0,0,0,8,9.95,100,1539696678322
37,0,0,0,8,9.95,10,1539696678322
37,0,0,0,8,9.95,90,1539696678322
37,0,0,0,8,9.95,10,1539696678322
0,0,0,0,12,9.96,100,1539696678322
0,0,0,0,8,9.95,100,1539696678323
0,0,0,0,8,9.95,100,1539696678323
0,0,0,0,15,9.95,200,1539696678323
0,0,0,0,4,9.96,100,1539696678323
37,0,0,0,4,9.96,77,1539696678324
37,0,0,0,4,9.96,10,1539696678324
0,0,0,0,8,9.95,100,1539696678329
0,0,0,0,11,9.95,200,1539696678329
0,0,0,0,11,9.95,200,1539696678329
0,0,0,0,4,9.95,100,1539696678329
0,0,0,0,8,9.95,100,1539696678329
0,0,0,0,8,9.95,100,1539696678329
0,0,0,0,12,9.96,100,1539696678329
0,0,0,0,19,9.95,200,1539696678330
0,0,0,0,4,9.96,100,1539696678330
51,0,0,0,0,9.9637,,1539696678331
0,0,0,0,4,9.9637,555,1539696678331
14,41,0,0,12,9.955,100,1539696678333
14,41,0,0,12,9.955,100,1539696678333
0,0,0,0,11,9.95,100,1539696678338
0,0,0,0,8,9.95,100,1539696678338
0,0,0,0,11,9.95,100,1539696678338
0,0,0,0,4,9.95,200,1539696678343
0,0,0,0,11,9.95,100,1539696678349
0,0,0,0,12,9.95,100,1539696678349
0,0,0,0,8,9.95,100,1539696678356
0,0,0,0,8,9.95,100,1539696678356
0,0,0,0,19,9.95,200,1539696678356
14,41,0,0,8,9.95,100,1539696678369
14,41,0,0,8,9.95,1210,1539696678369
14,41,0,0,8,9.95,4390,1539696678369
0,0,0,0,19,9.95,200,1539696678369
0,0,0,0,8,9.95,100,1539696678401
0,0,0,0,8,9.95,100,1539696678426
0,0,0,0,11,9.95,100,1539696678427
0,0,0,0,8,9.95,100,1539696678434
0,0,0,0,11,9.95,100,1539696678434
0,0,0,0,8,9.95,100,1539696678442
0,0,0,0,11,9.95,100,1539696678442
37,0,0,0,11,9.96,2,1539696678444
14,41,0,0,12,9.96,100,1539696678444
0,0,0,0,8,9.95,100,1539696678450
0,0,0,0,11,9.95,100,1539696678450
0,0,0,0,8,9.95,100,1539696678457
0,0,0,0,11,9.95,100,1539696678458
0,0,0,0,8,9.95,100,1539696678466
0,0,0,0,11,9.95,100,1539696678466
0,0,0,0,2,9.96,200,1539696678468
0,0,0,0,18,9.96,100,1539696678468
0,0,0,0,8,9.95,100,1539696678473
0,0,0,0,2,9.96,200,1539696678473
0,0,0,0,11,9.95,100,1539696678473
0,0,0,0,18,9.96,100,1539696678473
0,0,0,0,2,9.96,200,1539696678476
0,0,0,0,2,9.96,200,1539696678478
0,0,0,0,8,9.95,100,1539696678479
0,0,0,0,11,9.95,100,1539696678479
0,0,0,0,8,9.95,100,1539696678488
0,0,0,0,11,9.95,100,1539696678488
0,0,0,0,8,9.95,100,1539696678495
0,0,0,0,11,9.95,100,1539696678495
0,0,0,0,8,9.95,100,1539696678501
0,0,0,0,8,9.95,400,1539696678501
0,0,0,0,8,9.95,100,1539696678501
0,0,0,0,4,9.95,1300,1539696678502
0,0,0,0,4,9.95,1200,1539696678504
0,0,0,0,8,9.95,100,1539696678507
0,0,0,0,4,9.95,1300,1539696678510
0,0,0,0,8,9.95,100,1539696678512
0,0,0,0,18,9.96,100,1539696678512
0,0,0,0,8,9.95,100,1539696678516
0,0,0,0,4,9.95,100,1539696678517
0,0,0,0,8,9.95,100,1539696678522
0,0,0,0,8,9.95,100,1539696678526
0,0,0,0,4,9.95,100,1539696678528
0,0,0,0,8,9.95,100,1539696678533
0,0,0,0,4,9.95,199,1539696678534
0,0,0,0,8,9.95,100,1539696678537
0,0,0,0,4,9.95,100,1539696678539
0,0,0,0,15,9.95,300,1539696678539
0,0,0,0,8,9.95,100,1539696678541
0,0,0,0,8,9.95,100,1539696678545
0,0,0,0,8,9.95,100,1539696678549
0,0,0,0,8,9.95,100,1539696678553
0,0,0,0,8,9.95,100,1539696678557
0,0,0,0,8,9.95,100,1539696678561
0,0,0,0,8,9.95,100,1539696678565
0,0,0,0,8,9.95,100,1539696678569
0,0,0,0,8,9.95,100,1539696678573
0,0,0,0,4,9.95,1300,1539696678575
0,0,0,0,8,9.95,100,1539696678578
14,41,0,0,10,9.95,100,1539696678887
14,41,0,0,8,9.95,100,1539696678887
14,41,0,0,8,9.95,200,1539696678887
14,41,0,0,10,9.95,100,1539696678887
0,0,0,0,10,9.95,100,1539696678887
0,0,0,0,19,9.95,100,1539696678887
14,41,0,0,19,9.95,100,1539696678887
14,41,0,0,12,9.95,100,1539696678887
0,0,0,0,12,9.95,100,1539696678887
14,41,0,0,8,9.95,100,1539696678887
0,0,0,0,4,9.95,100,1539696678888
0,0,0,0,4,9.95,100,1539696678888
0,0,0,0,4,9.95,100,1539696678889
0,0,0,0,8,9.95,100,1539696678890
0,0,0,0,4,9.95,500,1539696678896
0,0,0,0,4,9.95,100,1539696678913
14,41,0,0,8,9.95,100,1539696679068
14,41,0,0,8,9.95,900,1539696679068
14,41,0,0,10,9.95,100,1539696679068
14,41,0,0,19,9.95,100,1539696679068
14,41,0,0,12,9.95,100,1539696679068
0,0,0,0,4,9.9475,600,1539696679070
0,0,0,0,8,9.95,100,1539696679071
0,0,0,0,4,9.95,100,1539696679079
0,0,0,0,8,9.95,100,1539696679115
0,0,0,0,8,9.95,100,1539696679115
0,0,0,0,4,9.9475,600,1539696679117
0,0,0,0,4,9.95,100,1539696679122
0,0,0,0,19,9.95,200,1539696679183
14,41,0,0,8,9.95,100,1539696679188
14,41,0,0,8,9.95,300,1539696679188
0,0,0,0,19,9.95,200,1539696679188
0,0,0,0,15,9.95,450,1539696679189
0,0,0,0,15,9.94,1000,1539696679193
0,0,0,0,4,9.945,700,1539696679193
0,0,0,0,4,9.94,800,1539696679193
0,0,0,0,4,9.94,1000,1539696679194
0,0,0,0,4,9.94,800,1539696679194
0,0,0,0,4,9.94,500,1539696679194
0,0,0,0,4,9.945,100,1539696679194
0,0,0,0,4,9.95,500,1539696679195
0,0,0,0,4,9.94,400,1539696679196
0,0,0,0,15,9.94,1400,1539696679196
0,0,0,0,15,9.94,2790,1539696679196
0,0,0,0,4,9.95,500,1539696679196
0,0,0,0,19,9.93,200,1539696679199
0,0,0,0,4,9.95,450,1539696679200
0,0,0,0,4,9.945,800,1539696679303
51,0,0,0,0,9.92,,1539696679445
14,41,0,0,19,9.92,200,1539696679445
14,41,0,0,10,9.92,1200,1539696679445
14,41,0,0,8,9.92,1000,1539696679445
14,41,0,0,19,9.92,900,1539696679445
0,0,0,0,10,9.92,300,1539696679448
0,0,0,0,19,9.92,200,1539696679448
0,0,0,0,19,9.92,100,1539696679448
0,0,0,0,4,9.92,200,1539696679454
0,0,0,0,4,9.94,700,1539696679489
14,41,0,0,10,9.92,900,1539696679637
14,41,0,0,19,9.92,300,1539696679637
14,41,0,0,19,9.92,200,1539696679637
14,41,0,0,19,9.92,300,1539696679637
51,0,0,0,0,9.91,,1539696679789
