c1,c2,c3,c4,e,p,s,t
0,0,0,0,11,22.8,1000,1539947486771
14,41,0,0,11,23.7,200,1539949395802
14,41,0,0,12,23.7,100,1539949432511
14,41,0,0,12,23.7,400,1539949432511
14,41,0,0,12,23.7,100,1539949460149
14,41,0,0,12,23.7,400,1539949460149
14,41,0,0,12,23.7,100,1539950274051
37,0,0,0,12,23.7,20,1539950276184
0,0,0,0,4,23.7,200,1539950411140
14,37,41,0,12,23.7,80,1539950762969
14,41,0,0,12,23.7,100,1539950762969
14,41,0,0,12,23.7,820,1539950762969
14,41,0,0,11,23.72,100,1539951201657
14,41,0,0,11,23.72,200,1539951201657
14,41,0,0,8,23.72,100,1539951201657
14,41,0,0,8,23.72,200,1539951201657
14,41,0,0,19,23.72,100,1539951201657
14,41,0,0,19,23.72,300,1539951201657
14,41,0,0,12,23.72,100,1539951201657
14,41,0,0,12,23.72,400,1539951201657
14,41,0,0,12,23.7,100,1539951201658
14,41,0,0,12,23.7,200,1539951201658
14,41,0,0,12,23.7,100,1539951201658
14,41,0,0,12,23.7,200,1539951201658
14,41,0,0,12,23.7,100,1539951201658
14,41,0,0,12,23.7,100,1539951201658
14,41,0,0,11,23.7,100,1539951201660
14,41,0,0,11,23.7,100,1539951201661
14,41,0,0,12,23.7,100,1539951201841
0,0,0,0,4,23.7,500,1539951211707
0,0,0,0,4,23.7,500,1539951222899
0,0,0,0,4,23.7,500,1539951227367
0,0,0,0,12,23.7,100,1539951231344
0,0,0,0,12,23.7,100,1539951231344
0,0,0,0,12,23.7,100,1539951231344
0,0,0,0,12,23.7,100,1539951231345
0,0,0,0,12,23.7,100,1539951231345
0,0,0,0,4,23.7,500,1539951235930
0,0,0,0,4,23.7,500,1539951320385
0,0,0,0,4,23.7,500,1539951324291
0,0,0,0,4,23.7,500,1539951334147
0,0,0,0,4,23.7,500,1539951338540
0,0,0,0,4,23.7,500,1539951344916
0,0,0,0,4,23.7,500,1539951347765
0,0,0,0,4,23.7,500,1539951350797
14,41,0,0,12,23.7,100,1539951364319
14,41,0,0,12,23.7,400,1539951364319
0,0,0,0,4,23.7,500,1539951366584
0,0,0,0,4,23.7,500,1539951388022
0,0,0,0,4,23.7,500,1539951392000
0,0,0,0,4,23.7,500,1539951395825
14,41,0,0,11,23.7,900,1539951403948
14,41,0,0,12,23.7,100,1539951403951
14,41,0,0,12,23.7,100,1539951412415
14,41,0,0,12,23.7,1400,1539951412415
14,41,0,0,12,23.85,100,1539951429864
14,41,0,0,12,23.85,100,1539951429865
14,41,0,0,12,23.71,100,1539951567742
14,41,0,0,12,23.71,900,1539951567742
14,41,0,0,11,23.71,400,1539951650136
14,41,0,0,12,23.71,100,1539951650153
14,41,0,0,12,23.71,100,1539951667874
14,41,0,0,12,23.71,100,1539951667874
14,41,0,0,12,23.7,100,1539951667874
14,41,0,0,12,23.7,700,1539951667874
14,41,0,0,12,23.7,100,1539951713519
14,41,0,0,12,23.7,1900,1539951713519
14,41,0,0,12,23.71,100,1539951733336
14,41,0,0,12,23.71,600,1539951733336
0,0,0,0,4,23.71,300,1539951733341
0,0,0,0,12,23.71,100,1539952266952
14,41,0,0,12,23.71,100,1539953083095
14,41,0,0,12,23.71,100,1539953084096
14,41,0,0,12,23.71,300,1539953084096
14,41,0,0,11,23.71,300,1539953088999
14,41,0,0,11,23.71,400,1539953088999
0,0,0,0,11,23.71,300,1539953089002
14,41,0,0,11,23.01,100,1539953168817
14,41,0,0,11,23.01,400,1539953168817
14,37,41,0,8,23.08,1,1539954344409
14,37,41,0,12,23.3,1,1539954363580
14,37,41,0,8,23.12,1,1539954363580
14,37,41,0,12,23.3,70,1539954364105
14,37,41,0,8,23.3,2,1539954401011
14,37,41,0,12,23.37,2,1539954401011
14,37,41,0,12,23.37,1,1539954428183
14,41,0,0,12,23.37,426,1539954434906
14,37,41,0,11,23.2,70,1539954445524
14,37,41,0,12,23.1,4,1539954445525
14,37,41,0,12,23.14,4,1539955598820
37,0,0,0,12,23.14,36,1539955680034
0,0,0,0,11,23.07,210,1539955728192
0,0,0,0,11,23.06,100,1539955728192
37,0,0,0,11,23.06,90,1539955728192
0,0,0,0,11,23.06,100,1539955730035
37,0,0,0,11,23.06,20,1539955740017
0,0,0,0,11,23,100,1539955740078
51,0,0,0,0,22.94,2,1539955811088
25,0,0,0,10,22.94,142500,1539955811088
51,0,0,0,0,22.85,,1539955811089
0,0,0,0,11,22.85,150,1539955811089
25,16,0,0,11,22.85,150,1539955811089
51,0,0,0,0,22.79,,1539955811093
0,0,0,0,4,22.79,135,1539955811093
0,0,0,0,7,22.94,100,1539955811094
51,0,0,0,0,22.96,,1539955811098
51,0,0,0,0,22.99,,1539955811098
14,41,0,0,12,22.96,100,1539955811098
14,41,0,0,12,22.99,100,1539955811098
25,16,0,0,12,22.96,100,1539955811098
0,0,0,0,4,22.98,100,1539955811102
20,41,0,0,4,22.94,200,1539955811123
20,41,0,0,4,22.94,100,1539955811187
37,0,0,0,4,22.7901,1,1539955811432
37,0,0,0,10,22.9,14,1539955811433
14,41,0,0,11,22.94,100,1539955811433
37,0,0,0,10,22.83,30,1539955811433
14,41,0,0,8,22.94,100,1539955811433
14,41,0,0,12,22.94,100,1539955811433
0,0,0,0,4,22.98,100,1539955812339
51,0,0,0,0,23,,1539955812773
14,41,0,0,12,23,100,1539955812773
14,41,0,0,12,23,300,1539955812773
0,0,0,0,15,22.93,100,1539955812774
0,0,0,0,4,23,100,1539955812774
14,41,0,0,12,23,200,1539955812781
0,0,0,0,11,22.94,200,1539955812785
14,41,0,0,10,22.8,200,1539955814896
10,41,0,0,4,22.94,432,1539955815806
37,0,0,0,2,22.98,59,1539955818381
14,37,41,0,2,22.98,1,1539955841142
0,0,0,0,11,22.81,100,1539955854070
37,0,0,0,8,22.85,44,1539955854070
0,0,0,0,10,22.82,100,1539955854070
0,0,0,0,10,22.81,200,1539955854070
0,0,0,0,10,22.81,100,1539955854070
14,41,0,0,18,22.82,100,1539955854070
14,41,0,0,8,22.82,100,1539955854070
37,0,0,0,12,22.85,44,1539955854070
14,41,0,0,19,22.82,100,1539955854070
14,41,0,0,7,22.82,100,1539955854070
0,0,0,0,12,22.825,100,1539955854131
0,0,0,0,10,22.8,341,1539955856369
0,0,0,0,12,22.8,100,1539955856370
0,0,0,0,19,22.79,100,1539955856370
51,0,0,0,0,22.76,,1539955856371
14,41,0,0,12,22.76,100,1539955856371
51,0,0,0,0,22.75,,1539955856372
0,0,0,0,11,22.75,450,1539955856372
37,0,0,0,11,22.75,50,1539955856372
51,0,0,0,0,22.72,,1539955856373
51,0,0,0,0,22.66,,1539955856373
14,41,0,0,19,22.72,100,1539955856373
14,41,0,0,19,22.66,100,1539955856373
14,41,0,0,12,22.66,242,1539955856373
0,0,0,0,12,22.66,156,1539955856374
37,0,0,0,8,22.63,50,1539955856374
0,0,0,0,12,22.66,208,1539955856374
0,0,0,0,4,22.7584,100,1539955858783
0,0,0,0,4,22.76,100,1539955859468
0,0,0,0,4,22.76,100,1539955859470
0,0,0,0,4,22.76,900,1539955859483
51,0,0,0,0,22.62,,1539955859569
0,0,0,0,7,22.62,100,1539955859569
0,0,0,0,4,22.76,100,1539955859579
51,0,0,0,0,22.61,,1539955859631
0,0,0,0,4,22.61,500,1539955859631
0,0,0,0,4,22.7225,100,1539955860130
14,37,41,0,18,22.63,28,1539955861696
0,0,0,0,4,22.76,200,1539955861933
0,0,0,0,4,22.76,7500,1539955862939
37,0,0,0,4,22.69,7,1539955863869
37,0,0,0,4,22.711,84,1539955866298
0,0,0,0,10,22.76,100,1539955875847
0,0,0,0,10,22.76,100,1539955878302
14,41,0,0,19,22.76,100,1539955878302
14,41,0,0,10,22.77,100,1539955878303
0,0,0,0,19,22.77,100,1539955878303
0,0,0,0,8,22.77,100,1539955878303
0,0,0,0,18,22.77,100,1539955878303
0,0,0,0,19,22.77,100,1539955878303
0,0,0,0,7,22.77,100,1539955878303
0,0,0,0,8,22.77,100,1539955878303
14,41,0,0,19,22.76,100,1539955878303
14,41,0,0,10,22.77,110,1539955878303
0,0,0,0,17,22.77,100,1539955878303
0,0,0,0,17,22.77,100,1539955878303
14,41,0,0,2,22.77,100,1539955878303
14,41,0,0,12,22.77,100,1539955878303
0,0,0,0,12,22.77,100,1539955878303
14,41,0,0,1,22.77,100,1539955878303
14,41,0,0,7,22.77,100,1539955878303
0,0,0,0,4,22.77,300,1539955878304
0,0,0,0,4,22.77,300,1539955878304
0,0,0,0,4,22.77,100,1539955878305
0,0,0,0,4,22.77,300,1539955878306
0,0,0,0,4,22.77,100,1539955878306
0,0,0,0,4,22.77,300,1539955878307
0,0,0,0,4,22.79,100,1539955878309
0,0,0,0,4,22.79,200,1539955878310
0,0,0,0,4,22.77,300,1539955878314
0,0,0,0,4,22.77,100,1539955878316
0,0,0,0,4,22.77,200,1539955878320
0,0,0,0,4,22.77,300,1539955878415
0,0,0,0,4,22.77,300,1539955878522
0,0,0,0,4,22.79,300,1539955879322
0,0,0,0,4,22.79,100,1539955879323
0,0,0,0,4,22.79,100,1539955879324
0,0,0,0,18,22.81,100,1539955887290
0,0,0,0,2,22.81,100,1539955887290
0,0,0,0,7,22.81,100,1539955887291
0,0,0,0,4,22.81,100,1539955887295
14,41,0,0,1,22.81,100,1539955888774
0,0,0,0,2,22.82,100,1539955893541
