c1,c2,c3,c4,e,p,s,t
37,0,0,0,11,41.9,10,1538654194700
14,37,41,0,12,41.7,90,1538655177268
14,41,0,0,8,41.68,100,1538655177268
14,37,41,0,8,41.7,90,1538655177268
14,41,0,0,8,41.74,100,1538655177268
14,37,41,0,8,41.89,40,1538655177268
14,37,41,0,11,41.7,80,1538655177268
14,37,41,0,8,41.89,80,1538655177269
14,37,41,0,12,41.9,20,1538655195030
14,41,0,0,12,42,100,1538655224675
14,41,0,0,11,41.9,100,1538655364437
14,41,0,0,8,41.89,100,1538655364438
0,0,0,0,11,41.55,100,1538656107132
14,37,41,0,12,41.7,10,1538656127428
14,41,0,0,11,41.6,100,1538656141761
14,37,41,0,12,40.52,10,1538656535925
14,37,41,0,12,40.52,20,1538656535926
14,37,41,0,12,40.5,40,1538656535926
14,37,41,0,12,40.5,30,1538656678085
14,41,0,0,12,41,300,1538657260473
14,37,41,0,12,41.5,3,1538658047204
14,37,41,0,8,41.5,3,1538658255888
14,37,41,0,12,41,2,1538658637251
51,0,0,0,0,39.7,,1538659800332
25,41,0,0,12,39.7,3519,1538659800332
25,16,0,0,12,39.7,3519,1538659800332
37,0,0,0,12,39.7,45,1538659800672
37,0,0,0,12,39.4,55,1538659800672
37,0,0,0,12,39.4,45,1538659800678
37,0,0,0,12,39.1,55,1538659800678
37,0,0,0,12,39.1,60,1538659800692
37,0,0,0,12,39.05,40,1538659800692
14,37,41,0,12,39.15,3,1538659801121
14,37,41,0,11,40.02,3,1538659801122
25,16,0,0,11,40.02,3,1538659801122
37,0,0,0,4,40,20,1538659801232
51,0,0,0,0,39.0525,,1538659803119
0,0,0,0,4,39.0525,100,1538659803119
0,0,0,0,4,39.0525,100,1538659803125
37,0,0,0,4,39.65,5,1538659804913
37,0,0,0,4,39.05,5,1538659806119
51,0,0,0,0,41,,1538659840694
14,37,41,0,12,41,1,1538659840694
0,0,0,0,12,41,100,1538659840694
0,0,0,0,12,40.96,100,1538659840695
0,0,0,0,12,40.96,100,1538659847835
0,0,0,0,11,40.96,100,1538659847929
37,0,0,0,12,41.09,61,1538659847931
14,37,41,0,11,40,3,1538659857609
37,0,0,0,4,40.99,15,1538659876701
0,0,0,0,4,39.4071,499,1538659882123
0,0,0,0,4,40.015,100,1538659885083
0,0,0,0,4,40.085,100,1538659885129
37,0,0,0,11,40.01,10,1538659888610
0,0,0,0,12,40.16,100,1538659890536
0,0,0,0,4,40.03,100,1538659890645
37,0,0,0,4,41.2864,50,1538659899772
14,37,41,0,12,40.15,25,1538659929538
0,0,0,0,4,40,300,1538659942994
0,0,0,0,4,40,300,1538659962217
37,0,0,0,11,40.04,10,1538659988512
14,37,41,0,12,40.15,6,1538660025794
37,0,0,0,4,40.0001,2,1538660110730
37,0,0,0,11,40.11,3,1538660119200
0,0,0,0,4,40.2,100,1538660124337
37,0,0,0,11,40.11,10,1538660133838
0,0,0,0,4,40,100,1538660133844
37,0,0,0,11,40.02,11,1538660144772
14,37,41,0,2,40.76,25,1538660156489
37,0,0,0,4,40.79,25,1538660156491
37,0,0,0,4,40.7995,25,1538660156493
0,0,0,0,4,40.01,100,1538660160886
37,0,0,0,4,40.1,7,1538660162818
0,0,0,0,12,40.32,300,1538660163956
14,41,0,0,12,40.32,100,1538660163956
14,37,41,0,11,40.5,25,1538660164103
0,0,0,0,12,40.5,200,1538660166003
0,0,0,0,19,40.33,100,1538660166003
0,0,0,0,19,40.33,100,1538660166003
14,37,41,0,12,40.41,30,1538660166004
14,37,41,0,12,40.33,70,1538660166004
0,0,0,0,11,40.33,100,1538660166004
14,41,0,0,18,40.33,100,1538660166004
14,37,41,0,19,40.41,10,1538660166004
14,37,41,0,8,40.41,10,1538660166004
14,41,0,0,10,40.33,100,1538660166004
37,0,0,0,12,40.46,50,1538660166637
37,0,0,0,12,40.5,30,1538660166637
37,0,0,0,12,40.5,10,1538660166637
37,0,0,0,12,40.5,1,1538660166637
14,37,41,0,12,40.5,5,1538660166637
14,37,41,0,12,40.5,4,1538660166637
0,0,0,0,12,40.5,300,1538660169003
0,0,0,0,12,40.7,100,1538660172003
14,41,0,0,11,40.5,100,1538660172004
0,0,0,0,4,40.62,100,1538660172118
37,0,0,0,11,40.5,25,1538660174108
37,0,0,0,12,40.37,25,1538660176004
37,0,0,0,12,40.39,75,1538660176004
14,37,41,0,12,40.36,25,1538660178604
14,37,41,0,12,40.36,5,1538660179555
37,0,0,0,4,40.4,5,1538660179557
14,37,41,0,11,40.4,20,1538660179617
14,37,41,0,12,40.17,25,1538660186004
14,41,0,0,2,40.11,100,1538660186004
14,37,41,0,12,40.14,30,1538660186004
14,37,41,0,12,40.11,70,1538660186004
0,0,0,0,11,40.11,100,1538660186004
14,37,41,0,12,40.17,25,1538660186004
14,37,41,0,19,40.14,10,1538660186004
14,41,0,0,18,40.11,100,1538660186004
14,37,41,0,19,40.11,90,1538660186004
14,37,41,0,8,40.14,10,1538660186004
37,0,0,0,12,40.11,30,1538660186004
0,0,0,0,12,40.11,100,1538660186004
14,37,41,0,8,40.11,90,1538660186004
0,0,0,0,12,40.11,130,1538660186004
0,0,0,0,2,40.11,100,1538660186004
0,0,0,0,17,40.11,100,1538660186004
14,37,41,0,12,40.11,44,1538660186005
14,37,41,0,12,40.11,50,1538660186005
0,0,0,0,18,40.11,100,1538660186005
14,37,41,0,12,40.11,6,1538660186005
14,37,41,0,12,40.12,25,1538660186005
0,0,0,0,12,40.11,100,1538660186005
14,37,41,0,12,40.11,70,1538660186005
14,41,0,0,11,40.11,100,1538660186005
0,0,0,0,11,40.11,100,1538660186005
0,0,0,0,11,40.11,100,1538660186005
37,0,0,0,11,40.11,30,1538660186005
0,0,0,0,4,40.11,100,1538660186006
0,0,0,0,12,40.1,100,1538660187330
14,41,0,0,11,40.1,100,1538660187331
14,37,41,0,12,40.01,10,1538660187331
14,37,41,0,11,40.05,61,1538660187331
14,37,41,0,11,40.05,39,1538660187332
14,41,0,0,12,39.93,270,1538660189003
14,37,41,0,11,40,19,1538660189003
14,37,41,0,12,39.93,30,1538660189003
37,0,0,0,12,39.66,10,1538660193008
37,0,0,0,12,39.67,90,1538660193008
14,41,0,0,12,39.67,109,1538660193008
0,0,0,0,12,39.62,100,1538660193863
14,41,0,0,12,39.62,158,1538660193863
37,0,0,0,12,39.62,42,1538660193863
0,0,0,0,4,39.77,100,1538660196140
0,0,0,0,4,39.77,100,1538660197847
0,0,0,0,12,39.63,100,1538660198509
0,0,0,0,12,39.63,100,1538660198509
37,0,0,0,12,39.7,30,1538660198509
0,0,0,0,12,39.77,100,1538660198668
14,41,0,0,12,39.77,200,1538660198669
14,37,41,0,3,39.77,32,1538660198669
0,0,0,0,4,39.79,100,1538660199174
0,0,0,0,4,39.7805,100,1538660199175
0,0,0,0,12,39.79,100,1538660202416
37,0,0,0,12,39.79,30,1538660202416
37,0,0,0,4,39.875,30,1538660208488
37,0,0,0,4,39.97,30,1538660208491
14,37,41,0,12,39.95,70,1538660209156
14,41,0,0,12,39.97,200,1538660209157
14,37,41,0,12,39.97,38,1538660209157
37,0,0,0,12,39.97,62,1538660209157
