c1,c2,c3,c4,e,p,s,t
14,37,41,0,12,522.29,2,1539937562868
14,37,41,0,11,532.45,50,1539946447954
37,0,0,0,11,532.49,4,1539946552500
14,37,41,0,8,532.1,1,1539946852395
37,0,0,0,11,535,50,1539948542557
14,41,0,0,11,535,150,1539948748029
37,0,0,0,8,533.05,3,1539949398980
14,37,41,0,12,535,60,1539949600556
14,37,41,0,12,535,50,1539949738380
14,41,0,0,12,535,200,1539949754832
14,37,41,0,12,535,24,1539949755119
37,0,0,0,11,535,16,1539949756046
37,0,0,0,8,535,7,1539949780556
14,37,41,0,11,535.13,5,1539950193346
0,0,0,0,4,536.9899,100,1539950401329
37,0,0,0,4,535,10,1539950402104
37,0,0,0,4,534.7,20,1539950403111
14,37,41,0,12,535.15,2,1539950403338
37,0,0,0,4,532.1,5,1539950411107
37,0,0,0,4,535,10,1539950411110
0,0,0,0,4,536.9899,100,1539950411120
37,0,0,0,4,537.13,10,1539950411141
37,0,0,0,4,537.13,2,1539950411145
14,37,41,0,10,536,44,1539950452820
37,0,0,0,10,536,25,1539950475363
14,37,41,0,12,536.01,50,1539950481007
37,0,0,0,4,536.99,4,1539950506934
10,32,37,0,4,536,10,1539950516058
37,0,0,0,4,536.99,30,1539950588005
37,0,0,0,4,536.99,10,1539950655615
14,37,41,0,8,536.5,24,1539950728922
37,0,0,0,11,536.99,65,1539950753517
37,0,0,0,4,535,50,1539950789948
10,32,37,0,4,536.99,5,1539950790046
37,0,0,0,4,537.25,8,1539951261693
37,0,0,0,11,537.35,3,1539951291161
37,0,0,0,11,537.99,29,1539951422345
37,0,0,0,11,537.99,21,1539951422345
37,0,0,0,11,538,80,1539951422345
0,0,0,0,11,538.5,146,1539951422345
14,37,41,0,12,538.5,40,1539951422350
14,37,41,0,12,538.5,43,1539951422350
14,37,41,0,8,538.25,40,1539951422350
37,0,0,0,11,539,25,1539951437910
37,0,0,0,11,539.11,25,1539951437910
37,0,0,0,11,539.11,50,1539951437910
37,0,0,0,8,539,50,1539951441362
14,37,41,0,12,539,43,1539951443061
14,37,41,0,12,538.5,41,1539951464078
14,37,41,0,11,538.5,2,1539951464078
14,37,41,0,11,538.5,41,1539951464144
14,37,41,0,12,539.1,41,1539951464210
37,0,0,0,11,538.5,57,1539951482546
37,0,0,0,4,538.9999,47,1539951494795
14,37,41,0,12,538,57,1539951802815
14,41,0,0,12,538,100,1539951804715
37,0,0,0,12,538,4,1539951938736
14,37,41,0,12,538,39,1539951976973
37,0,0,0,8,538,4,1539952042803
37,0,0,0,8,538,4,1539952042803
37,0,0,0,8,538,7,1539952042803
14,37,41,0,8,538,7,1539952124140
14,37,41,0,11,538.5,5,1539952124140
14,37,41,0,11,538.92,79,1539952124140
14,37,41,0,11,538.92,21,1539952124140
14,37,41,0,10,539,12,1539952124140
14,37,41,0,10,539,72,1539952124140
14,37,41,0,10,539,21,1539952124140
14,37,41,0,10,539,7,1539952124141
14,37,41,0,10,539,7,1539952129560
37,0,0,0,11,539.01,24,1539952131971
37,0,0,0,11,539.11,50,1539952151356
0,0,0,0,11,539.3,100,1539952151356
37,0,0,0,11,539.49,50,1539952151360
0,0,0,0,11,539.96,681,1539952151360
14,37,41,0,12,539.1,9,1539952155929
37,0,0,0,11,539.89,4,1539952164986
37,0,0,0,11,539.89,11,1539952164986
14,37,41,0,11,539.84,9,1539952201047
14,41,0,0,8,539.75,100,1539952271948
37,0,0,0,4,539.85,2,1539952273128
14,37,41,0,11,539.64,1,1539952321051
37,0,0,0,11,539.64,19,1539952325997
37,0,0,0,11,539.69,81,1539952325997
0,0,0,0,11,539.47,100,1539952328161
14,37,41,0,11,539.47,50,1539952328162
14,37,41,0,11,539.64,20,1539952351252
14,37,41,0,11,539.69,4,1539952351252
14,37,41,0,11,539.85,76,1539952351252
14,37,41,0,11,539.85,22,1539952351419
14,37,41,0,8,539.96,4,1539952351420
14,37,41,0,11,539.96,74,1539952351420
14,37,41,0,8,540,20,1539952351421
14,37,41,0,8,540,30,1539952351421
14,37,41,0,8,540,30,1539952351421
14,41,0,0,11,539.96,245,1539952351421
14,37,41,0,11,540,2,1539952351421
0,0,0,0,4,542.9494,1000,1539952359352
37,0,0,0,11,540.31,50,1539952367807
14,37,41,0,12,541.93,18,1539952381060
14,37,41,0,12,541,20,1539952474677
14,37,41,0,12,541,20,1539952478537
37,0,0,0,4,542,20,1539952526947
37,0,0,0,8,541,49,1539952591889
37,0,0,0,8,541,1,1539952591890
37,0,0,0,2,542.88,10,1539952632801
37,0,0,0,8,541.15,10,1539952676146
37,0,0,0,8,541,25,1539952676146
37,0,0,0,11,541.69,5,1539952863002
37,0,0,0,11,540.99,19,1539953024572
37,0,0,0,11,541.5,25,1539953024572
14,37,41,0,11,541.5,10,1539953024572
14,37,41,0,8,541,10,1539953024572
14,37,41,0,11,541.5,16,1539953027897
37,0,0,0,2,540.42,5,1539953145517
37,0,0,0,11,540.37,20,1539953183032
37,0,0,0,11,540.22,26,1539953183034
0,0,0,0,8,540.21,204,1539953183038
14,37,41,0,8,540.21,5,1539953183039
37,0,0,0,8,540.21,41,1539953193247
37,0,0,0,8,540.21,21,1539953198559
14,37,41,0,11,541.44,3,1539953221134
0,0,0,0,4,540,1300,1539953274297
14,37,41,0,8,540,13,1539953281191
37,0,0,0,4,539.3,10,1539953288784
14,37,41,0,8,539.41,20,1539953294881
14,37,41,0,8,539.37,50,1539953294881
14,41,0,0,8,539.25,100,1539953294881
37,0,0,0,12,539.4,30,1539953294885
14,37,41,0,11,539.2,20,1539953294886
14,37,41,0,11,539.15,30,1539953294886
14,37,41,0,11,539.22,50,1539953296510
14,41,0,0,11,539.1,180,1539953296510
14,37,41,0,11,539.22,35,1539953307015
14,37,41,0,11,539.22,10,1539953308273
37,0,0,0,4,541.5,5,1539953327301
14,37,41,0,12,539.89,2,1539953341143
14,37,41,0,12,539.89,2,1539953341143
14,37,41,0,12,539.91,1,1539953341147
14,37,41,0,12,539.91,1,1539953365782
37,0,0,0,8,539.21,5,1539953384046
37,0,0,0,11,539.16,20,1539953391233
14,41,0,0,11,539.1,730,1539953391233
14,37,41,0,8,539.21,65,1539953391233
14,41,0,0,8,539.11,185,1539953391233
14,37,41,0,8,539.11,65,1539953391233
14,37,41,0,11,539.1,30,1539953391234
37,0,0,0,11,539.1,60,1539953396588
37,0,0,0,11,538.5,40,1539953396588
14,37,41,0,8,539,2,1539953396589
14,37,41,0,11,539.04,12,1539953401138
37,0,0,0,11,538.5,20,1539953401463
37,0,0,0,11,538.5,21,1539953401463
14,37,41,0,11,538.5,19,1539953401463
14,37,41,0,11,539.75,81,1539953456380
14,37,41,0,11,539.75,19,1539953456380
14,37,41,0,8,539.6,1,1539953461145
37,0,0,0,11,538,5,1539953564966
37,0,0,0,11,537.25,5,1539953564970
14,37,41,0,8,538,5,1539953906444
37,0,0,0,8,538,10,1539953909256
37,0,0,0,8,538,85,1539953910756
14,37,41,0,11,538.79,1,1539953941176
37,0,0,0,12,537.36,1,1539953941840
14,37,41,0,12,537.97,10,1539953949102
37,0,0,0,8,538,1,1539954047907
37,0,0,0,8,538,1,1539954047907
37,0,0,0,8,537.94,10,1539954084150
37,0,0,0,4,537,10,1539954144772
37,0,0,0,4,537.25,20,1539954144772
0,0,0,0,4,537,171,1539954153585
37,0,0,0,8,538.14,1,1539954174421
14,37,41,0,12,537.89,2,1539954181225
37,0,0,0,11,537.1,50,1539954237115
37,0,0,0,2,537.1,50,1539954237115
37,0,0,0,12,537.01,20,1539954237116
37,0,0,0,12,537.05,20,1539954237118
37,0,0,0,12,537,80,1539954237118
14,37,41,0,12,537,20,1539954237118
14,37,41,0,8,536.5,80,1539954237118
14,37,41,0,8,537,3,1539954241248
37,0,0,0,8,536.95,1,1539954433347
37,0,0,0,8,536.56,20,1539954468733
37,0,0,0,8,536.5,77,1539954468733
0,0,0,0,8,536.5,100,1539954468733
14,41,0,0,8,536.5,199,1539954468734
14,37,41,0,8,536.5,44,1539954468734
14,37,41,0,11,536,50,1539954469486
14,37,41,0,10,536,22,1539954469488
14,41,0,0,10,536,100,1539954471485
0,0,0,0,10,536,100,1539954474425
14,37,41,0,8,536.94,7,1539954481297
14,41,0,0,10,536,100,1539954481362
37,0,0,0,8,536.94,13,1539954506694
37,0,0,0,8,537,77,1539954506694
37,0,0,0,8,537,7,1539954506694
37,0,0,0,8,537,3,1539954506694
14,37,41,0,8,537,2,1539954541311
14,37,41,0,8,537,4,1539954645748
14,37,41,0,11,537,4,1539954645749
14,41,0,0,12,537.06,100,1539954652550
14,37,41,0,8,537.94,1,1539954661272
37,0,0,0,4,537,13,1539954702195
37,0,0,0,12,537.84,20,1539954776402
37,0,0,0,12,537.9,2,1539954776402
14,37,41,0,12,538,2,1539954776402
14,37,41,0,12,538,18,1539954776403
14,37,41,0,8,537.84,20,1539954776403
14,37,41,0,12,538,2,1539954776403
14,37,41,0,8,537.9,2,1539954776403
14,37,41,0,12,538,56,1539954786311
37,0,0,0,8,538.04,1,1539954803858
14,37,41,0,12,538.04,20,1539954921243
14,37,41,0,12,538.2,36,1539954921243
37,0,0,0,12,538.2,10,1539954921243
37,0,0,0,12,538.2,4,1539954921243
14,37,41,0,12,538.76,4,1539954921243
14,37,41,0,12,539.69,2,1539954921243
37,0,0,0,11,538.04,20,1539954921243
14,37,41,0,12,539.95,5,1539954921243
37,0,0,0,11,539.59,2,1539954921243
37,0,0,0,11,540,25,1539954921243
14,37,41,0,11,540,63,1539954921243
14,37,41,0,8,538.04,3,1539954921243
14,37,41,0,7,539.69,2,1539954921243
14,37,41,0,19,538.04,2,1539954921243
37,0,0,0,8,538.04,5,1539954921243
37,0,0,0,19,538.04,5,1539954921243
37,0,0,0,8,538.04,11,1539954921243
37,0,0,0,19,538.04,13,1539954921243
14,37,41,0,19,539.59,2,1539954921243
14,37,41,0,8,539,1,1539954921243
14,37,41,0,8,539.69,2,1539954921243
14,37,41,0,8,540,7,1539954921243
14,37,41,0,8,540,1,1539954921243
14,37,41,0,8,540,5,1539954921243
14,37,41,0,11,540,20,1539954921243
14,37,41,0,11,539.87,2,1539954961307
37,0,0,0,8,539.15,15,1539955221030
37,0,0,0,11,538.02,1,1539955232849
37,0,0,0,11,538.96,19,1539955234311
37,0,0,0,4,539,31,1539955234311
37,0,0,0,11,538.01,5,1539955246134
37,0,0,0,11,539,2,1539955444244
37,0,0,0,2,537.12,6,1539955525158
37,0,0,0,11,538.75,5,1539955553149
37,0,0,0,11,539,46,1539955553149
14,37,41,0,12,538,24,1539955680180
14,37,41,0,8,539,50,1539955680180
