c1,c2,c3,c4,e,p,s,t
37,0,0,0,4,112.835,75,1539691208294
37,0,0,0,4,112.25,25,1539691208308
0,0,0,0,12,112.65,400,1539694163548
0,0,0,0,12,112.65,600,1539694163548
0,0,0,0,11,112.74,200,1539694190510
0,0,0,0,11,112.74,200,1539694190513
14,41,0,0,11,112.74,100,1539694191668
0,0,0,0,11,112.74,100,1539694192029
0,0,0,0,11,112.74,100,1539694192645
37,0,0,0,11,112.65,5,1539695691452
37,0,0,0,4,113.25,50,1539695751755
14,37,41,0,11,113.2,5,1539695759554
14,41,0,0,12,113.5,100,1539695759556
14,37,41,0,12,113.5,25,1539695759556
14,41,0,0,12,113.5,820,1539695759556
37,0,0,0,4,113.4658,1,1539695778002
0,0,0,0,12,113.48,100,1539696404443
51,0,0,0,0,113,,1539696600535
25,41,0,0,12,113,10442,1539696600535
25,16,0,0,12,113,10442,1539696600535
14,37,41,0,12,113.1,3,1539696600543
14,37,41,0,12,113.49,12,1539696600748
37,0,0,0,12,113.49,88,1539696600759
37,0,0,0,12,113.5,9,1539696600759
37,0,0,0,12,113.5,6,1539696600980
37,0,0,0,2,113.47,50,1539696602008
37,0,0,0,8,113.47,1,1539696602016
51,0,0,0,0,113.47,,1539696602236
0,0,0,0,4,113.47,100,1539696602236
0,0,0,0,12,113.47,100,1539696603724
14,37,41,0,2,113.47,50,1539696603724
14,37,41,0,2,113.47,50,1539696603724
37,0,0,0,2,113.47,50,1539696603724
0,0,0,0,8,113.47,100,1539696603724
14,41,0,0,8,113.47,100,1539696603724
0,0,0,0,8,113.47,967,1539696603724
14,41,0,0,8,113.47,100,1539696603724
0,0,0,0,12,113.47,100,1539696603724
51,0,0,0,0,113.5,,1539696603725
37,0,0,0,10,113.47,1,1539696603725
0,0,0,0,8,113.47,732,1539696603725
14,37,41,0,12,113.5,85,1539696603725
14,37,41,0,12,113.5,15,1539696603725
37,0,0,0,12,113.5,85,1539696603725
0,0,0,0,12,113.5,100,1539696603725
14,37,41,0,12,113.5,79,1539696603725
14,41,0,0,11,113.46,100,1539696603745
25,16,0,0,11,113.46,100,1539696603745
51,0,0,0,0,113.59,,1539696603808
51,0,0,0,0,113.63,,1539696603808
51,0,0,0,0,113.65,,1539696603808
0,0,0,0,12,113.59,100,1539696603808
37,0,0,0,12,113.59,73,1539696603808
0,0,0,0,8,113.63,100,1539696603808
0,0,0,0,11,113.65,100,1539696603808
51,0,0,0,0,113.71,,1539696604548
14,41,0,0,12,113.71,100,1539696604548
14,41,0,0,11,113.585,100,1539696604549
0,0,0,0,11,113.585,100,1539696604549
51,0,0,0,0,114.07,,1539696604728
37,0,0,0,12,114.08,64,1539696604728
37,0,0,0,12,114.09,26,1539696604728
14,41,0,0,2,114.07,100,1539696604728
37,0,0,0,12,114.44,36,1539696604729
37,0,0,0,12,114.5,64,1539696604729
51,0,0,0,0,114.59,,1539696604731
37,0,0,0,12,114.5,11,1539696604731
14,41,0,0,11,114.59,100,1539696604731
51,0,0,0,0,115.01,,1539696604735
