c1,c2,c3,c4,e,p,s,t
25,0,0,0,10,12.84,7324,1538487009517
37,0,0,0,10,12.84,6,1538487009517
14,41,0,0,10,12.86,100,1538487028795
14,41,0,0,10,12.87,1000,1538487028795
0,0,0,0,12,12.85,300,1538487035016
25,16,0,0,12,12.85,300,1538487035016
51,0,0,0,0,12.88,,1538487040822
14,41,0,0,10,12.87,100,1538487040822
14,41,0,0,10,12.88,5162,1538487040822
14,41,0,0,12,12.88,400,1538487040822
14,37,41,0,12,12.88,7,1538487040822
14,37,41,0,12,12.88,93,1538487040822
37,0,0,0,12,12.88,7,1538487040822
14,41,0,0,12,12.88,247,1538487040829
51,0,0,0,0,12.89,,1538487041526
0,0,0,0,4,12.89,700,1538487041526
14,41,0,0,10,12.88,100,1538487063578
14,41,0,0,10,12.89,800,1538487063578
14,41,0,0,12,12.88,100,1538487063578
14,41,0,0,12,12.89,400,1538487063578
37,0,0,0,4,12.8401,1,1538487064143
51,0,0,0,0,12.9,,1538487064529
14,41,0,0,10,12.89,100,1538487064529
14,41,0,0,10,12.9,100,1538487064529
14,41,0,0,10,12.89,100,1538487077485
14,41,0,0,10,12.9,1400,1538487077485
14,41,0,0,12,12.9,400,1538487077485
14,41,0,0,12,12.9,100,1538487077485
14,41,0,0,2,12.9,100,1538487077485
14,41,0,0,12,12.9,100,1538487077487
14,41,0,0,12,12.9,400,1538487077487
14,41,0,0,12,12.9,400,1538487077488
14,41,0,0,12,12.9,100,1538487077519
14,41,0,0,12,12.9,100,1538487077519
14,41,0,0,12,12.9,100,1538487077519
14,41,0,0,12,12.89,100,1538487077520
14,41,0,0,12,12.88,100,1538487077521
0,0,0,0,4,12.88,400,1538487077522
14,41,0,0,12,12.88,100,1538487077522
14,41,0,0,12,12.88,300,1538487077523
14,41,0,0,12,12.88,100,1538487077523
14,41,0,0,12,12.9,100,1538487077523
14,41,0,0,12,12.9,100,1538487077523
0,0,0,0,4,12.89,100,1538487077524
14,41,0,0,12,12.88,300,1538487077526
14,41,0,0,12,12.88,100,1538487077527
14,41,0,0,12,12.88,200,1538487077527
14,41,0,0,12,12.87,100,1538487077529
14,41,0,0,12,12.875,100,1538487077530
14,41,0,0,12,12.875,200,1538487077530
14,41,0,0,12,12.87,100,1538487077530
0,0,0,0,4,12.88,100,1538487078034
0,0,0,0,4,12.88,100,1538487078526
14,41,0,0,12,12.88,100,1538487078527
14,41,0,0,10,12.88,800,1538487096373
14,41,0,0,2,12.88,100,1538487096373
14,41,0,0,12,12.88,200,1538487096373
14,41,0,0,12,12.88,100,1538487096373
14,41,0,0,12,12.88,100,1538487096373
14,41,0,0,12,12.88,100,1538487096377
14,41,0,0,12,12.88,200,1538487096377
14,41,0,0,12,12.88,100,1538487096377
14,41,0,0,12,12.88,100,1538487096378
14,41,0,0,12,12.88,200,1538487096378
14,41,0,0,12,12.88,100,1538487096378
14,41,0,0,12,12.88,100,1538487096379
14,41,0,0,12,12.88,200,1538487096379
14,41,0,0,12,12.88,100,1538487096381
14,41,0,0,12,12.88,100,1538487096381
14,41,0,0,12,12.88,200,1538487096381
14,41,0,0,12,12.88,100,1538487096382
14,41,0,0,12,12.88,100,1538487096384
0,0,0,0,4,12.88,100,1538487096384
0,0,0,0,4,12.88,100,1538487096385
14,41,0,0,12,12.88,100,1538487096386
14,41,0,0,12,12.88,100,1538487096525
14,41,0,0,12,12.88,100,1538487096525
14,41,0,0,12,12.88,200,1538487096525
14,41,0,0,10,12.88,200,1538487178121
0,0,0,0,11,12.84,100,1538487301198
25,16,0,0,11,12.84,100,1538487301198
0,0,0,0,10,12.84,100,1538487301198
0,0,0,0,12,12.85,100,1538487301198
14,41,0,0,11,12.84,700,1538487301199
0,0,0,0,4,12.84,200,1538487301199
0,0,0,0,4,12.84,100,1538487301319
0,0,0,0,4,12.84,400,1538487301325
14,41,0,0,12,12.84,100,1538487301528
37,0,0,0,10,12.83,76,1538487316017
0,0,0,0,10,12.849,1200,1538487329092
0,0,0,0,4,12.845,700,1538487329094
14,41,0,0,10,12.85,200,1538487329094
14,41,0,0,11,12.85,100,1538487329097
14,41,0,0,10,12.85,600,1538487329097
0,0,0,0,12,12.85,300,1538487329097
14,41,0,0,10,12.86,500,1538487329532
14,41,0,0,10,12.86,624,1538487337034
0,0,0,0,4,12.86,100,1538487337178
14,41,0,0,11,12.86,200,1538487365287
37,0,0,0,10,12.86,62,1538487365287
0,0,0,0,12,12.86,100,1538487365287
0,0,0,0,12,12.86,100,1538487365287
37,0,0,0,10,12.85,1,1538487369408
0,0,0,0,10,12.85,144,1538487369408
37,0,0,0,10,12.85,9,1538487369409
37,0,0,0,12,12.85,89,1538487369409
37,0,0,0,10,12.85,46,1538487369409
14,41,0,0,12,12.85,100,1538487369410
14,37,41,0,12,12.85,11,1538487369410
0,0,0,0,4,12.848,1000,1538487384222
37,0,0,0,10,12.85,86,1538487401134
0,0,0,0,4,12.84,150,1538487442454
0,0,0,0,4,12.84,100,1538487442454
0,0,0,0,4,12.85,150,1538487442455
0,0,0,0,4,12.84,100,1538487442455
0,0,0,0,4,12.85,100,1538487442456
0,0,0,0,4,12.85,100,1538487442456
0,0,0,0,4,12.85,900,1538487601922
14,41,0,0,10,12.85,200,1538487602536
0,0,0,0,4,12.85,100,1538487602536
14,41,0,0,10,12.85,814,1538487602537
14,41,0,0,11,12.85,200,1538487602537
14,41,0,0,11,12.85,200,1538487602537
14,41,0,0,11,12.85,100,1538487602537
14,41,0,0,12,12.85,100,1538487602537
14,37,41,0,12,12.85,7,1538487602537
14,37,41,0,12,12.85,79,1538487602537
37,0,0,0,12,12.83,21,1538487602538
37,0,0,0,12,12.85,3,1538487602539
37,0,0,0,12,12.85,97,1538487602539
0,0,0,0,10,12.84,110,1538487602539
37,0,0,0,8,12.84,10,1538487602539
37,0,0,0,19,12.84,10,1538487602539
0,0,0,0,12,12.845,100,1538487602539
0,0,0,0,12,12.84,100,1538487602539
37,0,0,0,12,12.84,10,1538487602539
0,0,0,0,8,12.84,100,1538487602539
14,41,0,0,10,12.84,200,1538487602540
14,41,0,0,11,12.84,200,1538487602540
14,41,0,0,19,12.84,100,1538487602541
14,41,0,0,19,12.84,100,1538487602541
0,0,0,0,10,12.84,140,1538487602541
14,41,0,0,12,12.85,100,1538487602562
0,0,0,0,12,12.85,100,1538487602563
0,0,0,0,4,12.85,300,1538487602566
14,41,0,0,12,12.85,100,1538487602590
0,0,0,0,12,12.85,100,1538487602592
0,0,0,0,4,12.84,100,1538487602650
0,0,0,0,11,12.84,400,1538487602650
14,41,0,0,11,12.85,100,1538487603536
14,41,0,0,11,12.85,100,1538487603536
0,0,0,0,4,12.85,200,1538487603537
14,41,0,0,10,12.85,1200,1538487617909
14,41,0,0,19,12.85,100,1538487617909
37,0,0,0,12,12.85,60,1538487617910
37,0,0,0,12,12.85,40,1538487617910
0,0,0,0,8,12.85,100,1538487617910
14,41,0,0,11,12.85,100,1538487617912
37,0,0,0,10,12.85,1,1538487617928
0,0,0,0,4,12.86,100,1538487618539
0,0,0,0,11,12.86,300,1538487626195
0,0,0,0,8,12.86,184,1538487626195
0,0,0,0,10,12.86,1000,1538487626195
0,0,0,0,8,12.86,116,1538487626196
