c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,18.74,19,1539821043014
0,0,0,0,8,18.53,800,1539863191853
0,0,0,0,4,18.09,300,1539864021917
37,0,0,0,4,18.09,20,1539864168761
0,0,0,0,4,18.09,900,1539864293911
0,0,0,0,4,18.09,100,1539864396014
37,0,0,0,4,18.2,1,1539864499902
0,0,0,0,4,18.1799,500,1539864774040
14,41,0,0,12,18.18,100,1539865124718
14,41,0,0,8,18.2,150,1539865124718
0,0,0,0,11,18.48,100,1539865582624
37,0,0,0,11,18.5,20,1539865590338
0,0,0,0,11,18.49,100,1539866179625
32,0,0,0,4,19,300,1539866560983
37,0,0,0,4,18.55,50,1539866948919
37,0,0,0,4,18.55,50,1539866952456
0,0,0,0,11,18.52,1000,1539867184244
0,0,0,0,11,18.52,500,1539867190448
14,41,0,0,12,18.55,100,1539867207408
14,37,41,0,12,18.55,54,1539867226738
37,0,0,0,4,18.5,1,1539867717247
14,41,0,0,11,18.33,100,1539867859615
14,41,0,0,11,18.33,100,1539867860369
14,41,0,0,11,18.33,100,1539867861630
37,0,0,0,4,18.3001,10,1539867997263
14,41,0,0,11,18.3,100,1539868205461
14,37,41,0,11,18.2,10,1539868208110
14,37,41,0,8,18.25,10,1539868208111
0,0,0,0,11,18.48,100,1539868322961
14,41,0,0,11,18.16,100,1539868667417
14,41,0,0,11,18.16,100,1539868684793
14,37,41,0,11,18.16,70,1539868697048
14,37,41,0,11,18.13,20,1539868697048
37,0,0,0,4,18.4,3,1539868698356
14,41,0,0,11,18.13,100,1539868810801
14,37,41,0,11,18.13,80,1539868811312
14,37,41,0,11,18.1,20,1539868811312
14,41,0,0,11,18.1,100,1539868852615
14,37,41,0,11,18.1,80,1539868854025
14,37,41,0,11,18.09,20,1539868854026
14,41,0,0,11,18.09,200,1539868858183
14,41,0,0,11,18.09,400,1539868861718
14,37,41,0,11,18.09,30,1539868861719
14,41,0,0,8,18.04,100,1539868865146
37,0,0,0,11,18.08,43,1539868877869
37,0,0,0,11,18.09,70,1539868886107
37,0,0,0,11,18.09,7,1539868886107
14,41,0,0,11,18.09,500,1539868910252
14,41,0,0,11,18.09,380,1539868911437
14,41,0,0,8,18.04,120,1539868911447
14,37,41,0,8,18.04,80,1539868913966
14,41,0,0,8,18.03,420,1539868913966
37,0,0,0,4,18.2999,1,1539869042132
0,0,0,0,11,18.3,500,1539869091842
14,37,41,0,8,18.03,30,1539869183547
14,41,0,0,8,18.01,470,1539869183547
14,37,41,0,8,18.01,30,1539869184839
14,41,0,0,8,18,470,1539869184839
14,37,41,0,8,18,30,1539869186454
14,41,0,0,8,18,278,1539869186454
0,0,0,0,4,18,500,1539869236448
0,0,0,0,4,17.9,106,1539869238349
14,41,0,0,11,17.8,200,1539869239210
0,0,0,0,11,17.8,300,1539869240007
14,41,0,0,11,17.77,100,1539869241356
14,41,0,0,11,17.77,300,1539869244943
37,0,0,0,8,17.71,1,1539869265197
14,37,41,0,8,17.6,99,1539869265210
14,41,0,0,8,17.6,200,1539869266895
14,41,0,0,8,17.6,100,1539869266937
14,37,41,0,8,17.6,1,1539869266938
37,0,0,0,8,17.58,1,1539869267744
14,41,0,0,11,17.53,100,1539869267758
14,37,41,0,11,17.5,99,1539869276345
37,0,0,0,12,17.7,19,1539869383785
0,0,0,0,19,17.65,300,1539869386053
0,0,0,0,19,17.65,300,1539869389063
0,0,0,0,19,17.64,300,1539869392014
0,0,0,0,19,17.63,300,1539869395014
51,0,0,0,0,17.6,,1539869400621
25,41,0,0,12,17.6,399,1539869400621
25,16,0,0,12,17.6,399,1539869400621
37,0,0,0,8,17.9,20,1539869400954
37,0,0,0,4,18.509,20,1539869400956
37,0,0,0,4,18.5195,20,1539869400959
37,0,0,0,19,18.35,98,1539869456607
51,0,0,0,0,17.8,,1539869456633
0,0,0,0,8,17.8,100,1539869456633
14,41,0,0,8,17.67,100,1539869458022
14,37,41,0,12,17.67,23,1539869458022
37,0,0,0,12,17.64,29,1539869458023
14,41,0,0,12,17.66,100,1539869458792
14,41,0,0,12,17.66,100,1539869458792
14,37,41,0,11,17.66,9,1539869458792
25,16,0,0,11,17.66,9,1539869458792
0,0,0,0,11,17.8,100,1539869459446
37,0,0,0,19,18.02,98,1539869459446
51,0,0,0,0,17.97,,1539869462977
51,0,0,0,0,18.01,,1539869462977
0,0,0,0,11,17.97,100,1539869462977
0,0,0,0,19,18.01,111,1539869462977
0,0,0,0,4,18,1000,1539869465990
0,0,0,0,4,17.94,1000,1539869478615
25,0,0,0,10,17.64,147044,1539869507215
14,41,0,0,10,17.785,100,1539869507217
37,0,0,0,8,17.8,50,1539869507217
14,37,41,0,10,17.64,5,1539869507217
14,41,0,0,10,17.64,635,1539869507218
0,0,0,0,10,17.64,900,1539869507218
37,0,0,0,10,17.64,1,1539869507219
0,0,0,0,4,17.8575,100,1539869507220
0,0,0,0,4,17.64,500,1539869507221
0,0,0,0,4,17.93,100,1539869507221
0,0,0,0,4,17.64,1000,1539869507222
0,0,0,0,4,17.93,400,1539869507222
0,0,0,0,10,17.72,100,1539869507222
0,0,0,0,4,17.785,400,1539869507222
0,0,0,0,4,17.64,1000,1539869507226
37,0,0,0,4,17.785,16,1539869507226
37,0,0,0,10,17.64,40,1539869507227
37,0,0,0,10,17.64,1,1539869507227
0,0,0,0,4,17.785,525,1539869507227
37,0,0,0,4,17.64,10,1539869507229
0,0,0,0,4,17.64,1475,1539869507229
0,0,0,0,11,17.78,100,1539869507230
37,0,0,0,10,17.72,70,1539869507230
37,0,0,0,4,17.77,11,1539869507232
0,0,0,0,11,17.78,184,1539869507233
37,0,0,0,11,17.78,16,1539869507233
0,0,0,0,10,17.64,300,1539869507233
0,0,0,0,10,17.72,100,1539869507236
0,0,0,0,4,17.64,1834,1539869507236
0,0,0,0,4,17.8,100,1539869507238
0,0,0,0,10,17.72,100,1539869507238
37,0,0,0,10,17.64,80,1539869507241
0,0,0,0,12,17.66,100,1539869507241
0,0,0,0,15,17.64,100,1539869507241
0,0,0,0,4,17.72,340,1539869507241
0,0,0,0,4,17.71,400,1539869507245
37,0,0,0,4,17.64,30,1539869507245
0,0,0,0,4,17.662,100,1539869507247
0,0,0,0,4,17.64,248,1539869507247
0,0,0,0,4,17.64,130,1539869507248
0,0,0,0,4,17.64,464,1539869507248
0,0,0,0,4,17.64,100,1539869507249
37,0,0,0,4,17.64,53,1539869507249
0,0,0,0,4,17.64,109,1539869507250
0,0,0,0,4,17.64,508,1539869507250
37,0,0,0,4,17.64,50,1539869507251
0,0,0,0,4,17.71,500,1539869507251
37,0,0,0,4,17.64,50,1539869507251
0,0,0,0,4,17.64,100,1539869507251
0,0,0,0,4,17.64,500,1539869507252
0,0,0,0,4,17.6794,1000,1539869507253
0,0,0,0,4,17.6401,175,1539869507253
0,0,0,0,4,17.64,100,1539869507254
10,41,0,0,4,17.64,100,1539869507255
10,41,0,0,4,17.64,250,1539869507256
37,0,0,0,4,17.64,84,1539869507257
0,0,0,0,4,17.7295,500,1539869507263
0,0,0,0,4,17.7267,200,1539869507264
0,0,0,0,4,17.7239,500,1539869507264
0,0,0,0,10,17.64,300,1539869507265
0,0,0,0,10,17.64,920,1539869507267
0,0,0,0,4,17.64,450,1539869507285
0,0,0,0,4,17.64,2000,1539869507286
14,41,0,0,11,17.78,100,1539869507317
