c1,c2,c3,c4,e,p,s,t
0,0,0,0,12,77.3,100,1537961534328
0,0,0,0,12,77.3,158,1537961589198
37,0,0,0,11,77.31,10,1537961740301
14,37,41,0,11,77.31,50,1537961788065
14,41,0,0,11,77.3,100,1537961788065
14,41,0,0,11,77.3,105,1537961788065
14,41,0,0,8,77.3,100,1537961788065
14,37,41,0,11,76.5,2,1537961789161
14,37,41,0,11,76.25,48,1537961789161
14,37,41,0,8,76.1,50,1537961823792
14,41,0,0,8,76.1,100,1537961825016
37,0,0,0,8,76.1,50,1537961831006
14,37,41,0,11,75.5,50,1537961832977
14,37,41,0,11,75.5,50,1537961833341
14,37,41,0,11,76.16,50,1537961860506
14,41,0,0,11,76.16,100,1537961908838
14,37,41,0,12,76.14,10,1537961910201
14,37,41,0,11,76.16,40,1537961910201
14,37,41,0,11,76.16,50,1537961971069
0,0,0,0,11,76.16,100,1537961971713
14,37,41,0,11,76.16,50,1537961972231
0,0,0,0,11,76.16,234,1537961974024
37,0,0,0,11,78,50,1537962244955
14,37,41,0,12,77.7,50,1537962267154
14,37,41,0,12,77.7,50,1537962267592
14,37,41,0,11,76.76,50,1537962443670
14,37,41,0,11,76.75,50,1537962443798
37,0,0,0,11,76.61,50,1537962464775
0,0,0,0,11,76.61,100,1537962464775
14,41,0,0,8,76.62,100,1537962579992
14,37,41,0,8,76.62,25,1537962592046
14,41,0,0,11,76.55,475,1537962592047
0,0,0,0,11,76.55,525,1537962592047
14,37,41,0,11,76.5,50,1537962593412
14,37,41,0,11,76.5,42,1537962594904
14,37,41,0,11,76.5,8,1537962594904
37,0,0,0,11,76.5,50,1537962596344
37,0,0,0,11,76.5,42,1537962596344
37,0,0,0,11,76.5,8,1537962596344
14,37,41,0,12,76.4,10,1537962597517
14,37,41,0,11,76.2,50,1537962598648
14,41,0,0,11,76.2,100,1537962599539
14,37,41,0,12,76.4,40,1537962602969
14,41,0,0,12,76.89,100,1537962602969
14,37,41,0,12,76.99,92,1537962602969
14,37,41,0,12,76.99,8,1537962602969
14,37,41,0,12,77,10,1537962602969
14,37,41,0,12,77,50,1537962611221
37,0,0,0,11,76.3,50,1537962613483
37,0,0,0,11,76.5,10,1537962725723
14,41,0,0,8,76.9,100,1537962733908
0,0,0,0,11,76.88,100,1537962830091
14,37,41,0,12,77,50,1537962830584
14,37,41,0,12,77,60,1537962940606
14,37,41,0,11,76.75,75,1537962955092
14,37,41,0,11,76.5,25,1537963088351
14,37,41,0,12,76.99,7,1537963088352
14,41,0,0,12,77,475,1537963088353
14,41,0,0,8,77,400,1537963100705
14,37,41,0,11,77.5,50,1537963185242
14,37,41,0,11,77.5,50,1537963186375
14,37,41,0,12,77.2,50,1537963189161
14,37,41,0,12,77.2,50,1537963190413
37,0,0,0,4,76.9999,75,1537963201312
0,0,0,0,11,77.5,100,1537963201338
37,0,0,0,4,77,10,1537963201353
0,0,0,0,4,76.8999,375,1537963201366
0,0,0,0,4,76.7,100,1537963201367
0,0,0,0,4,77,290,1537963201376
0,0,0,0,4,77,200,1537963201386
0,0,0,0,4,77,150,1537963201395
0,0,0,0,4,77,100,1537963201397
37,0,0,0,4,77,25,1537963201451
0,0,0,0,4,76.9999,100,1537963201681
37,0,0,0,11,77.5,50,1537963205229
37,0,0,0,4,76.6,50,1537963205238
14,37,41,0,11,77.5,50,1537963205946
14,41,0,0,11,77.5,200,1537963206791
14,37,41,0,11,78,50,1537963206871
37,0,0,0,12,77.5,34,1537963206872
14,37,41,0,12,77.5,50,1537963243041
37,0,0,0,4,77.84,25,1537963243281
0,0,0,0,4,77.85,500,1537963335124
0,0,0,0,11,77.8,200,1537963335827
37,0,0,0,11,77.84,34,1537963335827
14,37,41,0,11,77.95,50,1537963337153
14,41,0,0,11,77.95,450,1537963337796
14,41,0,0,11,77.9,200,1537963378124
37,0,0,0,11,77.9,50,1537963382304
37,0,0,0,11,77.9,16,1537963382367
