c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,102.68,1,1539907446537
37,0,0,0,11,102.15,10,1539950432482
0,0,0,0,11,102.35,110,1539950732069
0,0,0,0,11,102.69,100,1539951098384
0,0,0,0,11,102.7,100,1539951098384
0,0,0,0,11,102.7,100,1539951101411
0,0,0,0,11,103.1,100,1539951492930
37,0,0,0,11,103.5,10,1539951727401
37,0,0,0,11,103.5,40,1539951729739
37,0,0,0,11,103.7,60,1539951729739
37,0,0,0,11,103.7,40,1539951731929
14,41,0,0,12,103.3,100,1539951870067
14,41,0,0,12,103.3,400,1539951870067
14,41,0,0,11,103,200,1539951870067
14,41,0,0,11,103,200,1539951870067
14,41,0,0,11,103,100,1539951870067
14,41,0,0,11,103,200,1539951887098
14,41,0,0,11,103,300,1539951887098
0,0,0,0,4,103,100,1539952101377
0,0,0,0,11,103,150,1539952107048
37,0,0,0,11,103,50,1539952107048
37,0,0,0,11,103,50,1539952107048
14,41,0,0,11,103,100,1539952132146
14,41,0,0,11,103,100,1539952132146
14,41,0,0,11,103,300,1539952132146
0,0,0,0,11,103,100,1539953148372
14,41,0,0,12,103,100,1539953212875
14,37,41,0,11,103.1,4,1539954550206
14,37,41,0,11,103,96,1539954550206
14,37,41,0,12,103,50,1539954550206
14,37,41,0,12,103,50,1539954550206
0,0,0,0,12,104.97,100,1539955730006
0,0,0,0,12,105,200,1539955730006
14,41,0,0,12,105,100,1539955731276
14,41,0,0,12,105,100,1539955732083
37,0,0,0,11,105.1,75,1539955733661
37,0,0,0,8,104.85,75,1539955745007
37,0,0,0,19,105.67,13,1539955862400
37,0,0,0,19,106,87,1539955862400
51,0,0,0,0,106.34,,1539955940003
51,0,0,0,0,106.8,,1539955940003
51,0,0,0,0,106.99,,1539955940003
0,0,0,0,12,106.34,100,1539955940003
25,16,0,0,12,106.34,100,1539955940003
0,0,0,0,11,106.8,100,1539955940003
25,16,0,0,11,106.8,100,1539955940003
0,0,0,0,11,106.99,100,1539955940003
37,0,0,0,11,107.02,16,1539955940003
37,0,0,0,11,107.02,84,1539955940003
37,0,0,0,12,106.5,75,1539955940018
37,0,0,0,12,106.5,12,1539955940018
37,0,0,0,17,106.45,13,1539955940018
37,0,0,0,19,106.53,13,1539955940018
37,0,0,0,12,106.5,29,1539955940019
37,0,0,0,12,106.5,71,1539955940019
37,0,0,0,12,106.5,29,1539955940019
37,0,0,0,12,106.5,29,1539955940020
37,0,0,0,19,107.31,13,1539955940020
37,0,0,0,19,107.48,3,1539955940020
51,0,0,0,0,106.26,,1539955968713
0,0,0,0,8,106.26,100,1539955968713
51,0,0,0,0,105.81,,1539955999631
0,0,0,0,12,105.81,100,1539955999631
37,0,0,0,12,106.37,50,1539956000001
0,0,0,0,11,106,100,1539956000001
0,0,0,0,11,106.22,100,1539956000001
37,0,0,0,11,106.37,50,1539956000001
0,0,0,0,19,105.92,100,1539956000001
0,0,0,0,19,106.42,100,1539956000001
0,0,0,0,12,106.49,100,1539956005001
37,0,0,0,12,106.49,68,1539956005001
0,0,0,0,19,106.49,100,1539956005001
14,37,41,0,12,106.49,32,1539956005003
51,0,0,0,0,105.68,,1539956169096
51,0,0,0,0,105.5,,1539956169096
25,0,0,0,10,105.68,43211,1539956169096
14,37,41,0,10,105.5,21,1539956169096
14,37,41,0,10,105.5,19,1539956169096
14,41,0,0,10,105.5,160,1539956169096
37,0,0,0,11,104.16,80,1539956169098
37,0,0,0,11,104.16,20,1539956169098
37,0,0,0,11,104.09,60,1539956169098
37,0,0,0,10,105.99,14,1539956169100
37,0,0,0,15,104.845,1,1539956169100
0,0,0,0,4,105.9992,400,1539956169102
37,0,0,0,15,104.845,4,1539956169102
37,0,0,0,4,103.7,1,1539956169102
37,0,0,0,10,105.99,16,1539956169103
0,0,0,0,4,105.97,100,1539956169103
37,0,0,0,10,106,49,1539956169104
0,0,0,0,4,105.945,100,1539956169105
14,37,41,0,8,105.75,22,1539956169106
51,0,0,0,0,104.22,,1539956169130
51,0,0,0,0,104.15,,1539956169130
0,0,0,0,2,104.22,100,1539956169130
0,0,0,0,2,104.15,100,1539956169130
20,41,0,0,4,105.68,100,1539956169136
14,37,41,0,3,105.23,9,1539956169168
10,41,0,0,4,105.68,115,1539956169180
37,0,0,0,4,105.99,30,1539956169548
0,0,0,0,10,105.26,100,1539956172235
0,0,0,0,10,105.33,100,1539956179756
0,0,0,0,4,105.4716,200,1539956183539
37,0,0,0,4,105.18,1,1539956183807
37,0,0,0,4,105.18,1,1539956185809
37,0,0,0,4,105.99,1,1539956186042
0,0,0,0,10,105.31,100,1539956188241
14,41,0,0,10,105.3,100,1539956188449
0,0,0,0,15,105.585,100,1539956188586
37,0,0,0,4,105.9899,34,1539956190329
0,0,0,0,15,105.58,100,1539956193138
0,0,0,0,4,105.58,200,1539956193139
0,0,0,0,4,105.58,200,1539956195563
0,0,0,0,15,105.58,100,1539956201051
0,0,0,0,15,105.58,100,1539956201052
0,0,0,0,15,105.58,100,1539956201054
0,0,0,0,15,105.58,100,1539956201055
0,0,0,0,15,105.58,100,1539956201057
0,0,0,0,4,105.58,100,1539956201059
0,0,0,0,4,105.58,100,1539956201088
0,0,0,0,4,105.58,100,1539956201094
0,0,0,0,15,105.58,100,1539956201260
0,0,0,0,15,105.58,100,1539956201262
0,0,0,0,15,105.58,100,1539956201263
0,0,0,0,15,105.58,100,1539956201264
0,0,0,0,15,105.58,100,1539956201265
0,0,0,0,4,105.58,300,1539956201600
0,0,0,0,4,105.58,100,1539956202053
0,0,0,0,4,105.58,100,1539956202055
0,0,0,0,15,105.98,100,1539956202058
0,0,0,0,18,105.58,100,1539956203500
0,0,0,0,4,105.58,100,1539956203536
0,0,0,0,4,105.58,100,1539956203545
0,0,0,0,10,105.19,100,1539956203560
14,37,41,0,12,105.23,90,1539956203570
0,0,0,0,10,105.18,100,1539956203570
14,37,41,0,12,105.18,10,1539956203570
0,0,0,0,17,105.18,200,1539956203570
37,0,0,0,12,105.18,90,1539956203570
0,0,0,0,12,105.18,100,1539956203570
0,0,0,0,19,105.18,100,1539956203570
0,0,0,0,12,105.175,100,1539956203571
0,0,0,0,4,105.18,100,1539956203571
14,41,0,0,10,104.86,100,1539956203571
0,0,0,0,4,105.58,100,1539956203572
14,41,0,0,12,104.86,100,1539956203572
14,41,0,0,10,104.75,200,1539956203572
0,0,0,0,4,105.235,100,1539956203577
14,37,41,0,10,105.04,51,1539956203583
37,0,0,0,10,105.04,49,1539956203584
14,37,41,0,19,104.99,51,1539956203591
14,37,41,0,8,105.01,52,1539956203592
14,37,41,0,8,104.97,52,1539956203592
14,37,41,0,8,104.93,45,1539956203592
14,37,41,0,8,104.97,40,1539956203592
37,0,0,0,8,104.97,60,1539956203592
0,0,0,0,12,104.89,100,1539956203592
0,0,0,0,4,105.17,100,1539956203594
0,0,0,0,4,104.86,100,1539956203682
0,0,0,0,4,105.04,100,1539956203694
0,0,0,0,4,105.58,100,1539956203703
14,41,0,0,12,104.65,100,1539956204042
0,0,0,0,12,104.65,100,1539956204042
0,0,0,0,4,104.65,100,1539956204043
0,0,0,0,12,104.65,100,1539956204043
0,0,0,0,4,104.83,100,1539956204044
14,41,0,0,12,104.65,100,1539956204046
14,37,41,0,19,104.83,10,1539956204050
14,37,41,0,19,104.83,80,1539956204050
14,37,41,0,12,104.83,10,1539956204050
37,0,0,0,12,104.65,10,1539956204050
0,0,0,0,4,104.65,100,1539956204151
14,37,41,0,12,104.65,10,1539956204196
14,41,0,0,12,104.65,100,1539956204196
14,41,0,0,12,104.65,100,1539956204196
0,0,0,0,4,104.825,100,1539956204202
14,37,41,0,8,104.66,1,1539956204851
0,0,0,0,10,104.55,100,1539956206989
0,0,0,0,4,104.4425,200,1539956207328
0,0,0,0,10,104.27,100,1539956211270
0,0,0,0,15,104.27,100,1539956211270
0,0,0,0,10,104.27,100,1539956211270
51,0,0,0,0,103.87,,1539956217269
0,0,0,0,4,103.87,100,1539956217269
0,0,0,0,4,104.08,100,1539956217272
37,0,0,0,10,104.08,10,1539956217274
0,0,0,0,12,103.87,100,1539956217275
51,0,0,0,0,103.86,,1539956217277
0,0,0,0,11,103.86,200,1539956217277
0,0,0,0,4,103.86,100,1539956217278
0,0,0,0,4,103.86,190,1539956217278
0,0,0,0,4,103.875,200,1539956217528
0,0,0,0,11,103.97,100,1539956217565
0,0,0,0,12,103.97,100,1539956217565
0,0,0,0,10,103.97,100,1539956217565
0,0,0,0,19,103.97,100,1539956217565
0,0,0,0,8,103.97,100,1539956217565
0,0,0,0,15,104.04,100,1539956217566
51,0,0,0,0,103.76,,1539956217576
0,0,0,0,4,103.76,200,1539956217576
