c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,46.77,4,1538525044302
37,0,0,0,11,49.34,75,1538561004625
14,37,41,0,11,49,50,1538561181168
14,37,41,0,11,48.67,50,1538561181168
37,0,0,0,11,49.34,25,1538561793519
14,37,41,0,11,49.59,3,1538562065123
37,0,0,0,11,49.59,4,1538562342611
37,0,0,0,11,49.84,30,1538562342611
0,0,0,0,11,50,300,1538562342611
0,0,0,0,11,50,736,1538562342611
0,0,0,0,11,49.95,100,1538562485293
0,0,0,0,11,49.34,475,1538562486866
0,0,0,0,11,49.34,125,1538562486866
0,0,0,0,11,49.9,100,1538562541363
0,0,0,0,11,49.95,100,1538562541363
37,0,0,0,11,49.95,14,1538562541363
0,0,0,0,12,49.9,100,1538562541363
0,0,0,0,12,49.95,100,1538562541363
0,0,0,0,12,49.95,100,1538562541363
0,0,0,0,12,49.95,186,1538562541363
0,0,0,0,12,49.95,114,1538562541363
37,0,0,0,12,49.95,86,1538562541365
37,0,0,0,12,49.95,14,1538562602736
0,0,0,0,12,49.95,100,1538562602736
37,0,0,0,12,49.95,86,1538562602736
14,41,0,0,11,49.95,300,1538562602805
14,41,0,0,11,49.95,500,1538562602805
14,41,0,0,11,49.39,200,1538562603142
14,37,41,0,11,49.35,50,1538562603142
14,37,41,0,11,49.35,50,1538562603142
14,37,41,0,11,49.34,45,1538562603142
14,41,0,0,11,49.34,500,1538562603142
14,41,0,0,11,49.34,3000,1538562603142
37,0,0,0,11,49.25,25,1538563083789
37,0,0,0,11,48.9,1,1538563507065
37,0,0,0,11,48.75,10,1538563586915
14,41,0,0,11,48.5,100,1538564413157
14,41,0,0,11,48.5,360,1538564413157
14,37,41,0,11,48.5,10,1538564413162
14,37,41,0,11,48.5,90,1538564419896
14,37,41,0,11,48.5,10,1538564419896
14,41,0,0,11,48.5,100,1538564419896
0,0,0,0,11,48.5,100,1538564438197
0,0,0,0,11,48.5,200,1538564438197
14,37,41,0,11,48.5,37,1538564439287
14,41,0,0,11,48.55,100,1538564439287
14,41,0,0,11,48.55,363,1538564439287
37,0,0,0,11,48.5,70,1538564448179
14,41,0,0,8,48.49,100,1538564453455
14,41,0,0,8,48.48,100,1538564489119
14,41,0,0,8,48.46,100,1538564489119
14,41,0,0,11,48.45,100,1538564489119
0,0,0,0,8,48.44,100,1538564492111
0,0,0,0,8,48.43,100,1538564492111
0,0,0,0,8,48.42,100,1538564492111
0,0,0,0,8,48.41,100,1538564492111
0,0,0,0,8,48.4,100,1538564492111
14,37,41,0,11,48.4,50,1538564501404
14,41,0,0,8,48.39,100,1538564501405
14,37,41,0,11,48.38,50,1538564501405
37,0,0,0,11,48.38,50,1538564515158
14,41,0,0,8,48.37,100,1538564520043
14,37,41,0,8,48.36,50,1538564520111
14,37,41,0,11,48.35,50,1538564520111
14,37,41,0,11,48.35,50,1538564521072
14,41,0,0,11,48.34,100,1538564521072
14,41,0,0,11,48.33,100,1538564521073
14,41,0,0,11,48.32,100,1538564521073
14,41,0,0,11,48.32,100,1538564521073
0,0,0,0,8,48.31,100,1538564521073
0,0,0,0,8,48.31,100,1538564521073
0,0,0,0,8,48.3,100,1538564521073
14,41,0,0,11,48.3,100,1538564521074
0,0,0,0,8,48.29,100,1538564521075
37,0,0,0,8,48.29,50,1538564521075
14,41,0,0,11,48.28,100,1538564531800
14,37,41,0,8,48.29,50,1538564531802
14,37,41,0,8,48.27,50,1538564531802
14,37,41,0,8,48.27,50,1538564534621
14,37,41,0,8,48.26,50,1538564534621
0,0,0,0,11,48.25,100,1538564545748
37,0,0,0,8,48.26,50,1538564547980
37,0,0,0,8,48.24,50,1538564547980
14,41,0,0,11,48.23,100,1538564552683
14,41,0,0,11,48.21,100,1538564552683
14,37,41,0,8,48.24,50,1538564552683
14,41,0,0,8,48.22,100,1538564552683
14,41,0,0,8,48.19,100,1538564553984
14,41,0,0,8,48.18,100,1538564555380
14,37,41,0,11,48.17,50,1538564555619
37,0,0,0,11,48.17,50,1538564559993
0,0,0,0,11,48.01,200,1538564559993
37,0,0,0,11,48.18,70,1538564620939
0,0,0,0,11,48.27,200,1538564622648
37,0,0,0,11,48.3,50,1538564622648
14,41,0,0,12,48.22,180,1538564635793
14,41,0,0,12,48.2,483,1538564635793
14,41,0,0,11,48,738,1538564635793
14,41,0,0,11,48.02,100,1538564646892
0,0,0,0,11,48,1000,1538564648537
0,0,0,0,11,48,262,1538564648538
0,0,0,0,11,48,100,1538564650487
0,0,0,0,11,48,100,1538564651981
0,0,0,0,11,48,100,1538564719766
0,0,0,0,11,48,100,1538564720092
0,0,0,0,11,48.2,500,1538564731199
14,41,0,0,11,48.19,100,1538564738015
14,41,0,0,11,48.2,900,1538564738015
0,0,0,0,11,48.2,1149,1538564738016
14,37,41,0,11,48.4,10,1538564804940
14,41,0,0,11,48.4,200,1538564805827
14,41,0,0,11,48.4,400,1538564806169
14,37,41,0,11,48.4,50,1538564806239
14,41,0,0,11,48.4,200,1538564810129
0,0,0,0,11,48.4,100,1538564815338
37,0,0,0,11,48.4,40,1538564816102
14,41,0,0,11,48.48,100,1538564817914
14,41,0,0,11,48.5,200,1538564822934
0,0,0,0,11,48.5,100,1538564823618
14,41,0,0,11,48.5,400,1538564823619
