c1,c2,c3,c4,e,p,s,t
0,0,0,0,4,13.75,150,1538568001844
37,0,0,0,4,13.79,20,1538571607090
0,0,0,0,8,13.79,200,1538573055695
37,0,0,0,8,13.79,91,1538573070845
25,41,0,0,12,13.97,1025,1538573400345
25,16,0,0,12,13.97,1025,1538573400345
14,37,41,0,11,13.85,1,1538573431178
25,16,0,0,11,13.85,1,1538573431178
51,0,0,0,0,13.76,,1538573528633
0,0,0,0,4,13.76,100,1538573528633
37,0,0,0,4,13.75,1,1538573528639
51,0,0,0,0,13.75,,1538573542726
0,0,0,0,4,13.75,300,1538573542726
37,0,0,0,4,13.7702,1,1538573666170
37,0,0,0,4,13.85,5,1538573741461
0,0,0,0,4,13.805,100,1538573756020
14,37,41,0,19,14.01,1,1538573815006
51,0,0,0,0,14.08,,1538573853353
0,0,0,0,4,14.08,300,1538573853353
37,0,0,0,11,14,67,1538573860088
37,0,0,0,11,14.08,27,1538573860088
37,0,0,0,12,14.04,80,1538573861526
51,0,0,0,0,14.09,,1538573861834
14,41,0,0,19,14.09,100,1538573861834
51,0,0,0,0,14.1706,,1538573955700
0,0,0,0,4,14.1706,700,1538573955700
51,0,0,0,0,14.2307,,1538573970339
0,0,0,0,4,14.2307,100,1538573970339
51,0,0,0,0,14.28,,1538573992907
0,0,0,0,4,14.28,100,1538573992907
14,41,0,0,12,14.28,100,1538573992912
0,0,0,0,12,14.28,100,1538573992912
51,0,0,0,0,14.3,,1538573992913
14,41,0,0,8,14.28,100,1538573992913
0,0,0,0,8,14.28,100,1538573992913
0,0,0,0,8,14.28,600,1538573992913
0,0,0,0,12,14.12,100,1538573992913
0,0,0,0,8,14.3,100,1538573992913
0,0,0,0,4,14.28,200,1538573992921
0,0,0,0,12,14.27,100,1538573992921
0,0,0,0,12,14.27,100,1538573992921
51,0,0,0,0,14.4,,1538573995159
0,0,0,0,12,14.4,300,1538573995159
0,0,0,0,12,14.4,100,1538573995159
0,0,0,0,11,14.4,184,1538573995160
14,37,41,0,11,14.4,14,1538573995160
51,0,0,0,0,14.5,,1538573995184
0,0,0,0,12,14.5,750,1538573995184
37,0,0,0,4,14.5,7,1538573995188
14,41,0,0,12,14.5,318,1538573996293
14,41,0,0,12,14.5,100,1538573996493
14,41,0,0,11,14.5,100,1538573996494
37,0,0,0,4,14.395,30,1538574001711
0,0,0,0,4,14.5,100,1538574006963
0,0,0,0,4,14.3615,1200,1538574027753
0,0,0,0,4,14.3269,100,1538574073414
0,0,0,0,4,14.3605,400,1538574075633
0,0,0,0,4,14.3875,100,1538574122463
0,0,0,0,4,14.4362,100,1538574158201
0,0,0,0,4,14.4362,700,1538574158203
0,0,0,0,4,14.3825,100,1538574191628
0,0,0,0,4,14.3825,100,1538574191634
0,0,0,0,4,14.3825,100,1538574191635
0,0,0,0,4,14.3545,100,1538574192455
0,0,0,0,4,14.3545,100,1538574192456
0,0,0,0,4,14.3545,100,1538574192458
0,0,0,0,4,14.37,100,1538574206638
0,0,0,0,4,14.3008,100,1538574215823
0,0,0,0,4,14.385,100,1538574227980
0,0,0,0,4,14.385,100,1538574228051
0,0,0,0,4,14.357,100,1538574229587
0,0,0,0,4,14.357,100,1538574229589
0,0,0,0,4,14.3875,200,1538574232184
37,0,0,0,12,14.32,70,1538574243584
37,0,0,0,12,14.31,30,1538574243584
0,0,0,0,4,14.385,100,1538574244362
14,41,0,0,12,14.31,100,1538574244405
0,0,0,0,4,14.385,200,1538574245375
37,0,0,0,12,14.31,45,1538574245610
37,0,0,0,12,14.3,55,1538574245610
37,0,0,0,12,14.3,45,1538574245610
14,41,0,0,12,14.3,100,1538574245610
0,0,0,0,12,14.3,100,1538574245610
14,37,41,0,11,14.28,10,1538574245610
14,41,0,0,12,14.3,100,1538574245611
14,37,41,0,12,14.35,95,1538574245615
14,37,41,0,11,14.28,10,1538574245687
0,0,0,0,4,14.3,100,1538574245724
37,0,0,0,4,14.1775,10,1538574426161
0,0,0,0,12,14.19,100,1538574525817
0,0,0,0,12,14.18,100,1538574525817
0,0,0,0,12,14.17,100,1538574525817
37,0,0,0,12,14.17,48,1538574525817
14,41,0,0,2,14.17,100,1538574525817
0,0,0,0,2,14.17,100,1538574525817
0,0,0,0,17,14.17,100,1538574525817
14,41,0,0,12,14.17,100,1538574525817
0,0,0,0,18,14.17,100,1538574525818
14,41,0,0,19,14.17,100,1538574525818
14,41,0,0,18,14.17,100,1538574525818
14,41,0,0,8,14.17,100,1538574525818
0,0,0,0,19,14.17,100,1538574525818
0,0,0,0,8,14.17,100,1538574525818
0,0,0,0,19,14.16,100,1538574525818
14,41,0,0,18,14.17,100,1538574525818
14,37,41,0,18,14.17,14,1538574525818
14,41,0,0,11,14.17,100,1538574525818
0,0,0,0,11,14.17,100,1538574525818
0,0,0,0,4,14.175,100,1538574525818
0,0,0,0,10,14.17,100,1538574525818
0,0,0,0,4,14.17,100,1538574525818
0,0,0,0,4,14.17,100,1538574525818
37,0,0,0,4,14.17,14,1538574525819
0,0,0,0,4,14.16,114,1538574525819
14,37,41,0,17,14.37,90,1538574525824
37,0,0,0,4,14.2385,25,1538574682001
37,0,0,0,12,14.12,90,1538574746051
37,0,0,0,12,14.09,10,1538574746051
0,0,0,0,12,14.15,200,1538574835462
0,0,0,0,18,14.15,200,1538574835462
14,41,0,0,12,14.15,100,1538574835462
14,41,0,0,12,14.16,100,1538574837477
0,0,0,0,12,14.16,100,1538574837477
0,0,0,0,4,14.1,200,1538574839905
37,0,0,0,4,14.13,75,1538574909475
37,0,0,0,4,14.13,35,1538575174465
37,0,0,0,12,14.1,3,1538575174475
0,0,0,0,4,14.2728,200,1538575176310
14,37,41,0,12,14.1,97,1538575176311
14,37,41,0,19,14.1,3,1538575176311
14,37,41,0,19,14.31,95,1538575342346
0,0,0,0,12,14.03,100,1538575352871
37,0,0,0,8,14.09,25,1538575352871
0,0,0,0,12,14,100,1538575352890
14,41,0,0,12,14,100,1538575352891
14,37,41,0,12,14,10,1538575352891
0,0,0,0,4,13.96,400,1538575352910
37,0,0,0,4,13.9702,65,1538575361010
0,0,0,0,4,13.96,100,1538575362218
0,0,0,0,4,13.96,100,1538575374864
14,41,0,0,12,13.9,100,1538576092756
0,0,0,0,12,13.9,100,1538576092756
0,0,0,0,12,13.9,100,1538576092756
37,0,0,0,12,13.9,1,1538576092756
0,0,0,0,12,13.9,100,1538576092756
0,0,0,0,12,13.9,100,1538576092756
14,37,41,0,19,13.88,90,1538576092757
37,0,0,0,11,13.9,10,1538576092757
37,0,0,0,19,13.88,10,1538576092757
0,0,0,0,4,13.84,100,1538576357870
0,0,0,0,12,13.84,100,1538576357870
0,0,0,0,19,13.82,100,1538576357870
14,41,0,0,12,13.78,100,1538576366757
14,41,0,0,12,13.78,100,1538576366757
14,41,0,0,12,13.77,100,1538576366757
0,0,0,0,12,13.75,500,1538576366757
