c1,c2,c3,c4,e,p,s,t
14,41,0,0,11,43.5,100,1539782880177
14,41,0,0,12,43.5,200,1539782965017
14,41,0,0,11,43.6,200,1539782965018
14,41,0,0,12,43.5,100,1539782970079
14,41,0,0,11,43.6,200,1539782970080
0,0,0,0,11,43.6,200,1539782973008
14,41,0,0,12,43.76,100,1539782975035
14,41,0,0,19,43.82,100,1539782975035
14,41,0,0,11,43.6,200,1539782975035
14,41,0,0,12,43.78,100,1539782980080
14,41,0,0,19,43.84,100,1539782980080
14,41,0,0,11,43.6,200,1539782980080
14,41,0,0,11,43.6,100,1539782982109
0,0,0,0,11,43.6,1500,1539782982109
0,0,0,0,11,43.6,300,1539782983269
14,41,0,0,12,43.8,100,1539782985145
14,41,0,0,19,43.86,100,1539782985146
14,41,0,0,11,43.6,100,1539782985146
14,41,0,0,11,43.65,100,1539782985146
37,0,0,0,12,44.15,22,1539782995084
0,0,0,0,11,43.65,400,1539782995084
0,0,0,0,11,43.65,100,1539782995084
0,0,0,0,11,43.65,200,1539782996067
51,0,0,0,0,43.85,,1539783000103
25,41,0,0,12,43.85,7541,1539783000103
25,16,0,0,12,43.85,7541,1539783000103
51,0,0,0,0,43.6475,,1539783002919
0,0,0,0,4,43.6475,100,1539783002919
37,0,0,0,4,40.09,5,1539783002927
37,0,0,0,4,42.97,5,1539783007806
51,0,0,0,0,42.97,,1539783007807
0,0,0,0,11,42.97,190,1539783007807
25,16,0,0,11,42.97,190,1539783007807
0,0,0,0,4,42.97,700,1539783007808
37,0,0,0,12,43.31,30,1539783007823
37,0,0,0,12,43.31,23,1539783007823
37,0,0,0,19,43.14,10,1539783007823
37,0,0,0,8,43.3,10,1539783007823
0,0,0,0,11,43.22,100,1539783007823
37,0,0,0,11,43.31,10,1539783007823
37,0,0,0,11,43.55,26,1539783007823
14,37,41,0,12,43.4,20,1539783018437
0,0,0,0,12,43.06,100,1539783056435
0,0,0,0,19,43.05,100,1539783056436
0,0,0,0,10,43.04,100,1539783056436
14,37,41,0,10,42.8,40,1539783056436
37,0,0,0,11,42.76,40,1539783056436
37,0,0,0,12,42.79,40,1539783056437
37,0,0,0,12,42.79,60,1539783056437
51,0,0,0,0,42.1622,,1539783059271
0,0,0,0,4,42.1622,180,1539783059271
37,0,0,0,4,41.9127,50,1539783059591
