c1,c2,c3,c4,e,p,s,t
0,0,0,0,11,67.05,100,1538483427784
14,37,41,0,11,67.05,32,1538483427785
14,37,41,0,8,67,32,1538483427785
37,0,0,0,11,67.05,45,1538483742023
37,0,0,0,11,69.98,75,1538483818718
37,0,0,0,8,68.5,59,1538484420117
37,0,0,0,4,68.2,15,1538484459574
0,0,0,0,4,68.01,985,1538484468970
0,0,0,0,4,68.75,1000,1538485338690
37,0,0,0,12,68.75,50,1538485389229
37,0,0,0,4,68.75,20,1538485447137
14,37,41,0,12,68.75,59,1538485449902
37,0,0,0,12,68.75,1,1538485895901
14,41,0,0,12,68.75,100,1538486309336
0,0,0,0,4,69.35,1000,1538486413155
14,41,0,0,18,69.35,100,1538486653118
0,0,0,0,4,69.5,200,1538486723448
0,0,0,0,11,69.35,100,1538486724139
0,0,0,0,12,69.3,100,1538486724140
0,0,0,0,11,69.51,100,1538486724140
0,0,0,0,11,69.51,100,1538486724140
14,41,0,0,12,69.41,100,1538486740294
14,37,41,0,12,69.54,10,1538486822878
14,37,41,0,12,69.49,10,1538486822879
14,37,41,0,12,69.37,80,1538486822879
14,37,41,0,12,69.37,20,1538486827370
14,41,0,0,12,68.75,100,1538486830942
14,41,0,0,12,68.75,200,1538486838575
14,41,0,0,12,68.75,190,1538486839095
0,0,0,0,11,68.99,200,1538486862413
0,0,0,0,11,69,100,1538486862413
14,41,0,0,11,69,100,1538486868327
0,0,0,0,11,69,100,1538486875007
0,0,0,0,11,69,323,1538486875007
14,41,0,0,12,68.7,100,1538486889255
14,41,0,0,12,69,100,1538486889256
14,41,0,0,12,69,100,1538486889256
14,41,0,0,12,69,100,1538486889256
14,41,0,0,11,69,100,1538486890022
14,41,0,0,11,68.9,300,1538486928442
14,41,0,0,11,68.8,400,1538486945062
0,0,0,0,11,68.89,100,1538486946919
14,37,41,0,11,69.05,5,1538486953679
14,37,41,0,8,69,5,1538486953679
51,0,0,0,0,69.66,,1538487050002
51,0,0,0,0,69.67,,1538487050002
51,0,0,0,0,69.69,,1538487050002
0,0,0,0,12,69.66,100,1538487050002
0,0,0,0,12,69.67,100,1538487050002
0,0,0,0,12,69.69,100,1538487050002
25,16,0,0,12,69.66,100,1538487050002
37,0,0,0,19,69.56,25,1538487056269
37,0,0,0,19,69.56,25,1538487059790
37,0,0,0,19,69.53,25,1538487062911
51,0,0,0,0,69.88,,1538487090001
51,0,0,0,0,69.9,,1538487090001
14,41,0,0,11,69.88,100,1538487090001
25,16,0,0,11,69.88,100,1538487090001
37,0,0,0,12,69.85,30,1538487090001
0,0,0,0,11,69.9,100,1538487090001
0,0,0,0,11,69.9,100,1538487090001
0,0,0,0,12,69.9,100,1538487090001
14,41,0,0,8,69.88,100,1538487090001
14,41,0,0,19,69.88,100,1538487090001
14,41,0,0,18,69.88,100,1538487090001
14,41,0,0,2,69.87,100,1538487090001
14,41,0,0,7,69.88,100,1538487090001
0,0,0,0,19,69.9,100,1538487090001
0,0,0,0,8,69.9,100,1538487090001
0,0,0,0,11,69.9,100,1538487090002
14,41,0,0,12,69.9,100,1538487090002
0,0,0,0,19,69.9,100,1538487090002
0,0,0,0,12,69.9,100,1538487090002
14,41,0,0,12,69.9,100,1538487090002
0,0,0,0,8,69.9,100,1538487090002
14,41,0,0,19,69.9,100,1538487090011
0,0,0,0,11,69.9,100,1538487090217
0,0,0,0,11,69.9,300,1538487090217
0,0,0,0,11,69.9,100,1538487090217
0,0,0,0,19,69.9,100,1538487090217
0,0,0,0,8,69.9,100,1538487090217
0,0,0,0,12,69.85,100,1538487090874
0,0,0,0,12,69.85,100,1538487090874
0,0,0,0,12,69.85,100,1538487090874
51,0,0,0,0,69.63,,1538487093803
14,37,41,0,11,69.63,50,1538487093803
0,0,0,0,11,69.63,200,1538487093803
14,37,41,0,11,69.62,50,1538487094377
37,0,0,0,11,69.62,50,1538487094377
51,0,0,0,0,69.62,,1538487094378
51,0,0,0,0,69.47,,1538487094378
0,0,0,0,19,69.62,100,1538487094378
0,0,0,0,18,69.62,100,1538487094378
0,0,0,0,11,69.47,100,1538487094378
0,0,0,0,11,69.71,100,1538487095001
14,37,41,0,3,69.77,50,1538487095001
14,37,41,0,3,69.79,50,1538487095001
0,0,0,0,8,69.71,100,1538487095001
0,0,0,0,12,69.74,100,1538487095001
0,0,0,0,11,69.76,100,1538487095001
37,0,0,0,19,69.79,10,1538487095001
0,0,0,0,12,69.74,100,1538487095001
14,41,0,0,18,69.76,100,1538487095001
14,37,41,0,11,69.53,50,1538487095227
14,41,0,0,11,69.76,100,1538487117613
14,41,0,0,11,69.85,200,1538487117613
37,0,0,0,11,69.85,14,1538487117615
14,41,0,0,18,69.82,100,1538487117615
14,41,0,0,19,69.83,100,1538487117615
14,41,0,0,8,69.83,100,1538487117615
14,41,0,0,12,69.85,100,1538487117615
14,41,0,0,18,69.9,100,1538487121879
14,37,41,0,7,69.9,10,1538487121879
14,37,41,0,8,69.9,90,1538487121879
14,37,41,0,11,69.54,50,1538487131364
37,0,0,0,15,69.46,50,1538487161206
51,0,0,0,0,69.46,,1538487161209
37,0,0,0,11,69.48,50,1538487161209
0,0,0,0,11,69.46,150,1538487161209
51,0,0,0,0,69.45,,1538487164814
0,0,0,0,11,69.46,250,1538487164814
0,0,0,0,11,69.45,100,1538487164814
0,0,0,0,11,69.45,100,1538487164814
37,0,0,0,11,69.45,50,1538487164814
0,0,0,0,11,69.45,200,1538487164814
0,0,0,0,19,69.45,100,1538487164816
25,0,0,0,10,69.62,25266,1538487169236
51,0,0,0,0,69.32,,1538487169238
51,0,0,0,0,69.27,,1538487169238
