c1,c2,c3,c4,e,p,s,t
37,0,0,0,8,43.43,93,1539955680172
14,41,0,0,11,42.97,100,1539955680172
25,41,0,0,12,40.41,7952,1539955800209
25,16,0,0,12,40.41,7952,1539955800209
37,0,0,0,12,40.85,60,1539955801633
14,37,41,0,12,40.83,15,1539955803731
37,0,0,0,4,40.1101,1,1539955804343
14,37,41,0,12,41.89,5,1539955830771
51,0,0,0,0,41.85,,1539955941109
14,41,0,0,12,41.85,100,1539955941109
0,0,0,0,12,41.85,214,1539955941109
51,0,0,0,0,42.14,,1539955984257
0,0,0,0,2,42.14,100,1539955984257
0,0,0,0,18,42.14,100,1539955984257
0,0,0,0,12,41.85,128,1539955984257
37,0,0,0,12,42.14,15,1539955984257
51,0,0,0,0,42.23,,1539955987889
51,0,0,0,0,42.24,,1539955987889
0,0,0,0,4,41.82,100,1539955987889
14,41,0,0,12,42.23,100,1539955987889
14,41,0,0,12,42.23,100,1539955987889
0,0,0,0,12,42.23,100,1539955987889
37,0,0,0,19,42.23,43,1539955987889
0,0,0,0,12,42.23,100,1539955987889
14,41,0,0,19,42.23,100,1539955987889
37,0,0,0,3,42.2,50,1539955987889
14,41,0,0,11,42.24,100,1539955987889
25,16,0,0,11,42.24,100,1539955987889
14,37,41,0,12,42.25,14,1539955987890
0,0,0,0,4,42.235,200,1539955987891
14,37,41,0,12,42.25,36,1539955987892
37,0,0,0,12,42.25,50,1539955989862
37,0,0,0,12,42.25,52,1539955989862
51,0,0,0,0,42.29,,1539955989865
0,0,0,0,4,42.16,100,1539955989865
0,0,0,0,12,42.29,100,1539955989865
0,0,0,0,4,42.22,1100,1539955989866
20,41,0,0,4,42.29,100,1539955989902
0,0,0,0,12,41.75,100,1539955989934
51,0,0,0,0,42.3,,1539955990336
0,0,0,0,4,42.27,100,1539955990336
0,0,0,0,12,42.3,100,1539955990336
51,0,0,0,0,43.01,,1539955990345
0,0,0,0,4,43.01,100,1539955990345
0,0,0,0,12,42.69,100,1539955990345
0,0,0,0,12,42.66,500,1539955990345
14,41,0,0,12,42.66,198,1539955990345
37,0,0,0,11,43.01,18,1539955990346
37,0,0,0,11,43.01,82,1539955990346
37,0,0,0,12,42.66,75,1539955990419
14,41,0,0,12,42.66,123,1539955990419
14,37,41,0,11,42.28,23,1539955990529
51,0,0,0,0,44.41,,1539955991137
0,0,0,0,4,44.41,100,1539955991137
0,0,0,0,4,44.32,409,1539955991281
51,0,0,0,0,44.45,,1539956000341
0,0,0,0,4,44.45,100,1539956000341
51,0,0,0,0,44.565,,1539956000342
0,0,0,0,4,44.565,100,1539956000342
0,0,0,0,4,44.29,150,1539956001663
0,0,0,0,4,42.71,100,1539956005258
0,0,0,0,4,42.71,200,1539956005647
0,0,0,0,4,44.445,100,1539956006353
0,0,0,0,4,44.56,100,1539956020101
37,0,0,0,4,43.64,2,1539956023034
37,0,0,0,4,44.29,81,1539956040252
0,0,0,0,4,44,700,1539956053112
14,37,41,0,12,44.01,13,1539956057472
37,0,0,0,12,43.575,3,1539956106721
37,0,0,0,12,44.01,5,1539956113811
0,0,0,0,4,43.34,100,1539956176590
14,41,0,0,12,43.77,100,1539956195417
14,41,0,0,12,44.05,100,1539956195418
14,37,41,0,12,42.86,15,1539956195483
0,0,0,0,4,43.34,100,1539956195532
10,2,32,41,4,43.5973,100,1539956221553
0,0,0,0,4,43.72,200,1539956222045
0,0,0,0,4,42.39,100,1539956255936
0,0,0,0,4,42.39,100,1539956260729
37,0,0,0,12,42.63,3,1539956266858
0,0,0,0,4,42.39,100,1539956301710
0,0,0,0,4,42.39,100,1539956305691
37,0,0,0,12,44.04,3,1539956341525
10,2,32,41,4,44.04,100,1539956401492
37,0,0,0,4,43.58,5,1539956416876
0,0,0,0,4,42.4,100,1539956531162
0,0,0,0,4,43.075,8190,1539956559902
0,0,0,0,4,42.09,100,1539956601004
0,0,0,0,4,42.09,100,1539956601017
0,0,0,0,4,42.09,100,1539956601018
37,0,0,0,4,42.3837,69,1539956632812
37,0,0,0,4,42.12,10,1539956648044
10,2,32,41,4,42.12,100,1539956761058
37,0,0,0,2,42.46,10,1539956767120
37,0,0,0,11,42.4,10,1539956767121
37,0,0,0,11,42.36,4,1539956767121
37,0,0,0,8,42.35,6,1539956767121
14,41,0,0,8,42.35,100,1539956767122
14,37,41,0,12,42.09,30,1539956767122
14,41,0,0,8,42.35,100,1539956767123
37,0,0,0,12,42.09,70,1539956767143
37,0,0,0,12,42.09,30,1539956767143
37,0,0,0,12,42.09,50,1539956767143
14,37,41,0,12,42.09,50,1539956767143
0,0,0,0,12,42.09,100,1539956767143
37,0,0,0,12,42.46,97,1539956767144
0,0,0,0,4,42.01,100,1539956767152
0,0,0,0,4,42.19,100,1539956767232
0,0,0,0,4,42.01,100,1539956767257
0,0,0,0,4,41.93,100,1539956770728
14,37,41,0,17,42.88,5,1539956772161
0,0,0,0,4,42.16,100,1539956856145
0,0,0,0,4,41.94,100,1539956899673
37,0,0,0,15,42.66,10,1539956946080
37,0,0,0,15,42.66,10,1539956946097
0,0,0,0,4,42.11,100,1539956961726
14,37,41,0,17,42.88,2,1539956974572
37,0,0,0,12,42.66,15,1539957013642
0,0,0,0,12,42.1,100,1539957013643
14,37,41,0,12,41.93,20,1539957013643
37,0,0,0,12,41.93,80,1539957013643
14,37,41,0,12,42.01,24,1539957013643
14,37,41,0,12,41.93,76,1539957013643
14,37,41,0,12,41.93,24,1539957013643
0,0,0,0,12,41.93,100,1539957013643
0,0,0,0,11,42.1,100,1539957013643
14,41,0,0,19,42.1,100,1539957013643
37,0,0,0,8,42.01,10,1539957013643
14,37,41,0,19,42.01,10,1539957013643
14,37,41,0,12,41.92,10,1539957013643
14,37,41,0,12,41.93,24,1539957013643
14,37,41,0,12,41.93,10,1539957013643
14,37,41,0,12,41.93,10,1539957013643
14,37,41,0,12,41.93,26,1539957013643
14,37,41,0,17,42.06,75,1539957013643
14,41,0,0,17,42.06,100,1539957013643
14,41,0,0,11,42.1,100,1539957013643
0,0,0,0,12,42.1,100,1539957013645
14,41,0,0,12,42.1,100,1539957013645
0,0,0,0,12,42.1,100,1539957013645
14,37,41,0,17,42.06,25,1539957013645
0,0,0,0,11,42.1,100,1539957013645
0,0,0,0,12,42.1,100,1539957013645
0,0,0,0,11,42.1,100,1539957013645
14,41,0,0,12,41.94,100,1539957013645
14,37,41,0,12,41.93,99,1539957013645
14,37,41,0,12,41.93,25,1539957013645
14,41,0,0,12,41.93,175,1539957013645
0,0,0,0,15,42.1,100,1539957013645
14,37,41,0,12,42.02,24,1539957013646
14,37,41,0,12,42.1,76,1539957013646
14,37,41,0,12,42.1,24,1539957013646
37,0,0,0,4,41.93,26,1539957013647
0,0,0,0,4,42.11,300,1539957013650
0,0,0,0,4,41.77,100,1539957013661
0,0,0,0,4,41.93,100,1539957013759
0,0,0,0,4,41.24,100,1539957013763
14,37,41,0,12,41.93,24,1539957013814
14,37,41,0,11,41.88,24,1539957013814
14,41,0,0,11,41.88,180,1539957013814
0,0,0,0,4,41.1,100,1539957025031
0,0,0,0,4,41.01,100,1539957025721
0,0,0,0,4,41.01,100,1539957030740
0,0,0,0,12,41.435,100,1539957032611
0,0,0,0,12,41.435,100,1539957039424
0,0,0,0,12,41.43,100,1539957049630
10,2,32,41,4,41.8736,100,1539957061212
0,0,0,0,4,41.83,100,1539957064258
0,0,0,0,4,41.83,100,1539957070262
0,0,0,0,4,41.8,100,1539957074278
0,0,0,0,4,41.81,100,1539957082043
0,0,0,0,4,41.785,100,1539957086990
0,0,0,0,4,41.41,100,1539957104301
0,0,0,0,4,41.8,100,1539957104302
37,0,0,0,4,41.03,10,1539957125027
14,41,0,0,11,41.77,100,1539957134122
0,0,0,0,4,41.11,100,1539957143861
0,0,0,0,4,41.02,100,1539957145739
37,0,0,0,4,41.395,1,1539957149150
0,0,0,0,4,41.02,100,1539957150742
37,0,0,0,4,41.75,21,1539957175741
0,0,0,0,4,41.41,100,1539957188617
14,37,41,0,12,41.69,46,1539957224391
14,41,0,0,12,41.67,100,1539957239396
37,0,0,0,15,41.21,10,1539957244172
37,0,0,0,4,41.71,11,1539957295401
0,0,0,0,11,41.6,100,1539957296900
37,0,0,0,4,41.71,89,1539957303650
37,0,0,0,4,41.71,11,1539957303650
14,37,41,0,12,41.7,90,1539957309491
37,0,0,0,4,41.3778,50,1539957311619
37,0,0,0,4,41.26,10,1539957363315
0,0,0,0,4,41.27,100,1539957370896
0,0,0,0,4,41.67,100,1539957373195
0,0,0,0,4,41.59,100,1539957428022
0,0,0,0,4,41.26,100,1539957453324
0,0,0,0,4,41.21,100,1539957455757
0,0,0,0,15,41.425,100,1539957455758
0,0,0,0,4,41.425,100,1539957455759
0,0,0,0,4,41.63,100,1539957463641
37,0,0,0,4,41.23,10,1539957482128
37,0,0,0,4,41.425,10,1539957482169
0,0,0,0,4,41.425,100,1539957486876
0,0,0,0,4,41.2437,104,1539957491155
37,0,0,0,4,41.425,90,1539957491157
0,0,0,0,4,41.3648,175,1539957514894
37,0,0,0,4,41.21,4,1539957554267
0,0,0,0,4,41.425,100,1539957558044
37,0,0,0,4,41.23,10,1539957561984
37,0,0,0,4,41.61,35,1539957567123
37,0,0,0,4,41.61,1,1539957567130
37,0,0,0,15,41.26,1,1539957574358
0,0,0,0,4,41.26,100,1539957574366
0,0,0,0,4,41.21,100,1539957575795
37,0,0,0,15,41.21,10,1539957583399
0,0,0,0,11,41.21,200,1539957604492
37,0,0,0,11,41.21,93,1539957604492
37,0,0,0,4,41.21,2,1539957616912
37,0,0,0,12,41.27,4,1539957628712
0,0,0,0,4,41.57,100,1539957649414
0,0,0,0,4,41.25,100,1539957649432
0,0,0,0,4,41.58,700,1539957658763
0,0,0,0,4,41.385,100,1539957688730
0,0,0,0,4,41.52,100,1539957769650
0,0,0,0,4,41.385,100,1539957771511
0,0,0,0,4,41.52,100,1539957841410
37,0,0,0,4,41.38,1,1539957887110
0,0,0,0,4,41.29,100,1539957927677
0,0,0,0,4,41.26,100,1539957930794
37,0,0,0,4,41.405,1,1539958005566
0,0,0,0,4,41.405,100,1539958009380
0,0,0,0,4,41.405,100,1539958084473
0,0,0,0,2,41.48,100,1539958086457
