c1,c2,c3,c4,e,p,s,t
37,0,0,0,11,130,10,1538047447401
37,0,0,0,11,130.05,26,1538047570782
14,37,41,0,11,130.05,64,1538048138169
0,0,0,0,4,129.5,365,1538049608516
14,37,41,0,12,128,15,1538049883330
37,0,0,0,11,127,1,1538049988185
14,37,41,0,11,127,8,1538050227595
14,37,41,0,11,127,8,1538050227595
37,0,0,0,11,126.5,50,1538050239905
37,0,0,0,4,126.9999,50,1538050300644
0,0,0,0,4,126.9999,122,1538050306099
14,37,41,0,8,125.5,20,1538051541873
0,0,0,0,4,124.9999,386,1538051606205
14,41,0,0,11,123.5,300,1538051812201
14,37,41,0,12,123.05,35,1538051812201
14,37,41,0,11,123.23,50,1538051812201
14,41,0,0,11,123,1000,1538051812202
14,37,41,0,11,123,15,1538051812202
14,41,0,0,12,123,100,1538051886505
14,41,0,0,11,123,305,1538051888843
37,0,0,0,4,123,29,1538052119149
37,0,0,0,11,123,13,1538052129852
37,0,0,0,4,123,64,1538052231390
37,0,0,0,4,124.95,5,1538052938312
37,0,0,0,11,123.5,8,1538053344736
37,0,0,0,11,123.7,31,1538053357034
37,0,0,0,11,123.08,2,1538053407317
37,0,0,0,4,123,2,1538053408590
14,37,41,0,11,123.01,25,1538053609858
14,41,0,0,11,123,159,1538053609858
14,41,0,0,11,123.75,100,1538053686639
37,0,0,0,11,123.5,3,1538053946814
37,0,0,0,11,123.11,1,1538053946814
37,0,0,0,11,123,6,1538053946814
37,0,0,0,4,124,1,1538053992465
37,0,0,0,4,124,8,1538054018979
37,0,0,0,8,123.5,1,1538054042183
14,41,0,0,11,123,150,1538054042196
14,37,41,0,11,122.96,49,1538054042211
14,37,41,0,8,123.05,49,1538054042212
37,0,0,0,8,123.05,1,1538054133311
0,0,0,0,12,123.01,100,1538054139686
0,0,0,0,12,123.01,100,1538054251782
37,0,0,0,8,123.01,1,1538054374868
14,37,41,0,8,123.89,10,1538054380365
14,37,41,0,8,124,4,1538054380365
14,37,41,0,12,123.88,10,1538054380365
14,37,41,0,11,123.88,50,1538054831781
14,37,41,0,11,123.05,2,1538054831781
14,37,41,0,11,123,48,1538054831781
14,37,41,0,11,123,2,1538054831782
14,37,41,0,12,123.02,30,1538054831790
14,37,41,0,8,123.01,25,1538054831793
14,37,41,0,8,123.01,2,1538054831793
14,37,41,0,8,123,20,1538054831793
14,37,41,0,11,122.99,27,1538054831793
14,37,41,0,11,122.99,20,1538054831793
51,0,0,0,0,124.5,,1538055002034
0,0,0,0,4,124.5,100,1538055002034
37,0,0,0,12,123.02,30,1538055002108
25,16,0,0,12,123.02,30,1538055002108
0,0,0,0,4,124.5,100,1538055002756
0,0,0,0,4,124.5,100,1538055002824
51,0,0,0,0,122.88,,1538055008487
51,0,0,0,0,123,,1538055008487
51,0,0,0,0,122.69,,1538055008487
51,0,0,0,0,122.38,,1538055008487
25,0,0,0,10,123,22697,1538055008487
0,0,0,0,10,122.88,100,1538055008487
0,0,0,0,10,122.69,100,1538055008487
37,0,0,0,10,122.45,3,1538055008487
37,0,0,0,10,122.41,15,1538055008487
0,0,0,0,10,122.38,100,1538055008487
37,0,0,0,10,122.22,7,1538055008487
14,41,0,0,12,123.02,100,1538055008488
37,0,0,0,10,122.22,10,1538055008489
14,37,41,0,10,122,4,1538055008489
14,37,41,0,10,122,5,1538055008489
37,0,0,0,12,123.02,10,1538055008489
51,0,0,0,0,122,,1538055008490
37,0,0,0,10,122.22,10,1538055008490
0,0,0,0,10,122,111,1538055008490
37,0,0,0,19,123.43,10,1538055008490
37,0,0,0,8,123.43,10,1538055008490
37,0,0,0,8,122.5,15,1538055008490
37,0,0,0,12,123.02,20,1538055008490
37,0,0,0,19,122.96,64,1538055008490
0,0,0,0,4,124,200,1538055008492
37,0,0,0,4,122,3,1538055008493
37,0,0,0,4,122.22,17,1538055008493
37,0,0,0,4,122,8,1538055008493
37,0,0,0,4,122,8,1538055008494
37,0,0,0,4,123,20,1538055008495
0,0,0,0,4,122.04,100,1538055008495
37,0,0,0,4,122.5,53,1538055008496
37,0,0,0,8,123.43,24,1538055008497
37,0,0,0,19,123.17,30,1538055008499
14,37,41,0,11,123,75,1538055008499
25,16,0,0,11,123,75,1538055008499
37,0,0,0,4,122.96,55,1538055008499
37,0,0,0,3,122,30,1538055008500
14,37,41,0,3,122,70,1538055008501
37,0,0,0,12,123.02,8,1538055008501
0,0,0,0,4,122.4365,100,1538055008502
37,0,0,0,4,122.705,30,1538055008505
37,0,0,0,4,122.905,25,1538055008505
37,0,0,0,4,122.905,25,1538055008506
37,0,0,0,12,123.02,32,1538055008507
37,0,0,0,11,122,10,1538055008507
37,0,0,0,4,122.905,50,1538055008508
37,0,0,0,11,122,28,1538055008508
0,0,0,0,4,122.14,100,1538055008509
0,0,0,0,4,122,100,1538055008509
37,0,0,0,4,122.905,45,1538055008510
0,0,0,0,4,122.4365,100,1538055008510
37,0,0,0,8,122.91,15,1538055008510
0,0,0,0,4,122.03,100,1538055008511
37,0,0,0,4,122.623,50,1538055008511
37,0,0,0,4,122.905,68,1538055008512
14,37,41,0,11,122,62,1538055008512
14,41,0,0,11,122,100,1538055008512
14,41,0,0,10,122.11,100,1538055008512
14,41,0,0,10,122,100,1538055008512
37,0,0,0,4,122.905,4,1538055008512
14,37,41,0,8,122.5,60,1538055008512
14,37,41,0,8,122,40,1538055008512
14,41,0,0,8,122,100,1538055008513
0,0,0,0,4,122.905,100,1538055008513
14,41,0,0,12,122.51,100,1538055008513
37,0,0,0,4,122.905,5,1538055008513
0,0,0,0,4,122.52,200,1538055008513
37,0,0,0,4,122.575,23,1538055008514
0,0,0,0,12,122.51,100,1538055008514
37,0,0,0,4,122.09,19,1538055008514
37,0,0,0,10,122.08,7,1538055008516
37,0,0,0,4,122.5976,63,1538055008517
37,0,0,0,4,122,18,1538055008518
0,0,0,0,4,122,568,1538055008518
37,0,0,0,4,122,5,1538055008518
0,0,0,0,4,122.3,100,1538055008518
37,0,0,0,4,122.5,9,1538055008518
37,0,0,0,4,122,3,1538055008519
37,0,0,0,4,122.43,15,1538055008519
37,0,0,0,4,122.5,59,1538055008519
0,0,0,0,4,122,200,1538055008519
0,0,0,0,4,122,100,1538055008520
0,0,0,0,4,122,188,1538055008520
37,0,0,0,4,122.03,50,1538055008523
0,0,0,0,11,122.86,100,1538055008523
0,0,0,0,17,122.86,100,1538055008524
37,0,0,0,4,122.43,7,1538055008526
