c1,c2,c3,c4,e,p,s,t
37,0,0,0,11,40.95,20,1537442088777
37,0,0,0,11,40.95,10,1537442088777
14,37,41,0,8,41,70,1537442088778
0,0,0,0,8,40.55,957,1537442708690
14,41,0,0,11,40.5,200,1537442713219
14,41,0,0,8,40.5,300,1537442822278
14,41,0,0,8,40.5,325,1537442822278
14,41,0,0,8,40.5,300,1537442822870
14,41,0,0,8,40.5,168,1537442822870
14,41,0,0,8,40.5,300,1537442823487
14,41,0,0,8,40.5,1107,1537442823487
14,41,0,0,8,40.5,200,1537442827926
14,41,0,0,8,40.5,100,1537442830597
37,0,0,0,8,40.45,50,1537442913622
0,0,0,0,11,40.4,100,1537442923099
37,0,0,0,11,40.4,50,1537442947988
37,0,0,0,11,40.4,33,1537443008276
14,37,41,0,11,40.4,1,1537443092691
0,0,0,0,11,40.4,100,1537443489289
0,0,0,0,11,40.4,100,1537443565098
14,41,0,0,11,40.4,210,1537443590034
0,0,0,0,11,40.4,406,1537443590035
0,0,0,0,11,40.3,500,1537443593562
37,0,0,0,11,40.2,20,1537443609134
0,0,0,0,8,40.5,300,1537444626585
0,0,0,0,8,40.5,300,1537444626585
37,0,0,0,8,40.5,91,1537444629144
14,41,0,0,8,40.5,209,1537444633900
14,37,41,0,8,40.5,1,1537444633900
14,41,0,0,8,40.5,271,1537444670586
14,37,41,0,8,40.5,20,1537444670986
0,0,0,0,8,40.5,200,1537444676615
37,0,0,0,8,40.5,51,1537444680799
37,0,0,0,4,40.555,21,1537444801309
0,0,0,0,4,40.49,1000,1537444801961
37,0,0,0,4,40.555,50,1537444805708
37,0,0,0,11,40.7,20,1537444906631
14,41,0,0,8,41,155,1537444960788
37,0,0,0,4,40.105,50,1537445035940
37,0,0,0,4,40.205,80,1537445204461
0,0,0,0,11,41.3,100,1537445453237
0,0,0,0,4,40.4,2000,1537445489349
0,0,0,0,11,40.45,149,1537445549762
0,0,0,0,11,40.45,100,1537445584883
37,0,0,0,11,40.45,1,1537445586660
14,37,41,0,12,40.85,1,1537446714119
37,0,0,0,4,40.945,45,1537446838830
0,0,0,0,4,40.8,1550,1537446908030
14,37,41,0,8,40.9,15,1537446960009
14,37,41,0,12,40.9,15,1537446999397
14,37,41,0,12,40.85,50,1537447592403
0,0,0,0,4,40.55,100,1537447783209
14,37,41,0,8,40.9,1,1537447800010
