c1,c2,c3,c4,e,p,s,t
25,41,0,0,12,20.11,7184,1539783000628
25,16,0,0,12,20.11,7184,1539783000628
14,37,41,0,12,20.08,1,1539783001887
37,0,0,0,4,19.25,2,1539783004656
51,0,0,0,0,19.67,,1539783041700
0,0,0,0,4,19.67,120,1539783041700
37,0,0,0,4,19.17,1,1539783041706
51,0,0,0,0,19.17,,1539783071781
0,0,0,0,4,19.17,100,1539783071781
37,0,0,0,4,19.17,5,1539783071787
14,37,41,0,12,19.98,3,1539783115136
14,37,41,0,19,20.04,95,1539783115136
14,37,41,0,11,20.04,2,1539783115136
25,16,0,0,11,20.04,2,1539783115136
37,0,0,0,4,19.4589,5,1539783178097
37,0,0,0,4,19.49,4,1539783181094
0,0,0,0,4,19.6,100,1539783218855
0,0,0,0,4,19.6,100,1539783223443
0,0,0,0,4,19.6,100,1539783223445
0,0,0,0,4,20.04,100,1539783240641
0,0,0,0,4,19.68,100,1539783244020
0,0,0,0,12,19.71,100,1539783244020
0,0,0,0,15,19.71,100,1539783244025
37,0,0,0,4,19.68,36,1539783244396
37,0,0,0,19,19.72,4,1539783258204
37,0,0,0,19,19.72,96,1539783258204
37,0,0,0,4,19.72,4,1539783258211
0,0,0,0,4,19.885,400,1539783261095
37,0,0,0,12,19.77,40,1539783285943
37,0,0,0,12,19.77,60,1539783285943
0,0,0,0,11,19.756,100,1539783285943
14,41,0,0,12,19.74,100,1539783285943
0,0,0,0,12,19.74,100,1539783285943
37,0,0,0,11,19.74,41,1539783285943
14,41,0,0,18,19.74,100,1539783285944
0,0,0,0,4,19.47,100,1539783285953
0,0,0,0,4,19.47,500,1539783285959
14,37,41,0,12,19.51,4,1539783286489
0,0,0,0,12,19.48,100,1539783286489
37,0,0,0,12,19.48,30,1539783286489
0,0,0,0,12,19.46,100,1539783286489
37,0,0,0,19,19.49,10,1539783286489
14,37,41,0,12,19.48,4,1539783286489
14,37,41,0,12,19.48,66,1539783286489
14,37,41,0,12,19.48,30,1539783286489
14,37,41,0,12,19.48,4,1539783286489
14,37,41,0,12,19.48,4,1539783286489
37,0,0,0,12,19.48,2,1539783286489
0,0,0,0,4,19.27,200,1539783287016
0,0,0,0,8,19.28,100,1539783292274
0,0,0,0,8,19.27,900,1539783292274
0,0,0,0,8,19.27,100,1539783292274
0,0,0,0,8,19.28,100,1539783292274
14,41,0,0,12,19.29,100,1539783292877
14,37,41,0,12,19.29,13,1539783292877
14,41,0,0,12,19.29,100,1539783292878
14,41,0,0,12,19.31,100,1539783292879
0,0,0,0,10,19.32,100,1539783292879
0,0,0,0,12,19.29,100,1539783293222
14,37,41,0,12,19.29,92,1539783293222
14,37,41,0,12,19.29,8,1539783293222
14,37,41,0,12,19.29,92,1539783293222
14,37,41,0,12,19.26,33,1539783293222
0,0,0,0,12,19.26,267,1539783293222
14,41,0,0,12,19.26,100,1539783293222
51,0,0,0,0,18.87,,1539783294709
0,0,0,0,4,18.87,100,1539783294709
0,0,0,0,12,18.92,100,1539783294709
0,0,0,0,12,18.91,100,1539783294709
0,0,0,0,4,18.87,100,1539783294710
0,0,0,0,12,18.87,200,1539783294713
0,0,0,0,12,18.87,100,1539783294713
14,41,0,0,12,18.87,100,1539783294713
14,41,0,0,2,18.87,100,1539783294713
14,41,0,0,12,18.87,100,1539783294713
14,41,0,0,18,18.87,100,1539783294713
14,41,0,0,19,18.87,100,1539783294713
14,41,0,0,8,18.87,100,1539783294713
14,41,0,0,8,18.87,100,1539783294713
14,41,0,0,19,18.87,100,1539783294713
0,0,0,0,4,18.87,200,1539783294713
14,41,0,0,11,18.87,100,1539783294713
14,41,0,0,11,18.87,100,1539783294713
14,41,0,0,10,18.87,100,1539783294713
14,41,0,0,10,18.87,100,1539783294713
0,0,0,0,4,18.87,100,1539783294713
0,0,0,0,4,18.87,100,1539783294715
37,0,0,0,4,18.85,20,1539783294715
51,0,0,0,0,18.85,,1539783294900
37,0,0,0,12,18.85,3,1539783294900
0,0,0,0,12,18.85,197,1539783294900
51,0,0,0,0,18.73,,1539783295014
0,0,0,0,4,18.73,600,1539783295014
37,0,0,0,12,18.75,42,1539783297684
0,0,0,0,12,18.75,158,1539783297684
0,0,0,0,12,18.75,158,1539783297684
51,0,0,0,0,18.7,,1539783299511
0,0,0,0,12,18.7,117,1539783299511
37,0,0,0,12,18.73,9,1539783311488
14,37,41,0,12,18.73,44,1539783315310
14,37,41,0,12,18.64,6,1539783343309
37,0,0,0,12,18.56,40,1539783348821
37,0,0,0,12,18.56,30,1539783348821
37,0,0,0,12,18.58,5,1539783348821
14,37,41,0,12,18.56,70,1539783348821
14,37,41,0,12,18.58,5,1539783348821
14,41,0,0,2,18.71,100,1539783348823
