c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,43.47,16,1539648242754
14,37,41,0,11,43.84,84,1539687300183
14,37,41,0,11,43.88,88,1539687300183
14,37,41,0,11,43.94,94,1539687300183
14,37,41,0,12,43.66,80,1539687300183
14,37,41,0,11,43.98,98,1539687300183
14,41,0,0,11,44.04,1700,1539687300183
14,41,0,0,11,43.75,100,1539687331197
14,41,0,0,11,43.75,106,1539687331197
14,41,0,0,11,44.01,100,1539687354408
0,0,0,0,11,44,100,1539687354924
0,0,0,0,11,44,800,1539687354924
0,0,0,0,11,44.01,100,1539687357637
0,0,0,0,11,44.01,100,1539687357637
37,0,0,0,11,44,39,1539687357637
37,0,0,0,11,44,61,1539687358127
37,0,0,0,11,44,39,1539687358127
0,0,0,0,11,44,400,1539687358127
14,41,0,0,11,44.01,100,1539687359431
0,0,0,0,11,44.02,100,1539687364554
0,0,0,0,11,44.01,100,1539687364554
14,41,0,0,11,44,100,1539687390375
14,41,0,0,11,44.02,100,1539687401134
0,0,0,0,11,44,100,1539687406090
0,0,0,0,11,44,300,1539687406090
37,0,0,0,11,44,17,1539687412677
14,41,0,0,11,44.37,500,1539687433128
14,41,0,0,11,44.35,100,1539687451045
14,41,0,0,11,44.37,528,1539687451045
14,41,0,0,11,44.39,200,1539687451045
14,41,0,0,11,44.41,1500,1539687451045
14,37,41,0,11,44.45,25,1539687451045
14,41,0,0,11,44.46,147,1539687451045
14,41,0,0,11,44.44,100,1539687463052
37,0,0,0,11,44.4,10,1539687493423
37,0,0,0,12,44.4,90,1539687510333
0,0,0,0,12,44.4,100,1539687510333
37,0,0,0,11,44.44,90,1539687514223
37,0,0,0,11,44.44,50,1539687514223
37,0,0,0,11,44.44,60,1539687514223
14,41,0,0,12,44.44,190,1539687515841
0,0,0,0,11,44.38,200,1539687524994
14,41,0,0,11,44.49,240,1539687537022
14,37,41,0,11,44.6,65,1539687600004
14,41,0,0,11,44.4,100,1539687610002
14,37,41,0,11,44.4,30,1539687610002
14,41,0,0,7,44.48,100,1539687610653
14,41,0,0,18,44.48,100,1539687610653
14,41,0,0,12,44.41,100,1539687611070
14,41,0,0,11,44.4,100,1539687617110
14,37,41,0,11,44.4,41,1539687617110
0,0,0,0,11,44.4,100,1539687627263
0,0,0,0,11,44.4,190,1539687627263
0,0,0,0,8,44.4,100,1539687629034
14,41,0,0,12,44.39,100,1539687630961
14,41,0,0,12,44.38,100,1539687632634
0,0,0,0,11,44.5,1000,1539687632922
37,0,0,0,12,44.38,20,1539687632923
0,0,0,0,12,44.3,100,1539687682797
14,41,0,0,8,44.4,300,1539687700969
37,0,0,0,11,44.43,20,1539687703276
0,0,0,0,11,44.44,250,1539687703276
37,0,0,0,11,44.44,75,1539687704111
0,0,0,0,11,44.49,1200,1539687716864
0,0,0,0,11,44.5,100,1539687716865
0,0,0,0,11,44.5,1000,1539687717560
14,41,0,0,11,44.5,2450,1539687717634
14,41,0,0,12,44.6,200,1539687721866
14,41,0,0,18,44.6,100,1539687721867
0,0,0,0,8,44.61,100,1539687722595
14,41,0,0,19,44.61,100,1539687722597
0,0,0,0,8,44.62,100,1539687724508
14,41,0,0,19,44.62,100,1539687724509
14,41,0,0,19,44.63,100,1539687725930
14,41,0,0,19,44.63,100,1539687725930
14,41,0,0,12,44.65,100,1539687734675
14,41,0,0,12,44.65,100,1539687734676
14,41,0,0,12,44.65,100,1539687737306
14,41,0,0,12,44.65,100,1539687737340
14,41,0,0,12,44.69,100,1539687737341
14,37,41,0,12,44.69,30,1539687737341
14,41,0,0,12,44.7,250,1539687737341
14,41,0,0,12,44.74,280,1539687737342
14,41,0,0,12,44.74,500,1539687738477
14,41,0,0,12,44.74,200,1539687742465
14,41,0,0,12,44.75,1000,1539687747594
14,41,0,0,12,44.75,100,1539687747739
14,41,0,0,12,44.74,400,1539687748463
0,0,0,0,12,44.74,600,1539687748593
14,37,41,0,12,44.75,30,1539687748868
14,41,0,0,12,44.71,200,1539687749699
14,41,0,0,12,44.75,100,1539687750379
0,0,0,0,12,44.75,130,1539687750520
14,41,0,0,12,44.71,345,1539687752190
37,0,0,0,12,44.74,20,1539687752353
14,37,41,0,12,44.71,55,1539687752355
14,41,0,0,19,44.66,100,1539687753396
14,41,0,0,19,44.65,100,1539687753396
14,37,41,0,12,44.72,20,1539687753499
14,41,0,0,12,44.72,180,1539687753499
37,0,0,0,12,44.69,20,1539687769122
14,37,41,0,12,44.5,50,1539687807064
14,41,0,0,12,44.44,100,1539687813360
14,41,0,0,19,44.44,100,1539687813360
14,41,0,0,12,44.4,300,1539687813360
14,41,0,0,11,44.6,710,1539687814060
0,0,0,0,11,44.6,290,1539687816692
37,0,0,0,11,44.6,20,1539687816692
14,41,0,0,12,44.6,100,1539687825721
0,0,0,0,11,44.48,100,1539687871025
0,0,0,0,12,44.59,100,1539687897912
14,41,0,0,11,44.48,200,1539687925428
0,0,0,0,11,44.48,200,1539687926780
0,0,0,0,11,44.48,300,1539687926790
14,41,0,0,11,44.48,135,1539687927383
14,37,41,0,11,44.48,65,1539687928872
14,41,0,0,11,44.48,435,1539687928872
0,0,0,0,11,44.48,565,1539687928872
0,0,0,0,11,44.47,100,1539687930384
14,41,0,0,12,44.4,200,1539687933944
14,41,0,0,12,44.4,300,1539687934560
14,41,0,0,12,44.4,900,1539687935227
14,41,0,0,11,44.4,1000,1539687935935
14,41,0,0,8,44.3,100,1539687938768
0,0,0,0,11,44.3,400,1539687939441
14,41,0,0,11,44.3,100,1539687939736
37,0,0,0,11,44.25,14,1539687994827
14,41,0,0,12,44.25,300,1539688014310
14,41,0,0,12,44.25,200,1539688014320
14,41,0,0,12,44.2,100,1539688023066
14,37,41,0,12,44.2,80,1539688025010
14,37,41,0,12,44.2,20,1539688025010
14,41,0,0,12,44.2,300,1539688025601
14,41,0,0,12,44.2,100,1539688032073
14,41,0,0,12,44.2,100,1539688034058
14,37,41,0,12,44.2,80,1539688040965
14,37,41,0,12,44.2,20,1539688040965
0,0,0,0,11,44.15,100,1539688083581
14,41,0,0,11,44.15,300,1539688084790
0,0,0,0,11,44.15,500,1539688086329
14,41,0,0,12,44.19,100,1539688086682
0,0,0,0,11,44.15,100,1539688088059
0,0,0,0,12,44.2,580,1539688106893
0,0,0,0,12,44.2,700,1539688106893
14,41,0,0,19,44.28,100,1539688108105
14,37,41,0,11,44.3,50,1539688108105
14,41,0,0,12,44.3,250,1539688108105
37,0,0,0,11,44.3,55,1539688113841
14,41,0,0,12,44.48,256,1539688236548
14,41,0,0,11,44.49,200,1539688236548
14,41,0,0,19,44.28,100,1539688236548
14,41,0,0,12,44.31,200,1539688236548
14,37,41,0,12,44.5,44,1539688236549
14,37,41,0,12,44.5,56,1539688239522
14,37,41,0,12,44.5,44,1539688239522
14,37,41,0,12,44.5,56,1539688239522
14,41,0,0,12,44.5,100,1539688239522
14,41,0,0,12,44.5,489,1539688239522
14,41,0,0,19,44.37,100,1539688279457
14,37,41,0,12,44.38,25,1539688281635
14,41,0,0,12,44.37,300,1539688434535
37,0,0,0,11,44.39,35,1539688487668
0,0,0,0,11,44.38,100,1539688511145
14,37,41,0,12,44.39,25,1539688519432
0,0,0,0,11,44.38,165,1539688521918
14,37,41,0,12,44.39,75,1539688527336
14,37,41,0,12,44.4,25,1539688527336
0,0,0,0,11,44.38,200,1539688531171
14,37,41,0,12,44.4,75,1539688531472
14,37,41,0,12,44.4,25,1539688531472
14,37,41,0,12,44.4,75,1539688531472
14,37,41,0,12,44.4,25,1539688531472
37,0,0,0,12,44.4,30,1539688574067
14,37,41,0,12,44.4,45,1539688595395
14,37,41,0,12,44.4,55,1539688595395
0,0,0,0,11,44.4,100,1539688596678
0,0,0,0,11,44.4,400,1539688596678
0,0,0,0,11,44.4,100,1539688614636
0,0,0,0,11,44.4,100,1539688614636
