c1,c2,c3,c4,e,p,s,t
0,0,0,0,11,161.07,200,1539775368952
37,0,0,0,4,159.9999,75,1539777601364
0,0,0,0,4,159.9999,5000,1539777627904
37,0,0,0,11,159.5,3,1539777635123
0,0,0,0,11,158.69,100,1539778125823
14,37,41,0,8,157,32,1539778726960
37,0,0,0,11,156.37,50,1539778852759
37,0,0,0,11,156.22,14,1539778852759
0,0,0,0,11,157,168,1539778901525
14,41,0,0,11,157,100,1539778901526
14,41,0,0,8,157,150,1539778901526
14,41,0,0,11,157,100,1539778901526
14,41,0,0,11,157,282,1539778901526
14,41,0,0,11,157,100,1539778901527
14,41,0,0,11,157,100,1539778901527
14,41,0,0,11,157,118,1539778904284
14,37,41,0,11,157.26,85,1539778977729
14,41,0,0,11,157.16,164,1539778977729
14,41,0,0,11,157,100,1539778977729
14,41,0,0,11,157,651,1539778977729
37,0,0,0,4,159,12,1539780625386
37,0,0,0,11,160.59,30,1539782997944
37,0,0,0,11,160.59,45,1539782998821
37,0,0,0,11,160.59,25,1539783000032
25,16,0,0,11,160.59,25,1539783000032
37,0,0,0,11,160.89,86,1539783000032
14,37,41,0,11,160.89,14,1539783000272
14,37,41,0,11,160.99,97,1539783000272
51,0,0,0,0,159.21,,1539783000328
25,41,0,0,12,159.21,100,1539783000328
25,16,0,0,12,159.21,100,1539783000328
51,0,0,0,0,160.86,,1539783005007
0,0,0,0,12,160.86,100,1539783005007
37,0,0,0,11,160.88,50,1539783005007
37,0,0,0,11,161,61,1539783005007
37,0,0,0,12,160.99,3,1539783005007
51,0,0,0,0,161,,1539783005701
0,0,0,0,11,161,111,1539783005701
14,41,0,0,11,161,111,1539783005711
0,0,0,0,4,161,111,1539783006245
14,41,0,0,11,161,100,1539783006372
0,0,0,0,11,161,111,1539783010006
0,0,0,0,11,161,506,1539783010006
37,0,0,0,19,160.37,15,1539783065006
14,37,41,0,19,161,13,1539783065007
14,37,41,0,12,160.98,15,1539783065007
14,37,41,0,12,160.99,15,1539783065007
