c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,12.66,3,1539734641718
0,0,0,0,4,13.2,500,1539777604281
14,41,0,0,8,13.05,394,1539778397773
14,41,0,0,11,13.05,100,1539778397773
14,41,0,0,12,13.13,100,1539778506135
0,0,0,0,4,13.06,5500,1539778612048
0,0,0,0,4,13.08,795,1539778704840
14,41,0,0,12,13.06,100,1539779091579
37,0,0,0,11,12.95,50,1539779255796
14,37,41,0,11,12.92,56,1539779255796
14,37,41,0,8,13.05,56,1539779255796
0,0,0,0,4,12.91,583,1539779293729
14,41,0,0,11,13.08,205,1539779293893
0,0,0,0,4,12.91,106,1539779321878
14,41,0,0,8,13.1,100,1539780964214
37,0,0,0,8,13,15,1539781497137
14,37,41,0,11,12.93,85,1539781497150
14,41,0,0,11,12.93,115,1539781498568
14,41,0,0,11,12.93,110,1539781498568
14,41,0,0,12,12.91,275,1539781498572
37,0,0,0,4,13,10,1539781617800
0,0,0,0,4,13,400,1539781842924
37,0,0,0,4,13,1,1539781892589
0,0,0,0,4,12.9999,400,1539781896462
37,0,0,0,4,13,8,1539781897002
37,0,0,0,4,12.9964,31,1539781897070
37,0,0,0,4,13,10,1539781913599
37,0,0,0,4,13,5,1539781931990
14,37,41,0,12,13.03,10,1539782058563
14,41,0,0,12,13.06,158,1539782058563
0,0,0,0,4,13,250,1539782845163
51,0,0,0,0,13.1,,1539783001939
25,0,0,0,10,13.1,30983,1539783001939
0,0,0,0,10,13.1,3678,1539783001942
37,0,0,0,12,13.1,5,1539783001942
25,16,0,0,12,13.1,5,1539783001942
51,0,0,0,0,13.11,,1539783001943
0,0,0,0,12,13.11,300,1539783001943
0,0,0,0,12,13.1,395,1539783001943
37,0,0,0,4,13.1,50,1539783001947
37,0,0,0,10,13.06,8,1539783001952
51,0,0,0,0,13.03,,1539783002785
0,0,0,0,10,13.03,300,1539783002785
0,0,0,0,4,13.1,170,1539783003946
0,0,0,0,4,13.06,550,1539783004729
0,0,0,0,4,13.05,144,1539783005816
37,0,0,0,12,13.06,20,1539783006002
37,0,0,0,10,13,63,1539783006055
51,0,0,0,0,13.01,,1539783021244
0,0,0,0,4,13.01,700,1539783021244
0,0,0,0,11,13.01,100,1539783021245
25,16,0,0,11,13.01,100,1539783021245
0,0,0,0,10,13.02,100,1539783021245
37,0,0,0,10,13.02,92,1539783021245
37,0,0,0,10,13.01,8,1539783021245
0,0,0,0,11,13.01,100,1539783021245
0,0,0,0,19,13.01,100,1539783021245
14,37,41,0,11,13.01,41,1539783021245
14,37,41,0,11,13.01,1,1539783021245
0,0,0,0,4,13.01,300,1539783021245
14,41,0,0,10,13.01,100,1539783021245
0,0,0,0,12,13.01,100,1539783021245
51,0,0,0,0,13,,1539783021246
37,0,0,0,10,13.01,92,1539783021246
0,0,0,0,10,13,800,1539783021246
0,0,0,0,10,13,2707,1539783021246
0,0,0,0,12,13,300,1539783021246
0,0,0,0,4,13,200,1539783021248
37,0,0,0,4,12.95,40,1539783021251
0,0,0,0,4,13.01,200,1539783021255
51,0,0,0,0,12.9759,,1539783021410
0,0,0,0,4,12.9759,500,1539783021410
0,0,0,0,4,12.98,200,1539783021991
0,0,0,0,4,12.98,200,1539783023985
0,0,0,0,4,12.98,600,1539783023986
37,0,0,0,4,12.95,50,1539783023990
51,0,0,0,0,12.9729,,1539783027336
0,0,0,0,4,12.9729,105,1539783027336
14,37,41,0,18,12.99,2,1539783033132
0,0,0,0,4,12.975,400,1539783034573
0,0,0,0,4,12.975,200,1539783034578
0,0,0,0,4,12.975,300,1539783034579
0,0,0,0,4,12.975,200,1539783034579
51,0,0,0,0,12.951,,1539783037910
51,0,0,0,0,12.95,,1539783037910
0,0,0,0,10,12.951,200,1539783037910
0,0,0,0,11,12.95,100,1539783037910
0,0,0,0,8,12.95,100,1539783037910
0,0,0,0,19,12.95,100,1539783037911
0,0,0,0,4,12.975,400,1539783037911
0,0,0,0,4,12.96,400,1539783037960
0,0,0,0,4,12.96,400,1539783042882
37,0,0,0,4,12.9506,50,1539783048506
14,37,41,0,18,12.97,9,1539783053352
14,41,0,0,11,12.97,200,1539783053353
14,41,0,0,10,12.96,300,1539783053353
14,41,0,0,11,12.97,100,1539783053353
14,41,0,0,10,12.97,200,1539783053353
14,41,0,0,10,12.97,100,1539783053353
14,41,0,0,10,12.97,100,1539783053353
14,41,0,0,19,12.97,100,1539783053353
14,37,41,0,19,12.97,50,1539783053353
14,37,41,0,19,12.98,50,1539783053353
14,37,41,0,19,12.98,50,1539783053353
14,41,0,0,12,12.97,100,1539783053353
14,41,0,0,12,12.98,100,1539783053353
14,41,0,0,12,12.98,100,1539783053353
14,41,0,0,10,12.97,100,1539783053353
14,41,0,0,10,13,100,1539783053354
0,0,0,0,4,13,100,1539783053356
0,0,0,0,4,12.98,600,1539783053358
0,0,0,0,4,12.97,100,1539783053358
0,0,0,0,4,13,100,1539783053362
0,0,0,0,4,13,390,1539783053983
14,41,0,0,10,12.98,283,1539783061336
14,41,0,0,10,12.98,217,1539783061336
0,0,0,0,10,12.98,217,1539783061336
0,0,0,0,10,12.98,500,1539783061337
14,41,0,0,10,12.98,283,1539783061337
14,41,0,0,10,12.98,217,1539783061337
14,37,41,0,10,12.98,83,1539783061337
0,0,0,0,10,12.98,500,1539783061337
14,41,0,0,10,12.98,100,1539783061337
0,0,0,0,4,12.98,100,1539783061340
0,0,0,0,11,12.97,100,1539783061357
0,0,0,0,11,12.97,100,1539783061357
0,0,0,0,11,12.97,100,1539783061357
0,0,0,0,11,12.96,400,1539783061595
0,0,0,0,11,12.96,200,1539783061595
14,41,0,0,11,12.96,200,1539783061595
14,41,0,0,12,12.96,200,1539783061595
0,0,0,0,4,12.965,200,1539783061596
0,0,0,0,4,12.965,200,1539783061596
0,0,0,0,4,12.965,200,1539783061596
0,0,0,0,4,12.965,400,1539783061658
0,0,0,0,4,12.965,800,1539783062493
0,0,0,0,4,12.965,300,1539783062493
37,0,0,0,12,12.96,50,1539783062495
37,0,0,0,4,12.9603,24,1539783062589
14,41,0,0,11,12.97,200,1539783064755
14,41,0,0,11,12.97,100,1539783064755
14,41,0,0,10,12.97,600,1539783064755
14,41,0,0,12,12.97,500,1539783064755
14,41,0,0,12,12.97,100,1539783064755
14,41,0,0,2,12.97,100,1539783064755
37,0,0,0,18,12.97,13,1539783064755
14,41,0,0,7,12.97,100,1539783064755
14,41,0,0,12,12.97,100,1539783064755
0,0,0,0,8,12.97,100,1539783064755
0,0,0,0,4,12.97,100,1539783064758
0,0,0,0,11,12.98,100,1539783068728
0,0,0,0,11,12.98,400,1539783068728
14,41,0,0,12,12.98,100,1539783068729
14,41,0,0,12,12.98,100,1539783068729
14,41,0,0,12,12.98,100,1539783068729
0,0,0,0,12,12.98,200,1539783068729
14,41,0,0,19,12.99,100,1539783068730
0,0,0,0,4,12.99,100,1539783068732
0,0,0,0,4,12.99,650,1539783068732
0,0,0,0,10,12.99,200,1539783068750
0,0,0,0,10,12.98,100,1539783068750
14,41,0,0,8,12.98,200,1539783068751
14,41,0,0,19,12.98,400,1539783068751
14,41,0,0,12,12.98,150,1539783068752
14,41,0,0,12,12.98,100,1539783068840
0,0,0,0,11,13,100,1539783068840
0,0,0,0,4,12.99,500,1539783068844
0,0,0,0,4,12.99,200,1539783068906
0,0,0,0,4,12.98,200,1539783069139
0,0,0,0,4,12.99,200,1539783069358
0,0,0,0,4,13.01,2000,1539783076880
0,0,0,0,4,12.98,250,1539783078997
37,0,0,0,4,12.98,30,1539783081747
0,0,0,0,4,12.995,400,1539783081906
14,41,0,0,11,12.98,200,1539783083840
14,41,0,0,19,12.98,200,1539783083840
0,0,0,0,11,12.98,100,1539783083840
14,41,0,0,11,12.98,100,1539783083840
14,41,0,0,11,12.98,200,1539783083840
0,0,0,0,4,12.995,400,1539783083841
0,0,0,0,4,12.995,200,1539783083841
0,0,0,0,4,12.98,200,1539783083842
