c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,46.06,12,1537488000031
37,0,0,0,11,42.89,38,1537516800013
41,0,0,0,11,42.89,100,1537516800013
41,0,0,0,11,42.89,100,1537516800013
41,0,0,0,11,42.89,762,1537516800013
37,0,0,0,11,42.89,40,1537516800013
37,0,0,0,11,42.89,10,1537516800013
41,0,0,0,11,42.89,5000,1537516800013
41,0,0,0,11,42.89,2405,1537516800013
41,0,0,0,11,42.89,1500,1537516800013
41,0,0,0,11,42.89,283,1537516800013
37,0,0,0,11,42.95,30,1537516839735
0,0,0,0,11,42.95,470,1537516844181
0,0,0,0,11,43,100,1537516850852
0,0,0,0,11,43.1,101,1537516856140
0,0,0,0,11,43.2,101,1537516860683
14,41,0,0,11,43.2,100,1537516863332
37,0,0,0,11,43.25,10,1537516866567
0,0,0,0,11,43.25,389,1537516866567
0,0,0,0,11,43.25,335,1537516868622
0,0,0,0,11,43.25,1250,1537516873740
14,37,41,0,11,43.23,50,1537516877511
37,0,0,0,11,43.22,75,1537516922876
37,0,0,0,11,43.1,50,1537516940158
0,0,0,0,11,43.2,100,1537516995629
37,0,0,0,11,43.19,9,1537517019154
37,0,0,0,11,43.19,41,1537517111527
37,0,0,0,11,43.2,9,1537517111527
14,41,0,0,11,43.2,100,1537517115823
37,0,0,0,11,43.2,20,1537517119326
0,0,0,0,11,43.2,100,1537517119368
37,0,0,0,12,43.01,6,1537517167281
14,41,0,0,12,43.15,100,1537517170992
0,0,0,0,12,43.01,130,1537517171568
14,37,41,0,11,43.01,50,1537517222409
14,37,41,0,11,43.01,50,1537517222409
14,41,0,0,11,43.01,200,1537517222409
14,41,0,0,11,43,2000,1537517222409
14,37,41,0,12,43.18,50,1537517276992
14,37,41,0,12,43.18,50,1537517276992
14,41,0,0,12,43,500,1537517317360
14,37,41,0,12,42.98,40,1537517324032
14,41,0,0,12,42.92,100,1537517324032
37,0,0,0,12,42.9,28,1537517324084
14,41,0,0,11,42.88,500,1537517327438
37,0,0,0,12,42.85,80,1537517330781
14,41,0,0,12,42.9,141,1537517332058
14,41,0,0,12,42.85,100,1537517341313
37,0,0,0,11,42.85,20,1537517341313
37,0,0,0,12,42.91,20,1537517386591
14,41,0,0,12,43,200,1537517392076
14,37,41,0,12,43,38,1537517400399
0,0,0,0,12,43,190,1537517451600
14,41,0,0,12,43,480,1537517455866
37,0,0,0,12,43,92,1537517469071
14,37,41,0,12,43,8,1537517533424
14,41,0,0,12,42.91,480,1537517533424
14,37,41,0,11,42.91,50,1537517533424
14,37,41,0,12,42.9,70,1537517533424
14,37,41,0,12,42.9,50,1537517533424
14,37,41,0,11,42.9,50,1537517533424
14,37,41,0,12,42.9,10,1537517533424
14,41,0,0,12,42.9,120,1537517533424
37,0,0,0,12,42.9,50,1537517533495
14,41,0,0,12,42.9,219,1537517533808
14,41,0,0,12,42.9,150,1537517538366
37,0,0,0,12,43.18,50,1537517565055
0,0,0,0,12,43.19,150,1537517565055
0,0,0,0,11,43.19,340,1537517565075
37,0,0,0,12,43,40,1537517680521
14,41,0,0,12,43,460,1537517686143
14,37,41,0,12,43.01,50,1537517697784
14,41,0,0,12,43,626,1537517697784
14,41,0,0,11,43.19,100,1537517725330
37,0,0,0,12,43,10,1537517736517
14,37,41,0,12,43,94,1537517829770
0,0,0,0,12,43.01,200,1537517904723
14,41,0,0,12,43,500,1537517929928
37,0,0,0,11,43.05,5,1537517977401
37,0,0,0,11,43.05,78,1537517999947
14,37,41,0,12,43,56,1537518008284
14,41,0,0,12,43,103,1537518008284
14,41,0,0,12,43,100,1537518036387
0,0,0,0,12,43,127,1537518045691
0,0,0,0,11,43,250,1537518045691
14,41,0,0,12,43,839,1537518059229
14,41,0,0,12,43,650,1537518059229
14,37,41,0,11,43.04,50,1537518063395
14,37,41,0,11,43.05,50,1537518063395
14,41,0,0,11,43.05,100,1537518089730
14,37,41,0,11,43.04,50,1537518102036
14,37,41,0,11,43.04,30,1537518247324
14,41,0,0,11,43.05,467,1537518247324
14,37,41,0,11,43.05,3,1537518247324
14,37,41,0,11,43.05,2,1537518261952
14,37,41,0,11,43.05,78,1537518261952
14,37,41,0,11,43.05,20,1537518261952
14,37,41,0,11,43.05,30,1537518295309
14,37,41,0,11,43.05,70,1537518295309
37,0,0,0,12,43,85,1537518332134
14,37,41,0,12,43,53,1537518367262
14,41,0,0,12,43,140,1537518367262
37,0,0,0,11,43.05,30,1537518376940
0,0,0,0,11,43.05,470,1537518376940
0,0,0,0,11,43.05,100,1537518376940
0,0,0,0,11,43.05,100,1537518376940
0,0,0,0,11,43.05,300,1537518376940
0,0,0,0,11,43.04,1000,1537518391459
0,0,0,0,11,43.05,700,1537518391459
0,0,0,0,11,43.05,2397,1537518391459
14,41,0,0,11,43.05,500,1537518391464
14,41,0,0,11,43.05,403,1537518391464
14,37,41,0,11,43,7,1537518409707
0,0,0,0,11,43.15,500,1537518458801
0,0,0,0,11,43.15,4500,1537518458801
14,41,0,0,11,43.2,100,1537518497864
14,41,0,0,11,43.2,300,1537518505095
14,41,0,0,11,43.2,100,1537518505929
14,41,0,0,12,43.15,200,1537518506066
14,41,0,0,12,43.15,220,1537518506066
14,37,41,0,12,43.15,80,1537518506066
14,41,0,0,11,43.2,100,1537518506198
14,41,0,0,12,43.21,100,1537518515717
37,0,0,0,12,43.21,50,1537518525958
14,41,0,0,12,43.15,200,1537518542246
14,41,0,0,12,43.15,300,1537518542246
14,37,41,0,12,43.15,90,1537518547791
14,37,41,0,12,43.18,7,1537518565560
0,0,0,0,12,43.21,100,1537518571813
14,41,0,0,11,43.19,200,1537518571842
14,41,0,0,11,43.19,300,1537518571842
14,41,0,0,12,43.21,100,1537518574955
14,41,0,0,12,43.21,100,1537518575367
14,41,0,0,12,43.21,100,1537518575729
14,41,0,0,12,43.21,100,1537518576097
14,41,0,0,12,43.21,100,1537518576468
14,41,0,0,11,43.19,200,1537518603758
14,41,0,0,11,43.19,300,1537518603758
14,41,0,0,11,43.19,200,1537518605076
37,0,0,0,11,43.19,60,1537518645302
14,37,41,0,12,43.2,70,1537518706967
14,41,0,0,12,43.19,1230,1537518706967
14,41,0,0,11,43.19,140,1537518706968
14,37,41,0,11,43.19,60,1537518706968
14,41,0,0,11,43.19,3500,1537518706968
14,41,0,0,12,43.21,179,1537518709134
14,37,41,0,11,43.2,71,1537518709134
37,0,0,0,12,43.21,50,1537518738490
37,0,0,0,12,43.21,65,1537518876171
0,0,0,0,11,43.21,200,1537518901738
37,0,0,0,11,43.21,50,1537518941995
14,41,0,0,11,43.21,100,1537518948796
14,41,0,0,11,43.21,100,1537518954910
37,0,0,0,11,43.21,50,1537519001805
14,41,0,0,11,43.25,2026,1537519038726
14,41,0,0,11,43.25,600,1537519038726
14,37,41,0,11,43.25,79,1537519038860
14,37,41,0,12,43.35,50,1537519148230
14,37,41,0,12,43.38,50,1537519148230
14,37,41,0,12,43.38,50,1537519159954
14,41,0,0,12,43.48,350,1537519159954
37,0,0,0,12,43.4,10,1537519181210
14,37,41,0,12,43.4,79,1537519181303
0,0,0,0,12,43.48,100,1537519280771
37,0,0,0,12,43.48,50,1537519287810
37,0,0,0,12,43.4,11,1537519299474
37,0,0,0,12,43.25,89,1537519299474
0,0,0,0,11,43.47,200,1537519308938
0,0,0,0,11,43.48,200,1537519308938
37,0,0,0,11,43.49,25,1537519308938
0,0,0,0,11,43.5,100,1537519308938
14,37,41,0,12,43.47,50,1537519308938
0,0,0,0,12,43.47,100,1537519339724
