c1,c2,c3,c4,e,p,s,t
0,0,0,0,11,88.68,100,1537873503720
14,37,41,0,11,84,10,1537877959281
14,37,41,0,12,84.56,50,1537882080148
14,37,41,0,8,84.56,50,1537882080149
14,37,41,0,8,84.5,40,1537882080149
37,0,0,0,12,84.24,50,1537882080149
14,37,41,0,11,84.56,50,1537882080149
51,0,0,0,0,83.78,,1537882200314
25,41,0,0,12,83.78,2150,1537882200314
25,16,0,0,12,83.78,2150,1537882200314
37,0,0,0,12,83.78,42,1537882200536
14,37,41,0,12,83.78,7,1537882200537
37,0,0,0,12,83.78,42,1537882200537
37,0,0,0,12,83.78,16,1537882200537
37,0,0,0,12,83.78,42,1537882200550
37,0,0,0,12,83.78,41,1537882200551
37,0,0,0,12,83.5,1,1537882200551
37,0,0,0,12,83.5,41,1537882200551
51,0,0,0,0,83.5,,1537882200552
37,0,0,0,12,83.37,5,1537882200552
0,0,0,0,12,83.5,100,1537882200552
37,0,0,0,4,83.37,50,1537882200561
37,0,0,0,12,83.37,97,1537882200565
51,0,0,0,0,83.082,,1537882200568
0,0,0,0,4,83.082,110,1537882200568
37,0,0,0,4,81,3,1537882200883
14,37,41,0,12,81,10,1537882200883
14,37,41,0,12,80.71,3,1537882200883
51,0,0,0,0,80.7332,,1537882200907
0,0,0,0,4,80.7332,125,1537882200907
37,0,0,0,12,81.27,38,1537882200947
0,0,0,0,4,82,120,1537882200952
37,0,0,0,12,81.27,62,1537882200956
37,0,0,0,12,80.72,90,1537882200956
51,0,0,0,0,80.71,,1537882200957
37,0,0,0,12,80.72,10,1537882200957
0,0,0,0,12,80.71,142,1537882200957
37,0,0,0,12,80.71,10,1537882200957
37,0,0,0,4,81.9,37,1537882200965
37,0,0,0,4,82.75,25,1537882200969
37,0,0,0,11,80.63,20,1537882200983
25,16,0,0,11,80.63,20,1537882200983
14,37,41,0,12,80.6,2,1537882200983
37,0,0,0,4,79.9064,50,1537882200987
37,0,0,0,15,80,42,1537882200990
37,0,0,0,4,81.95,23,1537882200993
37,0,0,0,12,80,20,1537882200996
37,0,0,0,12,80,3,1537882200996
37,0,0,0,12,80,1,1537882200996
37,0,0,0,4,79.82,7,1537882201004
37,0,0,0,4,79.82,25,1537882201006
