c1,c2,c3,c4,e,p,s,t
37,0,0,0,11,384.1,5,1539763200014
37,0,0,0,11,384.1,10,1539763200014
37,0,0,0,11,384.1,15,1539763200014
37,0,0,0,11,384.1,70,1539763200014
37,0,0,0,11,384.1,80,1539763200014
37,0,0,0,11,384.1,20,1539763200014
41,0,0,0,11,384.1,100,1539763200014
37,0,0,0,11,384.1,3,1539763200014
41,0,0,0,11,384.1,100,1539763200014
41,0,0,0,11,384.1,100,1539763200014
41,0,0,0,11,384.1,100,1539763200014
37,0,0,0,11,384.1,77,1539763200014
37,0,0,0,11,384.1,2,1539763200014
37,0,0,0,11,384.1,2,1539763200014
37,0,0,0,11,384.1,29,1539763200014
0,0,0,0,11,384,200,1539763200076
14,37,41,0,11,384.3,10,1539763201393
14,41,0,0,11,384.39,100,1539763201393
14,41,0,0,11,384.39,501,1539763201393
14,41,0,0,11,384.5,100,1539763201394
14,37,41,0,11,384.99,50,1539763201395
14,37,41,0,11,385,5,1539763201395
14,41,0,0,11,385.99,100,1539763201395
14,41,0,0,12,386,516,1539763201403
14,41,0,0,12,386,120,1539763201723
14,41,0,0,12,386,145,1539763202129
14,37,41,0,12,386,80,1539763202220
37,0,0,0,12,386,8,1539763203250
37,0,0,0,11,387,9,1539763206227
37,0,0,0,11,387,6,1539763206227
37,0,0,0,11,386.01,70,1539763216635
37,0,0,0,11,386.95,50,1539763229045
14,37,41,0,11,386.01,75,1539763229403
14,37,41,0,11,386.01,25,1539763229403
37,0,0,0,11,386,15,1539763230778
14,37,41,0,12,386,5,1539763248816
37,0,0,0,11,386.04,1,1539763253060
0,0,0,0,11,386.41,100,1539763266551
0,0,0,0,11,386.41,650,1539763273627
37,0,0,0,11,386.5,6,1539763282372
0,0,0,0,11,386.51,100,1539763290596
37,0,0,0,11,386.51,7,1539763291624
0,0,0,0,11,386.71,100,1539763303868
0,0,0,0,11,386.73,300,1539763307494
0,0,0,0,11,386.73,700,1539763310838
0,0,0,0,11,386.71,900,1539763310838
0,0,0,0,11,386.41,250,1539763310838
37,0,0,0,11,386.25,5,1539763310838
0,0,0,0,11,386.21,145,1539763310838
14,37,41,0,11,386.9,30,1539763311030
14,37,41,0,11,386.9,40,1539763311030
14,37,41,0,11,387,14,1539763311030
14,37,41,0,11,387,2,1539763311030
14,41,0,0,11,387,100,1539763311030
14,41,0,0,11,387,814,1539763311030
37,0,0,0,11,387,20,1539763314721
37,0,0,0,12,387,66,1539763316323
14,37,41,0,11,387.47,50,1539763319495
37,0,0,0,11,387.47,50,1539763321135
0,0,0,0,11,387.41,600,1539763331199
37,0,0,0,11,388,20,1539763349128
37,0,0,0,11,387.41,52,1539763353048
14,37,41,0,11,388,25,1539763355492
14,41,0,0,11,388,100,1539763355492
14,37,41,0,11,388,9,1539763355492
0,0,0,0,11,387.41,348,1539763362924
14,41,0,0,11,387.4,152,1539763362925
14,41,0,0,11,387.4,1000,1539763386788
14,41,0,0,11,387.4,500,1539763387283
14,41,0,0,12,387.18,200,1539763398928
37,0,0,0,12,387.18,50,1539763399699
14,41,0,0,12,387.18,150,1539763401177
14,41,0,0,12,387.18,100,1539763401177
14,37,41,0,11,386.99,5,1539763403842
14,41,0,0,11,386.85,1000,1539763403842
14,41,0,0,11,386.76,1000,1539763403842
14,41,0,0,11,386.71,100,1539763403842
14,41,0,0,11,386.71,300,1539763403842
0,0,0,0,12,387.18,750,1539763403853
37,0,0,0,12,387,40,1539763403853
0,0,0,0,12,386.85,1000,1539763403853
0,0,0,0,12,386.76,805,1539763403853
14,41,0,0,12,386.86,300,1539763425932
37,0,0,0,11,386.86,10,1539763432444
14,41,0,0,11,386.86,150,1539763433384
37,0,0,0,11,386.59,40,1539763447103
14,41,0,0,11,386.61,500,1539763450369
37,0,0,0,11,386.59,60,1539763450595
37,0,0,0,11,386.59,40,1539763450595
37,0,0,0,11,386.59,30,1539763456425
37,0,0,0,11,386.59,70,1539763461022
37,0,0,0,11,386.59,30,1539763461022
0,0,0,0,11,386.59,100,1539763461022
37,0,0,0,11,386.59,30,1539763462025
0,0,0,0,11,386.34,100,1539763486226
14,37,41,0,11,386.34,21,1539763493394
37,0,0,0,12,386.34,10,1539763495808
37,0,0,0,11,386.35,13,1539763517181
37,0,0,0,11,386.35,85,1539763517402
37,0,0,0,11,386.35,10,1539763518515
37,0,0,0,12,386.35,2,1539763519913
37,0,0,0,11,386.35,1,1539763520314
37,0,0,0,12,386.35,8,1539763542080
14,41,0,0,11,386.5,100,1539763556338
14,37,41,0,12,386.5,3,1539763579677
0,0,0,0,12,386.36,100,1539763594370
37,0,0,0,11,386.36,35,1539763594371
37,0,0,0,11,386.5,2,1539763599773
14,37,41,0,12,386.36,14,1539763607556
14,37,41,0,12,386.5,75,1539763621467
14,37,41,0,12,386.5,25,1539763621468
14,37,41,0,11,386.4,50,1539763621468
0,0,0,0,12,386.5,100,1539763621470
37,0,0,0,11,386.4,50,1539763621470
14,37,41,0,11,386.4,38,1539763621477
37,0,0,0,11,386.5,48,1539763623184
37,0,0,0,11,386.89,20,1539763624785
0,0,0,0,12,386.51,500,1539763628184
0,0,0,0,11,386.51,500,1539763628186
37,0,0,0,12,386.51,10,1539763631289
37,0,0,0,12,386.54,5,1539763645479
37,0,0,0,11,386.54,12,1539763645574
0,0,0,0,11,386.23,100,1539763805106
37,0,0,0,11,386.24,20,1539763839463
37,0,0,0,11,386.23,30,1539763839464
37,0,0,0,11,386.21,1,1539763906979
14,37,41,0,12,386.2,50,1539763908178
14,37,41,0,12,386.2,28,1539763910213
37,0,0,0,11,386.2,99,1539763912914
37,0,0,0,11,386.3,50,1539763912914
14,37,41,0,12,386.24,12,1539763912914
14,37,41,0,12,386.3,88,1539763912914
37,0,0,0,11,386.3,12,1539763912927
14,37,41,0,12,386.44,7,1539763916196
14,37,41,0,11,386.3,88,1539763923125
14,37,41,0,11,386.3,12,1539763923125
14,37,41,0,11,386.3,39,1539763923125
14,37,41,0,12,386,6,1539763923126
14,37,41,0,12,386,10,1539763923126
14,37,41,0,12,386,55,1539763923126
0,0,0,0,11,386,100,1539763931408
0,0,0,0,11,386,100,1539763931408
37,0,0,0,12,386,36,1539763944546
37,0,0,0,11,385.73,11,1539763949423
37,0,0,0,12,386,9,1539763968998
14,37,41,0,11,385.73,89,1539763977952
14,37,41,0,11,385.73,11,1539763977952
37,0,0,0,11,385.73,2,1539763990468
14,37,41,0,12,385.9,1,1539764021630
14,37,41,0,12,386,6,1539764021630
14,41,0,0,11,385.7,125,1539764031062
37,0,0,0,12,386,10,1539764031280
37,0,0,0,12,385.85,52,1539764033946
14,37,41,0,12,385.85,20,1539764035812
14,37,41,0,12,385.85,5,1539764039355
37,0,0,0,11,385.7,19,1539764047414
37,0,0,0,11,385.7,56,1539764051643
0,0,0,0,11,385.55,100,1539764071253
0,0,0,0,11,385.55,100,1539764071253
14,41,0,0,12,385.55,150,1539764071253
14,37,41,0,12,385.55,28,1539764073046
14,37,41,0,12,385.55,22,1539764077609
14,37,41,0,12,385.5,50,1539764077609
14,41,0,0,12,385.06,100,1539764136136
37,0,0,0,11,385.36,8,1539764139605
37,0,0,0,11,385.6,20,1539764143216
37,0,0,0,12,385.09,1,1539764151871
37,0,0,0,12,385.09,10,1539764157036
14,41,0,0,12,385.3,100,1539764165047
14,37,41,0,12,385.15,4,1539764170716
37,0,0,0,12,385.09,20,1539764171363
14,41,0,0,12,385.15,100,1539764174523
14,37,41,0,12,385.15,96,1539764175589
14,41,0,0,12,385.15,104,1539764175589
37,0,0,0,12,385.15,96,1539764176565
0,0,0,0,11,385.36,100,1539764179282
37,0,0,0,12,385.1,5,1539764188335
0,0,0,0,11,385.36,100,1539764189129
0,0,0,0,11,385.36,400,1539764191547
37,0,0,0,11,385.36,11,1539764196026
14,41,0,0,11,385.5,100,1539764199689
14,37,41,0,11,385.6,80,1539764202430
14,37,41,0,11,385.6,20,1539764202430
14,37,41,0,11,385.6,28,1539764202430
37,0,0,0,11,385.12,23,1539764257489
37,0,0,0,11,385.6,50,1539764280296
37,0,0,0,12,385.55,1,1539764283283
37,0,0,0,12,385.62,3,1539764294452
