c1,c2,c3,c4,e,p,s,t
14,37,41,0,12,3.79,45,1538571895967
37,0,0,0,8,3.79,59,1538572264156
37,0,0,0,8,3.79,2,1538572337266
14,41,0,0,12,3.79,355,1538572532795
37,0,0,0,4,3.77,1,1538572619467
0,0,0,0,11,3.79,2000,1538572649058
14,37,41,0,11,3.79,1,1538572726173
14,41,0,0,8,3.79,120,1538573127927
14,41,0,0,8,3.79,100,1538573153958
14,41,0,0,12,3.77,400,1538573206677
14,41,0,0,12,3.77,194,1538573214529
14,41,0,0,8,3.79,500,1538573285196
14,41,0,0,8,3.79,300,1538573286680
14,41,0,0,8,3.79,200,1538573290056
14,41,0,0,8,3.79,500,1538573294104
14,41,0,0,8,3.79,500,1538573302801
14,41,0,0,12,3.75,300,1538573400052
14,41,0,0,12,3.75,100,1538573400052
14,41,0,0,12,3.73,400,1538573400052
14,37,41,0,12,3.73,4,1538573400052
14,41,0,0,12,3.73,196,1538573400052
51,0,0,0,0,3.81,,1538573400095
25,41,0,0,1,3.81,11859,1538573400095
25,16,0,0,1,3.81,11859,1538573400095
51,0,0,0,0,3.79,,1538573400162
51,0,0,0,0,3.75,,1538573400162
14,41,0,0,8,3.79,131,1538573400162
14,41,0,0,19,3.75,100,1538573400162
0,0,0,0,11,3.75,100,1538573400162
25,16,0,0,11,3.75,100,1538573400162
0,0,0,0,18,3.75,100,1538573400162
14,41,0,0,12,3.75,100,1538573400162
14,37,41,0,8,3.79,7,1538573400190
0,0,0,0,1,3.79,353,1538573400200
37,0,0,0,1,3.78,47,1538573400200
14,37,41,0,1,3.78,53,1538573400286
14,41,0,0,1,3.77,100,1538573400297
14,41,0,0,8,3.79,100,1538573400325
14,37,41,0,1,3.76,9,1538573400331
0,0,0,0,1,3.79,100,1538573401313
0,0,0,0,1,3.79,100,1538573401329
14,41,0,0,1,3.75,400,1538573401518
14,41,0,0,1,3.77,100,1538573409009
0,0,0,0,4,3.76,100,1538573415434
14,41,0,0,1,3.76,100,1538573421824
14,41,0,0,12,3.76,100,1538573421824
25,16,0,0,12,3.76,100,1538573421825
14,37,41,0,12,3.76,95,1538573421825
14,41,0,0,10,3.76,100,1538573421830
14,41,0,0,1,3.75,200,1538573425105
14,41,0,0,1,3.75,100,1538573425105
0,0,0,0,4,3.7538,500,1538573425763
37,0,0,0,4,3.76,20,1538573428794
14,37,41,0,18,3.76,20,1538573433157
0,0,0,0,11,3.76,100,1538573433157
0,0,0,0,19,3.76,100,1538573433158
0,0,0,0,19,3.76,200,1538573433158
0,0,0,0,8,3.76,100,1538573433158
0,0,0,0,1,3.76,200,1538573433158
0,0,0,0,1,3.76,100,1538573433158
0,0,0,0,12,3.76,100,1538573433158
14,41,0,0,1,3.77,100,1538573433162
14,41,0,0,1,3.76,100,1538573433245
14,41,0,0,1,3.77,100,1538573448781
37,0,0,0,1,3.78,12,1538573454215
37,0,0,0,1,3.78,16,1538573461189
37,0,0,0,4,3.7701,3,1538573461793
14,37,41,0,1,3.78,72,1538573462543
0,0,0,0,4,3.7701,5000,1538573466902
14,41,0,0,19,3.79,100,1538573467036
0,0,0,0,11,3.78,2100,1538573476227
0,0,0,0,12,3.78,1900,1538573476228
14,41,0,0,8,3.79,100,1538573476436
37,0,0,0,4,3.78,1,1538573517974
14,37,41,0,18,3.78,20,1538573524328
0,0,0,0,4,3.79,200,1538573528201
0,0,0,0,4,3.7825,5000,1538573535310
14,41,0,0,8,3.79,100,1538573535438
0,0,0,0,4,3.78,540,1538573543228
37,0,0,0,1,3.79,11,1538573543761
37,0,0,0,1,3.79,13,1538573543761
0,0,0,0,8,3.79,100,1538573553779
37,0,0,0,8,3.79,24,1538573553779
14,37,41,0,1,3.79,76,1538573553779
14,41,0,0,19,3.79,100,1538573553783
14,41,0,0,11,3.79,200,1538573553783
14,41,0,0,8,3.79,100,1538573553784
14,41,0,0,12,3.79,200,1538573553784
37,0,0,0,4,3.8,20,1538573555435
0,0,0,0,11,3.78,100,1538573558238
0,0,0,0,19,3.78,100,1538573558238
0,0,0,0,19,3.78,100,1538573558239
0,0,0,0,8,3.78,100,1538573558239
0,0,0,0,8,3.78,100,1538573558239
0,0,0,0,8,3.78,100,1538573558239
0,0,0,0,19,3.78,100,1538573558239
