c1,c2,c3,c4,e,p,s,t
14,41,0,0,11,96.48,100,1539776228093
0,0,0,0,8,96.28,100,1539776228093
37,0,0,0,8,95.94,13,1539777854379
37,0,0,0,12,94.94,4,1539781341078
0,0,0,0,11,94.94,100,1539782041935
0,0,0,0,11,94.94,100,1539782041935
37,0,0,0,11,94.94,13,1539782052051
37,0,0,0,11,94.98,10,1539782401584
37,0,0,0,11,94.98,10,1539782403041
37,0,0,0,11,94.98,80,1539782405271
37,0,0,0,11,94.98,10,1539782405271
0,0,0,0,11,95,110,1539782405271
37,0,0,0,11,94.99,90,1539782405961
37,0,0,0,11,94.99,10,1539782405961
0,0,0,0,11,94.99,100,1539782405961
0,0,0,0,11,94.97,100,1539782409682
37,0,0,0,11,94.99,10,1539782412064
37,0,0,0,11,94.99,10,1539782416752
37,0,0,0,11,94.99,10,1539782420049
37,0,0,0,11,94.99,10,1539782463904
37,0,0,0,11,95,1,1539782608500
37,0,0,0,11,95,10,1539782612601
37,0,0,0,11,95,4,1539782615177
14,41,0,0,12,94.56,100,1539782880131
14,41,0,0,12,94.52,100,1539782880131
14,41,0,0,12,94.5,200,1539782880131
14,41,0,0,12,94.5,1000,1539782880131
14,41,0,0,19,94.56,100,1539782880131
14,41,0,0,19,94.52,100,1539782880131
14,41,0,0,19,94.5,1000,1539782880131
14,41,0,0,8,94.56,100,1539782880131
14,41,0,0,8,94.52,100,1539782880131
14,41,0,0,8,94.5,659,1539782880131
14,41,0,0,8,94.5,341,1539782880131
14,41,0,0,11,94.56,100,1539782880132
14,41,0,0,11,94.52,100,1539782880132
14,41,0,0,10,94.5,1000,1539782880132
14,41,0,0,10,94.5,1400,1539782880132
14,41,0,0,10,94.5,2800,1539782880132
14,41,0,0,11,93.7,200,1539782880132
14,41,0,0,10,94.5,382,1539782880133
0,0,0,0,8,94.32,100,1539782880134
0,0,0,0,8,94.44,500,1539782880134
0,0,0,0,12,94.06,800,1539782880134
37,0,0,0,19,94.32,47,1539782880134
0,0,0,0,19,94.44,553,1539782880134
0,0,0,0,8,93.56,100,1539782885092
0,0,0,0,12,93.56,100,1539782885092
0,0,0,0,11,93.56,100,1539782885092
0,0,0,0,12,93.56,100,1539782886614
0,0,0,0,12,93.5,200,1539782886614
0,0,0,0,12,93.5,400,1539782886614
0,0,0,0,12,93.5,200,1539782886614
51,0,0,0,0,92.66,,1539783000122
25,41,0,0,12,92.66,39082,1539783000122
25,16,0,0,12,92.66,39082,1539783000122
37,0,0,0,11,93.31,50,1539783000124
25,16,0,0,11,93.31,50,1539783000124
37,0,0,0,18,93.31,50,1539783000127
51,0,0,0,0,93.4,,1539783000178
0,0,0,0,12,93.4,100,1539783000178
0,0,0,0,12,93.4,100,1539783000178
0,0,0,0,4,93.25,200,1539783000242
37,0,0,0,4,93.25,30,1539783000242
0,0,0,0,4,93.25,200,1539783000243
37,0,0,0,4,93.25,92,1539783000244
0,0,0,0,4,93.25,250,1539783000244
37,0,0,0,4,93.25,31,1539783000245
37,0,0,0,12,93.26,9,1539783000353
37,0,0,0,4,93.25,92,1539783000513
37,0,0,0,12,93.26,91,1539783000666
37,0,0,0,12,93.25,9,1539783000666
0,0,0,0,12,93.25,125,1539783000667
37,0,0,0,12,93.25,25,1539783000729
0,0,0,0,12,93.4,100,1539783001099
37,0,0,0,4,93.25,37,1539783001413
37,0,0,0,4,93.25,50,1539783001547
37,0,0,0,4,93.25,52,1539783001600
14,37,41,0,12,93.25,41,1539783001794
14,37,41,0,12,93.25,59,1539783001794
37,0,0,0,12,93.25,3,1539783002180
37,0,0,0,4,93.7163,80,1539783002207
51,0,0,0,0,93.6749,,1539783002315
0,0,0,0,4,93.6749,100,1539783002315
51,0,0,0,0,93.6751,,1539783002336
0,0,0,0,4,93.6751,125,1539783002336
37,0,0,0,4,93.4,31,1539783002665
51,0,0,0,0,93.75,,1539783002743
0,0,0,0,4,93.75,100,1539783002743
37,0,0,0,4,93.7163,85,1539783002788
37,0,0,0,4,93.7163,60,1539783002952
0,0,0,0,4,93.675,125,1539783003084
0,0,0,0,4,93.6535,150,1539783003154
37,0,0,0,4,93.7163,85,1539783003285
37,0,0,0,4,93.25,90,1539783003377
37,0,0,0,12,93.4,24,1539783003447
37,0,0,0,4,93.25,30,1539783003633
37,0,0,0,4,93.25,5,1539783003924
0,0,0,0,4,93.25,150,1539783006028
0,0,0,0,4,93.25,190,1539783006028
0,0,0,0,4,93.75,150,1539783006912
0,0,0,0,4,93.25,100,1539783006932
0,0,0,0,4,93.25,184,1539783007073
37,0,0,0,4,93.7163,70,1539783007456
37,0,0,0,4,93.25,35,1539783007522
0,0,0,0,4,93.675,100,1539783007781
37,0,0,0,4,93.7163,27,1539783007787
0,0,0,0,4,93.6749,125,1539783007881
0,0,0,0,12,93.5,200,1539783008243
0,0,0,0,4,93.5,400,1539783009519
10,32,37,41,4,93.25,1,1539783010331
14,41,0,0,12,93.5,100,1539783011174
37,0,0,0,12,93.5,20,1539783011174
37,0,0,0,4,93.6151,8,1539783011482
0,0,0,0,11,93.5,100,1539783011835
37,0,0,0,12,93.5,80,1539783011835
37,0,0,0,12,93.5,82,1539783011835
0,0,0,0,12,93.5,200,1539783011835
14,41,0,0,12,93.49,100,1539783011835
14,37,41,0,12,93.5,38,1539783011835
37,0,0,0,12,93.5,62,1539783011835
14,41,0,0,11,93.45,100,1539783011835
37,0,0,0,19,93.25,55,1539783011866
0,0,0,0,19,93.25,100,1539783011866
0,0,0,0,19,93.25,200,1539783011866
14,41,0,0,19,93.25,100,1539783012504
0,0,0,0,18,93.41,100,1539783013623
0,0,0,0,19,93.25,100,1539783013742
37,0,0,0,19,93.25,45,1539783013743
51,0,0,0,0,92.57,,1539783016469
