c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,85.28,2,1539821042862
14,41,0,0,12,86.37,207,1539855197703
14,41,0,0,12,86.37,225,1539855197703
14,41,0,0,12,86.37,200,1539855197703
14,41,0,0,12,86.37,300,1539855197703
14,41,0,0,12,86.37,168,1539855197703
14,41,0,0,11,86.28,200,1539855274641
14,41,0,0,12,86.27,200,1539855274642
14,41,0,0,12,86.26,2000,1539855274643
14,41,0,0,12,86.24,100,1539855286321
14,41,0,0,11,86.18,200,1539855397685
14,41,0,0,12,86.18,200,1539855397686
14,41,0,0,12,86.17,510,1539855397686
14,41,0,0,12,86.17,590,1539855397686
14,41,0,0,11,86.24,200,1539855870088
14,41,0,0,12,86.24,200,1539855870088
14,41,0,0,12,86.23,100,1539855870089
14,41,0,0,12,86.39,200,1539856213947
14,41,0,0,12,86.39,300,1539856213947
37,0,0,0,11,86.5,25,1539856296403
14,41,0,0,11,86.49,200,1539856593330
14,41,0,0,12,86.49,200,1539856593331
0,0,0,0,12,86.48,100,1539856593412
14,41,0,0,12,86.46,200,1539856699745
14,41,0,0,12,86.45,300,1539856699745
14,41,0,0,11,86.43,200,1539856765224
14,41,0,0,12,86.43,200,1539856765225
14,41,0,0,12,86.42,100,1539856765225
37,0,0,0,11,86.43,25,1539856810230
14,41,0,0,11,86.3,200,1539856972597
14,41,0,0,12,86.28,200,1539856972598
14,41,0,0,12,86.28,370,1539856972598
14,41,0,0,12,86.27,230,1539856972599
14,41,0,0,11,86.3,200,1539856981807
14,41,0,0,12,86.3,200,1539856981808
14,41,0,0,12,86.29,200,1539856981808
14,41,0,0,12,86.29,200,1539856981808
14,41,0,0,12,86.29,200,1539856981808
14,41,0,0,12,86.48,200,1539857175317
14,41,0,0,12,86.48,300,1539857175317
14,41,0,0,11,86.42,200,1539857504705
14,41,0,0,12,86.42,200,1539857504706
14,41,0,0,12,86.41,100,1539857504706
14,41,0,0,12,86.39,200,1539857721283
14,41,0,0,12,86.39,300,1539857721283
37,0,0,0,12,86.4,21,1539858110006
14,41,0,0,11,86.32,200,1539858117883
14,41,0,0,12,86.32,200,1539858117883
14,41,0,0,12,86.31,100,1539858117884
14,41,0,0,11,86.31,200,1539858180307
14,41,0,0,12,86.29,300,1539858180308
14,41,0,0,12,86.33,200,1539858556216
14,41,0,0,12,86.32,300,1539858556217
14,41,0,0,12,86.27,200,1539858569047
14,41,0,0,12,86.26,157,1539858569047
14,41,0,0,12,86.26,643,1539858569047
14,41,0,0,11,86.33,100,1539858767427
14,41,0,0,11,86.41,200,1539859296546
14,41,0,0,12,86.41,200,1539859296547
14,41,0,0,12,86.4,100,1539859296547
14,41,0,0,11,86.51,200,1539860073437
14,41,0,0,12,86.51,200,1539860073437
14,41,0,0,12,86.5,100,1539860073438
0,0,0,0,11,86.51,200,1539860122513
14,41,0,0,12,86.51,200,1539860122514
0,0,0,0,11,86.51,201,1539860138408
0,0,0,0,11,86.51,200,1539860138408
14,41,0,0,11,86.51,199,1539860138409
0,0,0,0,11,86.58,200,1539860159849
14,41,0,0,12,86.58,200,1539860159850
0,0,0,0,11,86.6,200,1539860164788
14,41,0,0,12,86.6,400,1539860164789
37,0,0,0,12,86.52,55,1539860195101
14,41,0,0,11,86.47,200,1539860204307
14,41,0,0,12,86.46,200,1539860204308
14,41,0,0,12,86.46,100,1539860204308
14,41,0,0,11,86.37,200,1539860320148
14,41,0,0,12,86.37,200,1539860320148
14,41,0,0,12,86.36,100,1539860320149
14,41,0,0,12,86.29,200,1539861309006
14,41,0,0,12,86.29,1300,1539861309006
14,41,0,0,11,86.31,100,1539861512654
14,41,0,0,11,86.25,200,1539861969825
14,41,0,0,12,86.24,300,1539861969826
37,0,0,0,11,86.32,75,1539862593134
14,41,0,0,12,86.35,1190,1539862672736
14,41,0,0,12,86.37,200,1539862822254
14,41,0,0,12,86.37,178,1539862822254
14,41,0,0,12,86.37,1871,1539862822254
14,41,0,0,12,86.36,400,1539862897794
14,41,0,0,12,86.36,100,1539862903056
37,0,0,0,12,86.36,14,1539862925027
14,41,0,0,11,86.4,200,1539863788204
14,41,0,0,12,86.4,200,1539863788205
14,41,0,0,11,86.42,200,1539863833240
14,41,0,0,12,86.42,478,1539863833241
14,41,0,0,12,86.42,200,1539863833241
14,41,0,0,12,86.42,1148,1539863833241
14,41,0,0,12,86.42,200,1539863833241
14,41,0,0,12,86.42,500,1539863833241
14,41,0,0,12,86.42,1424,1539863833241
14,41,0,0,12,86.42,200,1539863833243
14,41,0,0,12,86.42,200,1539863833245
37,0,0,0,4,86.4799,5,1539864000409
37,0,0,0,4,86.46,50,1539864002604
0,0,0,0,4,86.43,1500,1539864002725
37,0,0,0,4,86.38,10,1539864002931
14,41,0,0,12,86.31,340,1539864255634
14,41,0,0,12,86.31,200,1539864255634
14,41,0,0,12,86.31,325,1539864255634
14,41,0,0,12,86.31,135,1539864255635
14,41,0,0,12,86.2,100,1539864310406
14,41,0,0,12,86.2,432,1539864310406
14,41,0,0,12,86.2,277,1539864310406
14,41,0,0,12,86.19,191,1539864310406
2,0,0,0,4,86.3549,50000,1539864430799
0,0,0,0,11,86.26,200,1539864573654
14,41,0,0,11,86.3,100,1539864665693
0,0,0,0,4,86.3,500,1539864809434
2,0,0,0,4,86.3549,50000,1539864903735
14,41,0,0,12,86.38,210,1539865103364
14,41,0,0,12,86.38,290,1539865103364
37,0,0,0,4,86.38,10,1539865395620
2,0,0,0,4,86.3309,50000,1539865691845
14,41,0,0,12,86.3,340,1539865816888
14,41,0,0,12,86.3,160,1539865816888
2,0,0,0,4,86.3309,50000,1539865829790
14,41,0,0,11,86.3,100,1539866022614
14,41,0,0,11,86.3,100,1539866044813
2,0,0,0,4,86.3144,94050,1539866167790
14,41,0,0,12,86.3,263,1539866194842
14,37,41,0,12,86.3,77,1539866194842
14,41,0,0,11,86.3,100,1539866194857
14,41,0,0,12,86.3,123,1539866194900
14,41,0,0,11,86.26,200,1539866202850
14,37,41,0,12,86.26,1,1539866210327
14,41,0,0,12,86.25,100,1539866210327
14,41,0,0,12,86.25,495,1539866210327
14,41,0,0,12,86.25,404,1539866210328
37,0,0,0,4,86.2499,50,1539866271480
14,41,0,0,11,86.25,100,1539866276945
14,41,0,0,11,86.25,100,1539866286985
14,41,0,0,11,86.25,100,1539866288819
2,0,0,0,4,86.3144,100000,1539866295744
14,41,0,0,11,86.25,100,1539866297026
14,41,0,0,11,86.25,100,1539866339747
14,41,0,0,11,86.25,100,1539866395595
14,41,0,0,11,86.25,100,1539866405637
14,41,0,0,11,86.29,200,1539866442125
14,41,0,0,12,86.29,200,1539866442125
14,41,0,0,12,86.29,2000,1539866547128
14,41,0,0,12,86.29,355,1539866547128
14,41,0,0,11,86.29,100,1539866556586
0,0,0,0,11,86.29,100,1539866556605
0,0,0,0,11,86.29,100,1539866556605
0,0,0,0,11,86.29,100,1539866556605
14,41,0,0,12,86.29,200,1539866556607
14,41,0,0,12,86.29,300,1539866556607
14,41,0,0,12,86.29,200,1539866556607
14,41,0,0,11,86.29,100,1539866558273
14,41,0,0,11,86.29,300,1539866558273
14,41,0,0,11,86.29,100,1539866563493
14,41,0,0,11,86.29,100,1539866563493
0,0,0,0,11,86.29,100,1539866563504
0,0,0,0,11,86.29,100,1539866563504
0,0,0,0,11,86.29,100,1539866563504
14,41,0,0,12,86.29,200,1539866563505
14,41,0,0,11,86.29,100,1539866563506
14,41,0,0,11,86.29,100,1539866563507
14,41,0,0,12,86.29,200,1539866563507
14,41,0,0,11,86.29,100,1539866563508
14,41,0,0,11,86.29,100,1539866563514
14,41,0,0,11,86.29,100,1539866563516
14,41,0,0,12,86.29,295,1539866563517
0,0,0,0,11,86.3,100,1539866566131
0,0,0,0,4,86.37,100,1539866731677
14,37,41,0,12,86.4,7,1539866836878
14,41,0,0,8,86.32,100,1539866919185
14,41,0,0,11,86.28,100,1539867273078
37,0,0,0,4,86.32,1,1539867540866
14,37,41,0,11,86.32,10,1539867542777
14,41,0,0,12,86.27,107,1539867660016
14,41,0,0,12,86.27,110,1539867720010
14,41,0,0,12,86.22,200,1539867815865
14,41,0,0,12,86.21,800,1539867815865
37,0,0,0,4,86.23,3,1539867839366
14,41,0,0,12,86.17,1500,1539867844593
0,0,0,0,4,86.17,100,1539867903965
14,41,0,0,11,86.11,200,1539867914255
14,41,0,0,12,86.1,595,1539867914256
14,41,0,0,12,86.1,705,1539867914256
0,0,0,0,11,86.1,100,1539867956613
0,0,0,0,11,86.1,100,1539867956613
0,0,0,0,11,86.13,200,1539867991670
37,0,0,0,11,86.13,50,1539867996252
37,0,0,0,11,86.13,50,1539868061245
37,0,0,0,4,86.06,2,1539868180346
14,41,0,0,12,86.02,956,1539868230972
14,41,0,0,12,86.02,544,1539868230972
37,0,0,0,8,86.02,50,1539868284947
37,0,0,0,11,86,25,1539868285533
14,41,0,0,12,85.94,143,1539868335393
14,41,0,0,12,85.94,200,1539868335393
14,41,0,0,12,85.94,1157,1539868335393
37,0,0,0,4,85.94,1,1539868427665
14,41,0,0,12,85.94,100,1539868433267
14,37,41,0,11,85.94,1,1539868433335
14,37,41,0,11,85.94,99,1539868433335
0,0,0,0,11,85.93,200,1539868433518
14,41,0,0,12,85.93,200,1539868433519
0,0,0,0,12,85.93,100,1539868433599
37,0,0,0,11,85.94,1,1539868459301
14,41,0,0,11,85.96,300,1539868469573
14,37,41,0,11,86.04,50,1539868522182
14,41,0,0,12,86.06,100,1539868543734
37,0,0,0,4,86.06,1,1539868671958
14,41,0,0,12,85.95,200,1539868805029
14,41,0,0,12,85.95,532,1539868805029
14,41,0,0,12,85.95,268,1539868805029
14,41,0,0,12,85.93,100,1539868838745
14,41,0,0,11,85.94,200,1539868838745
14,41,0,0,12,85.94,240,1539868838745
14,41,0,0,12,85.94,200,1539868838745
14,41,0,0,12,85.95,100,1539868843666
14,41,0,0,12,85.95,160,1539868843666
37,0,0,0,4,85.95,8,1539868888260
14,41,0,0,11,85.96,100,1539868934350
14,41,0,0,12,86.06,100,1539869083568
14,41,0,0,12,86.06,100,1539869083568
14,41,0,0,11,86.05,100,1539869083569
14,41,0,0,12,86.05,200,1539869083569
0,0,0,0,11,86.06,200,1539869126045
0,0,0,0,11,86.06,200,1539869129814
14,41,0,0,11,86.06,100,1539869129884
14,41,0,0,11,86.05,100,1539869129884
14,41,0,0,11,86.01,100,1539869129946
37,0,0,0,4,86.02,11,1539869140359
14,41,0,0,11,85.98,200,1539869188756
14,41,0,0,11,85.98,100,1539869188756
14,41,0,0,12,85.98,200,1539869188757
14,41,0,0,12,85.99,822,1539869188757
14,41,0,0,12,85.99,283,1539869188757
14,37,41,0,12,85.99,95,1539869188757
14,41,0,0,12,85.99,300,1539869188758
0,0,0,0,11,85.99,200,1539869195126
0,0,0,0,12,85.99,200,1539869195126
0,0,0,0,11,85.99,100,1539869235008
0,0,0,0,11,85.99,100,1539869280010
0,0,0,0,12,85.99,525,1539869285008
0,0,0,0,12,85.99,655,1539869285009
37,0,0,0,12,85.99,20,1539869315008
14,41,0,0,12,85.99,400,1539869340105
0,0,0,0,12,85.96,203,1539869375741
0,0,0,0,12,85.96,200,1539869375741
14,41,0,0,11,85.96,100,1539869395044
0,0,0,0,12,85.97,100,1539869395044
51,0,0,0,0,85.96,,1539869400075
0,0,0,0,11,85.96,100,1539869400075
25,16,0,0,11,85.96,100,1539869400075
51,0,0,0,0,86,,1539869400605
25,0,0,0,10,86,31406,1539869400605
14,41,0,0,12,85.96,200,1539869400606
25,16,0,0,12,85.96,200,1539869400606
14,41,0,0,12,85.97,100,1539869400607
14,41,0,0,12,85.97,200,1539869400607
14,41,0,0,12,85.97,700,1539869400607
0,0,0,0,11,85.98,200,1539869400612
14,41,0,0,12,85.98,172,1539869400631
14,37,41,0,12,85.98,28,1539869400633
14,41,0,0,12,85.98,100,1539869400633
14,41,0,0,12,85.98,200,1539869400633
14,37,41,0,12,85.98,1,1539869400633
14,37,41,0,12,85.98,3,1539869400635
14,41,0,0,12,85.98,296,1539869400637
14,37,41,0,12,85.98,33,1539869400637
14,41,0,0,12,85.98,100,1539869400639
