c1,c2,c3,c4,e,p,s,t
25,0,0,0,10,15.55,13349,1539955887434
10,41,0,0,4,15.55,420,1539955887436
0,0,0,0,8,15.56,100,1539955887463
0,0,0,0,8,15.56,100,1539955887465
0,0,0,0,8,15.56,100,1539955887465
0,0,0,0,8,15.56,100,1539955887466
14,37,41,0,8,15.56,1,1539955887538
37,0,0,0,4,15.5027,65,1539955887671
14,37,41,0,10,15.52,35,1539955903398
14,37,41,0,10,15.52,61,1539955903398
14,37,41,0,10,15.52,4,1539955917097
51,0,0,0,0,15.51,,1539955917107
0,0,0,0,4,15.51,100,1539955917107
14,37,41,0,10,15.53,98,1539955929455
0,0,0,0,4,15.51,100,1539955929464
0,0,0,0,15,15.56,100,1539955938020
51,0,0,0,0,15.58,,1539955938025
0,0,0,0,4,15.58,100,1539955938025
51,0,0,0,0,15.6,,1539955938029
0,0,0,0,4,15.6,100,1539955938029
0,0,0,0,15,15.56,100,1539955938037
0,0,0,0,4,15.6,100,1539955938040
0,0,0,0,15,15.56,100,1539955938049
0,0,0,0,15,15.56,100,1539955938062
0,0,0,0,15,15.56,100,1539955938072
0,0,0,0,15,15.56,100,1539955938085
37,0,0,0,8,15.56,99,1539955938117
37,0,0,0,8,15.56,1,1539955938117
0,0,0,0,11,15.56,100,1539955938117
25,16,0,0,11,15.56,100,1539955938117
0,0,0,0,10,15.56,100,1539955938117
0,0,0,0,19,15.56,100,1539955938117
0,0,0,0,12,15.56,100,1539955938117
25,16,0,0,12,15.56,100,1539955938117
0,0,0,0,15,15.585,200,1539955938117
51,0,0,0,0,15.61,,1539955938118
0,0,0,0,4,15.61,100,1539955938118
0,0,0,0,4,15.5925,100,1539955938119
0,0,0,0,4,15.585,200,1539955938120
14,37,41,0,12,15.56,99,1539955938130
14,37,41,0,12,15.61,1,1539955938130
0,0,0,0,4,15.58,100,1539955938147
20,37,0,0,4,15.61,1,1539955938162
0,0,0,0,10,15.6,100,1539955938209
0,0,0,0,4,15.5925,200,1539955938227
14,37,41,0,10,15.56,8,1539955946961
14,37,41,0,10,15.56,2,1539955946961
51,0,0,0,0,15.63,,1539955952667
0,0,0,0,19,15.63,100,1539955952667
0,0,0,0,4,15.6,100,1539955963346
0,0,0,0,4,15.6,100,1539955963347
0,0,0,0,4,15.6,100,1539955963352
0,0,0,0,18,15.6,100,1539955963357
0,0,0,0,4,15.6,100,1539955963361
0,0,0,0,4,15.58,100,1539955963446
0,0,0,0,4,15.6,100,1539955963458
14,37,41,0,10,15.59,30,1539955968943
0,0,0,0,4,15.59,100,1539955983690
51,0,0,0,0,15.65,,1539955996951
0,0,0,0,19,15.65,100,1539955996951
37,0,0,0,8,15.595,29,1539955996952
14,41,0,0,19,15.64,100,1539955996952
0,0,0,0,12,15.65,100,1539955996952
37,0,0,0,8,15.6,71,1539955996952
37,0,0,0,19,15.64,29,1539955996952
14,41,0,0,19,15.64,100,1539955996954
0,0,0,0,12,15.65,100,1539955996955
0,0,0,0,12,15.65,100,1539955996955
0,0,0,0,12,15.65,100,1539955996956
14,41,0,0,12,15.65,100,1539955996956
0,0,0,0,8,15.65,100,1539955996956
0,0,0,0,12,15.65,100,1539955996956
0,0,0,0,11,15.64,100,1539955996956
0,0,0,0,12,15.65,100,1539955996956
0,0,0,0,19,15.63,100,1539955996956
0,0,0,0,10,15.63,100,1539955996956
0,0,0,0,8,15.64,100,1539955996956
0,0,0,0,18,15.64,100,1539955996956
0,0,0,0,12,15.63,100,1539955996956
0,0,0,0,2,15.63,100,1539955996956
0,0,0,0,15,15.61,100,1539955996957
14,41,0,0,12,15.65,100,1539955996957
14,41,0,0,12,15.65,100,1539955996960
0,0,0,0,12,15.62,100,1539955996976
0,0,0,0,4,15.645,100,1539955997008
0,0,0,0,18,15.64,100,1539955997020
0,0,0,0,7,15.64,100,1539955997047
0,0,0,0,2,15.61,100,1539956017288
0,0,0,0,19,15.62,100,1539956017288
37,0,0,0,8,15.62,44,1539956017288
0,0,0,0,12,15.61,100,1539956017288
0,0,0,0,12,15.615,100,1539956017288
0,0,0,0,12,15.62,100,1539956017288
0,0,0,0,4,15.635,100,1539956021656
0,0,0,0,4,15.64,100,1539956021656
0,0,0,0,11,15.62,100,1539956022563
14,41,0,0,8,15.58,100,1539956034105
0,0,0,0,11,15.58,100,1539956034105
0,0,0,0,10,15.61,100,1539956034105
0,0,0,0,12,15.58,100,1539956034106
0,0,0,0,2,15.58,100,1539956034106
14,41,0,0,8,15.58,100,1539956034107
0,0,0,0,4,15.6,100,1539956034109
0,0,0,0,4,15.6,100,1539956034109
37,0,0,0,11,15.61,10,1539956034109
37,0,0,0,8,15.61,10,1539956034110
37,0,0,0,12,15.61,30,1539956034110
0,0,0,0,4,15.58,100,1539956034111
14,41,0,0,19,15.63,100,1539956034114
0,0,0,0,10,15.62,100,1539956034137
37,0,0,0,10,15.62,1,1539956034137
0,0,0,0,4,15.595,100,1539956034202
0,0,0,0,4,15.585,100,1539956034224
0,0,0,0,4,15.6,100,1539956034324
14,37,41,0,19,15.58,44,1539956037457
0,0,0,0,10,15.62,100,1539956037458
14,37,41,0,11,15.58,10,1539956039120
14,37,41,0,11,15.58,10,1539956039120
14,37,41,0,11,15.58,30,1539956039120
37,0,0,0,4,15.555,80,1539956040890
14,41,0,0,10,15.62,100,1539956048459
14,41,0,0,19,15.63,100,1539956049490
37,0,0,0,10,15.62,99,1539956049490
14,41,0,0,19,15.63,100,1539956049490
14,41,0,0,19,15.64,100,1539956049492
14,37,41,0,19,15.64,30,1539956049542
0,0,0,0,4,15.6,100,1539956056611
0,0,0,0,11,15.6,300,1539956056611
0,0,0,0,10,15.65,100,1539956056698
0,0,0,0,4,15.6,300,1539956056880
0,0,0,0,4,15.55,300,1539956056881
0,0,0,0,4,15.6,100,1539956056887
0,0,0,0,4,15.65,100,1539956056937
37,0,0,0,19,15.64,12,1539956057881
37,0,0,0,19,15.64,58,1539956067018
51,0,0,0,0,15.67,,1539956067019
0,0,0,0,19,15.65,100,1539956067019
0,0,0,0,19,15.65,100,1539956067019
0,0,0,0,12,15.65,100,1539956067019
14,37,41,0,19,15.64,9,1539956067019
0,0,0,0,12,15.65,100,1539956067019
0,0,0,0,12,15.65,100,1539956067019
14,41,0,0,12,15.65,100,1539956067019
14,41,0,0,12,15.65,100,1539956067019
0,0,0,0,12,15.65,100,1539956067019
14,41,0,0,10,15.67,100,1539956067019
0,0,0,0,12,15.65,200,1539956067019
51,0,0,0,0,15.73,,1539956067041
0,0,0,0,18,15.73,100,1539956067041
0,0,0,0,10,15.73,100,1539956067041
20,41,0,0,4,15.67,100,1539956067089
0,0,0,0,4,15.67,100,1539956068091
0,0,0,0,12,15.72,100,1539956079295
51,0,0,0,0,15.74,,1539956089858
14,41,0,0,12,15.74,100,1539956089858
14,41,0,0,12,15.74,100,1539956089859
14,37,41,0,12,15.7,14,1539956089878
0,0,0,0,4,15.71,200,1539956101875
0,0,0,0,4,15.71,200,1539956101876
51,0,0,0,0,15.75,,1539956101886
14,41,0,0,10,15.75,100,1539956101886
14,41,0,0,10,15.75,100,1539956101897
14,41,0,0,10,15.75,100,1539956101897
14,41,0,0,10,15.75,100,1539956101899
0,0,0,0,4,15.75,100,1539956101941
14,41,0,0,10,15.75,165,1539956102005
14,41,0,0,10,15.75,500,1539956102006
14,41,0,0,10,15.75,100,1539956102006
14,41,0,0,10,15.75,100,1539956102006
0,0,0,0,10,15.75,200,1539956102006
37,0,0,0,10,15.75,35,1539956102006
51,0,0,0,0,15.82,,1539956102014
0,0,0,0,18,15.82,100,1539956102014
51,0,0,0,0,15.85,,1539956102023
14,41,0,0,11,15.85,100,1539956102023
14,41,0,0,18,15.83,100,1539956102023
0,0,0,0,12,15.83,100,1539956102023
14,41,0,0,2,15.84,100,1539956102023
14,41,0,0,8,15.85,100,1539956102023
0,0,0,0,12,15.84,100,1539956102023
0,0,0,0,12,15.85,100,1539956102023
14,41,0,0,10,15.85,100,1539956102023
0,0,0,0,12,15.85,1400,1539956102023
0,0,0,0,12,15.85,100,1539956102024
0,0,0,0,12,15.85,200,1539956102024
51,0,0,0,0,15.89,,1539956102025
14,41,0,0,12,15.89,100,1539956102025
0,0,0,0,4,15.83,500,1539956102026
0,0,0,0,18,15.88,100,1539956102031
51,0,0,0,0,15.91,,1539956102034
0,0,0,0,12,15.89,100,1539956102034
0,0,0,0,12,15.91,300,1539956102034
14,41,0,0,19,15.9,100,1539956102034
37,0,0,0,12,15.91,28,1539956102034
0,0,0,0,19,15.91,100,1539956102034
51,0,0,0,0,15.92,,1539956102045
0,0,0,0,18,15.92,200,1539956102045
0,0,0,0,18,15.92,100,1539956102069
37,0,0,0,12,15.86,15,1539956102080
14,37,41,0,17,15.79,85,1539956102081
0,0,0,0,4,15.91,445,1539956123965
37,0,0,0,12,15.91,85,1539956123967
51,0,0,0,0,15.95,,1539956125685
0,0,0,0,4,15.95,100,1539956125685
0,0,0,0,10,15.95,500,1539956125685
0,0,0,0,10,15.95,300,1539956125685
0,0,0,0,10,15.95,500,1539956125686
0,0,0,0,18,15.95,100,1539956125697
0,0,0,0,18,15.949,312,1539956125700
0,0,0,0,4,15.95,100,1539956125702
0,0,0,0,18,15.95,100,1539956125724
14,41,0,0,10,15.95,200,1539956130603
37,0,0,0,19,15.96,8,1539956138534
51,0,0,0,0,16.07,,1539956138898
0,0,0,0,12,16.07,100,1539956138898
37,0,0,0,19,16.09,1,1539956155473
37,0,0,0,4,16.0999,5,1539956165674
37,0,0,0,4,16.1,11,1539956169558
51,0,0,0,0,16.1,,1539956199305
0,0,0,0,4,16.1,100,1539956199305
0,0,0,0,11,16.1,300,1539956199312
37,0,0,0,2,16.099,1,1539956201068
37,0,0,0,2,16.099,1,1539956209658
0,0,0,0,4,16.1,100,1539956245908
0,0,0,0,4,16.1,100,1539956245908
0,0,0,0,18,16.1,100,1539956245931
0,0,0,0,4,16.1,100,1539956257308
0,0,0,0,4,16.1,100,1539956290450
0,0,0,0,4,16.1,100,1539956301509
51,0,0,0,0,16.12,,1539956330538
51,0,0,0,0,16.15,,1539956330538
14,41,0,0,12,16.1,100,1539956330538
14,41,0,0,12,16.1,100,1539956330538
0,0,0,0,12,16.1,100,1539956330538
0,0,0,0,12,16.1,100,1539956330538
14,41,0,0,12,16.1,100,1539956330538
14,41,0,0,19,16.12,211,1539956330538
14,41,0,0,19,16.12,389,1539956330538
14,41,0,0,12,16.1,100,1539956330538
0,0,0,0,12,16.1,100,1539956330538
14,41,0,0,10,16.15,100,1539956330538
37,0,0,0,12,16.1,27,1539956330538
14,37,41,0,12,16.1,73,1539956330539
14,37,41,0,12,16.1,27,1539956330539
14,37,41,0,12,16.1,73,1539956330539
14,37,41,0,12,16.1,27,1539956330539
37,0,0,0,12,16.09,46,1539956330540
37,0,0,0,12,16.1,54,1539956330540
37,0,0,0,12,16.1,19,1539956330540
0,0,0,0,12,16.1,100,1539956330540
0,0,0,0,12,16.1,181,1539956330540
37,0,0,0,12,16.1,4,1539956330540
37,0,0,0,12,16.1,96,1539956330540
37,0,0,0,12,16.1,4,1539956330540
14,37,41,0,19,16.1,35,1539956330541
14,37,41,0,19,16.07,35,1539956330541
14,37,41,0,19,16.06,30,1539956330541
14,41,0,0,12,16.1,100,1539956330541
14,41,0,0,12,16.1,100,1539956330546
14,41,0,0,12,16.1,100,1539956330568
14,37,41,0,10,16.1,15,1539956330795
37,0,0,0,19,16.12,27,1539956330795
51,0,0,0,0,16.2,,1539956330828
37,0,0,0,18,16.16,35,1539956330828
37,0,0,0,18,16.19,35,1539956330828
0,0,0,0,18,16.2,130,1539956330828
0,0,0,0,10,16.2,472,1539956343107
0,0,0,0,12,16.17,100,1539956343107
14,41,0,0,11,16.2,100,1539956343107
14,41,0,0,10,16.2,100,1539956343107
37,0,0,0,12,16.19,30,1539956343108
0,0,0,0,12,16.2,270,1539956343108
37,0,0,0,12,16.2,30,1539956343108
14,41,0,0,19,16.2,100,1539956343108
51,0,0,0,0,16.23,,1539956343109
14,41,0,0,12,16.23,100,1539956343109
14,37,41,0,12,16.23,35,1539956343109
14,37,41,0,12,16.23,65,1539956343110
14,37,41,0,12,16.23,35,1539956343110
37,0,0,0,12,16.23,65,1539956343111
0,0,0,0,12,16.23,100,1539956343111
0,0,0,0,12,16.23,100,1539956343111
14,41,0,0,12,16.23,100,1539956343112
14,41,0,0,12,16.2,100,1539956343112
0,0,0,0,19,16.21,100,1539956343112
0,0,0,0,12,16.23,100,1539956343113
