c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,69.5,4,1539648242653
0,0,0,0,11,70.25,100,1539690402980
32,37,0,0,4,69.75,75,1539693794277
37,0,0,0,11,72,45,1539696248461
14,37,41,0,11,73,1,1539696268667
14,41,0,0,11,73,100,1539696304524
14,37,41,0,11,73,10,1539696304669
14,37,41,0,11,73,64,1539696305185
14,41,0,0,11,73,436,1539696305185
14,41,0,0,11,73,500,1539696319632
14,37,41,0,12,73,17,1539696322027
14,37,41,0,12,73.02,83,1539696322027
14,37,41,0,12,73.02,17,1539696325688
14,37,41,0,12,73.02,83,1539696325688
14,37,41,0,12,73.02,17,1539696325739
14,37,41,0,12,73.02,83,1539696325739
14,41,0,0,12,72.99,100,1539696331920
14,37,41,0,12,73.02,10,1539696332041
14,37,41,0,12,73.02,7,1539696332903
14,37,41,0,12,73.02,93,1539696332903
14,37,41,0,12,73.02,7,1539696333870
14,37,41,0,12,73.02,93,1539696333870
14,37,41,0,12,73.02,7,1539696334710
14,37,41,0,12,73.02,93,1539696334710
14,37,41,0,12,73.02,7,1539696334845
37,0,0,0,11,73,3,1539696334847
14,37,41,0,11,73,61,1539696335486
14,37,41,0,11,73.1,39,1539696335486
0,0,0,0,4,73.1,100,1539696335766
14,41,0,0,11,73.1,100,1539696335931
14,37,41,0,11,73.1,11,1539696336235
14,37,41,0,8,74,10,1539696336236
14,37,41,0,12,74,45,1539696336236
14,37,41,0,11,74.75,30,1539696336237
14,37,41,0,12,74.9,4,1539696336238
14,41,0,0,11,74,100,1539696442541
37,0,0,0,12,73.1,1,1539696586734
0,0,0,0,12,73.79,100,1539696600050
51,0,0,0,0,73.79,,1539696600052
0,0,0,0,11,73.79,200,1539696600052
25,16,0,0,11,73.79,200,1539696600052
14,37,41,0,12,74.43,2,1539696606773
25,16,0,0,12,74.43,2,1539696606773
37,0,0,0,19,72.31,23,1539696656339
37,0,0,0,19,72,23,1539696659757
51,0,0,0,0,72,,1539696662372
51,0,0,0,0,72.01,,1539696662372
37,0,0,0,11,72.12,50,1539696662372
0,0,0,0,11,72.01,400,1539696662372
0,0,0,0,11,72,255,1539696662372
37,0,0,0,19,72,26,1539696662372
37,0,0,0,3,72.12,50,1539696662372
0,0,0,0,11,72,305,1539696662372
0,0,0,0,11,72,395,1539696662372
0,0,0,0,11,72,100,1539696662372
37,0,0,0,12,72.37,2,1539696662372
37,0,0,0,12,72.12,50,1539696662372
37,0,0,0,2,72.12,50,1539696662372
37,0,0,0,18,72.12,50,1539696662372
37,0,0,0,12,72,92,1539696662372
37,0,0,0,12,72,8,1539696662372
0,0,0,0,12,72,100,1539696662372
14,37,41,0,19,72.01,26,1539696662372
0,0,0,0,19,72.92,100,1539696662374
0,0,0,0,12,73.17,100,1539696665019
0,0,0,0,11,73.29,100,1539696665019
0,0,0,0,12,73.23,100,1539696665019
37,0,0,0,11,73.34,50,1539696665019
0,0,0,0,19,73.23,100,1539696665019
37,0,0,0,12,73.33,44,1539696665019
37,0,0,0,12,73.33,56,1539696665700
37,0,0,0,12,73.33,44,1539696665700
37,0,0,0,11,73.33,30,1539696665700
14,37,41,0,11,73.34,50,1539696666014
37,0,0,0,3,73.34,50,1539696666014
14,41,0,0,11,73.45,100,1539696666014
37,0,0,0,18,73.34,50,1539696666015
37,0,0,0,2,73.34,50,1539696666015
14,37,41,0,12,73.34,50,1539696666015
14,41,0,0,12,73.45,100,1539696666015
0,0,0,0,12,73.45,100,1539696666015
51,0,0,0,0,73.89,,1539696693404
25,0,0,0,10,73.89,25202,1539696693404
0,0,0,0,10,73.04,128,1539696693405
0,0,0,0,10,72.18,100,1539696693405
0,0,0,0,10,72.03,100,1539696693405
37,0,0,0,10,72.03,72,1539696693405
0,0,0,0,10,72.5,100,1539696693405
14,41,0,0,10,72.5,141,1539696693406
14,41,0,0,11,72.14,100,1539696693406
0,0,0,0,10,72.5,100,1539696693407
0,0,0,0,10,72.5,100,1539696693407
0,0,0,0,10,72.5,100,1539696693407
0,0,0,0,10,72.5,100,1539696693407
0,0,0,0,10,72.5,100,1539696693407
51,0,0,0,0,71.92,,1539696693408
14,41,0,0,10,72.5,669,1539696693408
14,41,0,0,10,72.5,142,1539696693408
14,41,0,0,10,72.5,141,1539696693408
0,0,0,0,4,71.92,4429,1539696693408
14,41,0,0,10,72.5,407,1539696693409
37,0,0,0,3,71.81,42,1539696693417
0,0,0,0,4,73.04,408,1539696693425
14,37,41,0,10,72.54,1,1539696693509
