c1,c2,c3,c4,e,p,s,t
0,0,0,0,8,9,100,1537964004135
0,0,0,0,4,8.01,150,1537965878693
37,0,0,0,4,8.05,50,1537966330196
37,0,0,0,4,8.755,17,1537968026030
0,0,0,0,11,9.35,100,1537968571132
51,0,0,0,0,8.6,,1537968656530
14,41,0,0,18,8.6,100,1537968656530
14,41,0,0,12,8.6,100,1537968656530
25,16,0,0,12,8.6,100,1537968656530
14,41,0,0,18,8.6,100,1537968657686
14,41,0,0,7,8.6,100,1537968657686
14,41,0,0,2,8.6,100,1537968657686
14,41,0,0,12,8.6,700,1537968657686
51,0,0,0,0,9,,1537968817563
0,0,0,0,11,9,100,1537968817563
25,16,0,0,11,9,100,1537968817563
0,0,0,0,11,8.85,100,1537968817564
0,0,0,0,11,8.85,350,1537968817564
25,0,0,0,10,8.9,6758,1537968843586
0,0,0,0,10,8.85,100,1537968843589
10,41,0,0,4,8.9,323,1537968843589
14,41,0,0,19,8.9,100,1537968843589
14,41,0,0,11,8.85,100,1537968843589
14,41,0,0,11,8.85,100,1537968843589
14,41,0,0,19,8.85,100,1537968843590
37,0,0,0,11,8.85,16,1537968843591
37,0,0,0,4,8.85,10,1537968843593
14,37,41,0,11,8.85,84,1537968843595
14,37,41,0,11,8.85,16,1537968843595
14,37,41,0,10,8.95,1,1537968844973
0,0,0,0,15,8.925,100,1537968844974
14,41,0,0,10,9,300,1537968847999
37,0,0,0,4,9.05,1,1537968877482
0,0,0,0,10,9,200,1537968885480
0,0,0,0,12,9,111,1537968885481
51,0,0,0,0,9.05,,1537968886226
14,41,0,0,10,9.05,100,1537968886226
14,41,0,0,11,9.05,100,1537968886226
0,0,0,0,4,8.85,500,1537968888427
51,0,0,0,0,9.15,,1537968914339
51,0,0,0,0,9.25,,1537968914339
14,37,41,0,11,9.1,4,1537968914339
14,37,41,0,11,9.15,96,1537968914339
14,41,0,0,10,9.15,100,1537968914339
37,0,0,0,11,9.15,4,1537968914339
37,0,0,0,12,9.05,4,1537968914339
0,0,0,0,10,9.15,100,1537968914339
0,0,0,0,11,9.15,100,1537968914339
0,0,0,0,11,9.15,104,1537968914339
14,41,0,0,10,9.15,100,1537968914339
14,41,0,0,19,9.15,100,1537968914339
14,41,0,0,18,9.25,100,1537968914339
37,0,0,0,12,9.15,1,1537968914339
37,0,0,0,12,9.15,1,1537968914339
0,0,0,0,18,9.25,400,1537968914339
14,41,0,0,10,9.25,200,1537968915111
0,0,0,0,10,9.245,100,1537968915113
37,0,0,0,4,9.1625,38,1537968915224
14,41,0,0,11,9.25,100,1537968915950
51,0,0,0,0,9.3,,1537968916212
14,41,0,0,19,9.3,100,1537968916212
0,0,0,0,11,9.3,100,1537968916212
0,0,0,0,10,9.3,100,1537968916212
51,0,0,0,0,9.4,,1537968916213
0,0,0,0,11,9.4,100,1537968916213
0,0,0,0,19,9.4,100,1537968916213
0,0,0,0,12,9.4,100,1537968916213
0,0,0,0,12,9.4,100,1537968916213
51,0,0,0,0,9.5,,1537968917064
0,0,0,0,4,9.5,100,1537968917064
0,0,0,0,4,9.5,100,1537968945357
0,0,0,0,4,9.5,100,1537968945357
0,0,0,0,4,9.5,100,1537968945471
0,0,0,0,4,9.5,700,1537968950453
0,0,0,0,4,9.5,200,1537968950453
14,41,0,0,11,9.5,100,1537968956501
14,41,0,0,10,9.5,100,1537968956501
51,0,0,0,0,9.65,,1537968956528
0,0,0,0,10,9.65,1165,1537968956528
0,0,0,0,10,9.65,956,1537968956528
0,0,0,0,10,9.65,2717,1537968956528
0,0,0,0,10,9.65,100,1537968956528
