c1,c2,c3,c4,e,p,s,t
14,41,0,0,12,29.54,849,1539946800243
37,0,0,0,8,29,20,1539946800723
14,41,0,0,12,28.5,210,1539946818761
14,37,41,0,11,28.79,10,1539946818763
14,41,0,0,11,28.5,250,1539946818763
37,0,0,0,11,29,25,1539947792512
14,41,0,0,11,28.75,500,1539947967118
0,0,0,0,12,28.52,100,1539948003232
0,0,0,0,12,28.51,100,1539948003232
0,0,0,0,12,28.51,800,1539948003232
14,41,0,0,12,28.52,400,1539948052561
14,41,0,0,12,28.51,100,1539948052561
14,41,0,0,12,28.51,181,1539948052561
14,41,0,0,12,28.51,100,1539948067093
0,0,0,0,8,28.52,100,1539948304341
14,41,0,0,12,28.51,100,1539948304361
14,41,0,0,12,28.51,100,1539948304362
14,41,0,0,12,28.51,100,1539948304362
14,41,0,0,12,28.51,100,1539948304667
14,37,41,0,12,28.51,30,1539948308286
14,37,41,0,12,28.51,70,1539948316078
14,41,0,0,12,28.51,100,1539948316078
14,41,0,0,12,28.51,330,1539948316078
14,37,41,0,12,28.51,30,1539948317065
14,41,0,0,8,28.6,388,1539948398261
14,37,41,0,12,28.51,70,1539948524668
14,41,0,0,12,28.51,100,1539948524668
14,41,0,0,12,28.51,1400,1539948524668
14,41,0,0,11,28.53,200,1539948524668
14,37,41,0,11,28.5,4,1539948524668
14,41,0,0,12,28.51,100,1539948524669
14,41,0,0,12,28.51,626,1539948524669
14,41,0,0,12,28.51,100,1539948525311
14,41,0,0,12,28.51,300,1539948525311
14,37,41,0,12,28.51,63,1539948526358
14,37,41,0,12,28.5,27,1539948526358
14,41,0,0,12,28.5,100,1539948528555
37,0,0,0,11,28.5,73,1539948529170
14,41,0,0,12,28.2,100,1539948729571
14,37,41,0,11,28.29,30,1539948729572
14,37,41,0,11,28.25,50,1539948729572
14,41,0,0,11,28.21,300,1539948729572
14,41,0,0,11,28.2,420,1539948729572
37,0,0,0,11,28.2,80,1539948729578
14,41,0,0,12,28.11,1000,1539948735341
14,41,0,0,12,28.11,1000,1539948737836
14,41,0,0,12,28.11,3000,1539948748083
0,0,0,0,8,28.1,400,1539948749727
0,0,0,0,8,28.1,100,1539948750272
0,0,0,0,8,28.1,900,1539948750272
14,41,0,0,8,28.1,100,1539948750496
14,41,0,0,12,28.06,300,1539948750741
14,37,41,0,12,28.03,50,1539948751724
0,0,0,0,12,28,200,1539948756926
0,0,0,0,11,27.92,100,1539948760696
0,0,0,0,11,28,100,1539948763983
0,0,0,0,11,28,100,1539948763983
0,0,0,0,12,28,118,1539948764073
14,41,0,0,12,28,100,1539948765241
14,37,41,0,12,28,32,1539948795298
14,41,0,0,8,28,200,1539948801065
0,0,0,0,12,27.95,200,1539948873531
14,41,0,0,12,27.95,100,1539948946466
14,41,0,0,12,27.94,100,1539948962539
14,41,0,0,12,27.94,100,1539948981158
14,41,0,0,12,27.94,242,1539948998977
14,41,0,0,11,27.98,242,1539948998977
14,41,0,0,12,27.94,937,1539948998978
14,41,0,0,11,27.98,233,1539948998978
14,37,41,0,11,27.98,46,1539948998982
14,41,0,0,12,27.94,100,1539949007085
14,37,41,0,11,27.8,15,1539949012426
14,37,41,0,11,27.76,85,1539949012426
14,41,0,0,12,27.94,200,1539949061548
14,41,0,0,12,27.81,100,1539949110890
14,41,0,0,12,27.81,100,1539949110890
14,41,0,0,11,27.8,300,1539949110890
37,0,0,0,11,27.76,15,1539949114854
37,0,0,0,11,27.76,85,1539949114854
14,41,0,0,11,27.77,100,1539949158246
14,41,0,0,12,27.94,1400,1539949269875
14,41,0,0,12,27.99,118,1539949269875
14,41,0,0,11,27.96,100,1539949269875
14,41,0,0,11,27.98,1579,1539949269875
14,41,0,0,11,28,100,1539949269875
14,41,0,0,12,28.02,900,1539949548790
14,41,0,0,12,28.02,700,1539949548790
14,41,0,0,12,28,100,1539949548790
14,41,0,0,12,28,800,1539949548790
14,41,0,0,12,28,100,1539949548971
14,41,0,0,12,28,100,1539949548975
14,41,0,0,12,28,2000,1539949548980
14,41,0,0,12,28,100,1539949548980
14,41,0,0,12,28,100,1539949548987
14,41,0,0,12,28,100,1539949548994
14,41,0,0,12,28,100,1539949549000
14,41,0,0,12,28,100,1539949549007
