c1,c2,c3,c4,e,p,s,t
14,37,41,0,8,75,3,1538478564416
37,0,0,0,8,75.75,12,1538478853136
37,0,0,0,4,70.75,5,1538481601425
0,0,0,0,4,73.3,200,1538482755182
14,37,41,0,8,73.25,4,1538482808220
14,37,41,0,11,73.2,96,1538483126859
14,37,41,0,8,73.25,96,1538483126859
37,0,0,0,8,73.1,75,1538483222944
37,0,0,0,8,73,10,1538483222944
14,41,0,0,11,73.3,800,1538483400158
14,37,41,0,8,75.25,1,1538483400342
14,37,41,0,11,75.1,1,1538483400342
37,0,0,0,4,74,96,1538483621204
37,0,0,0,8,73.79,15,1538483704343
37,0,0,0,8,73.79,15,1538483718564
37,0,0,0,8,73.79,40,1538483720039
37,0,0,0,4,72.5,20,1538483790653
14,37,41,0,8,72.79,30,1538483790654
14,37,41,0,11,72.5,30,1538483790654
37,0,0,0,8,72.79,18,1538483825341
37,0,0,0,4,73.0001,75,1538483882168
0,0,0,0,11,73.3,140,1538484354799
37,0,0,0,11,73.3,18,1538484354799
0,0,0,0,11,73.25,200,1538484354799
14,41,0,0,12,73.25,142,1538484384732
37,0,0,0,4,73.7001,88,1538484628856
37,0,0,0,11,74.25,68,1538485084956
37,0,0,0,11,74.4,50,1538485093769
0,0,0,0,11,74.5,750,1538485093769
37,0,0,0,11,74.5,50,1538485100450
0,0,0,0,4,74.99,500,1538485169469
0,0,0,0,4,74.99,100,1538485184496
0,0,0,0,4,74.99,100,1538485210595
0,0,0,0,4,74.99,100,1538485232857
0,0,0,0,4,74.9,100,1538485247375
0,0,0,0,4,74.99,100,1538485265474
0,0,0,0,4,74.99,100,1538485278687
7,37,0,0,4,73.72,1,1538485284046
0,0,0,0,4,74.99,100,1538485289796
0,0,0,0,4,74.99,100,1538485350773
0,0,0,0,4,74.99,100,1538485366846
37,0,0,0,11,74.87,50,1538485398148
37,0,0,0,11,74.89,58,1538485398148
37,0,0,0,11,74.89,92,1538485398148
0,0,0,0,4,74.99,100,1538485401646
37,0,0,0,4,74.99,1,1538485412180
37,0,0,0,11,74.99,8,1538485413250
37,0,0,0,8,74.94,2,1538485549427
14,37,41,0,8,74.99,2,1538485569357
37,0,0,0,4,74.71,7,1538485665301
14,41,0,0,11,73.8,100,1538486041798
37,0,0,0,8,73.72,4,1538486058784
0,0,0,0,8,73.7,150,1538486058784
0,0,0,0,8,73.7,150,1538486058784
37,0,0,0,11,73.8,50,1538486064518
37,0,0,0,4,73.3,2,1538486086507
14,41,0,0,12,73.97,100,1538486151204
14,41,0,0,12,73.99,246,1538486151204
14,41,0,0,12,73.99,100,1538486151204
14,41,0,0,12,74,100,1538486151204
37,0,0,0,4,74.0001,3,1538486174203
37,0,0,0,4,74.5,7,1538486245721
37,0,0,0,4,74,2,1538486453602
0,0,0,0,4,74.4392,1000,1538486494270
0,0,0,0,4,74.1,100,1538486500904
0,0,0,0,4,74.15,145,1538486583701
14,37,41,0,12,73.68,1,1538486907391
14,37,41,0,8,74,1,1538486907391
14,37,41,0,12,73.68,15,1538486907408
14,37,41,0,8,74.1,15,1538486907408
37,0,0,0,12,73.3,84,1538486979330
14,37,41,0,8,74.1,5,1538486980107
51,0,0,0,0,73.51,,1538487000387
25,41,0,0,12,73.51,10814,1538487000387
25,16,0,0,12,73.51,10814,1538487000387
51,0,0,0,0,73.54,,1538487000388
14,41,0,0,12,73.54,100,1538487000388
14,37,41,0,12,73.54,26,1538487000569
37,0,0,0,4,73.63,20,1538487000617
14,37,41,0,11,73.75,6,1538487000824
25,16,0,0,11,73.75,6,1538487000824
37,0,0,0,4,73.54,17,1538487000881
51,0,0,0,0,73.5,,1538487003993
14,41,0,0,12,73.51,100,1538487003993
14,41,0,0,12,73.5,200,1538487003993
0,0,0,0,2,73.513,100,1538487003993
51,0,0,0,0,73.625,,1538487003994
0,0,0,0,15,73.625,200,1538487003994
51,0,0,0,0,73.66,,1538487004188
0,0,0,0,4,73.66,100,1538487004188
0,0,0,0,4,73.5001,1438,1538487004609
37,0,0,0,12,73.63,20,1538487004754
0,0,0,0,4,73.51,600,1538487005752
0,0,0,0,4,73.51,500,1538487005847
37,0,0,0,4,73.5499,87,1538487006383
0,0,0,0,15,73.5,100,1538487007007
51,0,0,0,0,73.69,,1538487007008
0,0,0,0,4,73.69,100,1538487007008
0,0,0,0,4,73.5,100,1538487007168
37,0,0,0,4,73.69,82,1538487007237
0,0,0,0,4,73.69,100,1538487019196
37,0,0,0,4,73.6,2,1538487019991
37,0,0,0,4,73.5978,3,1538487020010
0,0,0,0,4,73.5,300,1538487021097
0,0,0,0,4,73.59,400,1538487021100
0,0,0,0,4,73.505,100,1538487021221
0,0,0,0,4,73.575,200,1538487021272
0,0,0,0,4,73.5,100,1538487021499
0,0,0,0,4,73.51,100,1538487021647
0,0,0,0,4,73.5001,100,1538487021648
37,0,0,0,4,73.5011,3,1538487022567
14,41,0,0,12,73.5,100,1538487023587
0,0,0,0,15,73.555,200,1538487026559
14,41,0,0,2,73.5,100,1538487026592
37,0,0,0,4,73.555,3,1538487027472
14,37,41,0,12,73.5,1,1538487028646
14,37,41,0,12,73.5,99,1538487028646
14,37,41,0,12,73.5,1,1538487028646
14,41,0,0,12,73.5,100,1538487028646
14,41,0,0,12,73.5,100,1538487028646
14,37,41,0,2,73.48,10,1538487028646
14,37,41,0,19,73.5,15,1538487028646
51,0,0,0,0,73.47,,1538487028647
14,37,41,0,19,73.48,25,1538487028647
14,37,41,0,19,73.48,3,1538487028647
14,37,41,0,12,73.49,10,1538487028647
14,37,41,0,10,73.48,47,1538487028647
14,37,41,0,10,73.48,53,1538487028647
14,37,41,0,19,73.5,50,1538487028647
14,37,41,0,19,73.5,50,1538487028647
14,41,0,0,12,73.47,100,1538487028647
14,37,41,0,2,73.47,10,1538487028647
14,37,41,0,19,73.48,10,1538487028647
14,37,41,0,19,73.47,10,1538487028647
14,37,41,0,18,73.47,10,1538487028647
14,37,41,0,8,73.47,10,1538487028647
51,0,0,0,0,73.46,,1538487028650
14,37,41,0,12,73.48,90,1538487028650
14,37,41,0,12,73.49,10,1538487028650
37,0,0,0,12,73.49,90,1538487028650
37,0,0,0,12,73.49,10,1538487028650
37,0,0,0,12,73.49,10,1538487028650
37,0,0,0,12,73.49,10,1538487028650
14,41,0,0,12,73.46,100,1538487028650
14,41,0,0,12,73.46,100,1538487028651
37,0,0,0,4,73.51,5,1538487028654
14,41,0,0,12,73.46,100,1538487028654
51,0,0,0,0,73.45,,1538487028780
0,0,0,0,11,73.45,700,1538487028780
0,0,0,0,3,73.45,100,1538487028820
0,0,0,0,11,73.46,100,1538487028866
14,41,0,0,12,73.46,500,1538487028866
14,41,0,0,12,73.45,193,1538487028866
0,0,0,0,11,73.46,200,1538487028866
14,41,0,0,12,73.45,207,1538487028866
14,41,0,0,12,73.45,200,1538487028866
