c1,c2,c3,c4,e,p,s,t
0,0,0,0,4,16.49,200,1539953164951
14,37,41,0,12,15.75,1,1539955680190
14,37,41,0,8,16,1,1539955680191
14,37,41,0,8,15.95,7,1539955680191
14,37,41,0,8,15.85,15,1539955680191
37,0,0,0,12,15.72,6,1539955680191
14,41,0,0,11,16.11,250,1539955680191
14,41,0,0,11,16.11,240,1539955680191
14,41,0,0,11,16.05,200,1539955680191
37,0,0,0,12,15.72,12,1539955680191
37,0,0,0,12,15.72,12,1539955680191
37,0,0,0,12,15.72,12,1539955680191
37,0,0,0,12,15.72,12,1539955680191
14,41,0,0,12,16.08,331,1539955745117
0,0,0,0,12,15.53,3300,1539955799803
51,0,0,0,0,15.54,1,1539955800778
25,41,0,0,12,15.54,123689,1539955800778
25,16,0,0,12,15.54,123689,1539955800778
51,0,0,0,0,15.5,,1539955800786
0,0,0,0,4,15.5,300,1539955800786
14,37,41,0,2,15.58,25,1539955800786
37,0,0,0,2,16.06,5,1539955800804
51,0,0,0,0,15.83,,1539955801654
0,0,0,0,19,15.83,100,1539955801654
10,32,41,0,4,15.54,100,1539955801901
14,37,41,0,12,15.59,86,1539955802040
51,0,0,0,0,16.08,,1539955802041
0,0,0,0,19,16.08,100,1539955802041
0,0,0,0,19,16.08,131,1539955802041
14,41,0,0,12,15.66,100,1539955802242
14,41,0,0,12,15.63,100,1539955802242
14,41,0,0,12,15.66,100,1539955802242
14,37,41,0,12,15.6,86,1539955802242
0,0,0,0,4,15.59,778,1539955802266
0,0,0,0,4,15.59,937,1539955802327
0,0,0,0,12,16.02,100,1539955802447
0,0,0,0,12,16.01,120,1539955802447
14,41,0,0,12,16.01,100,1539955802448
37,0,0,0,12,16.01,80,1539955802448
37,0,0,0,4,15.59,50,1539955802701
20,41,0,0,4,15.54,100,1539955803231
14,37,41,0,12,15.63,55,1539955803612
0,0,0,0,12,15.64,300,1539955803687
37,0,0,0,12,15.64,45,1539955803687
0,0,0,0,12,15.63,100,1539955803687
0,0,0,0,4,15.621,100,1539955803693
0,0,0,0,4,15.62,200,1539955803693
37,0,0,0,19,15.63,17,1539955803739
37,0,0,0,19,15.63,86,1539955803739
0,0,0,0,19,15.64,100,1539955803739
37,0,0,0,4,16.11,60,1539955804310
0,0,0,0,4,15.5775,426,1539955804709
0,0,0,0,4,15.825,100,1539955804830
0,0,0,0,4,15.73,100,1539955804830
0,0,0,0,4,15.74,100,1539955804838
0,0,0,0,4,15.73,100,1539955804839
0,0,0,0,4,15.75,100,1539955804846
0,0,0,0,4,15.73,100,1539955804848
0,0,0,0,4,15.806,500,1539955805762
0,0,0,0,12,15.89,100,1539955806642
0,0,0,0,12,15.9,100,1539955806642
37,0,0,0,12,15.91,17,1539955806642
0,0,0,0,12,15.91,100,1539955806642
0,0,0,0,12,15.92,792,1539955806642
14,41,0,0,12,15.79,100,1539955806986
14,41,0,0,12,15.79,100,1539955806986
37,0,0,0,4,15.8017,90,1539955806997
10,32,37,41,4,15.59,1,1539955808398
0,0,0,0,12,15.89,100,1539955810549
37,0,0,0,12,15.89,55,1539955810549
0,0,0,0,12,15.91,100,1539955810549
37,0,0,0,12,15.91,20,1539955810549
0,0,0,0,12,15.92,843,1539955810549
0,0,0,0,12,15.91,100,1539955810549
0,0,0,0,12,15.92,165,1539955810549
0,0,0,0,4,15.59,300,1539955811194
10,32,41,0,4,15.54,420,1539955812193
0,0,0,0,4,15.59,100,1539955825170
14,37,41,0,12,15.72,1,1539955832158
14,37,41,0,3,15.59,2,1539955832451
14,37,41,0,19,15.73,1,1539955832626
0,0,0,0,2,15.79,100,1539955840005
14,37,41,0,19,15.63,91,1539955840126
14,41,0,0,12,15.75,100,1539955856621
14,41,0,0,12,15.75,100,1539955856621
14,41,0,0,12,15.75,100,1539955856621
14,41,0,0,12,15.75,1500,1539955856621
0,0,0,0,19,15.75,100,1539955856621
0,0,0,0,12,15.75,100,1539955856621
0,0,0,0,17,15.75,100,1539955856621
0,0,0,0,19,15.75,200,1539955856621
37,0,0,0,12,15.75,32,1539955856621
0,0,0,0,12,15.75,100,1539955856621
14,41,0,0,18,15.75,100,1539955856621
14,41,0,0,18,15.75,100,1539955856621
14,41,0,0,12,15.75,100,1539955856621
0,0,0,0,18,15.75,100,1539955856621
0,0,0,0,8,15.745,100,1539955856621
14,41,0,0,8,15.75,100,1539955856621
0,0,0,0,12,15.75,100,1539955856621
37,0,0,0,19,15.75,88,1539955856621
14,37,41,0,19,15.75,86,1539955856621
14,37,41,0,19,15.75,88,1539955856621
14,37,41,0,12,15.75,68,1539955856621
14,37,41,0,12,15.745,32,1539955856621
14,41,0,0,18,15.75,100,1539955856621
37,0,0,0,12,15.745,68,1539955856621
14,37,41,0,19,15.75,12,1539955856621
14,41,0,0,8,15.75,100,1539955856621
14,41,0,0,11,15.75,100,1539955856621
25,16,0,0,11,15.75,100,1539955856621
14,41,0,0,12,15.745,100,1539955856621
14,41,0,0,11,15.75,100,1539955856621
14,41,0,0,11,15.75,400,1539955856621
0,0,0,0,11,15.75,100,1539955856621
14,37,41,0,18,15.74,10,1539955856621
0,0,0,0,4,15.75,100,1539955856621
14,41,0,0,11,15.75,100,1539955856621
0,0,0,0,4,15.75,100,1539955856621
37,0,0,0,11,15.75,70,1539955856621
0,0,0,0,4,15.75,100,1539955856623
14,37,41,0,12,15.75,10,1539955856624
14,41,0,0,12,15.75,100,1539955856624
14,41,0,0,19,15.75,100,1539955856624
14,41,0,0,18,15.76,100,1539955856632
14,41,0,0,18,15.76,100,1539955856632
0,0,0,0,12,15.745,300,1539955856634
0,0,0,0,4,15.75,100,1539955856710
37,0,0,0,12,15.79,44,1539955859355
14,41,0,0,19,15.8,474,1539955859355
0,0,0,0,11,15.76,100,1539955859405
0,0,0,0,11,15.75,100,1539955859405
0,0,0,0,19,15.81,100,1539955862120
0,0,0,0,12,15.81,100,1539955862120
0,0,0,0,12,15.81,100,1539955862120
0,0,0,0,12,15.81,100,1539955862120
0,0,0,0,19,15.81,300,1539955862121
37,0,0,0,19,15.81,74,1539955862121
14,41,0,0,19,15.82,100,1539955862122
20,41,0,0,4,15.81,100,1539955862151
0,0,0,0,12,15.815,595,1539955863339
0,0,0,0,11,15.815,100,1539955881994
0,0,0,0,19,15.83,100,1539955881995
14,41,0,0,12,15.83,100,1539955881995
0,0,0,0,19,15.85,100,1539955881999
14,41,0,0,12,15.86,100,1539955881999
14,41,0,0,18,15.8,100,1539955891530
0,0,0,0,12,15.83,300,1539955903984
0,0,0,0,18,15.8,100,1539955905538
14,37,41,0,18,15.8,12,1539955910806
0,0,0,0,4,15.815,100,1539955910896
0,0,0,0,4,15.815,100,1539955910902
14,41,0,0,12,15.815,100,1539955912398
14,41,0,0,12,15.815,100,1539955912400
14,41,0,0,12,15.83,100,1539955916114
14,37,41,0,12,15.83,50,1539955916114
14,41,0,0,19,15.815,100,1539955916114
0,0,0,0,12,15.825,100,1539955916114
14,41,0,0,12,15.825,100,1539955916115
14,41,0,0,12,15.825,400,1539955916115
14,41,0,0,19,15.83,100,1539955916115
14,41,0,0,19,15.82,160,1539955916115
14,37,41,0,18,15.81,45,1539955916115
37,0,0,0,12,15.83,45,1539955916115
14,41,0,0,19,15.81,140,1539955916115
0,0,0,0,12,15.835,110,1539955916115
14,37,41,0,8,15.81,45,1539955916115
37,0,0,0,12,15.82,16,1539955916115
14,41,0,0,12,15.82,124,1539955916115
14,37,41,0,12,15.82,45,1539955916115
14,41,0,0,12,15.82,100,1539955916115
0,0,0,0,4,15.82,100,1539955916147
0,0,0,0,4,15.83,100,1539955920044
14,41,0,0,12,15.815,100,1539955921045
14,41,0,0,12,15.83,100,1539955931349
14,41,0,0,12,15.815,130,1539955931619
14,41,0,0,12,15.815,100,1539955931622
14,41,0,0,12,15.815,100,1539955931622
14,41,0,0,12,15.815,100,1539955931623
14,41,0,0,12,15.815,100,1539955931625
14,41,0,0,12,15.815,100,1539955931627
14,41,0,0,12,15.815,100,1539955931628
37,0,0,0,4,15.815,30,1539955933824
14,41,0,0,12,15.83,100,1539955942368
0,0,0,0,12,15.82,120,1539955942384
37,0,0,0,12,15.82,16,1539955942384
0,0,0,0,12,15.81,264,1539955942384
0,0,0,0,19,15.81,100,1539955942385
37,0,0,0,12,15.81,36,1539955942385
0,0,0,0,12,15.81,100,1539955942385
0,0,0,0,12,15.8,300,1539955942389
0,0,0,0,12,15.8,500,1539955942389
