c1,c2,c3,c4,e,p,s,t
14,37,41,0,11,110,10,1538474434693
14,37,41,0,11,109.92,20,1538474434693
14,41,0,0,11,109.92,100,1538474434694
14,41,0,0,11,109.92,160,1538474434694
14,37,41,0,12,109.92,86,1538474434787
14,37,41,0,12,109.92,14,1538474434806
14,37,41,0,12,109.92,72,1538474434806
14,37,41,0,11,109.66,1,1538474434866
14,37,41,0,11,109,10,1538474434866
14,37,41,0,11,109.5,16,1538475236366
14,37,41,0,11,110.24,16,1538475236433
14,37,41,0,11,109.5,16,1538475236433
14,37,41,0,11,110.24,15,1538475697579
37,0,0,0,11,110.24,69,1538475702052
37,0,0,0,11,110.48,98,1538475702052
0,0,0,0,11,110.48,100,1538475702052
37,0,0,0,11,110.5,33,1538475702052
14,41,0,0,11,110.5,267,1538476578979
37,0,0,0,11,110.94,40,1538477502997
0,0,0,0,11,111.29,100,1538477502997
14,37,41,0,11,111.29,60,1538477502997
14,37,41,0,8,112,50,1538478009247
14,37,41,0,11,111.75,50,1538478009314
14,41,0,0,8,111.3,100,1538478109695
37,0,0,0,11,111.65,10,1538478162046
14,37,41,0,11,111.65,50,1538478172187
37,0,0,0,11,111.31,50,1538478550006
37,0,0,0,11,111.31,50,1538478591374
37,0,0,0,11,111.31,50,1538478591374
37,0,0,0,11,111.31,83,1538478591374
14,37,41,0,8,111.29,28,1538478620663
0,0,0,0,8,111.31,100,1538478620909
37,0,0,0,11,111.31,57,1538478800950
0,0,0,0,11,111.55,500,1538479198968
14,37,41,0,8,111.4,50,1538479676537
14,41,0,0,8,111.34,100,1538479676537
14,37,41,0,11,111.35,75,1538479676537
14,41,0,0,11,111.32,100,1538479676538
14,41,0,0,11,111.32,175,1538479676538
14,37,41,0,11,111.32,57,1538479686765
37,0,0,0,11,111.32,43,1538479692836
37,0,0,0,11,111.32,57,1538479692836
37,0,0,0,11,111.32,68,1538479692836
0,0,0,0,11,111.29,332,1538479692836
14,41,0,0,8,111.29,100,1538479697370
37,0,0,0,8,111.29,72,1538479697626
37,0,0,0,11,111.29,28,1538479700376
37,0,0,0,11,111.29,55,1538479700376
37,0,0,0,11,111,50,1538479703024
37,0,0,0,11,111,50,1538479703024
37,0,0,0,8,111.4,20,1538479959226
14,41,0,0,12,111.45,100,1538479971473
14,37,41,0,12,111.45,1,1538480053462
14,41,0,0,8,110.94,400,1538480093179
14,41,0,0,8,110.94,100,1538480094735
37,0,0,0,11,110.71,2,1538480100444
37,0,0,0,8,110.7,10,1538480107973
0,0,0,0,11,110.51,100,1538480124182
0,0,0,0,11,110.45,150,1538480126524
37,0,0,0,11,110.4,50,1538480126524
14,41,0,0,12,110.45,100,1538480152459
14,41,0,0,8,110.51,100,1538480152459
14,41,0,0,8,110.51,100,1538480152459
14,41,0,0,7,110.51,100,1538480152459
14,41,0,0,19,110.51,100,1538480152459
14,41,0,0,12,110.51,100,1538480153276
14,41,0,0,11,110.5,150,1538480212880
14,37,41,0,8,110,10,1538480254044
14,41,0,0,11,110.15,400,1538480254044
14,41,0,0,11,110.03,100,1538480254044
14,41,0,0,11,110,100,1538480254044
14,41,0,0,11,110,100,1538480254044
14,37,41,0,11,110,20,1538480254044
14,41,0,0,11,109.98,186,1538480254045
14,37,41,0,11,109.8,3,1538480254549
14,37,41,0,11,109.8,1,1538480254610
14,37,41,0,11,109.8,5,1538480254673
14,37,41,0,11,109.8,3,1538480254674
14,37,41,0,11,109.8,3,1538480254947
14,37,41,0,11,109.75,7,1538480254947
14,37,41,0,11,109.75,20,1538480255008
14,37,41,0,12,109.98,84,1538480255158
14,37,41,0,11,110.5,16,1538480255159
14,37,41,0,11,110.5,84,1538480255225
14,37,41,0,11,109.75,73,1538480255226
14,37,41,0,11,109.5,2,1538480255595
14,37,41,0,11,109.5,1,1538480255763
0,0,0,0,11,109.5,165,1538480261855
14,37,41,0,8,109.47,20,1538480262498
0,0,0,0,8,109.75,200,1538480561251
14,41,0,0,11,109.75,281,1538480561252
0,0,0,0,8,110,315,1538480755987
0,0,0,0,8,110,100,1538480759034
37,0,0,0,8,110,85,1538480761641
37,0,0,0,12,109.94,10,1538480879394
37,0,0,0,8,109.94,5,1538480888217
14,41,0,0,8,109.38,200,1538480946845
14,41,0,0,8,109.3,268,1538480946845
14,37,41,0,11,109.74,21,1538480946845
14,37,41,0,11,109.4,11,1538480946845
37,0,0,0,8,109.3,34,1538480961033
14,37,41,0,8,109.3,98,1538480972392
14,41,0,0,11,109.25,100,1538480972392
0,0,0,0,12,109.51,100,1538480972392
14,37,41,0,8,109.07,1,1538480972393
14,41,0,0,8,109.07,100,1538480972393
14,41,0,0,8,109.07,199,1538480972393
37,0,0,0,12,109.51,1,1538480972393
14,37,41,0,11,109.07,2,1538480972393
0,0,0,0,11,109.21,100,1538480975943
37,0,0,0,8,109.21,1,1538480991624
37,0,0,0,11,109.07,8,1538480995927
37,0,0,0,8,109.07,1,1538481000969
37,0,0,0,11,109,5,1538481005743
37,0,0,0,11,109,5,1538481005743
14,41,0,0,11,109.25,100,1538481018363
14,37,41,0,8,109,10,1538481018429
14,37,41,0,8,109,50,1538481018429
14,37,41,0,11,109,20,1538481018429
14,37,41,0,11,108.87,20,1538481018429
14,41,0,0,11,109.25,100,1538481018429
14,37,41,0,11,109,50,1538481211167
0,0,0,0,11,109,100,1538481258603
0,0,0,0,11,109,147,1538481258603
37,0,0,0,11,108.75,80,1538481274038
14,41,0,0,11,108.75,200,1538481275532
0,0,0,0,11,108.75,100,1538481297897
14,41,0,0,11,108.75,220,1538481299433
14,37,41,0,12,108.76,6,1538481299433
14,37,41,0,11,109,9,1538481311015
14,41,0,0,11,108.89,100,1538481397809
14,41,0,0,11,108.9,100,1538481397813
0,0,0,0,11,108.9,100,1538481403110
0,0,0,0,11,108.9,100,1538481403933
0,0,0,0,11,108.9,394,1538481403933
14,37,41,0,12,109,15,1538481406828
14,37,41,0,12,109,35,1538481409619
37,0,0,0,11,109,4,1538481554340
14,37,41,0,12,109.6,2,1538481588217
37,0,0,0,11,109.25,4,1538481600838
37,0,0,0,4,110.5,31,1538481601434
37,0,0,0,4,110,90,1538481601456
37,0,0,0,4,110,5,1538481601457
37,0,0,0,4,110,5,1538481601457
37,0,0,0,4,109.67,14,1538481601461
0,0,0,0,4,109,100,1538481601472
37,0,0,0,4,109.25,6,1538481601477
37,0,0,0,4,109.25,3,1538481601486
37,0,0,0,4,108.9899,9,1538481602657
0,0,0,0,4,110.5,200,1538481602952
0,0,0,0,4,109,100,1538481604354
0,0,0,0,4,110.51,400,1538481606911
0,0,0,0,4,109.6,950,1538481610036
37,0,0,0,4,109.6,4,1538481616458
37,0,0,0,4,111.6499,50,1538481725954
0,0,0,0,4,111.7499,250,1538481725954
0,0,0,0,4,111.75,500,1538481725955
37,0,0,0,4,111.5,60,1538481725956
0,0,0,0,4,111.725,100,1538481725957
0,0,0,0,4,111.5499,600,1538481725957
37,0,0,0,4,111.5499,50,1538481725959
0,0,0,0,4,111.5275,100,1538481725959
37,0,0,0,4,110.94,25,1538481725963
37,0,0,0,4,109.5999,70,1538481730597
14,37,41,0,12,109.6,1,1538481731853
37,0,0,0,8,109.4,15,1538481817479
37,0,0,0,8,109.55,50,1538481817479
0,0,0,0,8,109.59,100,1538481817479
0,0,0,0,8,109.6,1200,1538481817479
14,41,0,0,12,109.6,127,1538481817479
0,0,0,0,11,109.69,100,1538481820091
0,0,0,0,8,109.69,100,1538481821348
37,0,0,0,4,110.36,25,1538481873442
14,41,0,0,11,109.75,210,1538481967153
14,37,41,0,11,109.75,50,1538481967153
14,41,0,0,11,109.7,100,1538481967153
14,41,0,0,12,109.7,140,1538481967804
14,41,0,0,12,110.1,100,1538481967805
14,41,0,0,11,110.1,100,1538481967808
14,37,41,0,11,110.1,65,1538481967808
14,37,41,0,19,110.25,15,1538481967872
14,37,41,0,19,110.25,47,1538481967872
14,37,41,0,12,110.25,3,1538481967890
14,41,0,0,19,110.25,100,1538481967890
14,37,41,0,11,110.1,75,1538481968412
14,37,41,0,11,110.1,25,1538481968412
14,37,41,0,11,110.1,41,1538481968460
14,37,41,0,11,110.1,34,1538481968524
14,37,41,0,11,110.1,25,1538481968524
14,37,41,0,11,110.1,7,1538481968524
14,37,41,0,12,110.25,3,1538481968526
14,37,41,0,19,110.25,38,1538481968526
37,0,0,0,12,110.25,60,1538481969902
0,0,0,0,15,110.25,100,1538481969906
