c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,80.24,12,1539907446568
0,0,0,0,11,80.39,300,1539943509140
14,41,0,0,12,80.38,200,1539943561240
14,41,0,0,11,80.38,300,1539943561240
14,41,0,0,11,80.38,100,1539943565335
14,41,0,0,11,80.88,300,1539946800222
14,41,0,0,11,80.88,100,1539946800222
14,41,0,0,12,80.88,200,1539946800222
14,41,0,0,12,80.88,100,1539946800222
14,41,0,0,12,80.91,200,1539946800222
14,41,0,0,12,80.94,200,1539946800222
0,0,0,0,11,81.33,300,1539946834979
0,0,0,0,11,81.33,100,1539946834979
14,41,0,0,11,81.95,100,1539946834979
41,0,0,0,11,82,100,1539946834979
14,41,0,0,12,81.33,200,1539946834979
0,0,0,0,12,81.33,100,1539946834979
0,0,0,0,12,81.36,200,1539946834979
0,0,0,0,12,81.39,200,1539946834979
0,0,0,0,11,81.77,100,1539946834980
0,0,0,0,11,81.78,100,1539946834980
14,41,0,0,11,81.78,100,1539946834980
0,0,0,0,12,81.35,100,1539946834980
14,41,0,0,12,81.35,100,1539946834981
14,37,41,0,11,81.78,60,1539946835107
14,37,41,0,11,81.78,40,1539946835107
14,37,41,0,11,81.79,60,1539946835107
14,41,0,0,11,81.79,100,1539946835107
37,0,0,0,11,81.79,40,1539946841109
14,41,0,0,11,81.55,300,1539946904087
14,41,0,0,11,81.55,100,1539946904087
14,41,0,0,12,81.55,200,1539946904087
14,41,0,0,12,81.55,100,1539946904087
0,0,0,0,11,81.55,100,1539946904089
37,0,0,0,11,81.55,50,1539946904089
14,37,41,0,12,81.6,50,1539946904151
14,41,0,0,12,81.6,100,1539946904151
0,0,0,0,11,81.99,100,1539946935335
14,41,0,0,11,82,200,1539946936424
37,0,0,0,11,82,22,1539946938616
14,37,41,0,12,82.15,25,1539946945362
14,37,41,0,11,82.11,25,1539946945362
14,37,41,0,11,82.11,10,1539946945845
37,0,0,0,11,82.11,5,1539946948672
37,0,0,0,11,82,78,1539946964125
0,0,0,0,11,82,1072,1539946964125
14,37,41,0,11,82.2,10,1539946968072
14,37,41,0,12,82.35,10,1539946968072
14,41,0,0,12,82.35,146,1539946968072
37,0,0,0,12,82.5,44,1539946968156
14,37,41,0,11,82.05,44,1539946968184
14,37,41,0,8,82.5,10,1539946976741
37,0,0,0,12,82.43,44,1539946978917
14,37,41,0,12,82.5,6,1539946978917
37,0,0,0,8,82.5,25,1539946981723
14,37,41,0,12,82.5,25,1539946982356
14,37,41,0,12,82.5,75,1539946982356
14,41,0,0,12,82.5,250,1539946983078
14,41,0,0,8,82.5,100,1539946984782
14,41,0,0,8,82.5,1000,1539946985393
37,0,0,0,12,82.5,22,1539946985497
14,37,41,0,12,82.5,78,1539946985933
0,0,0,0,8,82.5,600,1539946985954
14,41,0,0,8,82.5,200,1539946986141
37,0,0,0,8,82.5,65,1539946987260
14,37,41,0,11,82.52,35,1539946987260
37,0,0,0,11,82.52,65,1539946988743
0,0,0,0,11,82.51,100,1539947006193
0,0,0,0,11,82.56,200,1539947006193
0,0,0,0,11,82.6,200,1539947006193
14,41,0,0,11,82.58,200,1539947006871
14,41,0,0,11,82.6,800,1539947006871
0,0,0,0,11,82.43,200,1539947017280
0,0,0,0,11,82.35,100,1539947055939
14,41,0,0,11,82.2,100,1539947092396
37,0,0,0,11,82.25,20,1539947137452
14,41,0,0,11,82.25,180,1539947137557
0,0,0,0,11,82.26,100,1539947189351
0,0,0,0,11,82.2,100,1539947189351
37,0,0,0,11,82.2,50,1539947189351
0,0,0,0,11,82.03,100,1539947203512
0,0,0,0,11,81.04,150,1539947209484
0,0,0,0,11,81.78,205,1539947224912
14,41,0,0,11,81.93,293,1539947224912
14,37,41,0,11,81.93,2,1539947224913
0,0,0,0,11,82,375,1539947228859
37,0,0,0,11,81.98,20,1539947268399
37,0,0,0,11,81.98,80,1539947268400
37,0,0,0,11,82,25,1539947268400
37,0,0,0,11,82.15,75,1539947268400
0,0,0,0,12,82.16,200,1539947289406
0,0,0,0,12,82.16,100,1539947289406
14,41,0,0,8,82.16,100,1539947289534
37,0,0,0,11,82.15,88,1539947289535
0,0,0,0,11,82.2,150,1539947289535
0,0,0,0,11,82.2,100,1539947289535
0,0,0,0,11,82.2,400,1539947289535
14,41,0,0,11,82.4,181,1539947317792
14,41,0,0,11,82.56,200,1539947319330
0,0,0,0,11,82.56,100,1539947322930
14,41,0,0,11,82.56,300,1539947324225
41,0,0,0,11,82.81,675,1539947327052
14,41,0,0,8,82.75,125,1539947327053
14,41,0,0,12,82.81,200,1539947327053
14,41,0,0,12,82.51,100,1539947373583
14,41,0,0,11,82.51,100,1539947373583
14,41,0,0,11,82.5,281,1539947373583
14,41,0,0,8,82.5,100,1539947481697
14,41,0,0,12,82.5,100,1539947481697
14,41,0,0,8,82.5,200,1539947481782
37,0,0,0,8,82.5,20,1539947482788
37,0,0,0,8,82.5,80,1539947482788
14,41,0,0,8,82.5,200,1539947483460
37,0,0,0,12,82.7,10,1539947577692
14,41,0,0,12,82.63,100,1539947625753
14,41,0,0,12,82.63,400,1539947625753
