c1,c2,c3,c4,e,p,s,t
14,41,0,0,8,66.85,100,1539693713400
37,0,0,0,8,66.85,73,1539693766020
0,0,0,0,11,67.2,100,1539694063080
37,0,0,0,11,67.85,50,1539694070487
14,41,0,0,12,67.99,100,1539694072294
0,0,0,0,8,67.2,100,1539694072294
37,0,0,0,12,67.99,10,1539694709464
37,0,0,0,12,67.99,90,1539694721328
37,0,0,0,11,67.86,2,1539694740562
37,0,0,0,4,67.35,8,1539694743991
37,0,0,0,11,67.55,25,1539694872246
0,0,0,0,11,67.5,100,1539694872247
0,0,0,0,11,67.38,100,1539694872247
37,0,0,0,11,67.35,75,1539694872247
14,41,0,0,11,67.5,100,1539694986470
14,37,41,0,11,67.5,20,1539694989854
14,37,41,0,11,67.51,28,1539694993109
37,0,0,0,4,69.1,2,1539695028978
37,0,0,0,11,68.13,16,1539695098977
37,0,0,0,11,68.13,5,1539695267188
0,0,0,0,11,68,100,1539695602545
0,0,0,0,11,68,105,1539695812220
14,41,0,0,11,68.1,100,1539695957016
0,0,0,0,4,69.07,195,1539696286687
14,37,41,0,8,68.5,36,1539696295967
37,0,0,0,8,68.5,21,1539696378887
14,37,41,0,11,68.75,5,1539696435346
14,37,41,0,8,68.5,5,1539696435346
37,0,0,0,11,69.07,16,1539696440217
37,0,0,0,8,69.07,74,1539696446681
14,41,0,0,11,69.07,264,1539696480219
37,0,0,0,11,68.75,8,1539696480381
37,0,0,0,11,68.75,92,1539696480381
14,37,41,0,11,68.75,74,1539696488401
14,41,0,0,11,68.75,126,1539696489332
14,37,41,0,11,68,37,1539696566612
14,41,0,0,11,68,100,1539696570212
14,37,41,0,11,68.99,1,1539696600347
25,16,0,0,11,68.99,1,1539696600347
51,0,0,0,0,68.1,,1539696605707
0,0,0,0,12,68.1,100,1539696605707
25,16,0,0,12,68.1,100,1539696605707
37,0,0,0,19,68.77,1,1539696652163
51,0,0,0,0,68,,1539696678501
14,41,0,0,11,68,163,1539696678501
51,0,0,0,0,67.98,,1539696678506
14,37,41,0,11,67.99,1,1539696678506
14,41,0,0,11,67.98,150,1539696678506
0,0,0,0,11,67.98,150,1539696678506
0,0,0,0,11,67.98,100,1539696678506
51,0,0,0,0,67.95,,1539696678507
37,0,0,0,11,67.95,50,1539696678507
0,0,0,0,11,67.95,100,1539696678507
0,0,0,0,15,68,137,1539696680556
0,0,0,0,4,67.985,100,1539696682556
37,0,0,0,12,67.98,50,1539696683539
0,0,0,0,4,67.975,100,1539696690404
37,0,0,0,12,67.97,25,1539696710373
0,0,0,0,12,67.97,100,1539696710373
0,0,0,0,19,67.98,100,1539696710373
0,0,0,0,4,67.985,100,1539696710373
0,0,0,0,4,67.985,100,1539696710374
0,0,0,0,4,67.985,100,1539696710374
0,0,0,0,12,67.985,100,1539696710375
14,41,0,0,12,67.985,100,1539696710398
14,41,0,0,11,67.99,100,1539696710434
14,41,0,0,11,67.99,100,1539696710434
14,41,0,0,11,67.99,100,1539696710434
14,41,0,0,19,67.99,100,1539696710434
14,41,0,0,8,67.99,100,1539696710434
0,0,0,0,11,67.99,100,1539696710434
14,41,0,0,19,67.99,100,1539696710434
14,41,0,0,12,67.99,100,1539696710434
37,0,0,0,8,67.99,99,1539696710434
0,0,0,0,19,67.99,100,1539696710434
14,41,0,0,12,67.99,100,1539696710434
37,0,0,0,8,67.99,1,1539696710434
0,0,0,0,19,67.99,100,1539696710434
14,41,0,0,12,67.99,100,1539696710434
14,41,0,0,19,67.99,100,1539696710434
0,0,0,0,12,67.99,100,1539696710434
0,0,0,0,12,67.99,100,1539696710434
0,0,0,0,8,67.99,100,1539696710434
0,0,0,0,12,67.99,100,1539696710434
14,41,0,0,12,68,100,1539696710434
0,0,0,0,19,67.99,100,1539696710434
0,0,0,0,12,67.99,100,1539696710434
0,0,0,0,12,67.985,300,1539696710434
0,0,0,0,12,67.985,300,1539696710434
14,41,0,0,11,67.99,100,1539696710435
0,0,0,0,12,67.99,200,1539696710461
0,0,0,0,12,67.99,364,1539696710461
0,0,0,0,12,67.99,500,1539696710617
0,0,0,0,19,68,100,1539696710925
14,41,0,0,11,68,100,1539696710925
37,0,0,0,12,68,47,1539696710925
37,0,0,0,12,68,31,1539696710925
0,0,0,0,19,68.01,100,1539696710926
0,0,0,0,11,68.04,100,1539696710927
0,0,0,0,11,68.04,100,1539696710927
25,0,0,0,10,68,49147,1539696711723
37,0,0,0,10,68.01,37,1539696711724
14,37,41,0,7,68,67,1539696711725
37,0,0,0,7,68,33,1539696711727
0,0,0,0,7,68,100,1539696711728
37,0,0,0,12,68.05,28,1539696711730
37,0,0,0,19,68.06,72,1539696711730
0,0,0,0,10,68.035,100,1539696711730
37,0,0,0,10,68.035,37,1539696711731
14,37,41,0,19,68.06,27,1539696711735
37,0,0,0,4,68.01,50,1539696711735
14,41,0,0,12,68.06,100,1539696711740
37,0,0,0,19,68.06,1,1539696711740
0,0,0,0,4,68.0709,104,1539696711755
37,0,0,0,11,68.08,35,1539696711760
37,0,0,0,11,68.08,65,1539696711760
0,0,0,0,10,68.08,200,1539696711760
0,0,0,0,11,68.08,100,1539696711760
14,41,0,0,2,68.06,100,1539696711856
37,0,0,0,10,68.06,60,1539696711857
0,0,0,0,4,68.06,100,1539696711859
0,0,0,0,11,68.1,100,1539696711887
0,0,0,0,11,68.1,100,1539696711887
14,37,41,0,19,68.1,1,1539696711888
0,0,0,0,12,68.09,100,1539696711888
14,37,41,0,10,68.1,4,1539696711900
14,37,41,0,12,68.1,26,1539696711900
0,0,0,0,4,68,100,1539696711941
51,0,0,0,0,68.14,,1539696712006
14,41,0,0,1,68.14,100,1539696712006
14,41,0,0,19,68.14,100,1539696712006
14,37,41,0,12,68.14,24,1539696712006
51,0,0,0,0,68.17,,1539696712007
51,0,0,0,0,68.19,,1539696712007
