c1,c2,c3,c4,e,p,s,t
14,41,0,0,11,1.45,401,1538650805069
37,0,0,0,11,1.38,90,1538652332965
14,37,41,0,12,1.44,69,1538654146924
14,41,0,0,12,1.46,300,1538654930779
14,41,0,0,12,1.48,300,1538655021824
0,0,0,0,12,1.46,300,1538655069757
0,0,0,0,12,1.4,600,1538655126644
37,0,0,0,12,1.4,31,1538655214241
37,0,0,0,11,1.48,23,1538657944421
0,0,0,0,4,1.43,200,1538657948260
0,0,0,0,4,1.43,102,1538657958359
37,0,0,0,4,1.432,50,1538658217866
14,41,0,0,8,1.43,2398,1538658231514
14,41,0,0,8,1.42,3000,1538658231514
14,41,0,0,11,1.4,100,1538658231514
14,41,0,0,11,1.4,900,1538658231514
14,37,41,0,8,1.41,7,1538658231514
14,41,0,0,12,1.4,200,1538658231514
14,41,0,0,12,1.4,869,1538658231514
37,0,0,0,4,1.3904,51,1538658232908
14,41,0,0,8,1.4,100,1538658474823
14,41,0,0,19,1.4,100,1538658474823
14,41,0,0,8,1.4,100,1538658524111
14,41,0,0,18,1.4,100,1538658524111
14,41,0,0,11,1.4,100,1538658524111
14,41,0,0,19,1.4,100,1538658524111
14,41,0,0,19,1.4,100,1538658524111
14,41,0,0,7,1.4,100,1538658524111
14,41,0,0,12,1.4,100,1538658524111
14,41,0,0,12,1.4,100,1538658524111
14,41,0,0,17,1.4,100,1538658524112
14,41,0,0,11,1.4,100,1538658524121
14,41,0,0,19,1.4,100,1538658524122
0,0,0,0,4,1.39,10000,1538658528538
14,41,0,0,11,1.4,100,1538658657162
14,41,0,0,8,1.4,100,1538658657162
14,41,0,0,8,1.4,200,1538658657162
14,41,0,0,19,1.4,100,1538658657162
14,41,0,0,19,1.4,200,1538658657162
14,41,0,0,12,1.4,100,1538658657162
14,41,0,0,12,1.4,200,1538658657162
14,41,0,0,12,1.4,100,1538658657163
14,41,0,0,12,1.4,100,1538658657163
14,41,0,0,12,1.4,100,1538658657163
14,41,0,0,17,1.4,100,1538658657163
0,0,0,0,18,1.4,100,1538658664238
0,0,0,0,7,1.4,100,1538658664238
0,0,0,0,11,1.4,100,1538658664238
0,0,0,0,19,1.4,100,1538658664238
0,0,0,0,12,1.4,100,1538658664238
37,0,0,0,4,1.4,60,1538658915325
37,0,0,0,18,1.4,5,1538658973208
37,0,0,0,4,1.39,10,1538658997019
37,0,0,0,4,1.38,45,1538658997020
37,0,0,0,12,1.4,1,1538659034008
0,0,0,0,4,1.4,1000,1538659168445
37,0,0,0,4,1.4,1,1538659187736
14,41,0,0,12,1.39,100,1538659283705
14,41,0,0,12,1.38,500,1538659283705
14,41,0,0,12,1.38,600,1538659286722
14,41,0,0,11,1.38,4910,1538659372419
14,41,0,0,8,1.38,3100,1538659372419
14,41,0,0,12,1.38,4855,1538659372419
14,41,0,0,11,1.35,500,1538659372419
14,41,0,0,11,1.35,1000,1538659372419
14,41,0,0,8,1.35,100,1538659372420
14,41,0,0,12,1.35,1000,1538659372420
14,37,41,0,8,1.35,4,1538659372420
14,41,0,0,12,1.35,100,1538659418230
14,41,0,0,12,1.35,900,1538659418230
0,0,0,0,12,1.35,100,1538659472172
0,0,0,0,12,1.35,7400,1538659472172
0,0,0,0,12,1.35,100,1538659472179
0,0,0,0,12,1.35,5656,1538659472179
37,0,0,0,12,1.36,50,1538659530830
0,0,0,0,4,1.3624,100,1538659608940
51,0,0,0,0,1.4,,1538659849132
25,0,0,0,10,1.4,47337,1538659849132
14,41,0,0,10,1.4,500,1538659849132
14,41,0,0,10,1.4,500,1538659849132
14,37,41,0,12,1.4,95,1538659849133
14,41,0,0,12,1.4,105,1538659849133
25,16,0,0,12,1.4,95,1538659849133
14,37,41,0,10,1.4,84,1538659849134
51,0,0,0,0,1.42,,1538659849138
0,0,0,0,4,1.42,1000,1538659849138
37,0,0,0,4,1.4,10,1538659849139
0,0,0,0,4,1.4,220,1538659849140
0,0,0,0,4,1.4,100,1538659849140
