c1,c2,c3,c4,e,p,s,t
7,37,0,0,4,63.07,1,1539694867910
25,0,0,0,10,62.8,17473,1539696600554
0,0,0,0,12,63.1,100,1539696627020
25,16,0,0,12,63.1,100,1539696627020
37,0,0,0,8,63.1,1,1539696627020
14,41,0,0,19,63.09,100,1539696627020
14,41,0,0,12,63.1,100,1539696627020
14,41,0,0,11,63.05,100,1539696627020
25,16,0,0,11,63.05,100,1539696627020
14,41,0,0,8,63.1,100,1539696627021
14,41,0,0,19,63.09,100,1539696627021
14,41,0,0,12,63.08,100,1539696627023
0,0,0,0,12,63.08,100,1539696627023
0,0,0,0,12,63.09,100,1539696627023
14,41,0,0,11,62.99,100,1539696627591
14,41,0,0,12,62.99,100,1539696627591
37,0,0,0,4,62.19,1,1539696627593
51,0,0,0,0,62.6,,1539696628147
0,0,0,0,10,62.6,100,1539696628147
37,0,0,0,2,62.93,4,1539696633393
37,0,0,0,4,63.0199,4,1539696633395
37,0,0,0,12,62.51,1,1539696633434
51,0,0,0,0,62.5,,1539696634147
14,41,0,0,10,62.5,100,1539696634147
14,37,41,0,10,62.44,5,1539696635142
37,0,0,0,4,62.7237,23,1539696638035
37,0,0,0,4,62.5826,1,1539696640567
37,0,0,0,4,62.8294,6,1539696656254
37,0,0,0,4,62.42,64,1539696683001
37,0,0,0,4,62.42,64,1539696683138
37,0,0,0,4,62.42,64,1539696683141
37,0,0,0,4,62.42,64,1539696683145
37,0,0,0,4,62.59,1,1539696683764
37,0,0,0,4,62.656,35,1539696685676
0,0,0,0,4,62.94,100,1539696696301
37,0,0,0,4,62.4424,50,1539696699781
0,0,0,0,12,62.58,100,1539696699823
37,0,0,0,12,62.58,50,1539696699823
37,0,0,0,12,62.6,50,1539696699824
51,0,0,0,0,62.45,,1539696701858
14,41,0,0,12,62.45,100,1539696701858
37,0,0,0,4,62.4479,45,1539696701865
51,0,0,0,0,62.42,,1539696703415
14,37,41,0,10,62.43,58,1539696703415
0,0,0,0,12,62.42,100,1539696703415
0,0,0,0,12,62.42,100,1539696703415
51,0,0,0,0,62.39,,1539696703416
14,37,41,0,19,62.39,92,1539696703416
14,37,41,0,12,62.41,10,1539696703416
0,0,0,0,11,62.39,100,1539696703416
37,0,0,0,19,62.39,8,1539696703416
14,37,41,0,12,62.39,10,1539696703416
37,0,0,0,12,62.39,90,1539696703416
37,0,0,0,10,62.39,62,1539696703416
37,0,0,0,10,62.39,38,1539696703416
37,0,0,0,4,62.24,5,1539696703423
