c1,c2,c3,c4,e,p,s,t
14,41,0,0,11,86,200,1539860340196
14,37,41,0,11,86.22,2,1539860340196
14,37,41,0,11,86.23,2,1539860340196
14,37,41,0,11,86.5,10,1539860340196
14,41,0,0,11,86.66,400,1539860340196
14,37,41,0,11,86.8,10,1539860340196
14,41,0,0,11,87,200,1539860340196
0,0,0,0,8,85.4,200,1539861665498
14,41,0,0,11,85.5,100,1539861671130
14,37,41,0,11,85.5,37,1539861671131
14,41,0,0,11,85.67,100,1539861683026
14,41,0,0,11,85.67,172,1539861684549
14,37,41,0,11,85.67,91,1539861728111
0,0,0,0,11,84.66,100,1539861738034
0,0,0,0,11,84.62,100,1539861739981
14,41,0,0,11,84.62,100,1539861759625
37,0,0,0,11,84.62,50,1539861762321
14,37,41,0,11,84.62,50,1539861762433
14,37,41,0,11,84.62,22,1539861781351
14,41,0,0,11,85,100,1539862156393
14,41,0,0,8,85.4,100,1539862244587
14,37,41,0,8,85.4,50,1539862399672
14,41,0,0,11,85.62,100,1539862402688
0,0,0,0,11,85.62,100,1539862437743
0,0,0,0,11,85.98,100,1539862437743
0,0,0,0,12,85.54,100,1539862481825
0,0,0,0,8,85.5,100,1539862481827
0,0,0,0,11,85.5,100,1539862481827
0,0,0,0,19,85.5,100,1539862481827
37,0,0,0,19,85.5,38,1539862481827
0,0,0,0,12,85.5,100,1539862481827
37,0,0,0,11,85.75,25,1539862790873
14,41,0,0,11,85.61,100,1539862857677
14,37,41,0,11,85.63,75,1539862898900
0,0,0,0,11,85.79,100,1539862959632
0,0,0,0,11,85.8,150,1539862959633
0,0,0,0,11,85.8,100,1539862959883
0,0,0,0,11,85.8,100,1539862962498
14,41,0,0,11,85.82,100,1539862964126
14,37,41,0,11,85.95,55,1539862973475
14,41,0,0,11,85.98,210,1539862973475
14,41,0,0,8,86,100,1539862973479
14,37,41,0,11,86,50,1539862973479
14,37,41,0,11,86,85,1539862973479
14,37,41,0,8,86,50,1539862974719
14,37,41,0,11,86,15,1539862974720
14,37,41,0,8,86.2,35,1539862974720
37,0,0,0,11,86.01,50,1539863032344
14,37,41,0,11,86.01,10,1539863103824
14,41,0,0,8,86.18,100,1539863554705
14,37,41,0,8,86.2,78,1539863554705
14,41,0,0,8,86.2,100,1539863554705
14,37,41,0,8,86.22,22,1539863554705
14,41,0,0,8,86.22,100,1539863556764
14,37,41,0,8,86.22,40,1539863614100
14,37,41,0,8,86.22,38,1539863615114
14,41,0,0,11,86.38,410,1539863615115
37,0,0,0,4,85.9799,30,1539864001707
37,0,0,0,4,85.98,30,1539864004275
37,0,0,0,4,85.98,60,1539864004286
37,0,0,0,4,85.8,50,1539864004339
37,0,0,0,4,86.2,20,1539864004341
0,0,0,0,4,86.4999,100,1539864004342
14,37,41,0,11,86.5,15,1539864071765
14,37,41,0,12,86.4,20,1539864078472
37,0,0,0,4,86.5,10,1539864097067
14,41,0,0,11,86.25,100,1539864102293
14,41,0,0,11,86.25,100,1539864102293
14,41,0,0,11,86.25,100,1539864105405
0,0,0,0,11,86.25,100,1539864106551
14,41,0,0,11,86.25,100,1539864109478
37,0,0,0,11,86.5,85,1539864195730
14,37,41,0,8,86.49,15,1539864195731
14,37,41,0,8,86.49,85,1539864196793
14,37,41,0,8,86.5,15,1539864196793
14,37,41,0,11,86.5,84,1539864365548
14,37,41,0,12,86.45,84,1539864365548
14,41,0,0,8,86.5,100,1539864365548
37,0,0,0,8,86.47,80,1539864371917
0,0,0,0,8,86.48,120,1539864371917
0,0,0,0,8,86.48,200,1539864375582
0,0,0,0,8,86.5,100,1539864382587
0,0,0,0,4,86.5,100,1539864483897
14,37,41,0,11,86.5,16,1539864496635
14,37,41,0,12,86.4,16,1539864496635
37,0,0,0,8,86.25,60,1539864602393
37,0,0,0,12,86.2,40,1539864602395
0,0,0,0,11,86.3,100,1539864690830
0,0,0,0,11,86.3,400,1539864690830
0,0,0,0,11,86.2,100,1539864902605
0,0,0,0,11,86.2,100,1539864902605
14,41,0,0,11,86.2,300,1539864902606
14,37,41,0,11,86.2,40,1539864902606
0,0,0,0,11,86.2,100,1539864902607
14,41,0,0,11,86.2,200,1539864902607
14,37,41,0,11,86.2,60,1539864902607
0,0,0,0,11,86.2,100,1539864902609
0,0,0,0,19,86.2,200,1539864902612
0,0,0,0,19,86.2,200,1539864902621
14,37,41,0,11,86.1,80,1539864905028
14,37,41,0,19,86.2,60,1539864907239
14,37,41,0,12,86.34,1,1539864955036
0,0,0,0,11,86.25,185,1539865421359
14,41,0,0,11,86.4,100,1539865586178
14,41,0,0,11,86.4,100,1539865586764
0,0,0,0,11,86.4,100,1539865602165
14,41,0,0,12,86.4,100,1539865604529
14,37,41,0,12,86.4,84,1539865605863
14,37,41,0,12,86.4,16,1539865605863
14,41,0,0,12,86.4,100,1539865605894
14,37,41,0,12,86.4,84,1539865605895
14,37,41,0,12,86.4,16,1539865605895
14,37,41,0,12,86.4,20,1539865606024
14,41,0,0,12,86.4,200,1539865622424
14,37,41,0,12,86.4,64,1539865623680
14,37,41,0,12,86.4,36,1539865623680
14,37,41,0,12,86.4,64,1539865630432
14,41,0,0,12,86.4,136,1539865630432
14,41,0,0,12,86.39,100,1539865645175
14,37,41,0,12,86.4,64,1539865645175
14,41,0,0,12,86.4,136,1539865645175
14,37,41,0,12,86.4,60,1539865645305
14,41,0,0,12,86.4,100,1539865647974
14,37,41,0,12,86.4,4,1539865648101
14,37,41,0,12,86.4,6,1539865648101
14,37,41,0,12,86.4,94,1539865649614
14,37,41,0,12,86.4,6,1539865649614
14,37,41,0,12,86.4,94,1539865650844
37,0,0,0,11,86.4,8,1539865652401
37,41,0,0,4,86.4,1,1539865652577
37,0,0,0,11,86.62,25,1539865657993
37,0,0,0,11,86.65,50,1539865657993
37,0,0,0,8,86.65,50,1539865666003
37,0,0,0,4,86.6999,49,1539865772162
37,0,0,0,11,86.6,50,1539865840832
37,0,0,0,11,86.6,50,1539865840832
37,0,0,0,12,86.52,25,1539865993527
37,0,0,0,11,86.69,18,1539866039635
14,37,41,0,12,86.69,47,1539866060182
37,0,0,0,11,86.69,82,1539866060774
37,0,0,0,11,86.69,18,1539866060774
14,37,41,0,12,86.69,37,1539866123833
37,0,0,0,11,86.57,50,1539866481478
0,0,0,0,11,86.69,100,1539866610277
0,0,0,0,11,86.69,127,1539866610277
14,41,0,0,11,86.69,100,1539866747130
14,41,0,0,11,86.69,100,1539866760603
14,37,41,0,11,86.69,10,1539866760722
14,37,41,0,11,86.69,90,1539866839804
14,37,41,0,11,86.69,10,1539866839804
14,41,0,0,11,86.65,100,1539866840263
14,37,41,0,12,86.68,7,1539866986688
14,41,0,0,11,86.68,100,1539866995537
14,37,41,0,12,86.68,37,1539866995537
14,37,41,0,12,86.69,63,1539866995537
14,41,0,0,11,86.68,100,1539866995541
14,41,0,0,12,86.7,100,1539866995542
37,0,0,0,11,86.68,33,1539866995548
0,0,0,0,11,86.68,200,1539866995548
0,0,0,0,11,86.7,100,1539866995548
14,37,41,0,12,86.7,25,1539866995548
0,0,0,0,11,86.72,100,1539866995552
0,0,0,0,11,86.7,100,1539866995552
37,0,0,0,4,86.75,30,1539867057418
14,37,41,0,11,86.78,88,1539867058145
14,37,41,0,11,86.78,12,1539867058490
14,37,41,0,11,86.78,72,1539867058490
0,0,0,0,11,86.89,100,1539867206878
0,0,0,0,4,86.85,1900,1539867348412
14,41,0,0,12,86.85,100,1539867365060
37,0,0,0,4,86.94,1,1539867540388
37,0,0,0,4,86.94,5,1539867544166
