c1,c2,c3,c4,e,p,s,t
0,0,0,0,8,56,100,1539781358700
25,41,0,0,12,57,10970,1539783000629
25,16,0,0,12,57,10970,1539783000629
14,41,0,0,12,56.69,100,1539783011585
37,0,0,0,12,56.75,18,1539783011585
0,0,0,0,12,56.72,100,1539783011585
14,37,41,0,2,56.72,2,1539783011585
14,37,41,0,17,56.72,2,1539783011585
14,41,0,0,12,56.69,100,1539783011585
14,37,41,0,12,56.69,2,1539783011585
14,37,41,0,12,56.69,2,1539783011585
14,37,41,0,12,56.69,2,1539783011586
14,37,41,0,8,56.72,2,1539783011586
51,0,0,0,0,56.34,,1539783011588
0,0,0,0,4,56.34,500,1539783011588
14,41,0,0,17,56.94,100,1539783029312
37,0,0,0,4,56.34,5,1539783036681
0,0,0,0,4,56.85,100,1539783066567
37,0,0,0,12,56.51,40,1539783077038
0,0,0,0,12,56.55,100,1539783078713
0,0,0,0,12,56.55,100,1539783078713
0,0,0,0,12,56.55,100,1539783078713
0,0,0,0,12,56.55,100,1539783078713
0,0,0,0,12,56.55,100,1539783078713
0,0,0,0,12,56.55,166,1539783078713
0,0,0,0,12,56.55,100,1539783078713
0,0,0,0,12,56.55,100,1539783078714
0,0,0,0,12,56.55,100,1539783078715
37,0,0,0,12,56.55,34,1539783078715
14,41,0,0,12,56.84,200,1539783083663
37,0,0,0,4,56.8,5,1539783083665
0,0,0,0,4,56.7175,100,1539783083665
0,0,0,0,4,56.685,100,1539783083666
0,0,0,0,4,56.67,100,1539783083670
0,0,0,0,12,56.73,100,1539783091607
0,0,0,0,12,56.73,100,1539783095095
14,41,0,0,12,56.75,100,1539783097316
14,41,0,0,12,56.75,100,1539783097316
0,0,0,0,12,56.75,100,1539783097316
14,41,0,0,12,56.75,100,1539783097317
14,41,0,0,12,56.75,100,1539783097317
0,0,0,0,19,56.75,200,1539783097317
14,37,41,0,8,56.75,5,1539783097317
0,0,0,0,12,56.75,100,1539783097317
0,0,0,0,11,56.75,100,1539783097317
25,16,0,0,11,56.75,100,1539783097317
0,0,0,0,15,56.75,100,1539783097318
0,0,0,0,4,56.685,100,1539783097318
0,0,0,0,4,56.685,100,1539783097318
0,0,0,0,4,56.705,100,1539783097319
0,0,0,0,12,56.63,100,1539783097320
0,0,0,0,18,56.69,100,1539783097320
14,37,41,0,12,56.75,66,1539783097321
0,0,0,0,4,56.69,100,1539783097321
0,0,0,0,4,56.715,100,1539783097427
0,0,0,0,4,56.68,100,1539783097428
0,0,0,0,4,56.7,100,1539783097435
0,0,0,0,4,56.72,100,1539783097436
0,0,0,0,4,56.705,100,1539783097437
0,0,0,0,4,56.71,100,1539783097529
0,0,0,0,4,56.695,100,1539783097558
14,37,41,0,12,56.75,34,1539783097798
14,37,41,0,12,56.75,66,1539783097798
37,0,0,0,12,56.75,34,1539783097798
0,0,0,0,12,56.75,100,1539783097798
0,0,0,0,12,56.75,100,1539783097798
14,41,0,0,12,56.75,100,1539783098040
0,0,0,0,12,56.75,100,1539783098040
0,0,0,0,15,56.77,200,1539783098940
0,0,0,0,15,56.85,100,1539783100740
0,0,0,0,15,56.85,100,1539783100740
14,41,0,0,12,56.92,100,1539783105091
0,0,0,0,12,56.8,100,1539783105267
0,0,0,0,12,56.8,100,1539783105269
14,41,0,0,12,56.8,100,1539783105424
0,0,0,0,12,56.8,100,1539783105424
0,0,0,0,12,56.77,100,1539783106063
14,37,41,0,12,56.77,72,1539783106063
14,37,41,0,12,56.77,28,1539783106063
37,0,0,0,11,56.77,12,1539783106063
0,0,0,0,12,56.8,100,1539783106094
0,0,0,0,12,56.8,100,1539783106094
0,0,0,0,12,56.8,100,1539783106094
0,0,0,0,10,56.8,100,1539783106094
14,41,0,0,12,56.8,100,1539783106095
0,0,0,0,4,56.795,100,1539783106095
0,0,0,0,19,56.77,100,1539783106125
0,0,0,0,12,56.8,100,1539783106346
0,0,0,0,12,56.775,100,1539783107922
37,0,0,0,12,56.8,83,1539783107922
37,0,0,0,12,56.8,17,1539783107922
14,41,0,0,12,56.8,100,1539783107923
14,41,0,0,11,56.83,100,1539783107923
0,0,0,0,12,56.8,100,1539783107923
0,0,0,0,12,56.75,100,1539783107923
0,0,0,0,19,56.75,100,1539783107923
0,0,0,0,17,56.75,100,1539783107923
0,0,0,0,12,56.75,100,1539783107923
0,0,0,0,19,56.75,100,1539783107924
0,0,0,0,11,56.75,100,1539783107924
0,0,0,0,11,56.75,100,1539783107924
0,0,0,0,11,56.75,100,1539783107924
0,0,0,0,4,56.775,100,1539783107924
14,41,0,0,12,56.75,100,1539783107924
0,0,0,0,4,56.755,100,1539783107925
0,0,0,0,4,56.75,100,1539783107928
0,0,0,0,12,56.75,100,1539783107930
0,0,0,0,4,56.77,100,1539783108809
0,0,0,0,15,56.77,200,1539783108863
0,0,0,0,12,56.77,100,1539783110379
37,0,0,0,12,56.74,95,1539783110379
0,0,0,0,12,56.79,100,1539783110379
37,0,0,0,12,56.74,5,1539783110379
0,0,0,0,12,56.74,100,1539783110379
0,0,0,0,15,56.74,100,1539783110380
0,0,0,0,15,56.74,100,1539783110380
0,0,0,0,4,56.7879,500,1539783112427
0,0,0,0,12,56.8,100,1539783113869
0,0,0,0,12,56.8,100,1539783113869
0,0,0,0,2,56.8,100,1539783113869
0,0,0,0,12,56.8,200,1539783113869
0,0,0,0,12,56.8,100,1539783113869
0,0,0,0,18,56.79,100,1539783113869
0,0,0,0,19,56.79,100,1539783113869
14,41,0,0,12,56.8,100,1539783113869
14,41,0,0,12,56.8,100,1539783113869
0,0,0,0,11,56.78,100,1539783113869
0,0,0,0,10,56.79,100,1539783113869
14,41,0,0,12,56.8,100,1539783113870
14,41,0,0,12,56.8,100,1539783113870
0,0,0,0,12,56.8,100,1539783113870
0,0,0,0,12,56.8,600,1539783113870
0,0,0,0,12,56.8,900,1539783113870
14,41,0,0,12,56.8,100,1539783113870
37,0,0,0,15,56.8,87,1539783113871
0,0,0,0,12,56.8,100,1539783113876
0,0,0,0,12,56.8,100,1539783113876
0,0,0,0,12,56.8,100,1539783113880
0,0,0,0,12,56.8,100,1539783113880
14,41,0,0,12,56.8,100,1539783114733
14,37,41,0,11,56.8,5,1539783114733
0,0,0,0,4,56.76,100,1539783115356
0,0,0,0,12,56.8,100,1539783116039
0,0,0,0,4,56.78,189,1539783116512
0,0,0,0,12,56.78,100,1539783117166
0,0,0,0,12,56.76,100,1539783117168
37,0,0,0,12,56.76,4,1539783117168
14,41,0,0,17,56.76,100,1539783117168
0,0,0,0,11,56.76,100,1539783117169
14,41,0,0,12,56.76,100,1539783117169
0,0,0,0,4,56.8,100,1539783120013
0,0,0,0,4,56.78,100,1539783120022
14,41,0,0,12,56.76,100,1539783122503
14,37,41,0,19,56.76,60,1539783122503
37,0,0,0,19,56.76,40,1539783122503
14,41,0,0,12,56.74,100,1539783122503
14,41,0,0,19,56.75,100,1539783122503
14,41,0,0,12,56.74,100,1539783122503
14,41,0,0,12,56.74,100,1539783122503
14,37,41,0,12,56.73,63,1539783122504
14,41,0,0,11,56.74,100,1539783122504
14,37,41,0,19,56.73,63,1539783122504
14,37,41,0,19,56.73,37,1539783122504
14,41,0,0,12,56.74,100,1539783122504
0,0,0,0,18,56.74,100,1539783122504
0,0,0,0,1,56.74,100,1539783122504
0,0,0,0,12,56.75,100,1539783122504
0,0,0,0,12,56.74,100,1539783122504
14,41,0,0,17,56.75,100,1539783122505
0,0,0,0,11,56.74,100,1539783122505
14,37,41,0,12,56.73,37,1539783122505
14,37,41,0,12,56.73,63,1539783122505
14,37,41,0,12,56.73,22,1539783122505
37,0,0,0,11,56.74,35,1539783122505
37,0,0,0,12,56.73,15,1539783122505
0,0,0,0,12,56.73,100,1539783122505
0,0,0,0,12,56.73,100,1539783122505
14,41,0,0,12,56.73,100,1539783122505
14,41,0,0,12,56.73,100,1539783122506
37,0,0,0,12,56.73,35,1539783122506
37,0,0,0,12,56.73,35,1539783122506
14,37,41,0,12,56.73,35,1539783122506
14,37,41,0,12,56.73,30,1539783122507
14,37,41,0,12,56.73,70,1539783122507
0,0,0,0,2,56.73,100,1539783122507
14,37,41,0,12,56.73,30,1539783122508
14,41,0,0,12,56.74,100,1539783122613
0,0,0,0,12,56.74,100,1539783122613
0,0,0,0,12,56.73,100,1539783123122
0,0,0,0,12,56.73,100,1539783123122
14,41,0,0,12,56.71,100,1539783126739
14,41,0,0,12,56.71,100,1539783126739
14,41,0,0,12,56.71,100,1539783126739
14,41,0,0,12,56.68,100,1539783126740
14,41,0,0,12,56.66,100,1539783126740
0,0,0,0,15,56.7,100,1539783126740
14,37,41,0,19,56.53,54,1539783130043
0,0,0,0,4,56.5558,100,1539783134316
0,0,0,0,4,56.485,100,1539783137814
0,0,0,0,19,56.56,100,1539783137820
37,0,0,0,4,56.615,60,1539783140613
0,0,0,0,4,56.49,100,1539783147309
14,37,41,0,19,56.53,72,1539783158013
0,0,0,0,4,56.425,100,1539783158662
14,37,41,0,12,56.45,33,1539783162946
37,0,0,0,12,56.43,39,1539783162946
14,41,0,0,2,56.43,100,1539783162946
14,41,0,0,19,56.44,100,1539783162946
14,41,0,0,8,56.43,100,1539783162946
14,41,0,0,19,56.42,100,1539783162946
14,41,0,0,12,56.4,100,1539783162946
14,37,41,0,12,56.4,16,1539783162946
14,41,0,0,12,56.4,100,1539783162946
37,0,0,0,11,56.43,10,1539783162946
14,37,41,0,11,56.4,10,1539783162947
51,0,0,0,0,56.32,,1539783162948
51,0,0,0,0,56.23,,1539783162948
14,37,41,0,12,56.4,84,1539783162948
14,41,0,0,12,56.38,100,1539783162948
14,41,0,0,12,56.38,100,1539783162948
14,41,0,0,12,56.38,100,1539783162948
14,41,0,0,12,56.38,100,1539783162948
0,0,0,0,11,56.4,190,1539783162948
14,41,0,0,11,56.32,100,1539783162948
14,37,41,0,11,56.3,80,1539783162948
14,41,0,0,12,56.23,100,1539783162948
51,0,0,0,0,56.2,,1539783162949
14,41,0,0,12,56.2,100,1539783162949
51,0,0,0,0,56.1,,1539783162950
14,41,0,0,19,56.23,100,1539783162950
14,41,0,0,12,56.1,100,1539783162950
0,0,0,0,17,56.23,100,1539783162950
0,0,0,0,11,56.1,100,1539783162950
51,0,0,0,0,56.03,,1539783162951
14,41,0,0,12,56.03,100,1539783162951
0,0,0,0,1,56.23,100,1539783162951
51,0,0,0,0,56.02,,1539783162952
51,0,0,0,0,56,,1539783162952
14,41,0,0,12,56.04,100,1539783162952
14,41,0,0,12,56.02,100,1539783162952
0,0,0,0,12,56,100,1539783162952
51,0,0,0,0,55.97,,1539783162953
14,41,0,0,11,55.97,100,1539783162953
14,37,41,0,19,55.92,70,1539783162953
14,37,41,0,19,55.92,30,1539783162953
51,0,0,0,0,55.85,,1539783162954
0,0,0,0,11,55.85,100,1539783162954
14,37,41,0,12,55.84,40,1539783162954
14,37,41,0,12,55.83,60,1539783162954
14,41,0,0,11,56.02,100,1539783162986
14,41,0,0,11,56.02,100,1539783162986
0,0,0,0,10,55.85,100,1539783162997
0,0,0,0,18,55.86,100,1539783162997
0,0,0,0,19,55.86,100,1539783162997
0,0,0,0,11,55.85,100,1539783162997
37,0,0,0,12,55.86,40,1539783163948
37,0,0,0,12,55.86,40,1539783163949
0,0,0,0,15,55.97,100,1539783164134
0,0,0,0,15,56,100,1539783164134
0,0,0,0,15,56.14,100,1539783164134
0,0,0,0,12,56.07,100,1539783164664
0,0,0,0,12,56.1,100,1539783168704
37,0,0,0,12,56.15,80,1539783168764
37,0,0,0,12,56.16,20,1539783168764
0,0,0,0,12,56.15,100,1539783168764
14,37,41,0,12,56.16,80,1539783168764
14,41,0,0,18,56.15,100,1539783168764
14,41,0,0,19,56.14,100,1539783168764
14,41,0,0,12,56.25,100,1539783168765
14,41,0,0,19,56.21,100,1539783168765
14,41,0,0,12,56.28,100,1539783168765
14,37,41,0,12,56.28,78,1539783168765
0,0,0,0,4,56.05,100,1539783168765
0,0,0,0,4,56.15,100,1539783168766
0,0,0,0,15,56.38,100,1539783168766
0,0,0,0,12,56.42,100,1539783168963
0,0,0,0,12,56.41,100,1539783168963
0,0,0,0,12,56.365,100,1539783169463
