c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,98.12,2,1539821043278
0,0,0,0,4,98.4,111,1539864000567
14,41,0,0,11,97.44,100,1539868923214
14,41,0,0,11,97.44,100,1539869154475
14,41,0,0,19,97.44,100,1539869154475
14,41,0,0,11,97.44,100,1539869155954
14,41,0,0,19,97.44,100,1539869155954
14,41,0,0,11,97.4,100,1539869163891
14,41,0,0,11,97.4,100,1539869172831
14,41,0,0,11,97.4,100,1539869172832
14,37,41,0,11,97.4,20,1539869172969
14,37,41,0,11,97.4,80,1539869175331
14,37,41,0,11,97.4,20,1539869175331
14,41,0,0,11,97.4,100,1539869175562
14,41,0,0,11,97.4,100,1539869176064
14,41,0,0,11,97.4,100,1539869176224
14,41,0,0,11,97.4,100,1539869176368
14,41,0,0,11,97.4,100,1539869177026
14,41,0,0,11,97.4,100,1539869177026
14,41,0,0,11,97.4,100,1539869177027
14,37,41,0,11,97.4,30,1539869177144
14,37,41,0,11,97.4,70,1539869177272
14,37,41,0,11,97.4,30,1539869177272
14,41,0,0,11,97.4,100,1539869179981
14,41,0,0,11,97.4,100,1539869184328
14,37,41,0,11,97.4,50,1539869184328
14,41,0,0,12,98.1,100,1539869221455
37,0,0,0,12,98.1,89,1539869325147
37,0,0,0,11,99,30,1539869398806
37,0,0,0,11,99,45,1539869399801
37,0,0,0,11,99,20,1539869400030
25,16,0,0,11,99,20,1539869400030
37,0,0,0,11,101.49,88,1539869400202
51,0,0,0,0,99.23,,1539869400703
25,0,0,0,10,99.23,13325,1539869400703
51,0,0,0,0,99.25,,1539869401232
0,0,0,0,10,99.25,300,1539869401232
14,41,0,0,8,99.23,100,1539869401450
0,0,0,0,8,99.23,100,1539869401495
51,0,0,0,0,98.5836,,1539869407078
0,0,0,0,4,98.5836,113,1539869407078
0,0,0,0,12,98.61,100,1539869419633
25,16,0,0,12,98.61,100,1539869419633
0,0,0,0,4,98.93,200,1539869453236
0,0,0,0,4,99.09,100,1539869456483
0,0,0,0,10,99.09,100,1539869456748
14,37,41,0,10,99.09,74,1539869463507
37,0,0,0,10,99.09,26,1539869463507
37,0,0,0,4,99.1009,50,1539869464994
37,0,0,0,10,99.09,13,1539869465555
14,37,41,0,10,99.09,87,1539869465556
0,0,0,0,12,98.93,100,1539869468684
0,0,0,0,4,98.929,100,1539869478175
37,0,0,0,10,98.72,50,1539869479402
0,0,0,0,4,98.8074,200,1539869485588
37,0,0,0,4,98.933,76,1539869498678
0,0,0,0,4,99.18,180,1539869508659
0,0,0,0,4,99.18,100,1539869510343
0,0,0,0,4,99.18,100,1539869512328
14,37,41,0,2,98.82,39,1539869516273
14,41,0,0,2,98.81,100,1539869520416
0,0,0,0,4,98.98,300,1539869553143
0,0,0,0,4,98.98,300,1539869553143
0,0,0,0,4,98.98,300,1539869553144
0,0,0,0,15,98.98,300,1539869553148
0,0,0,0,4,98.98,300,1539869553149
0,0,0,0,4,98.98,400,1539869553150
0,0,0,0,4,98.98,300,1539869553170
0,0,0,0,4,98.98,300,1539869553258
14,37,41,0,18,98.98,50,1539869555079
14,37,41,0,18,98.98,50,1539869555079
0,0,0,0,11,98.99,100,1539869559648
14,37,41,0,10,98.99,2,1539869559648
14,41,0,0,18,98.98,100,1539869559648
14,41,0,0,12,99.07,100,1539869559648
14,41,0,0,2,98.98,100,1539869559648
0,0,0,0,10,98.91,100,1539869560180
0,0,0,0,2,98.91,100,1539869560181
0,0,0,0,12,98.91,100,1539869569173
0,0,0,0,2,99.005,100,1539869577193
0,0,0,0,4,99.1,100,1539869577194
0,0,0,0,12,99.005,100,1539869577195
0,0,0,0,15,99.005,200,1539869577196
37,0,0,0,4,98.9164,6,1539869577352
14,41,0,0,12,98.91,100,1539869581553
14,37,41,0,12,98.91,50,1539869581553
14,37,41,0,10,98.88,23,1539869581554
37,0,0,0,12,98.91,50,1539869581554
0,0,0,0,12,98.91,100,1539869581554
14,37,41,0,10,98.88,74,1539869581554
14,37,41,0,10,98.88,3,1539869581554
14,37,41,0,12,98.82,47,1539869581554
0,0,0,0,11,98.82,100,1539869581777
37,0,0,0,12,98.82,53,1539869581778
14,41,0,0,10,98.82,100,1539869581778
51,0,0,0,0,98.5,,1539869590184
0,0,0,0,4,98.5,380,1539869590184
14,41,0,0,8,98.5,100,1539869590189
14,41,0,0,8,98.5,100,1539869590189
37,0,0,0,4,98.5011,40,1539869590197
14,41,0,0,12,98.51,100,1539869590210
14,41,0,0,8,98.5,400,1539869590210
14,41,0,0,8,98.5,100,1539869590211
0,0,0,0,8,98.5,300,1539869590211
51,0,0,0,0,98.495,,1539869590212
0,0,0,0,4,98.495,300,1539869590212
0,0,0,0,4,98.5,100,1539869590619
51,0,0,0,0,98.32,,1539869591903
0,0,0,0,4,98.32,100,1539869591903
0,0,0,0,4,98.455,740,1539869597051
0,0,0,0,10,98.32,100,1539869598888
0,0,0,0,12,98.32,100,1539869598888
14,41,0,0,10,98.32,100,1539869598888
