c1,c2,c3,c4,e,p,s,t
14,41,0,0,11,83.38,400,1539936068734
14,37,41,0,12,83.35,30,1539936068734
14,37,41,0,11,83.39,8,1539936068738
14,37,41,0,11,83.39,10,1539936068738
14,41,0,0,11,83.4,426,1539936068738
14,37,41,0,11,83.4,95,1539936068745
14,37,41,0,11,83.55,95,1539936068824
37,0,0,0,11,83.4,5,1539936109591
37,0,0,0,11,83.4,47,1539936109591
37,0,0,0,11,83.43,50,1539936118394
14,37,41,0,11,83.4,48,1539936119928
14,37,41,0,11,83.4,52,1539936119928
0,0,0,0,11,83.43,1950,1539936122355
37,0,0,0,11,83.4,92,1539936131237
37,0,0,0,11,83.4,8,1539936139577
14,37,41,0,11,83.4,59,1539936157914
14,41,0,0,12,83.43,100,1539936157915
14,37,41,0,11,83.4,33,1539936194915
14,37,41,0,11,83.4,8,1539936194915
14,37,41,0,11,83.4,59,1539936194915
37,0,0,0,11,83.4,10,1539936203335
14,37,41,0,11,83.4,40,1539936208935
37,0,0,0,11,83.4,25,1539936212360
0,0,0,0,11,83.47,2000,1539936227027
37,0,0,0,11,83.4,25,1539936261646
37,0,0,0,11,83.4,10,1539936261646
37,0,0,0,11,83.4,23,1539936261646
37,0,0,0,12,83.48,10,1539936263462
37,0,0,0,12,83.69,5,1539936263469
37,0,0,0,12,83.69,10,1539936263470
37,0,0,0,12,83.69,10,1539936267987
14,37,41,0,12,83.69,75,1539936269956
14,41,0,0,12,83.69,100,1539936269956
14,41,0,0,12,83.69,101,1539936269956
37,0,0,0,12,83.69,10,1539936274100
14,37,41,0,12,83.69,90,1539936349882
14,37,41,0,12,83.69,89,1539936349882
37,0,0,0,11,83.4,17,1539936379964
37,0,0,0,11,83.4,25,1539936379964
37,0,0,0,11,83.4,58,1539936379964
0,0,0,0,11,83.4,300,1539936379964
37,0,0,0,11,83.4,46,1539936536038
37,0,0,0,11,83.4,54,1539936610282
37,0,0,0,11,83.4,46,1539936610282
0,0,0,0,11,83.4,446,1539936610282
0,0,0,0,12,83.5,128,1539936713683
37,0,0,0,12,83.51,8,1539936769991
37,0,0,0,12,83.51,45,1539936863246
0,0,0,0,12,83.51,447,1539936874135
0,0,0,0,12,83.5,103,1539936874135
14,41,0,0,11,83.4,100,1539936895775
14,41,0,0,11,83.4,392,1539936895775
14,41,0,0,12,83.51,269,1539936895776
37,0,0,0,12,83.51,43,1539936915696
0,0,0,0,12,83.51,188,1539936922085
