c1,c2,c3,c4,e,p,s,t
25,0,0,0,10,51.79,3094,1539955800653
37,0,0,0,10,51.79,19,1539955800655
51,0,0,0,0,51.75,,1539955800763
0,0,0,0,10,51.75,200,1539955800763
51,0,0,0,0,51.83,,1539955801853
37,0,0,0,10,51.8,60,1539955801853
0,0,0,0,10,51.83,100,1539955801853
37,0,0,0,2,51.89,60,1539955805366
37,0,0,0,12,51.88,60,1539955806588
25,16,0,0,12,51.88,60,1539955806588
51,0,0,0,0,51.84,,1539955808689
14,41,0,0,8,51.84,100,1539955808689
14,37,41,0,8,51.88,53,1539955808689
37,0,0,0,19,51.72,53,1539955813975
37,0,0,0,19,51.61,47,1539955813975
51,0,0,0,0,51.72,,1539955894573
14,41,0,0,11,51.72,100,1539955894573
25,16,0,0,11,51.72,100,1539955894573
14,41,0,0,10,51.72,100,1539955894574
14,41,0,0,11,51.72,100,1539955894574
0,0,0,0,11,51.72,100,1539955894574
14,41,0,0,19,51.72,100,1539955894574
0,0,0,0,19,51.72,100,1539955894575
51,0,0,0,0,51.69,,1539955921068
14,41,0,0,12,51.69,100,1539955921068
14,41,0,0,2,51.69,100,1539955921068
14,41,0,0,19,51.69,100,1539955921069
14,41,0,0,18,51.69,100,1539955921069
51,0,0,0,0,51.63,,1539955921073
51,0,0,0,0,51.61,,1539955921073
51,0,0,0,0,51.58,,1539955921073
14,37,41,0,12,51.65,10,1539955921073
14,41,0,0,12,51.63,100,1539955921073
14,41,0,0,19,51.61,100,1539955921073
14,41,0,0,10,51.58,100,1539955921073
0,0,0,0,19,51.61,100,1539955921073
51,0,0,0,0,51.54,,1539955921074
14,41,0,0,18,51.58,100,1539955921074
14,41,0,0,18,51.54,100,1539955921074
14,41,0,0,19,51.58,100,1539955921074
0,0,0,0,19,51.57,100,1539955921074
14,41,0,0,10,51.57,100,1539955921074
0,0,0,0,19,51.58,100,1539955921074
14,37,41,0,10,51.56,13,1539955921074
14,37,41,0,10,51.56,56,1539955921074
14,37,41,0,12,51.56,90,1539955921075
14,37,41,0,12,51.57,44,1539955921076
0,0,0,0,4,51.56,100,1539955926138
37,0,0,0,12,51.57,2,1539955926140
14,41,0,0,19,51.56,100,1539955926140
14,41,0,0,10,51.56,100,1539955926140
14,41,0,0,12,51.57,100,1539955926140
14,37,41,0,12,51.57,10,1539955926140
14,41,0,0,12,51.57,100,1539955926140
0,0,0,0,19,51.56,100,1539955926140
0,0,0,0,12,51.57,100,1539955931415
0,0,0,0,12,51.57,100,1539955931415
51,0,0,0,0,51.41,,1539955948094
14,41,0,0,10,51.41,100,1539955948094
0,0,0,0,19,51.41,100,1539955948094
51,0,0,0,0,51.33,,1539955948096
37,0,0,0,11,51.35,92,1539955948096
37,0,0,0,11,51.35,8,1539955948096
14,41,0,0,11,51.33,250,1539955948096
14,41,0,0,12,51.34,100,1539955948097
14,41,0,0,19,51.34,100,1539955948097
51,0,0,0,0,51.31,,1539955948098
51,0,0,0,0,51.3,,1539955948098
51,0,0,0,0,51.28,,1539955948098
0,0,0,0,11,51.31,100,1539955948098
37,0,0,0,19,51.29,86,1539955948098
37,0,0,0,19,51.28,34,1539955948098
14,41,0,0,10,51.3,100,1539955948098
0,0,0,0,12,51.31,100,1539955948098
14,41,0,0,12,51.31,150,1539955948098
