c1,c2,c3,c4,e,p,s,t
37,0,0,0,4,19.5,10,1538657952723
37,0,0,0,4,19.5,1,1538657953504
37,0,0,0,4,19.5,1,1538658005880
37,0,0,0,4,19.5,19,1538658005892
37,0,0,0,4,19.3852,18,1538658492508
0,0,0,0,4,19.1999,260,1538659650357
0,0,0,0,4,19.2,250,1538659650357
14,41,0,0,12,19.2,100,1538659679174
14,37,41,0,12,19.2,6,1538659680012
14,37,41,0,12,19.2,94,1538659681775
14,37,41,0,12,19.2,6,1538659681775
14,37,41,0,12,19.2,94,1538659681775
14,41,0,0,12,19.2,100,1538659681775
14,41,0,0,12,19.2,206,1538659681775
14,37,41,0,11,19,1,1538659681780
37,0,0,0,8,18.76,1,1538659728423
14,37,41,0,12,18.94,5,1538659740016
51,0,0,0,0,18.5,,1538659800635
25,41,0,0,12,18.5,10651,1538659800635
25,16,0,0,12,18.5,10651,1538659800635
14,37,41,0,12,18.5,98,1538659800635
14,37,41,0,8,18.76,98,1538659800636
14,37,41,0,11,18.66,50,1538659800636
25,16,0,0,11,18.66,50,1538659800636
14,37,41,0,11,18.52,50,1538659800636
14,37,41,0,11,18.5,50,1538659800637
14,37,41,0,11,18.5,48,1538659800637
14,37,41,0,11,18.5,2,1538659800742
14,37,41,0,11,18.21,98,1538659800742
51,0,0,0,0,18.21,,1538659800745
14,41,0,0,11,18.21,100,1538659800745
14,37,41,0,11,18.21,50,1538659800748
14,37,41,0,8,18.25,50,1538659800750
0,0,0,0,4,18.5,200,1538659800961
0,0,0,0,4,18.5,2400,1538659801385
10,32,41,0,4,18.5,417,1538659801407
10,32,41,0,4,18.5,230,1538659802995
51,0,0,0,0,18.11,,1538659805042
0,0,0,0,4,18.11,794,1538659805042
14,37,41,0,12,18.43,56,1538659805851
0,0,0,0,12,18.46,300,1538659805855
37,0,0,0,4,18.4365,40,1538659807337
37,0,0,0,4,18.2638,54,1538659808558
0,0,0,0,4,18.4117,1000,1538659808837
0,0,0,0,4,18.5,100,1538659809175
14,41,0,0,12,18.32,136,1538659810873
14,41,0,0,12,18.32,100,1538659810873
14,37,41,0,12,18.31,62,1538659810873
37,0,0,0,12,18.31,38,1538659810873
0,0,0,0,12,18.29,100,1538659810873
0,0,0,0,12,18.28,100,1538659810873
0,0,0,0,12,18.27,100,1538659810873
37,0,0,0,12,18.26,62,1538659810873
14,37,41,0,12,18.26,2,1538659810873
0,0,0,0,4,18.435,100,1538659812430
10,32,37,41,4,18.5,1,1538659814014
0,0,0,0,4,18.4587,1000,1538659814630
51,0,0,0,0,18.53,,1538659815198
0,0,0,0,12,18.5,262,1538659815198
37,0,0,0,12,18.5,21,1538659815198
37,0,0,0,12,18.5,17,1538659815198
14,41,0,0,12,18.5,100,1538659815198
14,41,0,0,2,18.5,100,1538659815198
0,0,0,0,2,18.5,100,1538659815198
0,0,0,0,12,18.5,100,1538659815198
14,37,41,0,12,18.55,20,1538659815198
14,41,0,0,2,18.53,100,1538659815198
0,0,0,0,18,18.5,100,1538659815198
14,41,0,0,19,18.5,100,1538659815198
14,41,0,0,18,18.5,100,1538659815198
0,0,0,0,19,18.5,100,1538659815198
14,41,0,0,8,18.5,100,1538659815198
0,0,0,0,8,18.5,100,1538659815198
14,41,0,0,11,18.5,100,1538659815198
0,0,0,0,11,18.5,100,1538659815198
14,41,0,0,11,18.5,100,1538659815198
14,41,0,0,10,18.5,100,1538659815198
0,0,0,0,10,18.5,100,1538659815198
0,0,0,0,4,18.5,100,1538659815198
0,0,0,0,11,18.38,100,1538659815198
0,0,0,0,4,18.5,100,1538659815198
14,37,41,0,12,18.46,30,1538659815204
14,37,41,0,8,18.46,10,1538659815204
14,37,41,0,19,18.46,10,1538659815204
37,0,0,0,15,18.4,50,1538659815205
14,41,0,0,10,18.43,100,1538659815205
37,0,0,0,7,18.42,50,1538659815466
0,0,0,0,12,18.43,100,1538659815466
0,0,0,0,12,18.41,300,1538659815466
0,0,0,0,12,18.41,100,1538659815466
14,41,0,0,12,18.38,200,1538659815466
14,41,0,0,12,18.37,120,1538659815466
14,41,0,0,18,18.42,100,1538659815467
14,41,0,0,11,18.4,100,1538659815467
14,41,0,0,12,18.4,100,1538659815467
14,37,41,0,12,18.41,10,1538659815473
14,37,41,0,12,18.41,40,1538659815473
51,0,0,0,0,18.535,,1538659816284
0,0,0,0,4,18.535,100,1538659816284
0,0,0,0,4,18.4689,500,1538659817116
51,0,0,0,0,18.555,,1538659818275
0,0,0,0,4,18.555,100,1538659818275
37,0,0,0,4,18.56,16,1538659823149
0,0,0,0,4,18.2485,600,1538659824835
37,0,0,0,4,18.56,1,1538659825596
0,0,0,0,4,18.5235,600,1538659828252
37,0,0,0,4,18.2401,5,1538659829306
14,37,41,0,12,18.44,30,1538659836383
37,0,0,0,4,18.4454,90,1538659846306
14,37,41,0,12,18.44,30,1538659852383
0,0,0,0,4,18.41,250,1538659856245
14,37,41,0,12,18.44,30,1538659867390
37,0,0,0,4,18.2666,2,1538659868479
14,37,41,0,12,18.44,10,1538659882396
14,37,41,0,12,18.41,20,1538659882396
14,37,41,0,12,18.41,10,1538659882397
14,41,0,0,12,18.38,100,1538659882397
14,41,0,0,19,18.39,100,1538659882397
14,41,0,0,8,18.38,100,1538659882397
14,41,0,0,11,18.37,100,1538659882397
14,37,41,0,12,18.41,20,1538659882400
37,0,0,0,4,18.5,50,1538659891276
0,0,0,0,4,18.5,100,1538659894366
0,0,0,0,4,18.555,100,1538659894476
0,0,0,0,15,18.5,100,1538659895914
51,0,0,0,0,18.56,,1538659895916
14,41,0,0,19,18.56,100,1538659895916
51,0,0,0,0,18.65,,1538659895917
0,0,0,0,4,18.4871,100,1538659895917
0,0,0,0,12,18.65,335,1538659895917
0,0,0,0,11,18.6,100,1538659895917
14,41,0,0,11,18.64,100,1538659895917
51,0,0,0,0,18.73,,1538659895920
0,0,0,0,4,18.6307,900,1538659895920
0,0,0,0,4,18.73,804,1538659895920
51,0,0,0,0,18.78,,1538659896106
0,0,0,0,12,18.78,100,1538659896106
14,41,0,0,12,18.74,100,1538659896110
0,0,0,0,12,18.74,100,1538659896110
0,0,0,0,12,18.74,100,1538659896110
14,37,41,0,12,18.73,20,1538659896110
14,41,0,0,12,18.74,100,1538659896111
0,0,0,0,11,18.73,100,1538659896111
14,41,0,0,12,18.74,100,1538659896111
14,41,0,0,12,18.73,410,1538659896111
0,0,0,0,11,18.73,100,1538659896111
14,37,41,0,12,18.73,20,1538659896111
14,37,41,0,12,18.73,30,1538659896111
