c1,c2,c3,c4,e,p,s,t
25,37,41,0,12,8.24,3,1539264600456
25,16,0,0,12,8.24,3,1539264600456
37,0,0,0,8,8.3,2,1539264615413
0,0,0,0,4,8.21,105,1539264656594
37,0,0,0,4,8.2343,95,1539264656598
37,0,0,0,4,8.21,95,1539264735668
37,0,0,0,4,8.2487,5,1539264735669
37,0,0,0,12,8.22,1,1539264843508
51,0,0,0,0,8.05,,1539264848094
0,0,0,0,4,8.05,100,1539264848094
37,0,0,0,4,8.05,1,1539264903963
0,0,0,0,4,8.05,600,1539265001284
14,41,0,0,11,8.1,100,1539265103678
25,16,0,0,11,8.1,100,1539265103678
37,0,0,0,4,8.0825,23,1539265103678
37,0,0,0,4,8.1,23,1539265103678
37,0,0,0,4,8.0825,77,1539265103679
0,0,0,0,4,8.0825,100,1539265103680
37,0,0,0,4,8.1,77,1539265103683
0,0,0,0,4,8.1,500,1539265103688
0,0,0,0,4,8.151,500,1539265245332
0,0,0,0,4,8.1794,300,1539265325994
0,0,0,0,12,8.17,300,1539265325995
0,0,0,0,12,8.15,370,1539265325995
37,0,0,0,12,8.15,30,1539265325995
37,0,0,0,12,8.15,27,1539265325995
37,0,0,0,12,8.15,12,1539265325995
0,0,0,0,4,8.1437,150,1539265892601
37,0,0,0,4,8.0701,7,1539266506477
14,37,41,0,12,8.2,35,1539266703247
51,0,0,0,0,8.2691,,1539266796858
0,0,0,0,4,8.2691,500,1539266796858
14,41,0,0,12,8.25,100,1539266796871
51,0,0,0,0,8.3,,1539266806576
0,0,0,0,11,8.3,100,1539266806576
0,0,0,0,11,8.3,100,1539266855866
37,0,0,0,4,8.3776,10,1539266870373
37,0,0,0,4,8.3776,3,1539266895453
51,0,0,0,0,8.36,,1539266901799
37,0,0,0,11,8.38,50,1539266901799
14,41,0,0,12,8.36,100,1539266901799
51,0,0,0,0,8.38,,1539266901800
0,0,0,0,4,8.38,850,1539266901800
14,37,41,0,12,8.37,50,1539266908083
14,41,0,0,12,8.38,100,1539266908083
