c1,c2,c3,c4,e,p,s,t
37,0,0,0,11,134.26,10,1537433137032
14,37,41,0,12,136,5,1537434830168
37,0,0,0,11,135.69,5,1537434834270
37,0,0,0,11,135,25,1537436401955
37,0,0,0,12,134.98,75,1537438931636
0,0,0,0,12,135,100,1537439899285
14,37,41,0,12,135,10,1537439938557
37,0,0,0,11,135,25,1537440050633
37,0,0,0,11,134,25,1537440612661
14,37,41,0,12,135,10,1537441200034
14,37,41,0,11,135.49,90,1537441200035
37,0,0,0,11,135,10,1537441210144
0,0,0,0,11,134.25,100,1537441237628
0,0,0,0,11,134.21,100,1537441237628
37,0,0,0,11,134.19,50,1537441237628
37,0,0,0,11,134,1,1537441237628
14,37,41,0,8,134.2,50,1537441237629
14,41,0,0,8,134,149,1537441237629
14,41,0,0,8,134.5,100,1537441243650
14,37,41,0,8,134,51,1537441252147
14,41,0,0,8,134,100,1537441252147
37,0,0,0,11,134,5,1537441266516
37,0,0,0,11,134,10,1537441266516
37,0,0,0,11,134,50,1537441395399
14,37,41,0,12,133.62,10,1537441519051
0,0,0,0,11,134.5,100,1537441691331
37,0,0,0,11,134.02,25,1537441739318
37,0,0,0,8,134,5,1537441759911
37,0,0,0,11,134,50,1537441851021
37,0,0,0,11,134.06,30,1537442074551
37,0,0,0,11,135,10,1537442134452
37,0,0,0,8,135,35,1537442138736
37,0,0,0,11,135,30,1537442139493
37,0,0,0,11,135,69,1537442227132
37,0,0,0,8,135,30,1537442229332
0,0,0,0,11,135,500,1537442387519
37,0,0,0,11,135,40,1537442434232
37,0,0,0,11,134.98,25,1537442665762
37,0,0,0,11,134.99,30,1537442665762
37,0,0,0,11,135,45,1537442665762
14,41,0,0,11,135,100,1537442897492
14,37,41,0,11,134.4,35,1537443091275
14,41,0,0,12,134.44,100,1537443091275
14,41,0,0,12,134.41,100,1537443107814
0,0,0,0,11,134.18,300,1537443128718
14,41,0,0,11,134.11,100,1537443128718
14,41,0,0,12,134.21,100,1537443128719
14,41,0,0,12,134.18,100,1537443131102
14,41,0,0,8,134.1,1024,1537443131102
14,37,41,0,8,134.1,91,1537443131102
37,0,0,0,11,134.3,25,1537443191561
37,0,0,0,11,134.2,75,1537443344142
0,0,0,0,11,134.2,175,1537443348857
0,0,0,0,11,134.16,200,1537443348858
14,41,0,0,8,134.1,125,1537443348858
14,41,0,0,8,134.1,134,1537443376562
14,41,0,0,8,134.1,500,1537443379688
0,0,0,0,11,134.2,100,1537443379816
0,0,0,0,11,134.2,100,1537443382584
37,0,0,0,11,134.25,21,1537443492481
14,37,41,0,11,134.3,30,1537443541211
14,41,0,0,11,134.28,300,1537443541211
14,41,0,0,11,134.25,170,1537443541211
37,0,0,0,12,134.52,60,1537444140803
37,0,0,0,11,134.5,70,1537444171004
14,41,0,0,12,134.7,100,1537444183278
14,41,0,0,12,134.7,100,1537444183278
14,41,0,0,11,134.86,100,1537444197036
0,0,0,0,11,134.86,185,1537444204338
37,0,0,0,11,135,55,1537444208419
0,0,0,0,11,135,145,1537444208419
14,41,0,0,11,135,349,1537444209001
37,0,0,0,11,134.97,1,1537444236795
0,0,0,0,11,134.97,100,1537444307400
0,0,0,0,8,135.5,100,1537444642449
0,0,0,0,11,135.46,100,1537444649865
0,0,0,0,11,135.5,400,1537444649865
14,41,0,0,11,135.5,100,1537444654881
14,41,0,0,11,135.5,100,1537444656174
0,0,0,0,11,135.5,200,1537444658009
37,0,0,0,11,135.5,50,1537444686980
0,0,0,0,12,135.1,100,1537444790155
0,0,0,0,4,133.9999,100,1537444800739
37,0,0,0,4,134.8999,50,1537444800833
0,0,0,0,4,134.75,100,1537444800988
0,0,0,0,4,135.4999,100,1537444801040
