c1,c2,c3,c4,e,p,s,t
25,0,0,0,10,71.94,5132,1539869725454
37,0,0,0,10,73.3,30,1539869725459
37,0,0,0,18,73.16,1,1539869725540
14,37,41,0,12,73.16,2,1539869728257
25,16,0,0,12,73.16,2,1539869728257
51,0,0,0,0,73.16,,1539869728671
51,0,0,0,0,73.26,,1539869728671
51,0,0,0,0,73.32,,1539869728671
0,0,0,0,11,73.16,100,1539869728671
25,16,0,0,11,73.16,100,1539869728671
0,0,0,0,10,73.16,100,1539869728671
0,0,0,0,10,73.26,100,1539869728671
0,0,0,0,10,73.32,700,1539869728671
14,41,0,0,11,73.16,100,1539869728671
37,0,0,0,10,73.16,50,1539869728671
14,37,41,0,10,73.16,50,1539869728671
14,41,0,0,10,73.32,200,1539869728671
14,41,0,0,11,73.32,100,1539869728672
0,0,0,0,10,73.27,100,1539869728672
37,0,0,0,18,73.16,50,1539869728672
14,41,0,0,12,73.32,100,1539869728672
14,41,0,0,12,73.32,100,1539869728672
0,0,0,0,4,73.13,100,1539869728679
0,0,0,0,11,73.31,100,1539869728679
0,0,0,0,4,73.31,100,1539869728682
14,37,41,0,12,73.32,1,1539869728755
37,0,0,0,8,72.81,1,1539869745672
0,0,0,0,4,73.31,100,1539869757383
14,41,0,0,3,73.32,100,1539869757384
14,41,0,0,11,73.32,100,1539869757384
14,41,0,0,19,73.32,100,1539869757384
0,0,0,0,11,73.32,100,1539869757384
0,0,0,0,10,73.31,100,1539869757384
51,0,0,0,0,73.37,,1539869757385
14,41,0,0,19,73.32,100,1539869757385
37,0,0,0,12,73.32,45,1539869757385
14,41,0,0,10,73.37,100,1539869757385
14,41,0,0,10,73.32,100,1539869757385
14,41,0,0,12,73.32,100,1539869757385
0,0,0,0,4,73.2,100,1539869801661
0,0,0,0,8,73.35,100,1539869801662
14,41,0,0,10,73.3,100,1539869801662
0,0,0,0,12,73.37,100,1539869801662
14,41,0,0,12,73.37,100,1539869801662
14,41,0,0,8,73.37,100,1539869801663
14,41,0,0,18,73.34,100,1539869801663
14,41,0,0,18,73.34,100,1539869801663
0,0,0,0,15,73.37,100,1539869801962
51,0,0,0,0,73.39,,1539869803260
0,0,0,0,10,73.39,100,1539869803260
51,0,0,0,0,73.42,,1539869803262
0,0,0,0,10,73.42,200,1539869803262
14,37,41,0,11,73.49,50,1539869803262
14,41,0,0,15,73.42,100,1539869803262
51,0,0,0,0,73.49,,1539869803269
14,41,0,0,11,73.49,400,1539869803269
14,41,0,0,12,73.49,300,1539869803269
14,37,41,0,12,73.49,50,1539869803269
51,0,0,0,0,73.69,,1539869803270
0,0,0,0,4,73.69,100,1539869803270
0,0,0,0,10,73.23,100,1539869803272
14,37,41,0,10,73.49,50,1539869803272
14,37,41,0,10,73.49,50,1539869803272
14,41,0,0,10,73.49,100,1539869803272
37,0,0,0,19,73.34,10,1539869803272
14,37,41,0,8,73.49,1,1539869803272
37,0,0,0,8,73.49,51,1539869803272
37,0,0,0,12,73.3,27,1539869803272
37,0,0,0,12,73.45,34,1539869803302
37,0,0,0,12,73.45,66,1539869803302
37,0,0,0,12,73.45,41,1539869803302
14,41,0,0,11,73.46,100,1539869813841
14,37,41,0,12,73.7,90,1539869813841
51,0,0,0,0,73.9,,1539869813844
0,0,0,0,11,73.9,200,1539869813844
0,0,0,0,4,73.77,300,1539869813867
37,0,0,0,4,73.89,48,1539869816373
37,0,0,0,4,73.9,34,1539869827414
0,0,0,0,4,73.45,100,1539869864907
0,0,0,0,4,73.4105,100,1539869864908
37,0,0,0,18,73.65,78,1539869936292
0,0,0,0,11,73.7,190,1539869936292
0,0,0,0,19,73.7,100,1539869936292
0,0,0,0,11,73.71,100,1539869939857
37,0,0,0,12,73.71,90,1539869939857
37,0,0,0,12,73.71,10,1539869939857
37,0,0,0,18,73.65,50,1539869939858
0,0,0,0,4,73.75,100,1539869954277
37,0,0,0,18,73.65,80,1539869996291
37,0,0,0,4,73.27,9,1539870007335
37,0,0,0,4,73.88,70,1539870056482
0,0,0,0,18,73.42,100,1539870056788
0,0,0,0,12,73.75,100,1539870056788
37,0,0,0,12,73.88,1,1539870056788
0,0,0,0,4,73.4001,100,1539870056791
37,0,0,0,18,73.86,1,1539870056791
0,0,0,0,10,73.39,100,1539870098774
0,0,0,0,4,73.31,100,1539870106815
0,0,0,0,4,73.3,100,1539870106817
0,0,0,0,4,73.28,100,1539870108856
0,0,0,0,4,73.27,100,1539870108857
14,37,41,0,12,73.74,22,1539870108895
0,0,0,0,18,73.33,100,1539870108907
0,0,0,0,4,73.2701,100,1539870108908
0,0,0,0,4,73.27,100,1539870108967
0,0,0,0,4,73.27,100,1539870108969
0,0,0,0,4,73.27,100,1539870108971
0,0,0,0,4,73.27,100,1539870108971
0,0,0,0,4,73.27,100,1539870108972
0,0,0,0,4,73.31,100,1539870109048
0,0,0,0,4,73.27,100,1539870109322
14,41,0,0,10,73.27,300,1539870109323
37,0,0,0,4,73.81,90,1539870116484
