c1,c2,c3,c4,e,p,s,t
14,41,0,0,12,113.93,474,1539856879311
14,41,0,0,12,113.93,100,1539856898940
37,0,0,0,12,112.77,7,1539858002959
0,0,0,0,11,112.59,500,1539858225277
14,41,0,0,12,112.63,100,1539858260856
0,0,0,0,12,112.9,148,1539858582661
37,0,0,0,12,112.9,52,1539858582661
37,0,0,0,12,112.64,50,1539858888544
0,0,0,0,11,112.39,100,1539859052284
14,41,0,0,12,112.17,100,1539859061696
14,41,0,0,12,112.1,500,1539859142994
14,41,0,0,12,112.1,100,1539859142994
37,0,0,0,12,112.19,50,1539859193168
14,41,0,0,12,112.36,100,1539859575888
14,41,0,0,12,112.7,300,1539859971936
14,41,0,0,12,112.36,100,1539860163925
14,41,0,0,11,112.4,200,1539860163925
14,41,0,0,12,112.17,100,1539860197873
14,41,0,0,12,112.28,100,1539860227062
37,0,0,0,11,112.4,60,1539860560770
0,0,0,0,11,112.42,100,1539860560770
14,41,0,0,12,112.42,100,1539860877155
14,41,0,0,12,112.42,100,1539860877155
14,41,0,0,12,112.3,200,1539861048866
37,0,0,0,12,112.37,22,1539861222457
14,41,0,0,12,112.22,100,1539862030037
14,41,0,0,12,112.25,100,1539862036093
14,41,0,0,12,112.24,258,1539862036498
14,37,41,0,12,112.24,42,1539862036498
14,41,0,0,12,112.2,500,1539862051770
14,41,0,0,12,112.02,128,1539862097632
14,41,0,0,12,112.01,101,1539862097632
14,41,0,0,12,112,500,1539862097633
14,41,0,0,12,112,100,1539862097693
14,41,0,0,12,111.95,100,1539862116163
14,41,0,0,12,111.93,200,1539862117726
37,0,0,0,12,112,71,1539862138236
14,41,0,0,12,112.12,188,1539862157021
14,41,0,0,12,112.13,312,1539862157021
14,41,0,0,12,112.23,200,1539862159210
14,41,0,0,11,112.3,300,1539862167986
0,0,0,0,12,112.25,100,1539862167987
14,37,41,0,12,112.25,23,1539862167987
14,41,0,0,12,112.25,100,1539862167987
14,41,0,0,12,112.26,141,1539862167987
14,41,0,0,12,112.27,136,1539862167992
14,41,0,0,11,112.23,100,1539862202236
0,0,0,0,11,112.22,100,1539862202266
14,41,0,0,12,112.23,100,1539862202341
14,41,0,0,12,112.23,100,1539862202341
14,41,0,0,12,112.25,100,1539862210768
0,0,0,0,11,112.22,200,1539862347554
14,41,0,0,12,112.01,100,1539862493393
14,41,0,0,12,111.99,500,1539862528886
14,41,0,0,12,111.91,100,1539862566716
37,0,0,0,11,111.9,10,1539862566969
14,37,41,0,12,111.9,90,1539862566970
14,41,0,0,12,111.91,200,1539862586150
0,0,0,0,12,111.91,100,1539862588480
14,41,0,0,12,112.04,100,1539862604653
14,41,0,0,12,112.05,100,1539862604653
14,41,0,0,12,112.08,100,1539862691023
14,41,0,0,12,112.21,100,1539863157366
14,41,0,0,12,112.37,100,1539863426723
14,37,41,0,11,112.3,46,1539863453664
14,41,0,0,12,112.28,100,1539863453665
14,41,0,0,12,112.29,354,1539863453665
37,0,0,0,12,112.29,75,1539863457629
14,41,0,0,11,112.24,400,1539863506691
14,41,0,0,11,112.24,100,1539863506751
14,41,0,0,11,112.2,100,1539863598981
37,0,0,0,4,112.14,20,1539864006189
37,0,0,0,4,111.9799,50,1539864009036
0,0,0,0,4,112.1401,150,1539864062722
14,41,0,0,12,112.27,148,1539864346842
14,41,0,0,12,112.27,352,1539864346842
14,41,0,0,12,112.26,100,1539864383851
14,41,0,0,12,112.27,400,1539864383851
37,0,0,0,12,112.18,75,1539864499327
14,37,41,0,12,112.15,50,1539864596375
14,41,0,0,12,112.03,142,1539864616397
14,41,0,0,12,112.02,100,1539864616397
14,41,0,0,12,112.02,100,1539864616397
14,41,0,0,12,112.02,158,1539864616397
14,41,0,0,18,112,100,1539864620303
14,41,0,0,18,112,100,1539864620303
14,41,0,0,12,112,100,1539864634487
0,0,0,0,12,112,339,1539864644104
0,0,0,0,12,112,101,1539864644104
0,0,0,0,11,112,100,1539864645819
0,0,0,0,11,112,100,1539864645824
37,0,0,0,11,112,60,1539864645824
0,0,0,0,11,112,100,1539864645830
14,41,0,0,12,111.95,367,1539864676330
14,41,0,0,12,111.95,100,1539864676330
14,41,0,0,12,111.95,111,1539864676330
14,41,0,0,11,111.92,300,1539864682284
14,41,0,0,11,111.91,300,1539864682284
14,41,0,0,11,111.9,300,1539864682284
14,41,0,0,11,111.9,100,1539864682284
14,41,0,0,11,111.9,1286,1539864682284
14,41,0,0,11,111.9,100,1539864682284
14,41,0,0,11,111.9,800,1539864682284
14,41,0,0,12,111.93,100,1539864682285
14,41,0,0,12,111.93,400,1539864682285
14,37,41,0,12,111.93,24,1539864682285
14,41,0,0,8,111.92,300,1539864682285
14,41,0,0,12,111.93,230,1539864682285
14,41,0,0,8,111.91,300,1539864682285
14,41,0,0,12,111.92,200,1539864682285
14,41,0,0,12,111.92,132,1539864682285
14,41,0,0,12,111.87,100,1539864682285
14,41,0,0,8,111.9,200,1539864682286
14,41,0,0,11,111.9,100,1539864682344
14,41,0,0,11,111.9,500,1539864682344
14,41,0,0,8,111.9,100,1539864682345
0,0,0,0,11,111.75,100,1539864792913
14,41,0,0,11,111.75,100,1539864792921
14,41,0,0,11,111.75,100,1539864829696
0,0,0,0,11,111.75,100,1539864829707
14,41,0,0,11,111.75,100,1539864829717
14,41,0,0,11,111.75,100,1539864829717
14,41,0,0,12,111.65,100,1539864840923
14,37,41,0,12,111.66,50,1539864861526
14,41,0,0,11,111.65,100,1539864861930
14,41,0,0,12,111.6,500,1539864865471
14,41,0,0,12,111.7,100,1539864900075
0,0,0,0,4,111.64,100,1539864940600
0,0,0,0,4,111.7,400,1539864962523
14,41,0,0,12,111.6,100,1539865038500
14,41,0,0,12,111.37,100,1539865129421
14,41,0,0,12,111.37,422,1539865139282
14,41,0,0,12,111.36,500,1539865141363
14,41,0,0,12,111.35,100,1539865141364
14,41,0,0,12,111.35,115,1539865141364
14,41,0,0,12,111.35,100,1539865142469
14,41,0,0,12,111.35,100,1539865142670
14,41,0,0,12,111.34,100,1539865142673
14,41,0,0,12,111.34,100,1539865142673
14,41,0,0,11,111.3,200,1539865148370
14,41,0,0,11,111.3,100,1539865148370
14,41,0,0,11,111.3,560,1539865148370
14,41,0,0,11,111.3,100,1539865148370
14,41,0,0,11,111.3,611,1539865148370
14,41,0,0,12,111.32,200,1539865148370
14,41,0,0,12,111.32,300,1539865148371
14,41,0,0,8,111.3,100,1539865148371
14,41,0,0,12,111.32,160,1539865148371
14,41,0,0,19,111.3,200,1539865148371
14,41,0,0,18,111.3,100,1539865148371
14,41,0,0,12,111.31,100,1539865148371
14,41,0,0,12,111.31,108,1539865148371
14,41,0,0,12,111.3,100,1539865148372
14,41,0,0,12,111.3,100,1539865148372
14,41,0,0,12,111.28,183,1539865151063
14,41,0,0,12,111.28,339,1539865151063
14,41,0,0,12,111.29,478,1539865151066
14,41,0,0,12,111.3,100,1539865170428
14,41,0,0,11,111.3,100,1539865176783
0,0,0,0,11,111.3,100,1539865178804
0,0,0,0,11,111.3,100,1539865178807
14,41,0,0,11,111.3,100,1539865178808
14,37,41,0,11,111.3,60,1539865178808
14,41,0,0,12,111.35,100,1539865179971
14,37,41,0,12,111.35,39,1539865180107
14,37,41,0,12,111.35,61,1539865180107
14,41,0,0,12,111.38,100,1539865184773
14,41,0,0,12,111.38,129,1539865184773
14,41,0,0,12,111.38,208,1539865184773
14,41,0,0,12,111.39,308,1539865184773
14,41,0,0,12,111.39,255,1539865184773
14,37,41,0,12,111.45,50,1539865203392
14,41,0,0,12,111.88,300,1539865240022
14,41,0,0,12,111.8,300,1539865240122
14,41,0,0,12,111.8,100,1539865240123
0,0,0,0,12,111.8,500,1539865240144
14,41,0,0,12,111.77,200,1539865243322
14,41,0,0,12,111.8,100,1539865258476
14,41,0,0,12,111.8,100,1539865258476
14,41,0,0,12,111.81,120,1539865259835
14,41,0,0,12,111.76,100,1539865274080
14,37,41,0,12,111.77,50,1539865274171
37,0,0,0,11,111.76,10,1539865311555
37,0,0,0,4,111.7,75,1539865350848
0,0,0,0,11,111.77,100,1539865454116
14,41,0,0,11,111.77,100,1539865454118
0,0,0,0,11,111.77,300,1539865454120
0,0,0,0,12,111.86,400,1539865492154
0,0,0,0,4,111.98,100,1539865592918
14,41,0,0,12,111.76,100,1539865719228
37,0,0,0,4,111.8,50,1539865720781
14,41,0,0,12,111.8,100,1539865722490
14,41,0,0,12,111.76,500,1539865760285
37,0,0,0,12,111.82,20,1539865760598
37,0,0,0,12,111.82,20,1539865760598
14,37,41,0,12,111.83,1,1539865762572
14,37,41,0,12,111.83,21,1539865762572
14,37,41,0,12,111.83,1,1539865762572
14,37,41,0,12,111.83,8,1539865762600
14,37,41,0,11,111.83,1,1539865764585
14,37,41,0,11,111.83,1,1539865764586
14,37,41,0,11,111.83,1,1539865764586
14,37,41,0,11,111.83,1,1539865764586
14,37,41,0,12,111.84,1,1539865766570
14,37,41,0,12,111.84,1,1539865766571
14,37,41,0,12,111.84,1,1539865766571
14,37,41,0,11,111.84,1,1539865768586
14,37,41,0,11,111.84,1,1539865768586
14,37,41,0,11,111.84,1,1539865768586
14,37,41,0,11,111.84,1,1539865770569
14,37,41,0,11,111.84,1,1539865770570
14,37,41,0,11,111.84,1,1539865770570
14,37,41,0,11,111.84,1,1539865770571
14,37,41,0,11,111.84,1,1539865774569
14,37,41,0,11,111.84,1,1539865774570
14,37,41,0,11,111.84,1,1539865774570
0,0,0,0,11,111.84,190,1539865775526
0,0,0,0,11,111.84,310,1539865775526
14,37,41,0,11,111.84,75,1539865775651
37,0,0,0,11,111.84,15,1539865776351
14,37,41,0,8,111.84,24,1539865776352
14,41,0,0,12,111.84,100,1539865776352
14,41,0,0,12,111.84,100,1539865776352
14,41,0,0,12,111.84,261,1539865776352
14,41,0,0,12,111.91,123,1539865783298
14,41,0,0,12,111.99,204,1539865795276
14,41,0,0,12,111.99,102,1539865795276
14,41,0,0,12,112,111,1539865795278
37,0,0,0,12,111.99,83,1539865796193
14,37,41,0,12,111.99,4,1539865796217
14,37,41,0,12,111.99,9,1539865796217
14,37,41,0,12,111.99,9,1539865796218
14,37,41,0,12,111.99,9,1539865796219
14,37,41,0,12,111.99,1,1539865798563
14,37,41,0,12,111.99,1,1539865798563
14,37,41,0,12,111.99,1,1539865798564
14,37,41,0,12,111.99,18,1539865798652
14,37,41,0,12,111.99,1,1539865800577
14,37,41,0,12,111.99,1,1539865800577
14,37,41,0,12,111.99,1,1539865800578
14,37,41,0,12,111.99,1,1539865800578
14,41,0,0,12,111.99,100,1539865801938
14,37,41,0,12,111.97,1,1539865802561
14,37,41,0,12,111.97,1,1539865802562
14,37,41,0,12,111.97,1,1539865802562
14,37,41,0,12,111.96,1,1539865804575
14,37,41,0,12,111.96,1,1539865804575
14,37,41,0,12,111.96,1,1539865804576
14,37,41,0,12,111.96,1,1539865806560
14,37,41,0,12,111.96,1,1539865806561
14,37,41,0,12,111.96,1,1539865806561
14,37,41,0,12,111.96,1,1539865806589
14,37,41,0,12,111.96,1,1539865810559
14,37,41,0,12,111.96,1,1539865810559
14,37,41,0,12,111.96,1,1539865810588
14,37,41,0,12,111.97,1,1539865812574
14,37,41,0,12,111.97,1,1539865812574
14,37,41,0,12,111.97,1,1539865812575
14,37,41,0,12,111.97,1,1539865812575
14,37,41,0,12,111.96,1,1539865814559
14,37,41,0,12,111.96,1,1539865814559
14,37,41,0,12,111.96,1,1539865814588
14,37,41,0,12,111.96,1,1539865816576
14,37,41,0,12,111.96,1,1539865816577
14,37,41,0,12,111.96,1,1539865816577
14,37,41,0,12,111.94,1,1539865818560
14,37,41,0,12,111.94,1,1539865818561
14,37,41,0,12,111.94,1,1539865818590
14,37,41,0,12,111.94,1,1539865818590
14,37,41,0,12,111.94,1,1539865822560
14,37,41,0,12,111.94,1,1539865822560
14,37,41,0,12,111.94,1,1539865822589
14,37,41,0,12,111.94,1,1539865824574
14,37,41,0,12,111.94,1,1539865824575
14,37,41,0,12,111.94,1,1539865824575
14,37,41,0,12,111.94,1,1539865824575
14,37,41,0,11,111.93,1,1539865825469
14,41,0,0,11,111.91,100,1539865825469
14,41,0,0,12,111.9,277,1539865825470
14,37,41,0,12,111.93,57,1539865825537
14,37,41,0,12,111.91,1,1539865826560
14,37,41,0,12,111.91,1,1539865826560
14,37,41,0,12,111.91,1,1539865826589
14,37,41,0,12,111.9,1,1539865828575
14,37,41,0,12,111.9,1,1539865828575
14,37,41,0,12,111.9,1,1539865828576
14,37,41,0,12,111.89,1,1539865830560
14,37,41,0,12,111.89,1,1539865830561
14,37,41,0,12,111.89,1,1539865830561
14,37,41,0,12,111.89,1,1539865830589
37,0,0,0,11,111.89,50,1539865833492
14,41,0,0,12,111.94,100,1539865867587
14,37,41,0,12,111.95,2,1539865867673
14,37,41,0,12,111.95,5,1539865867674
14,37,41,0,12,111.95,5,1539865867674
14,37,41,0,12,111.95,5,1539865867675
14,37,41,0,12,111.96,1,1539865872576
14,37,41,0,12,111.96,1,1539865872576
14,37,41,0,12,111.96,1,1539865872577
14,37,41,0,12,111.96,1,1539865874560
14,37,41,0,12,111.96,1,1539865874560
14,37,41,0,12,111.96,1,1539865874560
14,37,41,0,12,111.96,1,1539865876575
14,37,41,0,12,111.96,1,1539865878561
14,37,41,0,12,111.96,1,1539865878561
14,37,41,0,12,111.96,1,1539865878562
14,41,0,0,12,111.96,142,1539865879645
14,37,41,0,12,111.96,58,1539865879645
14,37,41,0,12,111.95,4,1539865879763
14,37,41,0,12,111.95,11,1539865879764
14,37,41,0,12,111.95,11,1539865879764
14,37,41,0,12,111.95,11,1539865879764
14,37,41,0,12,111.96,2,1539865882561
14,37,41,0,12,111.96,1,1539865882561
14,37,41,0,12,111.96,2,1539865882561
14,37,41,0,12,111.96,2,1539865882589
14,37,41,0,12,111.95,2,1539865884575
14,37,41,0,12,111.95,2,1539865884576
14,37,41,0,12,111.95,1,1539865884576
14,37,41,0,12,111.95,2,1539865884576
14,37,41,0,12,111.96,1,1539865886559
14,37,41,0,12,111.96,2,1539865886560
14,37,41,0,12,111.96,2,1539865886588
14,37,41,0,12,111.96,2,1539865886589
14,37,41,0,12,111.96,2,1539865888573
14,37,41,0,12,111.96,2,1539865888573
14,37,41,0,12,111.96,2,1539865888574
14,37,41,0,12,111.96,1,1539865888575
14,37,41,0,12,111.96,2,1539865890557
14,37,41,0,12,111.96,2,1539865890586
14,37,41,0,12,111.96,2,1539865890587
14,37,41,0,12,111.96,2,1539865892571
14,37,41,0,12,111.96,1,1539865892572
14,37,41,0,12,111.96,2,1539865892572
14,37,41,0,12,111.96,2,1539865892572
14,37,41,0,12,111.96,1,1539865894556
14,37,41,0,12,111.96,2,1539865894586
14,37,41,0,12,111.96,2,1539865894586
14,37,41,0,12,111.96,2,1539865894589
14,37,41,0,12,111.96,2,1539865896571
14,37,41,0,12,111.96,1,1539865896572
14,37,41,0,12,111.96,2,1539865896572
14,37,41,0,12,111.96,2,1539865896572
14,37,41,0,12,111.96,2,1539865898585
14,37,41,0,12,111.96,2,1539865898585
14,37,41,0,12,111.96,1,1539865898586
14,37,41,0,12,111.96,2,1539865898587
14,37,41,0,12,111.95,2,1539865900570
14,37,41,0,12,111.95,2,1539865900571
14,37,41,0,12,111.95,2,1539865900571
14,37,41,0,12,111.96,2,1539865902584
