c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,16.15,1,1537488245120
14,41,0,0,11,18.4,500,1537517225681
14,41,0,0,11,18.4,500,1537517225681
0,0,0,0,11,18.4,200,1537517233642
0,0,0,0,11,18.4,200,1537517235214
0,0,0,0,11,18.5,500,1537517253436
0,0,0,0,11,18.5,200,1537517262933
0,0,0,0,11,18.4,400,1537519892555
14,41,0,0,11,18.4,100,1537520447091
14,41,0,0,11,18.4,200,1537520447091
14,37,41,0,12,18.35,72,1537520447092
14,37,41,0,12,18.4,28,1537520447092
14,41,0,0,11,18.35,100,1537521035073
14,41,0,0,11,18.35,400,1537521211184
14,41,0,0,11,18.35,100,1537521211184
14,41,0,0,11,18.4,300,1537521716341
14,41,0,0,11,18.4,200,1537521716341
14,37,41,0,12,18.4,22,1537521757691
37,0,0,0,11,18.25,50,1537522527260
37,0,0,0,11,18.25,20,1537522554263
14,37,41,0,12,18.3,22,1537525217130
0,0,0,0,11,18.3,100,1537526434818
0,0,0,0,12,18.3,100,1537526434819
14,37,41,0,11,18.3,1,1537526502187
14,41,0,0,11,18.3,199,1537526531481
14,41,0,0,11,18.3,100,1537526531481
14,37,41,0,11,18.3,1,1537526531481
14,37,41,0,11,18.3,28,1537526531481
14,41,0,0,11,18.4,200,1537527621927
14,41,0,0,11,18.4,500,1537527625497
14,41,0,0,11,18.45,300,1537527643539
0,0,0,0,8,18.45,200,1537527651115
0,0,0,0,11,18.5,500,1537527717484
0,0,0,0,11,18.5,500,1537527717484
0,0,0,0,11,18.5,300,1537527970256
14,37,41,0,8,18.5,22,1537527970257
14,41,0,0,8,18.5,100,1537527970257
14,41,0,0,8,18.55,500,1537528281989
14,41,0,0,12,18.55,200,1537528332247
37,0,0,0,11,18.55,78,1537528819343
0,0,0,0,11,18.4,100,1537529027992
0,0,0,0,11,18.5,100,1537531192040
0,0,0,0,11,18.5,900,1537531192040
14,41,0,0,7,18.5,200,1537531192042
14,41,0,0,11,18.5,500,1537531197988
14,37,41,0,12,18.55,55,1537531200031
0,0,0,0,4,18.45,1000,1537531200546
37,0,0,0,4,18.4,45,1537531205734
0,0,0,0,4,18.4,400,1537531205735
0,0,0,0,4,18.4,2300,1537531205736
0,0,0,0,4,18.4,200,1537531205736
0,0,0,0,4,18.3,2100,1537531205743
0,0,0,0,4,18.4,900,1537531205743
37,0,0,0,4,18.5,55,1537531205753
0,0,0,0,4,18.4001,200,1537531205756
0,0,0,0,4,18.5,400,1537531207874
0,0,0,0,4,18.55,4000,1537531353435
0,0,0,0,11,18.55,122,1537531464283
14,41,0,0,12,18.55,174,1537531464284
37,0,0,0,11,18.55,4,1537531465300
14,41,0,0,8,18.5,100,1537531472998
0,0,0,0,4,18.4999,700,1537531473003
37,0,0,0,4,18.4,20,1537531650123
37,0,0,0,4,18.4,9,1537531726733
37,0,0,0,4,18.6,25,1537532108647
0,0,0,0,11,18.45,100,1537532202766
37,0,0,0,11,18.45,20,1537532202766
0,0,0,0,11,18.4,100,1537532209393
0,0,0,0,11,18.4,880,1537532209393
0,0,0,0,11,18.4,111,1537532209394
37,0,0,0,11,18.4,50,1537532251769
14,41,0,0,11,18.4,854,1537532341857
14,41,0,0,11,18.35,200,1537532341859
14,41,0,0,12,18.35,100,1537532341860
14,41,0,0,11,18.3,300,1537532341861
14,41,0,0,11,18.3,100,1537532341861
14,41,0,0,11,18.3,271,1537532341861
