c1,c2,c3,c4,e,p,s,t
37,0,0,0,4,37,1,1539869404106
10,32,37,41,4,37.37,1,1539869420835
51,0,0,0,0,36.8845,,1539869520499
0,0,0,0,4,36.8845,196,1539869520499
51,0,0,0,0,37.58,,1539869521019
0,0,0,0,4,37.58,100,1539869521019
51,0,0,0,0,37.66,,1539869521248
0,0,0,0,4,37.66,512,1539869521248
14,37,41,0,12,37.37,5,1539869522701
14,37,41,0,12,37.5,95,1539869522702
0,0,0,0,12,37.37,100,1539869522702
14,37,41,0,12,37.5,67,1539869528159
14,37,41,0,12,37.58,33,1539869528159
14,37,41,0,19,37.66,33,1539869574159
37,0,0,0,2,37.08,20,1539869583498
14,41,0,0,11,37.25,800,1539869602814
25,16,0,0,11,37.25,800,1539869602814
0,0,0,0,11,37.25,700,1539869602814
37,0,0,0,11,37.25,38,1539869602817
0,0,0,0,4,37.08,100,1539869642023
0,0,0,0,4,37,100,1539869642024
0,0,0,0,4,37,100,1539869642025
0,0,0,0,4,37.025,100,1539869642025
0,0,0,0,4,37,100,1539869642029
0,0,0,0,4,37,100,1539869642029
0,0,0,0,4,37,400,1539869642031
0,0,0,0,4,37,100,1539869658543
0,0,0,0,4,37,100,1539869658557
0,0,0,0,4,37,100,1539869663598
0,0,0,0,4,37,400,1539869664057
37,0,0,0,4,37,95,1539869664625
37,0,0,0,15,37,5,1539869664744
37,0,0,0,4,37.01,95,1539869664898
37,0,0,0,4,37.65,1,1539869700090
0,0,0,0,4,37,100,1539869700092
0,0,0,0,4,37.005,100,1539869700092
0,0,0,0,4,37.01,100,1539869700094
0,0,0,0,4,37.005,100,1539869700137
37,0,0,0,12,37.33,90,1539869703533
0,0,0,0,4,37,100,1539869703535
0,0,0,0,4,37.015,100,1539869714083
37,0,0,0,4,37.6599,6,1539869717492
0,0,0,0,4,37,100,1539869718105
0,0,0,0,4,37.04,100,1539869718105
0,0,0,0,4,37.04,100,1539869718107
0,0,0,0,4,37.08,100,1539869718107
0,0,0,0,4,37.04,100,1539869718151
37,0,0,0,12,37.33,6,1539869722524
0,0,0,0,4,37,100,1539869728850
0,0,0,0,4,37.01,100,1539869729901
0,0,0,0,12,37.33,100,1539869731151
0,0,0,0,12,37.33,100,1539869731153
0,0,0,0,4,37.0001,100,1539869731153
37,0,0,0,12,37.33,4,1539869731155
0,0,0,0,4,37.0001,100,1539869731155
37,0,0,0,4,37.0001,4,1539869731157
14,37,41,0,12,37,96,1539869731517
0,0,0,0,12,37,154,1539869731517
0,0,0,0,12,37,100,1539869731517
14,41,0,0,12,37,100,1539869731517
0,0,0,0,19,37,100,1539869731517
14,41,0,0,19,37,100,1539869731517
0,0,0,0,12,36.95,100,1539869731518
0,0,0,0,12,36.95,100,1539869731518
37,0,0,0,12,36.95,50,1539869731518
14,41,0,0,19,37,100,1539869731518
51,0,0,0,0,36.74,,1539869743005
0,0,0,0,18,36.74,100,1539869743005
51,0,0,0,0,36.52,,1539869743015
0,0,0,0,12,36.52,100,1539869743015
51,0,0,0,0,36.32,,1539869743018
37,0,0,0,12,36.41,65,1539869743018
0,0,0,0,4,36.32,700,1539869743018
51,0,0,0,0,36.31,,1539869743020
0,0,0,0,4,36.31,200,1539869743020
0,0,0,0,18,36.77,100,1539869776165
37,0,0,0,8,36.55,50,1539869852399
0,0,0,0,12,36.54,100,1539869856957
0,0,0,0,12,36.54,100,1539869856958
14,41,0,0,19,36.52,100,1539869856958
51,0,0,0,0,36.09,,1539869856963
0,0,0,0,4,36.09,100,1539869856963
37,0,0,0,4,36.12,50,1539869860379
51,0,0,0,0,36.08,,1539870005977
