c1,c2,c3,c4,e,p,s,t
14,37,41,0,12,36.03,20,1538468331685
14,37,41,0,12,36.03,20,1538468331685
14,37,41,0,12,36.18,20,1538468331685
14,37,41,0,12,36.2,60,1538468331685
14,37,41,0,12,36.15,1,1538468628585
37,0,0,0,12,36.15,3,1538468710117
14,37,41,0,12,36.28,20,1538469560368
14,37,41,0,12,36.38,20,1538469560368
14,41,0,0,12,36.4,100,1538469560368
14,37,41,0,12,36.48,20,1538469560368
14,37,41,0,12,36.5,35,1538469560368
14,41,0,0,12,36.5,100,1538469560368
14,37,41,0,12,36.5,1,1538469560368
14,37,41,0,12,36.5,4,1538469560368
14,41,0,0,11,36.5,100,1538469645148
14,41,0,0,11,36.5,200,1538469645148
37,0,0,0,12,36.45,3,1538469690880
37,0,0,0,12,36.45,20,1538469752152
0,0,0,0,12,36.2,200,1538470788266
14,41,0,0,12,36,100,1538471563446
14,37,41,0,12,35.95,10,1538471672044
14,37,41,0,12,35.8,3,1538472261050
0,0,0,0,12,35.45,100,1538472389948
37,0,0,0,12,35.5,34,1538472801534
37,0,0,0,11,35.5,15,1538472855586
37,0,0,0,11,35.5,6,1538472855586
0,0,0,0,11,35.5,945,1538472855586
37,0,0,0,11,35.5,55,1538472904661
14,37,41,0,12,35.4,25,1538472915185
14,41,0,0,12,35.4,100,1538472915185
0,0,0,0,12,35.35,167,1538473133811
37,0,0,0,11,35.35,87,1538473162640
14,37,41,0,12,35.35,87,1538473197607
14,41,0,0,12,35.35,100,1538473201463
14,41,0,0,12,35.35,100,1538473203110
14,41,0,0,12,35.35,100,1538473210519
0,0,0,0,12,35.1,300,1538473294576
0,0,0,0,12,35.01,200,1538473294576
37,0,0,0,12,35,5,1538473294576
0,0,0,0,12,35,495,1538473294576
14,41,0,0,12,35,800,1538473297202
14,37,41,0,12,35,66,1538473303937
14,41,0,0,12,35,200,1538473335552
37,0,0,0,11,35.25,10,1538473341409
37,0,0,0,11,35.12,12,1538473355384
0,0,0,0,11,35.12,100,1538473355384
14,37,41,0,12,35,39,1538473374761
14,37,41,0,12,35,50,1538473374761
14,37,41,0,11,35.05,78,1538473374762
14,41,0,0,11,35,500,1538473374762
14,37,41,0,11,35.32,78,1538473534911
14,41,0,0,11,35.32,100,1538473534911
14,41,0,0,11,35.4,100,1538473534911
0,0,0,0,12,35.4,522,1538473534916
14,41,0,0,11,35.02,100,1538473560808
14,41,0,0,11,35,900,1538473560808
0,0,0,0,12,35.02,100,1538473620215
14,41,0,0,12,35.25,300,1538473739296
0,0,0,0,12,35.16,100,1538473780527
0,0,0,0,12,35.15,200,1538473780527
14,41,0,0,12,35.28,200,1538473850855
14,37,41,0,12,35.28,40,1538473860195
14,41,0,0,12,35.28,800,1538473908571
0,0,0,0,12,35.17,300,1538474205074
0,0,0,0,12,35.17,100,1538474227183
37,0,0,0,12,35.05,50,1538474235601
0,0,0,0,12,35.02,100,1538474235601
0,0,0,0,11,35,100,1538474235610
14,41,0,0,12,34.99,160,1538474238979
14,37,41,0,12,34.99,90,1538474246062
37,0,0,0,12,34.82,5,1538474313775
0,0,0,0,12,34.89,400,1538474376448
37,0,0,0,12,34.91,10,1538474536280
0,0,0,0,12,34.88,400,1538474536280
14,37,41,0,12,34.8,50,1538474542630
14,41,0,0,12,34.77,200,1538474542630
14,41,0,0,12,34.76,4480,1538474542630
14,41,0,0,11,34.77,200,1538474542631
14,37,41,0,11,34.76,70,1538474542631
14,41,0,0,12,34.76,500,1538474544709
14,41,0,0,11,34.76,100,1538474544709
14,41,0,0,11,34.76,100,1538474545882
14,37,41,0,12,34.76,20,1538474545882
14,41,0,0,12,34.44,100,1538474608674
37,0,0,0,12,34.44,68,1538474614339
