c1,c2,c3,c4,e,p,s,t
37,0,0,0,19,27.66,3,1538659801548
0,0,0,0,12,27.44,100,1538659880701
25,16,0,0,12,27.44,100,1538659880701
0,0,0,0,11,27.44,100,1538659880701
25,16,0,0,11,27.44,100,1538659880701
51,0,0,0,0,27.41,,1538659919875
25,0,0,0,10,27.41,7244,1538659919875
0,0,0,0,10,27.41,755,1538659919875
0,0,0,0,10,27.41,128,1538659919875
37,0,0,0,19,27.41,86,1538659919876
0,0,0,0,18,27.41,100,1538659919876
37,0,0,0,19,27.41,14,1538659919876
0,0,0,0,18,27.41,413,1538659919876
37,0,0,0,18,27.41,87,1538659919876
51,0,0,0,0,27.49,,1538659921434
0,0,0,0,10,27.49,100,1538659921434
0,0,0,0,19,27.42,100,1538659921465
0,0,0,0,17,27.42,300,1538659921465
0,0,0,0,12,27.42,100,1538659921465
0,0,0,0,10,27.48,100,1538659922690
37,0,0,0,10,27.44,10,1538659922691
37,0,0,0,12,27.44,10,1538659922691
37,0,0,0,19,27.44,10,1538659922691
37,0,0,0,8,27.44,10,1538659922691
0,0,0,0,10,27.44,100,1538659922991
14,37,41,0,10,27.46,40,1538660100013
14,41,0,0,18,27.49,100,1538660100188
14,41,0,0,2,27.49,100,1538660100189
14,41,0,0,12,27.48,100,1538660100189
0,0,0,0,10,27.48,100,1538660100189
14,41,0,0,12,27.49,100,1538660100189
0,0,0,0,11,27.47,138,1538660101042
0,0,0,0,10,27.47,304,1538660101042
14,41,0,0,12,27.47,100,1538660101042
0,0,0,0,19,27.47,110,1538660101042
0,0,0,0,8,27.47,110,1538660101042
0,0,0,0,12,27.47,141,1538660101042
51,0,0,0,0,27.52,,1538660102250
14,41,0,0,12,27.52,100,1538660102250
14,41,0,0,18,27.52,153,1538660102250
51,0,0,0,0,27.53,,1538660103270
14,41,0,0,11,27.53,100,1538660103270
37,0,0,0,4,27.41,59,1538660193137
51,0,0,0,0,27.55,,1538660198820
0,0,0,0,10,27.55,100,1538660198820
0,0,0,0,10,27.52,300,1538660198820
37,0,0,0,10,27.52,2,1538660198820
0,0,0,0,10,27.52,394,1538660198820
0,0,0,0,4,27.52,300,1538660198821
0,0,0,0,19,27.52,100,1538660198821
