c1,c2,c3,c4,e,p,s,t
14,41,0,0,12,28.25,200,1539946689573
14,41,0,0,12,28.18,100,1539947145278
37,0,0,0,11,28.15,75,1539948024090
37,0,0,0,12,28.25,50,1539948655238
14,41,0,0,12,28.25,100,1539948687644
14,41,0,0,12,28.25,150,1539948990843
14,41,0,0,11,28.4,300,1539949128180
14,41,0,0,8,28.42,100,1539949658202
0,0,0,0,8,28.43,100,1539949681401
0,0,0,0,8,28.43,200,1539949802541
37,0,0,0,8,28.43,80,1539949807917
0,0,0,0,4,28.1999,350,1539950400904
0,0,0,0,4,28.2499,100,1539950401106
0,0,0,0,4,28.4999,2000,1539950402125
37,0,0,0,4,28.25,50,1539950410597
37,0,0,0,4,28.25,75,1539950410598
0,0,0,0,4,28.25,150,1539950410614
0,0,0,0,4,28.15,300,1539950410616
0,0,0,0,4,28.25,500,1539950410630
0,0,0,0,4,28.25,100,1539950410633
0,0,0,0,4,28.15,150,1539950410693
0,0,0,0,4,28.15,1087,1539950410702
0,0,0,0,4,28.43,200,1539950410705
37,0,0,0,4,28.1501,25,1539950410725
0,0,0,0,4,28.25,300,1539950410725
0,0,0,0,4,28.4299,150,1539950410732
37,0,0,0,11,28.5,50,1539950845496
37,0,0,0,11,28.5,50,1539950869755
14,37,41,0,11,28.55,25,1539950908221
14,41,0,0,11,28.6,475,1539950908221
0,0,0,0,11,28.5,150,1539951006694
0,0,0,0,4,28.52,200,1539951020711
0,0,0,0,4,28.6,1300,1539951029817
14,41,0,0,11,28.6,100,1539951076088
14,41,0,0,11,28.6,400,1539951097032
37,0,0,0,12,28.45,30,1539951107474
37,0,0,0,11,28.6,25,1539951110511
0,0,0,0,11,28.74,100,1539951118264
0,0,0,0,4,28.6,250,1539951195291
14,41,0,0,12,28.51,100,1539951210511
37,0,0,0,4,28.6,50,1539951223705
0,0,0,0,11,28.6,175,1539951225417
37,0,0,0,4,28.5,75,1539951290248
14,41,0,0,12,28.52,100,1539951318457
