c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,58.43,7,1539907446729
14,37,41,0,12,58,50,1539943036678
14,37,41,0,11,58,18,1539943036678
14,37,41,0,11,58,5,1539943036678
14,37,41,0,12,58,11,1539943036678
14,37,41,0,11,58,11,1539943036737
14,41,0,0,11,59,100,1539947674137
14,41,0,0,11,59,100,1539947888878
14,41,0,0,11,59,1000,1539947888878
14,41,0,0,11,59,300,1539947888878
14,41,0,0,12,59,100,1539947888878
14,41,0,0,19,58.79,400,1539947888879
0,0,0,0,11,59,1300,1539947889150
14,41,0,0,12,59.01,100,1539947891899
14,41,0,0,12,59.01,100,1539947892634
0,0,0,0,11,59,100,1539947925889
0,0,0,0,11,59,200,1539947941047
14,37,41,0,12,59.01,50,1539947960635
14,41,0,0,12,59.01,150,1539947960756
14,41,0,0,11,59,900,1539947983456
14,41,0,0,11,59,1100,1539947983456
14,41,0,0,11,59,150,1539947984904
14,41,0,0,11,59.01,100,1539948075421
14,41,0,0,11,59.01,100,1539948075421
14,37,41,0,11,59,50,1539948075421
14,41,0,0,11,59,100,1539948075421
14,37,41,0,11,59,50,1539948075422
14,41,0,0,11,59.02,100,1539948208962
14,41,0,0,11,59,150,1539948208962
14,41,0,0,11,59,500,1539948208962
14,41,0,0,11,59.04,100,1539948565778
14,41,0,0,11,59.03,100,1539948565778
14,41,0,0,11,59.02,300,1539948565778
37,0,0,0,11,59.2,9,1539948848206
37,0,0,0,4,59.3,49,1539950410705
0,0,0,0,4,59.3,100,1539950410706
0,0,0,0,4,59.02,500,1539950410709
0,0,0,0,4,59,1000,1539950410719
0,0,0,0,4,59.0001,500,1539950410725
0,0,0,0,4,59.0001,100,1539950410725
0,0,0,0,4,59.02,204,1539950410726
0,0,0,0,4,59.0201,1000,1539950410732
0,0,0,0,11,59,100,1539950471685
0,0,0,0,4,59.0001,500,1539950583721
0,0,0,0,4,59.25,775,1539950789942
0,0,0,0,4,59.0001,1000,1539950789943
0,0,0,0,11,59,200,1539950825306
14,37,41,0,8,59.3,10,1539950894786
0,0,0,0,4,59.3,250,1539950897330
37,0,0,0,11,59.15,3,1539951092107
37,0,0,0,11,59.15,13,1539951096348
0,0,0,0,4,59.3,1000,1539951228006
37,0,0,0,8,59.3,25,1539951837985
0,0,0,0,8,59.3,500,1539951963319
37,0,0,0,11,59.3,50,1539952523816
0,0,0,0,4,59.2001,290,1539953146361
14,41,0,0,11,59.3,400,1539953185840
14,37,41,0,11,59.3,80,1539953185840
14,41,0,0,12,59.29,100,1539953185840
14,41,0,0,8,59.3,475,1539953185840
14,41,0,0,11,59.36,100,1539953189623
14,37,41,0,12,59.45,1,1539953307561
14,37,41,0,11,59.4,83,1539953335610
0,0,0,0,11,59.4,100,1539953345864
14,37,41,0,11,59.4,17,1539953379286
14,41,0,0,8,59.3,100,1539953379286
14,41,0,0,8,59.3,100,1539953379316
14,41,0,0,8,59.3,100,1539953379895
0,0,0,0,8,59.3,100,1539953384165
14,41,0,0,8,59.3,100,1539953391038
14,41,0,0,19,59.15,100,1539953654469
