c1,c2,c3,c4,e,p,s,t
32,37,0,0,4,165.39,15,1539866560988
37,0,0,0,4,159,40,1539867072480
37,0,0,0,4,159,60,1539867355727
37,0,0,0,11,159.01,6,1539867355871
37,0,0,0,11,159.02,40,1539867475350
37,0,0,0,11,159.02,50,1539867475350
37,0,0,0,11,159.01,84,1539867475350
14,37,41,0,11,159,1,1539867554287
14,41,0,0,8,159,122,1539868585885
14,37,41,0,11,159,99,1539868585885
14,37,41,0,11,159,1,1539868585885
14,41,0,0,11,159,300,1539868585885
14,41,0,0,11,159,100,1539868585886
14,41,0,0,11,159,378,1539868585886
14,41,0,0,11,159,100,1539868918133
14,41,0,0,11,159,400,1539868918133
37,0,0,0,8,158,2,1539868918133
14,37,41,0,11,158.67,2,1539868918134
14,41,0,0,11,159,100,1539868918134
14,41,0,0,11,159,398,1539868918134
14,37,41,0,8,159,1,1539868944771
14,41,0,0,11,158.99,1000,1539868944771
14,41,0,0,11,159,100,1539868944771
14,41,0,0,11,159,300,1539868944771
14,37,41,0,11,159,99,1539868944772
14,37,41,0,11,159,1,1539868946666
14,37,41,0,11,159,19,1539868946666
37,0,0,0,11,159,80,1539869282260
37,0,0,0,11,159,20,1539869282260
0,0,0,0,11,159,500,1539869282260
51,0,0,0,0,158.99,,1539869403003
51,0,0,0,0,159,,1539869403003
14,41,0,0,11,158.99,400,1539869403003
25,16,0,0,11,158.99,400,1539869403003
14,41,0,0,11,159,100,1539869403003
37,0,0,0,15,159,20,1539869404648
51,0,0,0,0,159.39,,1539869405024
0,0,0,0,12,159.39,100,1539869405024
37,0,0,0,12,159.39,13,1539869405024
25,16,0,0,12,159.39,100,1539869405024
14,41,0,0,8,159,113,1539869405031
37,0,0,0,8,159,25,1539869405031
0,0,0,0,12,159.39,100,1539869405701
37,0,0,0,12,159.39,13,1539869405701
14,41,0,0,8,159,113,1539869405708
37,0,0,0,3,159.22,50,1539869435010
37,0,0,0,11,159.22,50,1539869435010
0,0,0,0,8,159.1,100,1539869435010
37,0,0,0,12,159.22,50,1539869435010
0,0,0,0,8,159.1,100,1539869435010
37,0,0,0,12,159.1,50,1539869435010
37,0,0,0,18,159.22,50,1539869435010
37,0,0,0,12,159.1,50,1539869435010
37,0,0,0,8,159.1,49,1539869435010
0,0,0,0,4,159.215,100,1539869435011
37,0,0,0,11,159,46,1539869435012
37,0,0,0,11,159,54,1539869435012
37,0,0,0,11,159,46,1539869435012
0,0,0,0,11,159,100,1539869435012
0,0,0,0,19,159.29,100,1539869435338
14,41,0,0,11,159.31,100,1539869437807
14,41,0,0,19,159.27,100,1539869437807
0,0,0,0,19,159.3,100,1539869437807
0,0,0,0,11,159.31,100,1539869437807
0,0,0,0,12,159.31,100,1539869437808
0,0,0,0,12,159.31,100,1539869437808
0,0,0,0,12,159.28,100,1539869437808
0,0,0,0,4,159,200,1539869439028
0,0,0,0,11,159,100,1539869439028
0,0,0,0,11,159,400,1539869439028
0,0,0,0,11,159,100,1539869440009
37,0,0,0,11,159,13,1539869440009
14,41,0,0,11,159,100,1539869440015
14,37,41,0,11,159,13,1539869440015
37,0,0,0,11,159,28,1539869445010
51,0,0,0,0,158,,1539869485005
0,0,0,0,11,158,100,1539869485005
37,0,0,0,11,158,14,1539869485005
14,41,0,0,11,158,100,1539869485011
14,37,41,0,11,158,14,1539869485011
14,41,0,0,11,158,100,1539869487770
14,41,0,0,11,158,500,1539869487770
37,0,0,0,11,158,79,1539869487771
37,0,0,0,11,158,5,1539869487771
14,37,41,0,11,158,16,1539869487772
14,37,41,0,11,158,72,1539869487772
51,0,0,0,0,156.8,,1539869500003
37,0,0,0,19,157,10,1539869500003
0,0,0,0,19,156.8,100,1539869500003
0,0,0,0,19,156.8,100,1539869500003
37,0,0,0,19,156.62,10,1539869500004
37,0,0,0,19,156.8,49,1539869500004
37,0,0,0,19,156.8,41,1539869500004
0,0,0,0,19,156.8,100,1539869500004
14,41,0,0,11,157.75,600,1539869513343
14,41,0,0,11,158.47,100,1539869513343
14,41,0,0,11,158.53,300,1539869513343
51,0,0,0,0,156.11,,1539869551264
25,0,0,0,10,156.11,20961,1539869551264
0,0,0,0,11,157,100,1539869551264
0,0,0,0,11,157,100,1539869551264
37,0,0,0,11,157,25,1539869551264
37,0,0,0,11,157,75,1539869551264
37,0,0,0,11,157,25,1539869551264
37,0,0,0,11,157,47,1539869551264
37,0,0,0,11,157,53,1539869551264
37,0,0,0,11,157,47,1539869551264
37,0,0,0,11,157,24,1539869551265
37,0,0,0,11,157,76,1539869551265
37,0,0,0,11,157,24,1539869551265
0,0,0,0,11,157,100,1539869551265
37,0,0,0,12,157,8,1539869551265
0,0,0,0,11,157,100,1539869551265
14,41,0,0,11,157,100,1539869551265
14,41,0,0,11,157,104,1539869551265
14,37,41,0,11,156.11,2,1539869551266
14,37,41,0,11,156.11,2,1539869551266
14,37,41,0,11,156.11,8,1539869551266
14,37,41,0,10,157,95,1539869551266
14,37,41,0,11,156.11,8,1539869551266
14,41,0,0,11,156.11,100,1539869551266
14,37,41,0,10,157,5,1539869551266
14,37,41,0,11,156.11,8,1539869551266
14,37,41,0,8,156.18,2,1539869551266
14,37,41,0,8,156.18,2,1539869551266
14,37,41,0,8,156.18,3,1539869551266
14,37,41,0,12,156.29,2,1539869551266
14,37,41,0,12,156.29,2,1539869551266
37,0,0,0,11,156.28,2,1539869551266
14,37,41,0,11,156.11,76,1539869551267
37,0,0,0,4,156.08,50,1539869551267
37,0,0,0,4,156.08,50,1539869551268
37,0,0,0,4,156.08,10,1539869551268
37,0,0,0,4,156.08,9,1539869551270
51,0,0,0,0,156.08,,1539869551271
0,0,0,0,4,156.08,100,1539869551271
37,0,0,0,4,156.08,15,1539869551271
0,0,0,0,10,156.08,100,1539869551272
0,0,0,0,4,156.08,100,1539869551272
37,0,0,0,4,156.08,12,1539869551273
0,0,0,0,10,156.08,100,1539869551274
37,0,0,0,4,156.08,65,1539869551274
51,0,0,0,0,156,,1539869551275
0,0,0,0,11,156,100,1539869551275
0,0,0,0,11,156,600,1539869551275
0,0,0,0,11,156,100,1539869551275
37,0,0,0,12,156,60,1539869551275
0,0,0,0,11,156,100,1539869551275
14,41,0,0,11,156,100,1539869551275
14,37,41,0,10,155.95,5,1539869551275
37,0,0,0,4,156.08,2,1539869551276
51,0,0,0,0,155.84,,1539869551277
51,0,0,0,0,155.6,,1539869551277
37,0,0,0,11,155.84,54,1539869551277
0,0,0,0,18,156.51,100,1539869551277
14,37,41,0,11,155.84,96,1539869551277
0,0,0,0,12,155.84,150,1539869551277
14,41,0,0,10,155.6,100,1539869551277
51,0,0,0,0,155.44,,1539869551278
37,0,0,0,4,156.08,36,1539869551278
14,41,0,0,19,155.44,100,1539869551278
51,0,0,0,0,155.34,,1539869551279
14,41,0,0,12,155.44,100,1539869551279
14,37,41,0,12,155.44,2,1539869551279
14,41,0,0,17,155.44,100,1539869551279
14,41,0,0,10,155.95,100,1539869551279
14,41,0,0,12,155.34,100,1539869551279
51,0,0,0,0,154.91,,1539869551280
51,0,0,0,0,154.42,,1539869551280
37,0,0,0,4,156,38,1539869551280
37,0,0,0,11,154.92,10,1539869551280
0,0,0,0,11,154.91,100,1539869551280
0,0,0,0,11,154.42,100,1539869551280
14,37,41,0,8,155.3,40,1539869551280
14,37,41,0,12,154.93,28,1539869551280
37,0,0,0,10,155,2,1539869551280
37,0,0,0,10,154.93,18,1539869551281
14,37,41,0,12,154.93,72,1539869551281
37,0,0,0,8,155,1,1539869551281
14,41,0,0,12,154.42,100,1539869551281
37,0,0,0,8,155,32,1539869551281
14,37,41,0,12,154.44,48,1539869551281
37,0,0,0,19,154.93,20,1539869551281
37,0,0,0,4,156,31,1539869551281
14,37,41,0,11,154.99,8,1539869551281
14,37,41,0,11,154.99,92,1539869551281
37,0,0,0,4,155.34,70,1539869551282
37,0,0,0,4,154.58,30,1539869551284
37,0,0,0,10,155,48,1539869551284
14,41,0,0,2,155.31,100,1539869551284
37,0,0,0,10,155,4,1539869551284
14,37,41,0,10,155,48,1539869551284
37,0,0,0,8,154.58,50,1539869551288
37,0,0,0,10,154.93,20,1539869551288
37,0,0,0,19,154.93,20,1539869551288
0,0,0,0,4,154.49,200,1539869551289
0,0,0,0,4,154.491,100,1539869551289
0,0,0,0,12,155.31,100,1539869551290
0,0,0,0,4,154.49,229,1539869551290
0,0,0,0,4,154.58,700,1539869551307
14,41,0,0,10,155.36,100,1539869551378
14,41,0,0,11,155.3,100,1539869551378
14,41,0,0,11,155.3,100,1539869551379
14,41,0,0,11,155.31,100,1539869551379
14,37,41,0,12,155.31,67,1539869551379
14,41,0,0,12,155.31,100,1539869551379
14,37,41,0,12,155.31,26,1539869551379
14,41,0,0,12,155.36,100,1539869551379
14,37,41,0,17,155.39,7,1539869551379
14,41,0,0,12,155.36,100,1539869551379
14,41,0,0,12,155.36,100,1539869551379
14,41,0,0,12,155.36,100,1539869551379
14,37,41,0,17,155.39,93,1539869551379
10,37,41,0,4,155.34,1,1539869551407
37,0,0,0,10,154.97,2,1539869551426
37,0,0,0,4,155.0304,80,1539869551429
37,0,0,0,4,155.36,5,1539869551434
37,0,0,0,4,155.165,24,1539869551494
37,0,0,0,4,155.166,38,1539869551524
14,41,0,0,10,155.36,100,1539869551670
0,0,0,0,11,155.36,100,1539869551670
0,0,0,0,18,155.34,100,1539869551670
14,41,0,0,12,155.36,100,1539869551670
14,41,0,0,12,155.36,100,1539869551673
37,0,0,0,4,155.36,70,1539869552306
0,0,0,0,10,155.36,100,1539869552309
37,0,0,0,12,155.36,30,1539869552313
37,0,0,0,12,155.35,38,1539869552313
14,37,41,0,12,155.35,62,1539869552313
37,0,0,0,4,155.35,32,1539869552313
14,37,41,0,8,155.16,10,1539869552313
37,0,0,0,8,155.16,30,1539869552313
